gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_169263670.1,1,39.0,27.27
NA,WP_169263671.1,1,37.0,48.72
dnaN,WP_169263672.1,1,42.0,28.76
NA,WP_171975133.1,1,42.0,32.38
NA,WP_171975134.1,1,40.0,40.83
NA,WP_171975135.1,1,47.0,43.94
NA,WP_246162949.1,1,43.0,31.34
NA,WP_171975136.1,1,39.0,28.23
NA,WP_169263677.1,1,41.0,32.79
NA,WP_246162951.1,1,34.0,25.16
NA,WP_171975137.1,1,42.0,35.8
NA,WP_211178311.1,1,44.0,39.96
NA,WP_169263679.1,1,41.0,40.27
NA,WP_169263680.1,1,48.0,34.29
cobQ,WP_169263681.1,1,44.0,32.09
NA,WP_169263682.1,1,45.0,33.6
NA,WP_169263683.1,1,49.0,40.74
fmt,WP_171975138.1,1,43.0,31.9
NA,WP_169263685.1,1,45.0,32.88
NA,WP_171975139.1,1,37.0,31.76
NA,WP_169263687.1,1,41.0,29.55
NA,WP_169263688.1,1,38.0,30.65
NA,WP_169263689.1,1,47.0,43.85
NA,WP_171975140.1,1,42.0,33.86
NA,WP_171975141.1,1,34.0,24.43
NA,WP_171975142.1,1,38.0,25.85
NA,WP_169263693.1,1,33.0,23.98
NA,WP_171975143.1,1,39.0,32.54
NA,WP_171975144.1,1,32.0,26.82
NA,WP_169263696.1,1,39.0,32.52
NA,WP_171975145.1,1,35.0,28.3
NA,WP_171975146.1,1,44.0,36.74
NA,WP_171975147.1,1,41.0,37.68
NA,WP_171975148.1,1,33.0,23.12
NA,WP_171978074.1,1,44.0,36.79
NA,WP_169263702.1,1,43.0,37.14
aspS,WP_169263703.1,1,45.0,40.27
NA,WP_169263704.1,1,42.0,35.0
NA,WP_172195133.1,1,52.0,43.18
NA,WP_169263706.1,1,40.0,35.04
NA,WP_171975149.1,1,44.0,37.5
NA,WP_246162953.1,1,48.0,43.71
NA,WP_246162961.1,1,39.0,36.64
NA,WP_169263731.1,1,43.0,36.26
NA,WP_169263708.1,1,43.0,38.54
NA,WP_169263709.1,1,42.0,38.92
NA,WP_171975150.1,1,39.0,34.15
NA,WP_171978075.1,1,44.0,37.8
NA,WP_246162964.1,1,39.0,34.59
NA,WP_171975151.1,1,37.0,25.68
NA,WP_169263713.1,1,46.0,28.57
NA,WP_169263714.1,1,48.0,47.17
pdxH,WP_171975152.1,1,45.0,40.0
NA,WP_169263716.1,1,40.0,40.35
NA,WP_169263717.1,1,42.0,32.73
NA,WP_171975153.1,1,42.0,36.53
NA,WP_169263719.1,1,45.0,38.79
speA,WP_169263720.1,1,45.0,42.6
ndk,WP_171975154.1,1,45.0,35.0
NA,WP_169263722.1,1,45.0,44.44
NA,WP_169263723.1,1,41.0,39.71
NA,WP_169263724.1,1,44.0,32.0
NA,WP_169263725.1,1,40.0,37.57
NA,WP_171975155.1,1,45.0,34.7
NA,WP_169263727.1,1,43.0,35.75
NA,WP_171975156.1,1,43.0,36.39
NA,WP_169267582.1,1,39.0,27.78
NA,WP_171975157.1,1,43.0,32.05
NA,WP_171975158.1,1,42.0,35.89
NA,WP_169267587.1,1,46.0,36.09
NA,WP_171975159.1,1,44.0,35.01
NA,WP_246162965.1,1,45.0,40.69
NA,WP_246162980.1,1,46.0,47.04
NA,WP_216669954.1,1,40.0,32.37
NA,WP_211178817.1,1,44.0,33.71
NA,WP_171975160.1,1,44.0,52.46
NA,WP_171975161.1,1,43.0,43.82
NA,WP_169268793.1,1,42.0,33.87
NA,WP_171975162.1,1,45.0,38.71
NA,WP_246162990.1,1,48.0,39.25
