gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_031522255.1,1,56.00000000000001,66.08
dnaN,WP_031522254.1,1,59.0,73.39
recF,WP_264386220.1,1,59.0,72.41
gyrB,WP_031522250.1,1,59.0,73.96
yidA,WP_031522249.1,1,56.99999999999999,75.1
dgoR,WP_031522246.1,1,60.0,72.73
NA,WP_264385105.1,1,63.0,74.91
NA,WP_031522243.1,1,65.0,73.98
dgoD,WP_031522241.1,1,61.0,76.68
NA,WP_169738119.1,1,60.0,78.21
NA,WP_264385106.1,1,65.0,76.4
NA,WP_031522236.1,1,61.0,69.07
ibpA,WP_031522234.1,1,55.00000000000001,69.53
ibpB,WP_031522232.1,1,57.99999999999999,71.43
NA,WP_264385107.1,1,61.0,79.25
NA,WP_264385108.1,1,68.0,84.26
emrD,WP_264385109.1,1,64.0,80.0
NA,WP_264385110.1,1,63.0,77.61
NA,WP_264386221.1,1,63.0,78.83
NA,WP_264385111.1,1,62.0,76.01
NA,WP_264385112.1,1,33.0,23.68
NA,WP_264385113.1,1,32.0,36.76
NA,WP_264385114.1,1,36.0,25.37
NA,WP_264385115.1,1,39.0,29.27
NA,WP_264385116.1,1,37.0,30.99
NA,WP_264385117.1,1,60.0,75.86
NA,WP_264385118.1,1,53.0,56.16
NA,WP_264385119.1,1,35.0,32.0
NA,WP_264385120.1,1,56.99999999999999,75.38
NA,WP_264385121.1,1,36.0,25.35
NA,WP_264385122.1,1,30.0,23.68
NA,WP_264385123.1,1,34.0,32.39
NA,WP_264385124.1,1,38.0,21.95
NA,WP_264385125.1,1,30.0,28.57
NA,WP_031522200.1,1,62.0,74.79
NA,WP_031522198.1,1,61.0,74.17
NA,WP_031522196.1,1,55.00000000000001,60.84
NA,WP_264385126.1,1,52.0,52.75
NA,WP_264385127.1,1,61.0,71.86
NA,WP_264385128.1,1,62.0,76.18
NA,WP_264385129.1,1,64.0,77.95
NA,WP_031522187.1,1,59.0,67.13
NA,WP_072002013.1,1,42.0,40.56
NA,WP_031522183.1,1,37.0,40.07
hiuH,WP_031522182.1,1,56.99999999999999,70.87
NA,WP_031522180.1,1,63.0,71.33
nlpA,WP_031522178.1,1,54.0,61.0
NA,WP_031522177.1,1,45.0,45.26
NA,WP_031522175.1,1,46.0,44.6
NA,WP_035891276.1,1,45.0,50.3
paoA,WP_264385130.1,1,62.0,72.73
NA,WP_264385131.1,1,67.0,75.4
NA,WP_264385132.1,1,63.0,73.72
NA,WP_264386222.1,1,66.0,76.39
NA,WP_264385133.1,1,64.0,74.29
NA,WP_264385134.1,1,59.0,76.03
nepI,WP_264385135.1,1,62.0,79.17
NA,WP_264385136.1,1,60.0,75.18
NA,WP_264385137.1,1,59.0,80.0
yicI,WP_264385138.1,1,60.0,73.59
NA,WP_264385139.1,1,60.0,62.95
NA,WP_264385140.1,1,57.99999999999999,61.98
NA,WP_264385141.1,1,55.00000000000001,64.89
NA,WP_264385142.1,1,56.00000000000001,59.15
NA,WP_264385143.1,1,50.0,53.04
fdhE,WP_264385144.1,1,61.0,76.0
fdoI,WP_031522145.1,1,56.00000000000001,75.25
fdxH,WP_031522144.1,1,59.0,73.88
fdhD,WP_264385146.1,1,60.0,67.55
NA,WP_031522136.1,1,53.0,60.0
NA,WP_031522135.1,1,60.0,74.95
NA,WP_031522133.1,1,66.0,77.55
NA,WP_031522131.1,1,64.0,73.46
NA,WP_264385147.1,1,66.0,74.57
NA,WP_031522128.1,1,53.0,56.67
NA,WP_031522126.1,1,63.0,73.39
NA,WP_264385148.1,1,63.0,77.65
NA,WP_031522123.1,1,57.99999999999999,79.28
NA,WP_264385149.1,1,54.0,62.69
NA,WP_264385150.1,1,54.0,53.98
NA,WP_031522118.1,1,55.00000000000001,58.23
NA,WP_264385151.1,1,50.0,55.42
rhaM,WP_264385152.1,1,62.0,77.89
fucO,WP_264385153.1,1,64.0,77.21
NA,WP_264385154.1,1,62.0,84.0
NA,WP_264386223.1,1,64.0,85.28
NA,WP_264385155.1,1,60.0,77.53
rhaS,WP_264385156.1,1,60.0,76.95
rhaD,WP_031522108.1,1,61.0,79.78
NA,WP_264385157.1,1,63.0,81.22
rhaB,WP_264385158.1,1,64.0,80.42
rhaR,WP_031522100.1,1,63.0,82.78
sodA,WP_031522099.1,1,55.00000000000001,65.48
NA,WP_264385159.1,1,60.0,75.0
yiiM,WP_031522095.1,1,60.0,72.77
NA,WP_031522093.1,1,56.99999999999999,71.43
NA,WP_031522092.1,1,57.99999999999999,67.37
NA,WP_264385160.1,1,60.0,79.17
NA,WP_031522088.1,1,52.0,53.85
NA,WP_264385161.1,1,56.99999999999999,72.0
NA,WP_264385162.1,1,49.0,52.13
lldD,WP_264385163.1,1,63.0,76.56
lldR,WP_031522081.1,1,64.0,77.42
lldP,WP_031522080.1,1,60.0,79.34
NA,WP_264385164.1,1,59.0,74.77
mtlR,WP_051640518.1,1,57.99999999999999,71.01
mtlD,WP_031522074.1,1,60.0,72.65
NA,WP_031522073.1,1,57.99999999999999,72.11
NA,WP_264385165.1,1,61.0,73.58
selA,WP_264385166.1,1,66.0,78.63
selB,WP_264385167.1,1,66.0,77.27
NA,WP_031522066.1,1,60.0,74.47
NA,WP_264385168.1,1,62.0,75.84
NA,WP_264385169.1,1,66.0,71.5
avtA,WP_264386225.1,1,56.99999999999999,71.19
NA,WP_264385170.1,1,61.0,74.25
NA,WP_072002011.1,1,51.0,60.23
NA,WP_264385171.1,1,57.99999999999999,71.17
gguB,WP_264385172.1,1,61.0,75.0
NA,WP_031522052.1,1,60.0,74.4
xylF,WP_031522051.1,1,50.0,57.94
xylA,WP_264385173.1,1,56.99999999999999,71.69
xylB,WP_264385174.1,1,65.0,75.79
NA,WP_264385175.1,1,56.99999999999999,65.5
NA,WP_264385176.1,1,65.0,74.32
NA,WP_031522043.1,1,57.99999999999999,76.09
NA,WP_264385177.1,1,57.99999999999999,67.37
glyQ,WP_031522039.1,1,57.99999999999999,72.79
glyS,WP_264385178.1,1,60.0,71.62
NA,WP_031522035.1,1,46.0,47.13
NA,WP_264385179.1,1,57.99999999999999,72.25
NA,WP_264385180.1,1,52.0,55.65
NA,WP_264385181.1,1,53.0,59.57
ghrB,WP_264385182.1,1,61.0,74.92
NA,WP_264385183.1,1,59.0,77.94
NA,WP_264385184.1,1,62.0,74.01
NA,WP_264385185.1,1,65.0,75.0
NA,WP_031522021.1,1,62.0,74.7
NA,WP_031522019.1,1,62.0,72.04
NA,WP_264385186.1,1,62.0,74.48
NA,WP_264385187.1,1,61.0,76.47
tag,WP_264385188.1,1,55.00000000000001,65.73
NA,WP_264385189.1,1,62.0,72.2
NA,WP_035891273.1,1,62.0,66.67
NA,WP_264385190.1,1,57.99999999999999,73.86
NA,WP_031522007.1,1,59.0,64.93
eptB,WP_264385191.1,1,56.99999999999999,73.83
NA,WP_031522003.1,1,55.00000000000001,69.58
dppB,WP_031522002.1,1,59.0,74.85
dppC,WP_264385192.1,1,63.0,81.1
dppD,WP_264385193.1,1,60.0,72.27
