gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_168914636.1,1,65.0,97.84
dnaN,WP_168914637.1,1,69.0,96.77
recF,WP_168914638.1,1,73.0,91.95
NA,WP_168914639.1,1,73.0,90.0
gyrB,WP_168914640.1,1,68.0,97.29
gyrA,WP_168914641.1,1,70.0,98.0
NA,WP_168914642.1,1,68.0,97.62
NA,WP_168914643.1,1,75.0,94.65
NA,WP_168914644.1,1,66.0,98.82
NA,WP_168914645.1,1,71.0,94.51
NA,WP_168914646.1,1,64.0,98.55
NA,WP_168914647.1,1,73.0,93.82
NA,WP_168914648.1,1,74.0,97.73
NA,WP_168914649.1,1,73.0,96.19
pknB,WP_228545848.1,1,73.0,99.11
NA,WP_168914650.1,1,73.0,95.46
NA,WP_168914651.1,1,70.0,94.13
NA,WP_168916709.1,1,70.0,97.86
NA,WP_168914652.1,1,71.0,98.01
NA,WP_168914653.1,1,72.0,95.51
NA,WP_168914654.1,1,71.0,94.78
NA,WP_168914655.1,1,66.0,79.08
NA,WP_168914656.1,1,70.0,95.9
NA,WP_168914657.1,1,56.99999999999999,60.15
NA,WP_168914658.1,1,69.0,93.21
NA,WP_168914659.1,1,74.0,86.36
NA,WP_168914660.1,1,70.0,88.65
NA,WP_168914661.1,1,66.0,77.78
NA,WP_168914662.1,1,70.0,99.13
NA,WP_168914663.1,1,72.0,98.24
NA,WP_168916710.1,1,76.0,94.31
NA,WP_168914664.1,1,77.0,96.92
NA,WP_168914666.1,1,76.0,95.79
NA,WP_168914667.1,1,79.0,95.77
NA,WP_228545849.1,1,76.0,95.45
NA,WP_168914668.1,1,74.0,95.94
NA,WP_168914669.1,1,80.0,95.92
NA,WP_168914670.1,1,70.0,97.47
NA,WP_168914671.1,1,73.0,96.83
NA,WP_168914672.1,1,75.0,96.44
NA,WP_228545850.1,1,78.0,97.34
NA,WP_168914673.1,1,75.0,95.4
NA,WP_228545851.1,1,72.0,97.67
NA,WP_168914674.1,1,78.0,92.38
NA,WP_168914675.1,1,73.0,96.89
nucS,WP_168914676.1,1,71.0,95.05
NA,WP_168914677.1,1,77.0,97.72
NA,WP_228545852.1,1,73.0,97.6
NA,WP_168914678.1,1,76.0,96.56
NA,WP_168914679.1,1,70.0,96.91
NA,WP_168916715.1,1,67.0,97.78
NA,WP_228545853.1,1,76.0,96.5
NA,WP_168914680.1,1,76.0,93.46
NA,WP_168914681.1,1,77.0,97.38
NA,WP_168914682.1,1,71.0,96.89
NA,WP_228545854.1,1,73.0,96.25
NA,WP_168914683.1,1,70.0,94.86
