gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_127026615.1,1,47.0,45.27
dnaN,WP_127018990.1,1,46.0,46.39
recF,WP_127018992.1,1,46.0,47.34
gyrB,WP_127018994.1,1,48.0,47.55
NA,WP_127018996.1,1,36.0,39.33
NA,WP_127018998.1,1,37.0,33.04
glyQ,WP_127019000.1,1,50.0,48.5
glyS,WP_127019002.1,1,50.0,48.22
NA,WP_127019004.1,1,46.0,49.79
NA,WP_127019006.1,1,49.0,53.68
NA,WP_127019007.1,1,47.0,46.35
NA,WP_127019008.1,1,48.0,43.77
tusA,WP_127019010.1,1,49.0,46.67
fadA,WP_127019012.1,1,51.0,46.97
fadB,WP_127019014.1,1,48.0,44.21
NA,WP_127019016.1,1,47.0,47.39
pepQ,WP_127019018.1,1,47.0,47.56
NA,WP_127019020.1,1,50.0,43.35
NA,WP_127019022.1,1,46.0,47.05
trkA,WP_127019024.1,1,48.0,49.0
rsmB,WP_127019026.1,1,50.0,49.41
fmt,WP_127019028.1,1,51.0,45.78
def,WP_127019029.1,1,47.0,45.91
NA,WP_127019031.1,1,48.0,47.87
dprA,WP_127019033.1,1,48.0,44.07
NA,WP_046519776.1,1,46.0,52.03
NA,WP_127019035.1,1,46.0,44.19
NA,WP_127019037.1,1,50.0,55.91
NA,WP_127019039.1,1,50.0,47.06
purE,WP_127019041.1,1,50.0,43.42
NA,WP_127019043.1,1,51.0,46.2
hemF,WP_127019045.1,1,48.0,42.09
NA,WP_127019047.1,1,48.0,45.2
NA,WP_127019049.1,1,50.0,51.08
aroE,WP_127019051.1,1,51.0,46.56
NA,WP_127019053.1,1,42.0,41.1
NA,WP_127019055.1,1,47.0,41.18
NA,WP_127019057.1,1,47.0,45.95
fre,WP_127019059.1,1,48.0,41.44
NA,WP_127019061.1,1,50.0,49.4
ubiD,WP_127019063.1,1,50.0,48.79
NA,WP_233280296.1,1,44.0,45.15
NA,WP_127019065.1,1,48.0,43.57
NA,WP_127019067.1,1,46.0,52.25
bfr,WP_127019069.1,1,44.0,51.01
NA,WP_127019073.1,1,48.0,41.39
NA,WP_127019075.1,1,50.0,46.47
NA,WP_127019077.1,1,50.0,48.91
NA,WP_127019079.1,1,49.0,46.5
ppc,WP_127019081.1,1,50.0,48.79
NA,WP_127019083.1,1,46.0,42.44
NA,WP_127019085.1,1,47.0,40.33
NA,WP_127019087.1,1,48.0,47.07
NA,WP_127019088.1,1,47.0,47.91
NA,WP_127019090.1,1,46.0,39.29
mtnK,WP_127019092.1,1,45.0,44.88
NA,WP_127019094.1,1,49.0,50.0
NA,WP_127019096.1,1,48.0,47.99
NA,WP_127019098.1,1,50.0,48.27
NA,WP_127019100.1,1,44.0,44.9
NA,WP_127019102.1,1,49.0,40.13
ygfZ,WP_127019104.1,1,49.0,48.25
NA,WP_127019106.1,1,46.0,43.24
NA,WP_127019108.1,1,50.0,54.68
nadB,WP_127019110.1,1,48.0,45.71
rpoE,WP_127019112.1,1,47.0,44.51
NA,WP_127019114.1,1,49.0,41.87
NA,WP_127019115.1,1,48.0,43.62
NA,WP_127019117.1,1,48.0,46.85
lepA,WP_267898331.1,1,46.0,44.63
lepB,WP_127019121.1,1,46.0,44.63
rnc,WP_127019123.1,1,49.0,47.44
era,WP_127019125.1,1,47.0,51.9
recO,WP_127019127.1,1,48.0,50.69
pdxJ,WP_127019129.1,1,49.0,43.59
acpS,WP_127019131.1,1,54.0,50.86
NA,WP_127019133.1,1,47.0,53.2
NA,WP_127019135.1,1,47.0,40.0
NA,WP_127019137.1,1,49.0,49.85
NA,WP_127019137.1,1,49.0,49.85
NA,WP_127019139.1,1,52.0,60.57
NA,WP_127019141.1,1,46.0,41.5
NA,WP_127019143.1,1,48.0,44.38
NA,WP_127019145.1,1,47.0,40.0
NA,WP_164731789.1,1,41.0,38.5
NA,WP_127019149.1,1,49.0,42.89
barA,WP_127019151.1,1,47.0,50.27
rlmD,WP_127019153.1,1,48.0,46.91
relA,WP_127019155.1,1,49.0,50.76
mazG,WP_127019157.1,1,49.0,50.59
NA,WP_127019159.1,1,53.0,55.22
NA,WP_127019161.1,1,49.0,50.68
NA,WP_127019163.1,1,41.0,35.93
folE,WP_127019165.1,1,46.0,46.83
NA,WP_127019167.1,1,46.0,40.8
NA,WP_127019169.1,1,48.0,44.05
NA,WP_127019171.1,1,48.0,49.34
NA,WP_127019173.1,1,42.0,39.69
NA,WP_267898323.1,1,42.0,53.12
NA,WP_206099257.1,1,49.0,49.1
NA,WP_127019174.1,1,47.0,48.42
NA,WP_233280298.1,1,46.0,40.29
NA,WP_127019176.1,1,48.0,48.94
NA,WP_127019178.1,1,47.0,47.81
NA,WP_127019180.1,1,46.0,46.88
NA,WP_127019183.1,1,51.0,47.33
deoA,WP_127019185.1,1,49.0,42.19
NA,WP_127019187.1,1,47.0,47.18
NA,WP_127019189.1,1,48.0,44.08
rho,WP_046518973.1,1,46.0,45.76
trxA,WP_046518974.1,1,45.0,43.43
rhlB,WP_127019191.1,1,48.0,42.75
gppA,WP_127026398.1,1,49.0,51.63
hemB,WP_127019193.1,1,48.0,44.92
NA,WP_127019195.1,1,46.0,46.56
NA,WP_233280299.1,1,44.0,39.45
NA,WP_127019199.1,1,47.0,40.91
tatC,WP_127019201.1,1,43.0,40.17
tatB,WP_127019204.1,1,50.0,42.98
tatA,WP_127019206.1,1,45.0,31.17
ubiB,WP_127019208.1,1,47.0,46.33
NA,WP_127019210.1,1,48.0,51.04
ubiE,WP_127019212.1,1,45.0,47.11
NA,WP_127019214.1,1,46.0,44.83
NA,WP_127019216.1,1,45.0,41.69
NA,WP_127019218.1,1,46.0,44.15
NA,WP_127019220.1,1,43.0,41.4
NA,WP_127019222.1,1,41.0,34.33
NA,WP_127019224.1,1,45.0,44.87
NA,WP_127019226.1,1,47.0,37.5
tesB,WP_127019228.1,1,46.0,43.21
NA,WP_127019230.1,1,48.0,53.97
plsB,WP_127019232.1,1,47.0,48.13
lexA,WP_127019234.1,1,47.0,41.21
coxB,WP_233280300.1,1,48.0,52.45
ctaD,WP_127019236.1,1,49.0,57.28
NA,WP_127019238.1,1,49.0,51.12
NA,WP_127019240.1,1,46.0,47.54
NA,WP_127019243.1,1,48.0,63.33
NA,WP_127019245.1,1,53.0,59.21
NA,WP_127019247.1,1,48.0,51.28
NA,WP_127019249.1,1,50.0,56.15
cyoE,WP_127019251.1,1,49.0,56.85
NA,WP_127019253.1,1,48.0,47.29
NA,WP_127019255.1,1,48.0,49.24
NA,WP_127019257.1,1,44.0,41.82
NA,WP_127019259.1,1,48.0,52.15
nfuA,WP_127019261.1,1,49.0,48.63
NA,WP_127019263.1,1,48.0,45.88
NA,WP_127019265.1,1,50.0,54.91
bioH,WP_127019267.1,1,48.0,44.21
NA,WP_127026400.1,1,45.0,40.0
NA,WP_127019269.1,1,50.0,39.86
NA,WP_127019271.1,1,48.0,43.59
NA,WP_127019273.1,1,48.0,44.49
NA,WP_233280301.1,1,43.0,38.96
gmtY,WP_127019275.1,1,40.0,33.96
NA,WP_206099259.1,1,41.0,35.1
gmtX,WP_127019277.1,1,43.0,36.36
greB,WP_233280302.1,1,43.0,42.11
NA,WP_127019281.1,1,39.0,29.76
NA,WP_127019283.1,1,44.0,40.14
NA,WP_127019285.1,1,43.0,36.44
NA,WP_127019287.1,1,43.0,36.44
NA,WP_127019289.1,1,45.0,40.17
NA,WP_127019291.1,1,44.0,38.03
NA,WP_127019293.1,1,43.0,37.04
NA,WP_127019295.1,1,46.0,40.37
NA,WP_127019297.1,1,52.0,55.81
NA,WP_127019299.1,1,45.0,38.43
NA,WP_127019301.1,1,43.0,35.12
NA,WP_127019303.1,1,48.0,39.08
NA,WP_127019305.1,1,44.0,46.56
NA,WP_267898332.1,1,44.0,35.64
NA,WP_206099260.1,1,46.0,41.35
NA,WP_127019309.1,1,46.0,42.77
NA,WP_127019311.1,1,44.0,47.92
NA,WP_164731790.1,1,33.0,26.09
NA,WP_127019313.1,1,45.0,41.36
NA,WP_127019315.1,1,47.0,48.8
NA,WP_164731791.1,1,49.0,45.7
NA,WP_233280304.1,1,45.0,44.09
NA,WP_127019319.1,1,50.0,54.13
NA,WP_127019321.1,1,46.0,51.17
NA,WP_233280305.1,1,45.0,46.17
NA,WP_127019325.1,1,44.0,48.45
NA,WP_127019327.1,1,47.0,48.15
NA,WP_127019329.1,1,47.0,44.71
NA,WP_127019331.1,2,48.0,54.28
NA,WP_127019333.1,1,42.0,37.05
NA,WP_127019335.1,1,33.0,25.93
NA,WP_127019337.1,1,41.0,33.59
NA,WP_127019339.1,1,41.0,31.36
NA,WP_127019341.1,2,50.0,55.5
NA,WP_127019343.1,1,42.0,38.41
NA,WP_233280306.1,1,52.0,54.17
NA,WP_127019345.1,1,50.0,45.9
ompR,WP_053423316.1,1,50.0,50.43
envZ,WP_127019347.1,1,46.0,45.92
NA,WP_127019349.1,1,47.0,43.06
hslO,WP_127019351.1,1,46.0,45.05
hslR,WP_127019353.1,1,46.0,44.88
gspC,WP_127019355.1,1,47.0,43.69
gspD,WP_127019357.1,1,46.0,42.44
gspE,WP_127019359.1,1,47.0,44.83
gspF,WP_127019361.1,1,48.0,48.87
gspG,WP_127019363.1,1,46.0,44.12
gspH,WP_127019365.1,1,46.0,50.74
gspI,WP_127019367.1,1,43.0,42.11
gspJ,WP_127019369.1,1,46.0,43.3
gspK,WP_127019371.1,1,48.0,51.1
gspL,WP_127019373.1,1,49.0,48.58
NA,WP_127019375.1,1,48.0,48.97
NA,WP_127019377.1,1,48.0,48.97
yrfG,WP_127019379.1,1,46.0,48.84
nudE,WP_127019381.1,1,47.0,42.62
cysQ,WP_127019383.1,1,49.0,44.74
NA,WP_127019385.1,1,44.0,44.74
NA,WP_127019387.1,1,47.0,41.1
NA,WP_127019389.1,1,50.0,50.64
NA,WP_127019391.1,1,50.0,48.95
NA,WP_127019393.1,1,43.0,51.52
NA,WP_127019395.1,1,47.0,57.5
NA,WP_127019397.1,1,47.0,46.02
NA,WP_127019399.1,1,47.0,40.68
NA,WP_127019401.1,1,46.0,49.23
NA,WP_127019403.1,1,46.0,43.08
fkpA,WP_127019405.1,1,43.0,29.1
NA,WP_127019407.1,1,48.0,53.97
rsd,WP_127019409.1,1,46.0,46.71
nudC,WP_127019411.1,1,46.0,39.3
hemE,WP_127019413.1,1,48.0,46.46
sthA,WP_233280308.1,1,47.0,47.84
NA,WP_127019417.1,1,45.0,50.69
fabR,WP_127019419.1,1,50.0,44.39
trmA,WP_127019421.1,1,46.0,49.01
murI,WP_127019423.1,1,46.0,43.48
NA,WP_127019425.1,1,45.0,35.71
NA,WP_127019427.1,1,44.0,41.32
NA,WP_127019429.1,1,47.0,41.64
uvrD,WP_127019431.1,1,49.0,50.35
NA,WP_127019433.1,1,49.0,48.21
NA,WP_127019435.1,1,46.0,49.77
NA,WP_164731792.1,1,49.0,56.38
NA,WP_127019439.1,1,54.0,55.59
NA,WP_127019441.1,1,53.0,56.06
NA,WP_127019443.1,1,48.0,50.0
NA,WP_127019445.1,1,49.0,43.98
NA,WP_127019447.1,1,46.0,33.08
NA,WP_127019449.1,1,48.0,51.92
xerC,WP_127019451.1,1,51.0,56.95
NA,WP_127019453.1,1,47.0,50.47
dapF,WP_229670615.1,1,47.0,44.53
lysA,WP_127019457.1,1,49.0,44.23
cyaY,WP_127019459.1,1,42.0,37.76
NA,WP_127019461.1,1,48.0,41.12
NA,WP_127019463.1,1,50.0,40.08
hemC,WP_127019465.1,1,49.0,43.48
NA,WP_127019467.1,1,48.0,48.99
NA,WP_127019469.1,1,49.0,46.47
NA,WP_127019470.1,1,50.0,49.57
NA,WP_127019472.1,1,48.0,43.75
