gene_name,prot_id,number_of_exons,GC,GC3
fusA,WP_124800798.1,2,40.0,30.03
rpsG,WP_072997610.1,1,37.0,34.23
rpsL,WP_002983146.1,1,46.0,29.69
NA,WP_124800799.1,1,35.0,32.21
NA,WP_124800800.1,1,30.0,26.68
NA,WP_124800801.1,1,36.0,33.64
NA,WP_124800802.1,1,40.0,35.34
NA,WP_124800803.1,1,37.0,34.18
NA,WP_123281715.1,1,34.0,29.58
NA,WP_123281714.1,1,34.0,24.59
NA,WP_124800804.1,1,38.0,29.4
glpK,WP_123281712.1,1,40.0,27.81
NA,WP_123281957.1,1,42.0,29.13
NA,WP_228411460.1,1,38.0,32.57
NA,WP_124800805.1,1,39.0,42.03
NA,WP_124800806.1,1,41.0,34.07
NA,WP_124800807.1,1,46.0,51.71
NA,WP_123249589.1,1,48.0,64.56
NA,WP_124800808.1,1,31.0,31.82
NA,WP_124800809.1,1,34.0,35.76
NA,WP_124800810.1,1,37.0,33.25
NA,WP_124800811.1,1,34.0,26.16
NA,WP_124800812.1,1,38.0,44.79
NA,WP_124800813.1,1,28.999999999999996,21.96
NA,WP_124800814.1,1,37.0,36.1
NA,WP_124800815.1,1,35.0,28.24
NA,WP_124800816.1,1,39.0,31.9
NA,WP_124800817.1,1,31.0,24.07
NA,WP_124800818.1,1,38.0,30.52
NA,WP_124800819.1,1,35.0,30.0
NA,WP_124800820.1,1,34.0,31.28
NA,WP_124800822.1,1,41.0,33.91
NA,WP_124800823.1,1,41.0,30.39
NA,WP_124800824.1,1,35.0,31.93
NA,WP_231121139.1,1,37.0,36.78
NA,WP_124800826.1,1,35.0,37.89
NA,WP_231121140.1,1,36.0,29.26
NA,WP_124800827.1,1,35.0,30.15
panB,WP_124800828.1,1,40.0,32.06
NA,WP_124800829.1,1,37.0,29.39
NA,WP_124800830.1,1,37.0,37.42
ccoS,WP_231121141.1,1,34.0,27.08
ccoN,WP_124800832.1,1,39.0,31.52
NA,WP_124800833.1,1,30.0,28.07
NA,WP_124800834.1,1,36.0,30.18
ccoG,WP_124800835.1,1,35.0,29.11
NA,WP_124800836.1,1,34.0,35.0
NA,WP_124800837.1,1,39.0,33.47
NA,WP_124800838.1,1,26.0,26.42
NA,WP_124800839.1,1,33.0,35.14
NA,WP_124800840.1,1,41.0,40.09
NA,WP_124800841.1,1,37.0,36.4
NA,WP_124800842.1,1,41.0,35.82
NA,WP_124800843.1,1,39.0,34.84
NA,WP_124800844.1,1,40.0,33.14
NA,WP_124800845.1,1,37.0,29.33
ribH,WP_089770555.1,1,42.0,41.18
NA,WP_124800846.1,1,45.0,39.64
NA,WP_124800847.1,1,37.0,36.69
NA,WP_124800848.1,1,32.0,29.03
rfbD,WP_124800849.1,1,37.0,31.07
NA,WP_124800850.1,1,36.0,33.11
NA,WP_124800851.1,1,40.0,34.18
NA,WP_089770548.1,1,40.0,40.1
bamA,WP_124800852.1,1,38.0,34.13
NA,WP_123281912.1,1,37.0,33.2
NA,WP_124800853.1,1,38.0,35.04
NA,WP_124800854.1,1,35.0,32.97
NA,WP_124800855.1,1,40.0,33.8
NA,WP_124800856.1,1,35.0,32.96
NA,WP_124800857.1,1,34.0,34.25
NA,WP_124800858.1,1,37.0,38.33
NA,WP_124800859.1,1,37.0,33.79
NA,WP_124800860.1,1,36.0,36.78
NA,WP_164467942.1,1,30.0,27.03
NA,WP_124800862.1,1,40.0,44.77
NA,WP_124800863.1,1,23.0,21.85
NA,WP_124800864.1,1,32.0,14.81
NA,WP_124804084.1,1,43.0,44.59
NA,WP_196780201.1,1,30.0,18.7
NA,WP_196780202.1,1,30.0,22.51
NA,WP_124800865.1,1,25.0,15.33
topA,WP_124800866.1,1,43.0,43.53
ileS,WP_124800867.1,1,39.0,36.69
NA,WP_089770723.1,1,40.0,37.61
NA,WP_124800868.1,1,34.0,29.17
NA,WP_089770713.1,1,35.0,38.89
NA,WP_124800869.1,1,40.0,41.46
trpS,WP_124800870.1,1,42.0,41.21
NA,WP_124800871.1,1,36.0,31.63
NA,WP_124800872.1,1,38.0,40.32
NA,WP_164467764.1,1,28.000000000000004,27.78
NA,WP_124800873.1,1,35.0,39.04
NA,WP_231121142.1,1,37.0,35.66
metK,WP_089770719.1,1,40.0,32.61
NA,WP_124800875.1,1,37.0,37.66
NA,WP_124800876.1,1,41.0,37.17
NA,WP_124800877.1,1,41.0,42.05
aat,WP_124800878.1,1,36.0,29.13
NA,WP_089770763.1,1,36.0,28.21
