gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_120771022.1,2,37.0,32.58
NA,WP_120771023.1,1,36.0,29.81
NA,WP_120771024.1,1,39.0,15.85
NA,WP_120771025.1,1,42.0,34.68
NA,WP_120771026.1,1,40.0,30.37
NA,WP_120771027.1,1,39.0,25.97
cysK,WP_120771028.1,1,41.0,19.4
NA,WP_120771029.1,1,42.0,29.65
NA,WP_276116979.1,1,49.0,40.0
NA,WP_120773233.1,1,39.0,27.5
NA,WP_240424452.1,1,42.0,33.49
recU,WP_120771031.1,1,36.0,27.59
NA,WP_120771032.1,1,28.999999999999996,21.82
spx,WP_120773234.1,1,38.0,31.67
NA,WP_120771033.1,1,37.0,35.37
NA,WP_240424453.1,1,34.0,23.46
NA,WP_240424544.1,1,32.0,26.09
tig,WP_120771035.1,1,38.0,20.57
dnaG,WP_120771036.1,1,35.0,28.13
rpoD,WP_240424518.1,1,41.0,31.65
NA,WP_120771038.1,1,34.0,25.25
NA,WP_120771039.1,1,42.0,30.42
NA,WP_162930776.1,1,41.0,28.06
NA,WP_120771041.1,1,35.0,21.09
gap,WP_120771042.1,1,42.0,28.05
def,WP_120773236.1,1,41.0,33.66
NA,WP_120771043.1,1,38.0,25.88
NA,WP_276116981.1,1,31.0,37.14
NA,WP_120771044.1,1,36.0,31.21
uvrB,WP_120771045.1,1,44.0,39.39
NA,WP_162930778.1,1,35.0,22.05
NA,WP_120771046.1,1,40.0,33.52
fabZ,WP_120771047.1,1,36.0,23.94
fabI,WP_120771048.1,1,41.0,24.48
NA,WP_120771049.1,1,40.0,34.81
yidC,WP_120771050.1,1,41.0,33.44
NA,WP_120771051.1,1,39.0,30.33
NA,WP_120771052.1,1,41.0,37.43
coaC,WP_120771053.1,1,42.0,35.5
NA,WP_120771054.1,1,39.0,33.03
NA,WP_120773238.1,1,40.0,21.15
NA,WP_120771055.1,1,37.0,28.12
NA,WP_120771056.1,1,32.0,23.02
NA,WP_120771057.1,1,36.0,25.12
NA,WP_120771058.1,1,32.0,24.55
NA,WP_120771059.1,1,37.0,22.95
NA,WP_120771060.1,1,35.0,27.72
NA,WP_120771061.1,1,41.0,32.35
NA,WP_120771062.1,1,39.0,39.44
prfA,WP_120771063.1,1,42.0,37.93
NA,WP_120771064.1,1,33.0,29.33
NA,WP_120771065.1,1,42.0,37.84
prmC,WP_120771066.1,1,40.0,32.95
NA,WP_120771067.1,1,36.0,27.27
NA,WP_120771068.1,1,37.0,33.33
NA,WP_120771069.1,1,38.0,29.84
NA,WP_120771070.1,1,40.0,25.31
NA,WP_120771071.1,1,36.0,25.13
NA,WP_120771072.1,1,40.0,35.23
NA,WP_120771073.1,1,40.0,30.67
NA,WP_120771074.1,1,40.0,41.84
NA,WP_120771075.1,1,39.0,21.58
NA,WP_120771076.1,1,43.0,36.73
NA,WP_240424455.1,1,37.0,29.26
NA,WP_120771078.1,1,43.0,33.45
NA,WP_120771079.1,1,34.0,28.82
NA,WP_162930779.1,1,38.0,33.94
NA,WP_240424456.1,1,38.0,40.0
NA,WP_120771081.1,1,39.0,42.86
hprK,WP_120771082.1,1,40.0,31.33
lgt,WP_120771083.1,1,42.0,32.69
NA,WP_120771084.1,1,37.0,26.15
NA,WP_120771085.1,1,35.0,19.89
thiM,WP_120771086.1,1,39.0,25.73
NA,WP_120771087.1,1,36.0,28.21
thiD,WP_120771088.1,1,39.0,27.24
thiE,WP_120771089.1,1,38.0,21.36
NA,WP_120771090.1,1,37.0,30.15
NA,WP_120771091.1,1,38.0,28.48
NA,WP_120771092.1,1,42.0,33.33
NA,WP_120771093.1,1,39.0,24.49
NA,WP_120771094.1,1,37.0,30.66
miaA,WP_120771095.1,1,39.0,27.62
NA,WP_120771096.1,1,35.0,24.41
NA,WP_120771097.1,1,39.0,29.51
rnz,WP_120771098.1,1,41.0,27.85
NA,WP_120771099.1,1,37.0,27.93
recJ,WP_120771100.1,1,39.0,32.37
NA,WP_120771101.1,1,44.0,32.3
rpoE,WP_120771103.1,1,38.0,24.29
mltG,WP_120771104.1,1,38.0,28.98
greA,WP_120771105.1,1,38.0,19.05
NA,WP_120773240.1,1,39.0,30.5
NA,WP_120771106.1,1,39.0,25.28
raiA,WP_120771107.1,1,38.0,22.73
eno,WP_057720322.1,1,42.0,28.07
NA,WP_162930782.1,1,33.0,25.34
pflB,WP_120771108.1,1,40.0,29.82
coaE,WP_120773242.1,1,37.0,26.8
NA,WP_120771109.1,1,40.0,33.58
rpmG,WP_120771110.1,1,34.0,25.64
NA,WP_120771111.1,1,40.0,31.02
NA,WP_120771112.1,1,36.0,26.79
acnA,WP_120771113.1,1,39.0,27.77
NA,WP_120771114.1,1,40.0,31.58
NA,WP_162930919.1,1,30.0,26.35
NA,WP_120773244.1,1,42.0,34.4
NA,WP_120771116.1,1,41.0,33.5
NA,WP_120771117.1,1,38.0,35.26
NA,WP_120771118.1,1,47.0,51.14
NA,WP_120771119.1,1,40.0,36.97
NA,WP_120771120.1,1,42.0,42.26
rnmV,WP_120771121.1,1,40.0,31.32
NA,WP_120771122.1,1,40.0,33.33
rsmA,WP_120773245.1,1,38.0,34.04
NA,WP_120771123.1,1,39.0,29.45
efp,WP_120771124.1,1,37.0,25.0
NA,WP_120771125.1,1,39.0,24.19
