gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_038557541.1,1,33.0,21.89
NA,WP_038557544.1,1,35.0,28.82
NA,WP_038557546.1,1,34.0,35.2
NA,WP_038557548.1,1,45.0,38.62
NA,WP_038557550.1,1,43.0,41.37
NA,WP_038557552.1,1,43.0,44.76
NA,WP_038557554.1,1,39.0,29.51
NA,WP_038557556.1,1,48.0,47.6
NA,WP_038557558.1,1,49.0,40.13
NA,WP_038557560.1,1,34.0,27.33
NA,WP_038557561.1,1,46.0,39.07
NA,WP_038557563.1,1,45.0,42.96
NA,WP_038557564.1,1,45.0,41.63
NA,WP_038557565.1,1,46.0,42.32
NA,WP_038557567.1,1,47.0,43.51
NA,WP_084160581.1,1,45.0,50.0
sigW,WP_038557568.1,1,49.0,58.43
NA,WP_038557570.1,1,47.0,45.41
cdaA,WP_038565321.1,1,48.0,55.85
NA,WP_051747889.1,1,47.0,44.05
glmM,WP_038557571.1,1,45.0,41.36
glmS,WP_038557573.1,1,45.0,41.46
NA,WP_038557574.1,1,28.000000000000004,22.46
NA,WP_051747890.1,1,31.0,27.69
NA,WP_245609691.1,1,46.0,44.61
NA,WP_038557578.1,1,44.0,45.77
NA,WP_038557580.1,1,43.0,44.85
NA,WP_245609692.1,1,43.0,47.77
NA,WP_038557583.1,1,43.0,45.22
NA,WP_038557585.1,1,43.0,37.5
NA,WP_038557587.1,1,46.0,44.56
NA,WP_038557589.1,1,39.0,35.96
NA,WP_038557595.1,1,45.0,39.54
NA,WP_038557596.1,1,48.0,41.69
NA,WP_038557598.1,1,33.0,17.07
NA,WP_038557601.1,1,40.0,33.55
NA,WP_038557602.1,1,41.0,49.47
NA,WP_038557604.1,1,44.0,44.59
NA,WP_038557605.1,1,40.0,34.43
NA,WP_038557607.1,1,45.0,42.74
NA,WP_038565330.1,1,45.0,48.42
NA,WP_038557608.1,1,44.0,45.24
NA,WP_038557610.1,1,45.0,34.74
NA,WP_038557611.1,1,44.0,44.59
NA,WP_038557613.1,1,43.0,38.7
NA,WP_038557614.1,1,44.0,43.51
NA,WP_038557617.1,1,45.0,34.02
NA,WP_038557618.1,1,45.0,36.65
NA,WP_084160585.1,1,50.0,46.99
NA,WP_038557621.1,1,45.0,40.35
NA,WP_038557622.1,1,44.0,41.61
NA,WP_051747891.1,1,46.0,43.53
NA,WP_038557623.1,1,47.0,42.52
NA,WP_038557625.1,1,49.0,48.75
NA,WP_038557626.1,1,46.0,42.8
NA,WP_038565337.1,1,47.0,58.23
NA,WP_038557627.1,1,47.0,42.65
NA,WP_038557629.1,1,45.0,38.14
NA,WP_038557630.1,1,46.0,41.2
NA,WP_084160589.1,1,42.0,55.0
NA,WP_038557631.1,1,48.0,40.56
NA,WP_038557634.1,1,46.0,41.18
NA,WP_038557636.1,1,41.0,35.46
NA,WP_038557638.1,1,47.0,42.31
NA,WP_038557640.1,1,46.0,48.02
NA,WP_038557641.1,1,44.0,45.73
NA,WP_038557642.1,1,44.0,42.7
NA,WP_038557644.1,1,45.0,46.2
NA,WP_084160591.1,1,40.0,41.3
NA,WP_038557646.1,1,43.0,49.65
NA,WP_051747892.1,1,47.0,41.33
NA,WP_038557648.1,1,44.0,39.62
NA,WP_038557650.1,1,39.0,28.69
NA,WP_051747893.1,1,41.0,44.6
NA,WP_038557652.1,1,45.0,47.86
NA,WP_038557653.1,1,49.0,47.41
NA,WP_038557655.1,1,43.0,42.62
NA,WP_038557656.1,1,42.0,43.48
NA,WP_038557658.1,1,50.0,42.16
NA,WP_038557659.1,1,37.0,43.14
NA,WP_038557661.1,1,46.0,47.71
NA,WP_038557662.1,1,43.0,22.22
NA,WP_038557664.1,1,44.0,47.24
NA,WP_051747894.1,1,45.0,42.86
NA,WP_038557665.1,1,49.0,48.54
NA,WP_038557667.1,1,41.0,47.5
NA,WP_038557668.1,1,45.0,46.65
NA,WP_038557670.1,1,45.0,47.83
NA,WP_038557671.1,1,49.0,46.79
NA,WP_038557674.1,1,49.0,45.81
NA,WP_038557677.1,1,50.0,50.19
NA,WP_123921876.1,1,49.0,43.94
NA,WP_038557679.1,1,46.0,44.96
NA,WP_038557680.1,1,49.0,48.62
NA,WP_038557682.1,1,48.0,51.3
NA,WP_038557683.1,1,46.0,44.96
NA,WP_038565351.1,1,56.99999999999999,43.45
NA,WP_038557685.1,1,46.0,40.66
NA,WP_038557686.1,1,41.0,31.01
NA,WP_038557688.1,1,45.0,36.81
NA,WP_051747896.1,1,43.0,38.87
chrA,WP_038557691.1,1,46.0,39.84
NA,WP_245609693.1,1,45.0,41.3
NA,WP_051747897.1,1,43.0,40.63
NA,WP_038557693.1,1,40.0,40.38
NA,WP_038557694.1,1,46.0,45.22
NA,WP_038557695.1,1,49.0,41.8
psiE,WP_051747899.1,1,38.0,46.32
NA,WP_038557698.1,1,45.0,43.35
NA,WP_038557699.1,1,44.0,45.03
NA,WP_038557700.1,1,46.0,39.83
NA,WP_038557702.1,1,47.0,42.93
NA,WP_038557704.1,1,39.0,36.96
NA,WP_038557707.1,1,44.0,42.13
NA,WP_038557708.1,1,44.0,41.54
NA,WP_038557710.1,1,47.0,39.08
NA,WP_038557712.1,1,43.0,31.64
NA,WP_038557714.1,1,45.0,39.08
NA,WP_038557715.1,1,45.0,39.02
NA,WP_038557717.1,1,35.0,43.86
NA,WP_208596754.1,1,47.0,43.71
NA,WP_038557721.1,1,46.0,37.24
NA,WP_038557722.1,1,40.0,40.0
NA,WP_038557724.1,1,45.0,41.38
NA,WP_038557725.1,1,46.0,55.22
NA,WP_038557728.1,1,48.0,51.69
NA,WP_038557729.1,1,46.0,45.53
NA,WP_038557730.1,1,42.0,42.69
NA,WP_038557731.1,1,45.0,42.36
ptsG,WP_099046348.1,1,47.0,46.02
NA,WP_038557733.1,1,43.0,44.78
NA,WP_038557734.1,1,44.0,47.95
NA,WP_038557735.1,1,43.0,51.57
NA,WP_051747901.1,1,46.0,45.05
NA,WP_038557737.1,1,46.0,43.94
NA,WP_038557738.1,1,43.0,43.44
NA,WP_038557740.1,1,44.0,48.0
NA,WP_038557741.1,1,47.0,48.89
NA,WP_038557742.1,1,46.0,47.86
NA,WP_038557744.1,1,44.0,45.16
NA,WP_038557746.1,1,47.0,49.66
NA,WP_038557749.1,1,49.0,41.11
NA,WP_038557750.1,1,43.0,42.53
NA,WP_084160603.1,1,43.0,42.95
