gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_006340697.1,1,41.0,30.36
NA,WP_006340698.1,1,39.0,32.26
NA,WP_013924056.1,1,41.0,34.38
recA,WP_006340700.1,1,45.0,35.92
NA,WP_013924057.1,1,38.0,28.72
NA,WP_013924058.1,1,43.0,36.4
NA,WP_013924060.1,1,39.0,38.69
NA,WP_006340706.1,1,45.0,26.04
wecB,WP_013924061.1,1,43.0,36.96
NA,WP_013924062.1,1,44.0,35.53
NA,WP_013924063.1,1,44.0,33.98
NA,WP_013924064.1,1,40.0,34.28
NA,WP_013924065.1,1,38.0,29.53
NA,WP_013924066.1,1,40.0,33.33
NA,WP_013924067.1,1,39.0,30.38
NA,WP_013924068.1,1,39.0,36.21
NA,WP_013924069.1,1,38.0,34.85
NA,WP_013924070.1,1,40.0,33.33
NA,WP_013924071.1,1,37.0,34.96
NA,WP_148265753.1,1,38.0,31.95
NA,WP_013924073.1,1,40.0,33.2
NA,WP_013924074.1,1,40.0,33.33
NA,WP_013924075.1,1,38.0,32.98
NA,WP_013924076.1,1,39.0,35.6
NA,WP_013924077.1,1,42.0,36.16
NA,WP_006340725.1,1,35.0,31.48
NA,WP_013924078.1,1,44.0,37.18
NA,WP_013924079.1,1,40.0,35.02
NA,WP_013924080.1,1,38.0,39.2
NA,WP_006340729.1,1,41.0,36.23
NA,WP_013924081.1,1,45.0,38.2
frr,WP_006340731.1,1,42.0,32.76
pyrH,WP_013924082.1,1,42.0,37.77
ung,WP_006340734.1,1,40.0,32.75
NA,WP_006340735.1,1,43.0,33.77
NA,WP_013924083.1,1,36.0,31.43
NA,WP_013924084.1,1,43.0,42.58
NA,WP_013924085.1,1,40.0,35.48
NA,WP_013924087.1,1,44.0,36.77
NA,WP_013924088.1,1,32.0,24.74
NA,WP_013924089.1,1,36.0,29.18
NA,WP_013924090.1,1,35.0,27.64
NA,WP_013924092.1,1,33.0,25.0
NA,WP_013924093.1,1,36.0,31.38
NA,WP_013924096.1,1,41.0,37.58
sdhA,WP_006341910.1,1,43.0,37.08
sdhB,WP_006341909.1,1,44.0,39.36
NA,WP_013924097.1,1,39.0,35.32
cyoE,WP_013924098.1,1,41.0,42.49
cyoD,WP_013924099.1,1,38.0,37.84
cyoC,WP_013924100.1,1,41.0,45.5
cyoB,WP_013924101.1,1,44.0,43.89
cyoA,WP_006341902.1,1,39.0,38.93
NA,WP_013924107.1,1,43.0,39.72
NA,WP_013924108.1,1,37.0,38.24
NA,WP_148265707.1,1,43.0,42.25
uvrB,WP_013924110.1,1,44.0,38.18
trpS,WP_226987524.1,1,42.0,40.92
NA,WP_006341673.1,1,43.0,40.15
NA,WP_013924112.1,1,42.0,42.57
NA,WP_013924113.1,1,37.0,33.4
NA,WP_158308653.1,1,37.0,34.38
NA,WP_006340755.1,1,42.0,41.18
NA,WP_013924115.1,1,32.0,31.12
NA,WP_013924116.1,1,31.0,26.51
NA,WP_013924117.1,1,43.0,37.7
NA,WP_006340752.1,1,42.0,39.09
NA,WP_013924118.1,1,39.0,34.72
NA,WP_013924119.1,1,40.0,31.74
NA,WP_013924120.1,1,38.0,33.1
NA,WP_013924121.1,1,39.0,34.89
NA,WP_013924122.1,1,43.0,35.19
NA,WP_013924123.1,1,42.0,34.65
NA,WP_013924124.1,1,42.0,36.1
NA,WP_006340744.1,1,42.0,38.14
NA,WP_013924125.1,1,36.0,27.78
NA,WP_013924126.1,1,39.0,27.96
recD,WP_006341231.1,1,39.0,32.14
NA,WP_013924127.1,1,39.0,33.25
NA,WP_013924128.1,1,41.0,36.92
NA,WP_006341228.1,1,43.0,31.79
NA,WP_013924129.1,1,45.0,30.86
NA,WP_006341226.1,1,38.0,27.95
NA,WP_013924131.1,1,35.0,19.05
NA,WP_039378073.1,1,38.0,38.79
NA,WP_013924133.1,1,33.0,30.0
NA,WP_013924134.1,1,40.0,30.48
NA,WP_006341220.1,1,45.0,35.14
NA,WP_006341219.1,1,37.0,31.7
NA,WP_013924140.1,1,41.0,32.6
NA,WP_006341532.1,1,41.0,30.57
NA,WP_006341531.1,1,38.0,38.97
murI,WP_006341530.1,1,43.0,39.11
NA,WP_013924142.1,1,35.0,22.74
NA,WP_006341527.1,1,40.0,38.39
NA,WP_013924146.1,1,41.0,33.76
NA,WP_013924147.1,1,41.0,34.59
NA,WP_006341523.1,1,36.0,31.2
NA,WP_006341522.1,1,40.0,36.72
NA,WP_006341520.1,1,41.0,32.35
NA,WP_006341519.1,1,42.0,39.72
NA,WP_006341517.1,1,41.0,31.72
NA,WP_006341516.1,1,51.0,32.65
NA,WP_006341514.1,1,36.0,33.79
prfB,WP_198408058.1,2,43.0,38.48
NA,WP_006341511.1,1,41.0,32.7
NA,WP_013924152.1,1,38.0,34.74
NA,WP_006341509.1,1,42.0,34.32
NA,WP_006341508.1,1,38.0,30.17
NA,WP_013924153.1,1,35.0,29.15
NA,WP_006341505.1,1,37.0,43.42
NA,WP_006341503.1,1,40.0,31.94
NA,WP_013924156.1,1,34.0,25.64
NA,WP_013924157.1,1,39.0,35.59
NA,WP_013924158.1,1,39.0,32.26
sctR,WP_226987523.1,1,43.0,39.74
sctS,WP_006341497.1,1,41.0,45.78
