gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_207326656.1,2,42.0,38.5
dnaN,WP_005711096.1,1,42.0,35.47
NA,WP_005711095.1,1,41.0,39.88
yggU,WP_005711093.1,1,41.0,35.23
ccsA,WP_005711091.1,1,39.0,35.6
NA,WP_010786428.1,1,39.0,35.04
ffh,WP_021115356.1,1,45.0,45.15
mioC,WP_021114332.1,1,46.0,39.13
NA,WP_207326657.1,1,49.0,27.53
cysE,WP_075592306.1,1,43.0,33.59
gpsA,WP_021116543.1,1,45.0,34.56
arcA,WP_021110147.1,1,40.0,37.12
cdd,WP_044009290.1,1,41.0,31.6
folB,WP_075592308.1,1,40.0,30.19
plsY,WP_021110150.1,1,43.0,32.47
rsmG,WP_075592309.1,1,42.0,41.24
NA,WP_010786418.1,1,36.0,34.56
mnmG,WP_160414973.1,1,45.0,37.36
NA,WP_207326658.1,1,38.0,26.36
NA,WP_021111420.1,1,36.0,24.76
NA,WP_005710916.1,1,31.0,13.21
NA,WP_021111421.1,1,36.0,16.28
fucI,WP_207326659.1,1,46.0,38.3
fucK,WP_207326660.1,1,47.0,45.42
fucU,WP_207326661.1,1,45.0,38.69
fucA,WP_016528625.1,1,42.0,36.06
NA,WP_021110161.1,1,35.0,20.22
iolC,WP_016528624.1,1,40.0,25.12
iolD,WP_207326662.1,1,40.0,24.88
iolE,WP_005710933.1,1,39.0,25.61
iolG,WP_160427194.1,1,40.0,27.22
NA,WP_160414234.1,1,39.0,33.49
NA,WP_207326663.1,1,40.0,33.72
NA,WP_035492498.1,1,41.0,28.26
NA,WP_075621066.1,1,38.0,27.27
NA,WP_159179830.1,1,39.0,39.47
NA,WP_075621077.1,1,42.0,38.67
NA,WP_159179831.1,1,47.0,48.04
NA,WP_207326664.1,1,40.0,33.63
NA,WP_021115449.1,1,40.0,30.05
NA,WP_071610854.1,1,43.0,30.52
NA,WP_021110304.1,1,38.0,29.91
NA,WP_207326665.1,1,43.0,31.88
NA,WP_207326666.1,1,41.0,33.7
NA,WP_207326667.1,1,39.0,32.81
NA,WP_207326668.1,1,43.0,33.16
NA,WP_020997281.1,1,42.0,41.82
NA,WP_005711904.1,1,44.0,41.28
NA,WP_005711906.1,1,40.0,33.91
NA,WP_005711907.1,1,44.0,35.87
NA,WP_005711909.1,1,41.0,38.0
NA,WP_207326669.1,1,45.0,42.72
NA,WP_016057773.1,1,42.0,32.21
NA,WP_207326670.1,1,44.0,33.33
NA,WP_016057771.1,1,45.0,41.95
NA,WP_207326671.1,1,46.0,42.41
NA,WP_207326672.1,1,43.0,36.55
NA,WP_207326673.1,1,38.0,28.21
NA,WP_207326674.1,1,45.0,41.78
terL,WP_207326840.1,1,47.0,46.88
NA,WP_021115430.1,1,45.0,41.88
NA,WP_160420074.1,1,44.0,36.0
NA,WP_005711935.1,1,38.0,38.96
NA,WP_016528482.1,1,48.0,32.56
NA,WP_005711941.1,1,47.0,41.79
NA,WP_075620985.1,1,47.0,41.52
NA,WP_005711943.1,1,42.0,39.39
NA,WP_026916638.1,1,37.0,21.9
NA,WP_035520353.1,1,42.0,45.04
NA,WP_207326675.1,1,46.0,43.82
NA,WP_005711951.1,1,39.0,27.59
NA,WP_207326676.1,1,42.0,43.82
NA,WP_207326677.1,1,39.0,38.83
NA,WP_207326678.1,1,45.0,53.85
NA,WP_160434766.1,1,48.0,45.73
NA,WP_160429187.1,1,43.0,45.45
NA,WP_005711959.1,1,51.0,51.85
NA,WP_016057750.1,1,41.0,42.96
NA,WP_075605987.1,1,42.0,29.77
NA,WP_081378464.1,1,45.0,44.2
NA,WP_035525371.1,1,33.0,20.25
NA,WP_035525374.1,1,35.0,26.07
NA,WP_207326679.1,1,37.0,28.89
NA,WP_010786402.1,1,36.0,20.27
NA,WP_112063146.1,1,40.0,21.66
iolB,WP_010786400.1,1,39.0,25.57
NA,WP_005710954.1,1,40.0,38.46
tusC,WP_021110171.1,1,41.0,30.7
tusD,WP_075620802.1,1,44.0,29.63
NA,WP_075620801.1,1,41.0,40.19
fkpA,WP_010786395.1,1,38.0,25.22
NA,WP_015939828.1,1,41.0,33.85
NA,WP_005710967.1,1,32.0,22.64
mtnN,WP_207326680.1,1,41.0,31.22
rimO,WP_035493886.1,1,41.0,32.95
glyQ,WP_005710973.1,1,46.0,46.92
NA,WP_010786391.1,1,46.0,43.04
NA,WP_075605467.1,1,28.999999999999996,23.88
NA,WP_010786389.1,1,38.0,35.09
NA,WP_005710981.1,1,33.0,20.95
glyS,WP_207326681.1,1,45.0,41.24
NA,WP_005710996.1,1,41.0,39.08
xerC,WP_207326682.1,1,43.0,38.14
rpoH,WP_005711000.1,1,35.0,24.51
NA,WP_016057791.1,1,41.0,43.14
NA,WP_207326683.1,1,45.0,27.88
NA,WP_035495893.1,1,42.0,33.99
NA,WP_021115109.1,1,42.0,31.03
NA,WP_080697472.1,1,39.0,25.28
dprA,WP_207326684.1,1,45.0,40.16
def,WP_005712670.1,1,40.0,36.02
rfaD,WP_035525215.1,1,41.0,38.8
NA,WP_010787341.1,1,37.0,18.42
NA,WP_021110192.1,1,36.0,23.91
NA,WP_010787342.1,1,31.0,16.28
NA,WP_016527749.1,1,42.0,44.26
NA,WP_005713045.1,1,35.0,37.5
NA,WP_207326685.1,1,46.0,44.65
NA,WP_010787351.1,1,45.0,38.28
NA,WP_075592434.1,1,44.0,43.93
NA,WP_202115716.1,1,44.0,37.29
NA,WP_016527735.1,1,43.0,41.22
NA,WP_207326686.1,1,31.0,20.74
NA,WP_207326841.1,1,38.0,30.98
selA,WP_207326687.1,1,43.0,36.95
selB,WP_207326688.1,1,44.0,40.69
rpoB,WP_010787245.1,1,44.0,37.96
rpoC,WP_005712650.1,1,44.0,35.54
recF,WP_005712648.1,1,38.0,28.98
NA,WP_005712645.1,1,35.0,24.53
trmB,WP_010787244.1,1,42.0,33.33
NA,WP_010787243.1,1,42.0,30.29
rep,WP_207326689.1,1,44.0,45.93
NA,WP_021114366.1,1,34.0,21.56
NA,WP_005712633.1,1,36.0,19.67
NA,WP_005712630.1,1,39.0,29.67
xerD,WP_021114300.1,1,40.0,29.86
NA,WP_021114301.1,1,37.0,32.95
nudF,WP_021114302.1,1,43.0,36.95
psiE,WP_035496350.1,1,28.000000000000004,23.85
NA,WP_160429011.1,1,33.0,26.5
rplL,WP_005714464.1,1,42.0,19.47
rplJ,WP_005714465.1,1,43.0,23.38
coaD,WP_005713743.1,1,42.0,38.36
waaA,WP_160415208.1,1,40.0,30.38
dnaE,WP_075592638.1,1,44.0,40.82
NA,WP_005713748.1,1,31.0,26.09
NA,WP_010787038.1,1,31.0,16.77
lptG,WP_010787037.1,1,43.0,43.64
lptF,WP_207326842.1,1,41.0,38.66
pepA,WP_160405349.1,1,45.0,41.31
yegQ,WP_075605706.1,1,43.0,40.0
NA,WP_207326690.1,1,41.0,37.54
menB,WP_010787032.1,1,46.0,39.86
NA,WP_207326691.1,1,39.0,32.21
NA,WP_010787029.1,1,39.0,25.81
NA,WP_041603155.1,1,32.0,29.52
NA,WP_010787027.1,1,34.0,23.91
rplQ,WP_005711970.1,1,41.0,23.53
rpoA,WP_005711973.1,1,42.0,25.94
rpsD,WP_005711975.1,1,40.0,24.87
rpsK,WP_005711978.1,1,45.0,25.83
rpsM,WP_005599322.1,1,43.0,26.61
rpmJ,WP_005705974.1,1,39.0,17.86
secY,WP_005711980.1,1,37.0,26.91
rplO,WP_010787026.1,1,40.0,15.56
rpmD,WP_005711983.1,1,41.0,28.0
rpsE,WP_005711985.1,1,44.0,26.75
rplR,WP_005711987.1,1,44.0,22.22
rplF,WP_005711990.1,1,42.0,26.79
