gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_012763643.1,1,53.0,62.03
dnaN,WP_012763644.1,1,57.99999999999999,69.19
recF,WP_012763645.1,1,57.99999999999999,70.17
gyrB,WP_012763646.1,1,56.99999999999999,70.65
NA,WP_012763647.1,1,61.0,74.03
NA,WP_012763648.1,1,35.0,31.65
NA,WP_012763649.1,1,40.0,40.59
NA,WP_012763650.1,1,39.0,35.03
rsmJ,WP_023638076.1,1,66.0,73.44
prlC,WP_012763652.1,1,60.0,74.66
NA,WP_012763653.1,1,64.0,77.65
NA,WP_012763654.1,1,60.0,70.85
gorA,WP_012763655.1,1,59.0,70.75
NA,WP_012763656.1,1,37.0,36.57
NA,WP_226376614.1,1,55.00000000000001,62.54
NA,WP_012763658.1,1,48.0,50.3
NA,WP_012763659.1,1,57.99999999999999,77.67
NA,WP_012763660.1,1,53.0,68.71
NA,WP_012763661.1,1,61.0,72.36
NA,WP_012763662.1,1,55.00000000000001,61.97
NA,WP_012763663.1,1,32.0,23.61
NA,WP_012763664.1,1,36.0,23.68
glk,WP_012763666.1,1,60.0,70.29
NA,WP_012763667.1,1,59.0,68.87
NA,WP_012763668.1,1,65.0,77.07
NA,WP_026595087.1,1,67.0,76.85
NA,WP_012763670.1,1,65.0,78.77
NA,WP_012763671.1,1,67.0,82.91
NA,WP_012763672.1,1,64.0,81.79
NA,WP_012763673.1,1,59.0,73.98
NA,WP_012763674.1,1,48.0,50.6
NA,WP_196805862.1,1,64.0,78.95
NA,WP_012763676.1,1,61.0,74.77
NA,WP_012763677.1,1,62.0,78.07
NA,WP_012763678.1,1,65.0,83.75
NA,WP_012763679.1,1,65.0,84.14
NA,WP_012763680.1,1,59.0,78.59
NA,WP_226376615.1,1,61.0,74.89
NA,WP_012763682.1,1,64.0,73.75
NA,WP_264175895.1,1,68.0,71.43
NA,WP_012763683.1,1,61.0,75.77
NA,WP_012763684.1,1,52.0,63.37
NA,WP_012763686.1,1,65.0,75.59
preA,WP_012763687.1,1,62.0,79.67
hydA,WP_023638081.1,1,63.0,77.38
NA,WP_012763689.1,1,63.0,78.04
NA,WP_012763690.1,1,56.99999999999999,64.58
NA,WP_012763691.1,1,59.0,70.38
NA,WP_012763692.1,1,60.0,75.0
NA,WP_012763694.1,1,56.99999999999999,72.52
NA,WP_012763695.1,1,38.0,30.3
NA,WP_012763696.1,1,34.0,28.64
ghrB,WP_012763697.1,1,62.0,77.24
NA,WP_012763698.1,1,60.0,64.38
NA,WP_012763699.1,1,56.00000000000001,65.0
NA,WP_023638082.1,1,56.00000000000001,73.45
NA,WP_012763701.1,1,63.0,81.08
glyQ,WP_012763702.1,1,59.0,75.59
glyS,WP_012763703.1,1,62.0,77.65
NA,WP_012763704.1,1,47.0,53.68
ugpC,WP_012763705.1,1,56.00000000000001,67.61
NA,WP_012763706.1,1,59.0,73.33
NA,WP_012763707.1,1,61.0,68.68
NA,WP_012763708.1,1,63.0,75.65
NA,WP_012763709.1,1,56.99999999999999,71.85
NA,WP_012763710.1,1,55.00000000000001,73.53
NA,WP_012763711.1,1,57.99999999999999,83.27
NA,WP_012763712.1,1,54.0,67.84
