gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_038272512.1,1,47.0,46.91
NA,WP_038272513.1,1,42.0,33.77
NA,WP_114867127.1,1,54.0,51.37
NA,WP_038273069.1,1,46.0,47.62
NA,WP_230428213.1,1,48.0,40.27
NA,WP_230428212.1,1,56.00000000000001,49.28
NA,WP_038273075.1,1,53.0,59.32
NA,WP_230428211.1,1,52.0,53.68
NA,WP_038273076.1,1,53.0,56.45
NA,WP_160165233.1,1,42.0,44.74
NA,WP_038273077.1,1,40.0,35.09
NA,WP_162814095.1,1,43.0,33.33
NA,WP_160165236.1,1,45.0,50.0
NA,WP_230428286.1,1,52.0,48.0
NA,WP_038273164.1,1,56.00000000000001,56.25
NA,WP_038273166.1,1,46.0,47.96
NA,WP_069636227.1,1,56.99999999999999,57.1
NA,WP_038273089.1,1,48.0,49.04
NA,WP_152536670.1,1,56.00000000000001,52.02
NA,WP_051482398.1,1,49.0,41.27
NA,WP_230428208.1,1,52.0,55.0
NA,WP_038273093.1,1,46.0,43.18
NA,WP_038273097.1,1,52.0,50.13
NA,WP_114867130.1,1,41.0,39.22
NA,WP_152536640.1,1,40.0,29.87
queC,WP_038271631.1,1,56.00000000000001,55.87
aspS,WP_038271663.1,1,55.00000000000001,58.28
NA,WP_038271629.1,1,56.00000000000001,52.26
NA,WP_038271625.1,1,56.00000000000001,64.92
NA,WP_038271621.1,1,48.0,48.46
NA,WP_152536639.1,1,53.0,50.0
xth,WP_038271660.1,1,59.0,66.4
NA,WP_038271618.1,1,61.0,61.66
rsmG,WP_038271616.1,1,59.0,64.04
tkt,WP_038271614.1,1,56.00000000000001,60.27
NA,WP_081755459.1,1,55.00000000000001,65.23
msrA,WP_038271658.1,1,52.0,48.79
NA,WP_038271655.1,1,48.0,49.03
NA,WP_038271652.1,1,50.0,57.02
dcp,WP_038271650.1,1,50.0,57.61
NA,WP_230428287.1,1,46.0,47.62
folC,WP_038271605.1,1,56.00000000000001,54.37
NA,WP_038271603.1,1,54.0,49.85
NA,WP_081755458.1,1,50.0,49.4
purF,WP_038271601.1,1,52.0,52.1
NA,WP_051482345.1,1,49.0,50.31
NA,WP_038271598.1,1,53.0,44.64
NA,WP_038271596.1,1,52.0,49.34
NA,WP_038271594.1,1,52.0,53.8
NA,WP_038271592.1,1,51.0,52.69
NA,WP_038271642.1,1,47.0,50.39
gshB,WP_038271589.1,1,53.0,55.74
NA,WP_038271586.1,1,56.99999999999999,55.32
NA,WP_038271584.1,1,34.0,30.77
glyS,WP_038271582.1,1,54.0,55.85
glyQ,WP_038271580.1,1,55.00000000000001,66.78
NA,WP_038271579.1,1,56.99999999999999,59.89
NA,WP_152536638.1,1,59.0,58.46
NA,WP_051482343.1,1,61.0,58.56
NA,WP_160165192.1,1,52.0,61.9
NA,WP_038271578.1,1,66.0,73.73
NA,WP_152536635.1,1,53.0,53.12
NA,WP_038271576.1,1,61.0,69.73
NA,WP_230428214.1,1,59.0,65.55
NA,WP_038271575.1,1,56.99999999999999,65.65
NA,WP_038271574.1,1,54.0,55.67
NA,WP_038271638.1,1,61.0,67.52
NA,WP_152536634.1,1,57.99999999999999,57.14
purH,WP_038271569.1,1,59.0,69.5
purD,WP_038271566.1,1,62.0,66.9
NA,WP_152536633.1,1,52.0,56.72
NA,WP_267903149.1,1,59.0,63.64
NA,WP_152536632.1,1,56.00000000000001,55.02
NA,WP_152536631.1,1,52.0,53.76
yccS,WP_230428288.1,1,54.0,60.0
NA,WP_051482342.1,1,49.0,54.17
ampE,WP_038271558.1,1,56.00000000000001,58.33
NA,WP_114867132.1,1,53.0,53.27
folE,WP_038273009.1,1,55.00000000000001,59.16
NA,WP_160199342.1,1,52.0,47.76
NA,WP_038273004.1,1,55.00000000000001,65.03
rlmB,WP_038273001.1,1,60.0,62.08
rnr,WP_038272997.1,1,57.99999999999999,64.35
NA,WP_114867133.1,1,57.99999999999999,65.0
NA,WP_038272608.1,1,56.00000000000001,70.71
NA,WP_038272606.1,1,60.0,68.06
NA,WP_038272603.1,1,68.0,67.74
NA,WP_051482374.1,1,66.0,74.4
NA,WP_038272601.1,1,60.0,72.33
NA,WP_200866213.1,1,61.0,67.54
NA,WP_038272599.1,1,48.0,51.65
NA,WP_230428215.1,1,52.0,56.14
NA,WP_152536656.1,1,42.0,50.57
NA,WP_038272593.1,1,44.0,43.75
NA,WP_038272591.1,1,48.0,37.88
NA,WP_201745808.1,1,50.0,60.98
NA,WP_201745809.1,1,44.0,46.3
NA,WP_230428216.1,1,50.0,51.71
NA,WP_114867135.1,1,48.0,42.51
NA,WP_038272586.1,1,51.0,50.51
NA,WP_038272583.1,1,61.0,63.0
NA,WP_038272582.1,1,60.0,65.64
ppa,WP_038272580.1,1,54.0,67.46
trxA,WP_038272574.1,1,55.00000000000001,59.57
NA,WP_038272571.1,1,61.0,68.23
leuS,WP_038272610.1,1,56.99999999999999,65.63
lptE,WP_038272569.1,1,56.00000000000001,60.73
holA,WP_114867136.1,1,56.99999999999999,58.38
nadD,WP_038273039.1,1,59.0,60.56
rsfS,WP_038273036.1,1,54.0,63.71
NA,WP_114867137.1,1,47.0,56.25
NA,WP_267903150.1,1,57.99999999999999,57.58
mltB,WP_038273033.1,1,54.0,59.12
NA,WP_038273031.1,1,56.00000000000001,58.91
NA,WP_038273050.1,1,48.0,53.37
NA,WP_038273029.1,1,51.0,57.14
NA,WP_230428217.1,1,55.00000000000001,47.22
NA,WP_038273027.1,1,40.0,30.77
NA,WP_038273025.1,1,39.0,33.33
NA,WP_267903151.1,1,66.0,54.55
NA,WP_038273048.1,1,45.0,42.37
NA,WP_081755493.1,1,43.0,43.38
NA,WP_051482393.1,1,43.0,39.64
NA,WP_230428218.1,1,36.0,28.0
NA,WP_160165232.1,1,59.0,45.24
NA,WP_038273019.1,1,41.0,38.02
NA,WP_114867139.1,1,55.00000000000001,56.79
NA,WP_038273182.1,1,42.0,38.73
NA,WP_038273185.1,1,43.0,36.84
NA,WP_038273188.1,1,45.0,39.17
NA,WP_230428219.1,1,53.0,55.74
NA,WP_160165238.1,1,56.00000000000001,40.0
NA,WP_038273239.1,1,45.0,41.32
NA,WP_114867141.1,1,43.0,41.0
NA,WP_038273237.1,1,44.0,39.39
NA,WP_114867142.1,1,62.0,71.53
NA,WP_114867143.1,1,56.99999999999999,71.21
NA,WP_038273126.1,1,56.00000000000001,68.32
NA,WP_038273128.1,1,55.00000000000001,65.27
NA,WP_038273131.1,1,56.99999999999999,70.19
NA,WP_114867144.1,1,56.00000000000001,67.05
NA,WP_230428220.1,1,67.0,82.68
NA,WP_114867153.1,1,66.0,72.48
NA,WP_038273253.1,1,57.99999999999999,56.25
NA,WP_038273255.1,1,56.99999999999999,68.04
