gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_013702821.1,1,62.0,85.65
dnaN,WP_013702822.1,1,66.0,83.81
eno,WP_013702823.1,1,67.0,86.68
pyk,WP_013702824.1,1,70.0,91.38
NA,WP_013702825.1,1,66.0,84.93
NA,WP_013702826.1,1,68.0,91.2
NA,WP_013702827.1,1,73.0,91.6
NA,WP_013702828.1,1,72.0,86.79
NA,WP_013702829.1,1,66.0,97.14
NA,WP_013702830.1,1,68.0,90.32
NA,WP_013702831.1,1,70.0,85.16
ccmA,WP_013702832.1,1,73.0,92.17
NA,WP_013702833.1,1,69.0,93.94
NA,WP_013702834.1,1,75.0,88.49
NA,WP_148230380.1,1,69.0,90.64
NA,WP_013702836.1,1,74.0,89.01
NA,WP_013702837.1,1,73.0,87.32
NA,WP_013702838.1,1,75.0,87.69
NA,WP_013702839.1,1,70.0,87.16
trmB,WP_013702840.1,1,67.0,85.86
NA,WP_013702841.1,1,68.0,95.73
NA,WP_013702842.1,1,64.0,91.57
NA,WP_013702843.1,1,65.0,94.81
menC,WP_013702844.1,1,70.0,92.2
NA,WP_013702845.1,1,70.0,91.39
NA,WP_013702846.1,1,67.0,92.57
NA,WP_041657724.1,1,72.0,89.47
NA,WP_013702848.1,1,72.0,94.0
NA,WP_041657727.1,1,67.0,92.98
NA,WP_013702850.1,1,71.0,89.91
rpmB,WP_013702851.1,1,66.0,93.33
lspA,WP_013702852.1,1,72.0,90.37
NA,WP_013702853.1,1,69.0,91.96
NA,WP_013702854.1,1,70.0,89.5
NA,WP_013702855.1,1,69.0,86.73
prfB,WP_013702856.1,2,68.0,93.85
NA,WP_013702857.1,1,76.0,93.75
NA,WP_013702858.1,1,69.0,94.92
NA,WP_013702859.1,1,72.0,89.95
NA,WP_013702860.1,1,73.0,93.77
NA,WP_013702861.1,1,73.0,93.33
NA,WP_013702862.1,1,74.0,91.39
NA,WP_013702863.1,1,75.0,92.45
trxB,WP_013702864.1,1,66.0,89.94
NA,WP_013702865.1,1,67.0,82.35
NA,WP_052297133.1,1,62.0,73.39
