gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_225578715.1,1,66.0,74.23
NA,WP_040510361.1,1,68.0,75.67
NA,WP_192265167.1,1,68.0,75.44
NA,WP_003617162.1,1,69.0,75.84
ade,WP_192265169.1,1,63.0,71.89
thiC,WP_003617157.1,1,63.0,75.33
NA,WP_003617155.1,1,64.0,76.27
NA,WP_075632451.1,1,66.0,72.76
NA,WP_075595730.1,1,67.0,77.49
NA,WP_003617148.1,1,66.0,74.92
NA,WP_003617145.1,1,63.0,69.23
NA,WP_192265171.1,1,70.0,75.88
NA,WP_192266226.1,1,65.0,73.28
cobW,WP_192265173.1,1,65.0,77.3
cobN,WP_192265175.1,1,70.0,77.82
cobG,WP_192265177.1,1,69.0,74.31
NA,WP_003617130.1,1,68.0,76.47
NA,WP_192265179.1,1,65.0,78.48
cobJ,WP_192265181.1,1,69.0,76.98
NA,WP_192266227.1,1,70.0,80.0
NA,WP_003617122.1,1,67.0,78.02
NA,WP_225578716.1,1,69.0,73.33
cobM,WP_003617118.1,1,66.0,74.27
NA,WP_192265183.1,1,67.0,71.31
NA,WP_062808469.1,1,67.0,75.35
NA,WP_062809746.1,1,72.0,83.95
NA,WP_225578814.1,1,67.0,81.16
NA,WP_192265187.1,1,68.0,69.23
NA,WP_003617106.1,1,60.0,78.93
NA,WP_048858875.1,1,57.99999999999999,73.32
lpdA,WP_075632459.1,1,62.0,73.26
odhB,WP_192265189.1,1,65.0,76.9
NA,WP_075595141.1,1,62.0,77.88
zapE,WP_075624799.1,1,65.0,78.43
NA,WP_040511285.1,1,64.0,75.98
NA,WP_003617089.1,1,74.0,76.19
NA,WP_003617087.1,1,62.0,72.12
zwf,WP_141312647.1,1,63.0,75.1
NA,WP_040511281.1,1,63.0,78.14
sdhC,WP_225578717.1,1,63.0,75.21
sdhD,WP_048858820.1,1,63.0,78.2
sdhA,WP_048858821.1,1,63.0,78.79
NA,WP_048858822.1,1,61.0,76.1
NA,WP_003617078.1,1,61.0,70.14
NA,WP_062808462.1,1,62.0,64.9
lnt,WP_192265196.1,1,64.0,71.24
NA,WP_003617073.1,1,61.0,69.12
NA,WP_192265198.1,1,62.0,69.48
NA,WP_003617070.1,1,56.00000000000001,64.8
NA,WP_003617068.1,1,56.00000000000001,59.72
