gene_name,prot_id,number_of_exons,GC,GC3
mnmG,WP_032991329.1,1,60.0,70.32
rsmG,WP_007734300.1,1,57.99999999999999,67.68
atpI,WP_007734302.1,1,57.99999999999999,70.09
atpB,WP_007734303.1,1,52.0,69.2
atpE,WP_000429386.1,1,59.0,65.71
atpF,WP_007734305.1,1,53.0,55.1
atpH,WP_007734310.1,1,54.0,58.33
atpA,WP_007734311.1,1,56.99999999999999,63.69
atpG,WP_007734312.1,1,53.0,63.67
atpD,WP_004386167.1,1,56.99999999999999,64.75
NA,WP_032967707.1,1,59.0,71.54
NA,WP_235047936.1,1,44.0,53.93
glmU,WP_032967708.1,1,60.0,72.48
glmS,WP_007734321.1,1,60.0,73.33
NA,WP_007734323.1,1,56.00000000000001,65.31
NA,WP_007734327.1,1,49.0,50.51
pstS,WP_007734329.1,1,56.00000000000001,68.25
pstC,WP_007734331.1,1,56.99999999999999,74.19
pstA,WP_007734333.1,1,60.0,80.14
pstB,WP_007734335.1,1,55.00000000000001,73.39
phoU,WP_007754112.1,1,56.99999999999999,74.57
NA,WP_032967709.1,1,62.0,77.72
yieH,WP_038875797.1,1,57.99999999999999,71.23
NA,WP_007732944.1,1,60.0,79.59
NA,WP_007732942.1,1,63.0,79.33
NA,WP_007732939.1,1,63.0,77.5
NA,WP_007732936.1,1,53.0,68.59
NA,WP_007677810.1,1,49.0,57.32
NA,WP_007732933.1,1,47.0,52.98
NA,WP_007732930.1,1,57.99999999999999,77.06
NA,WP_007677815.1,1,53.0,66.67
NA,WP_007677817.1,1,63.0,76.55
NA,WP_007732927.1,1,63.0,75.86
NA,WP_007732925.1,1,62.0,76.19
NA,WP_007732923.1,1,66.0,77.7
NA,WP_007732922.1,1,62.0,75.56
NA,WP_038884298.1,1,62.0,74.76
NA,WP_038884295.1,1,67.0,78.24
NA,WP_007732912.1,1,69.0,78.31
NA,WP_038884293.1,1,63.0,72.34
NA,WP_007732908.1,1,56.00000000000001,70.73
NA,WP_007732906.1,1,44.0,50.0
NA,WP_007732904.1,1,59.0,73.23
ectB,WP_038884290.1,1,61.0,74.82
NA,WP_007732899.1,1,65.0,76.96
NA,WP_007677858.1,1,59.0,70.51
NA,WP_007732897.1,1,51.0,57.47
NA,WP_007732893.1,1,60.0,78.37
NA,WP_234015217.1,1,52.0,52.63
NA,WP_032967659.1,1,46.0,51.11
NA,WP_032967658.1,1,47.0,48.66
mnmE,WP_007732866.1,1,62.0,73.93
yidC,WP_007732862.1,1,56.99999999999999,75.74
yidD,WP_004386003.1,1,54.0,56.58
rnpA,WP_004386002.1,1,56.00000000000001,58.18
rpmH,WP_000831330.1,1,55.00000000000001,40.54
dnaA,WP_038866323.1,1,56.99999999999999,69.25
dnaN,WP_007732851.1,1,60.0,72.83
recF,WP_007732847.1,1,57.99999999999999,67.53
gyrB,WP_032967657.1,1,57.99999999999999,70.31
yidA,WP_007729357.1,1,55.00000000000001,68.2
NA,WP_007729359.1,1,47.0,45.83
dgoR,WP_007729362.1,1,60.0,73.85
NA,WP_007729365.1,1,64.0,73.33
