gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_029141716.1,2,51.0,61.11
dapD,WP_013858913.1,1,51.0,50.66
NA,WP_013858914.1,1,53.0,58.13
yhfH,WP_013858915.1,1,48.0,48.57
rnjA,WP_019721913.1,1,51.0,61.72
NA,WP_019721914.1,1,41.0,47.46
pdhA,WP_029141718.1,1,51.0,54.32
NA,WP_029141719.1,1,52.0,55.06
NA,WP_029141720.1,1,50.0,47.75
lpdA,WP_029141721.1,1,51.0,54.01
NA,WP_029141722.1,1,46.0,46.48
NA,WP_073193828.1,1,42.0,44.44
NA,WP_029141723.1,1,51.0,56.46
NA,WP_013858925.1,1,52.0,59.3
NA,WP_013858927.1,1,49.0,56.85
NA,WP_019721921.1,1,41.0,43.64
NA,WP_029141724.1,1,51.0,57.65
NA,WP_013858930.1,1,53.0,61.54
typA,WP_029141725.1,1,51.0,58.68
NA,WP_029141726.1,1,46.0,52.48
NA,WP_029141727.1,1,49.0,55.89
NA,WP_029141368.1,1,45.0,44.81
NA,WP_013858935.1,1,42.0,41.67
NA,WP_029141728.1,1,50.0,61.87
NA,WP_029141729.1,1,50.0,58.82
cyoE,WP_029141730.1,1,47.0,55.93
coxB,WP_019721930.1,1,48.0,54.31
ctaD,WP_029141731.1,1,51.0,61.07
NA,WP_013858941.1,1,47.0,54.27
ctaF,WP_029141732.1,1,46.0,60.0
ctaG,WP_029713795.1,1,51.0,60.27
NA,WP_013858944.1,1,45.0,47.27
NA,WP_029142112.1,1,47.0,50.83
NA,WP_019721935.1,1,51.0,58.0
NA,WP_013858947.1,1,51.0,57.38
NA,WP_029142113.1,1,46.0,55.71
NA,WP_029142114.1,1,51.0,50.86
NA,WP_013858950.1,1,50.0,54.01
NA,WP_019721936.1,1,37.0,41.46
NA,WP_013858952.1,1,50.0,50.83
rsmD,WP_029142115.1,1,51.0,56.08
coaD,WP_029142116.1,1,40.0,43.42
ylbJ,WP_029142117.1,1,50.0,57.68
NA,WP_029142118.1,1,50.0,55.51
NA,WP_019721941.1,1,48.0,53.82
NA,WP_029142120.1,1,54.0,58.29
NA,WP_029142121.1,1,49.0,52.91
rpmF,WP_017553868.1,1,44.0,41.67
NA,WP_029142122.1,1,51.0,54.04
NA,WP_017553866.1,1,45.0,53.5
NA,WP_029142123.1,1,51.0,57.24
bshC,WP_029142124.1,1,49.0,53.02
mraZ,WP_029142125.1,1,48.0,50.0
rsmH,WP_029142126.1,1,49.0,51.67
ftsL,WP_013858968.1,1,43.0,50.91
NA,WP_029142127.1,1,50.0,54.34
NA,WP_029142128.1,1,51.0,59.14
NA,WP_013858971.1,1,50.0,55.04
NA,WP_029142129.1,1,46.0,47.45
mraY,WP_029142130.1,1,49.0,56.51
murD,WP_029142131.1,1,51.0,56.56
spoVE,WP_029142132.1,1,52.0,62.18
murG,WP_029142133.1,1,49.0,54.47
NA,WP_029142134.1,1,47.0,58.68
ftsA,WP_029142135.1,1,49.0,52.62
ftsZ,WP_013858981.1,1,53.0,57.34
spoIIGA,WP_029713797.1,1,52.0,58.19
sigE,WP_019721956.1,1,44.0,52.61
sigG,WP_029142137.1,1,47.0,54.22
NA,WP_013858986.1,1,46.0,56.63
NA,WP_017554169.1,1,48.0,53.25
pgeF,WP_029142303.1,1,52.0,54.34
NA,WP_029142302.1,1,49.0,51.85
NA,WP_013858990.1,1,50.0,55.71
NA,WP_017554172.1,1,44.0,54.32
NA,WP_017554173.1,1,49.0,56.22
NA,WP_014095546.1,1,44.0,49.38
ileS,WP_029142301.1,1,51.0,58.6
NA,WP_013858995.1,1,55.00000000000001,61.64
lspA,WP_013858996.1,1,48.0,56.41
NA,WP_019721964.1,1,52.0,57.48
pyrR,WP_029142300.1,1,56.00000000000001,69.01
NA,WP_029142299.1,1,53.0,60.82
NA,WP_029713814.1,1,55.00000000000001,57.27
NA,WP_029142297.1,1,52.0,57.58
carB,WP_029142296.1,1,53.0,61.78
NA,WP_029142295.1,1,61.0,65.06
NA,WP_013859004.1,1,56.00000000000001,62.22
pyrF,WP_029142294.1,1,54.0,55.75
pyrE,WP_029142293.1,1,52.0,55.45
NA,WP_029142292.1,1,43.0,45.05
NA,WP_029142291.1,1,47.0,46.37
NA,WP_235801116.1,1,56.00000000000001,70.0
mgsA,WP_013859011.1,1,49.0,60.31
NA,WP_029713811.1,1,45.0,48.39
NA,WP_142236785.1,1,44.0,38.46
NA,WP_029713810.1,1,47.0,52.76
NA,WP_019721984.1,1,49.0,56.75
NA,WP_234969532.1,1,51.0,59.03
NA,WP_029142286.1,1,49.0,58.24
NA,WP_019721991.1,1,52.0,60.32
NA,WP_029142530.1,1,50.0,60.39
NA,WP_029142529.1,1,52.0,58.14
NA,WP_017552941.1,1,48.0,55.32
NA,WP_013859031.1,1,54.0,58.23
gmk,WP_013859032.1,1,48.0,53.33
rpoZ,WP_013859033.1,1,46.0,49.15
coaBC,WP_013859034.1,1,54.0,60.56
priA,WP_029142528.1,1,52.0,59.34
def,WP_029142527.1,1,52.0,56.58
fmt,WP_013859037.1,1,53.0,59.42
rsmB,WP_029142526.1,1,51.0,56.16
NA,WP_019722002.1,1,50.0,51.85
pknB,WP_029142525.1,1,49.0,54.28
rsgA,WP_017552949.1,1,50.0,55.94
rpe,WP_029713840.1,1,51.0,55.07
NA,WP_029142524.1,1,48.0,54.07
spoVM,WP_017551496.1,1,43.0,47.06
rpmB,WP_013859045.1,1,51.0,56.6
NA,WP_042512332.1,1,45.0,47.83
NA,WP_019722007.1,1,45.0,49.55
NA,WP_017552955.1,1,52.0,59.6
sdaAB,WP_013859048.1,1,54.0,61.14
sdaAA,WP_029142345.1,1,53.0,54.2
recG,WP_029142346.1,1,51.0,57.8
fapR,WP_013859051.1,1,49.0,53.26
plsX,WP_013859052.1,1,51.0,58.26
fabD,WP_029142347.1,1,55.00000000000001,57.76
fabG,WP_013859054.1,1,54.0,59.66
acpP,WP_014095485.1,1,42.0,41.18
rnc,WP_017553263.1,1,50.0,59.07
smc,WP_029142348.1,1,51.0,57.24
ftsY,WP_029142349.1,1,51.0,58.2
NA,WP_017553259.1,1,46.0,53.54
ffh,WP_013859061.1,1,52.0,61.64
rpsP,WP_026104868.1,1,45.0,40.74
NA,WP_280136683.1,1,54.0,53.42
NA,WP_029142350.1,1,39.0,43.8
rimM,WP_019722017.1,1,47.0,52.15
trmD,WP_029142351.1,1,51.0,58.3
rplS,WP_013859067.1,1,53.0,47.62
lepB,WP_013859068.1,1,49.0,63.22
ylqF,WP_019722018.1,1,52.0,59.04
NA,WP_050996510.1,1,53.0,54.7
NA,WP_029142353.1,1,52.0,58.17
NA,WP_013859072.1,1,56.99999999999999,68.97
sucC,WP_013859073.1,1,49.0,52.79
sucD,WP_029142354.1,1,52.0,54.64
dprA,WP_029142355.1,1,52.0,56.18
topA,WP_029141585.1,1,49.0,56.45
xerC,WP_017554460.1,1,47.0,52.58
hslV,WP_019722029.1,1,51.0,54.97
hslU,WP_013859081.1,1,49.0,55.51
codY,WP_029141584.1,1,47.0,53.6
flgB,WP_029141583.1,1,47.0,54.17
flgC,WP_013859084.1,1,49.0,48.57
fliE,WP_019721085.1,1,50.0,62.77
fliF,WP_029141582.1,1,49.0,56.15
fliG,WP_017554468.1,1,50.0,58.84
fliH,WP_029141581.1,1,48.0,50.21
fliI,WP_029141580.1,1,52.0,58.56
fliJ,WP_029141579.1,1,43.0,52.59
NA,WP_029141578.1,1,46.0,53.54
NA,WP_029141577.1,1,54.0,52.92
flgD,WP_029141576.1,1,46.0,52.22
NA,WP_029141575.1,1,53.0,53.52
flgG,WP_029141574.1,1,48.0,49.6
NA,WP_017554476.1,1,49.0,56.45
fliL,WP_017554477.1,1,38.0,48.09
fliM,WP_013859099.1,1,47.0,56.48
fliY,WP_029141573.1,1,49.0,51.79
NA,WP_029141572.1,1,50.0,56.76
NA,WP_029141571.1,1,48.0,54.59
fliP,WP_013859103.1,1,46.0,58.02
fliQ,WP_014095440.1,1,47.0,57.5
fliR,WP_013859105.1,1,49.0,59.6
flhB,WP_017554481.1,1,50.0,59.26
flhA,WP_029141570.1,1,51.0,60.06
flhF,WP_029141569.1,1,47.0,51.08
NA,WP_017554484.1,1,47.0,50.18
NA,WP_029141568.1,1,52.0,56.19
NA,WP_029141567.1,1,48.0,53.94
NA,WP_019721099.1,1,49.0,55.64
NA,WP_029141566.1,1,48.0,54.19
NA,WP_029141565.1,1,52.0,60.51
NA,WP_013859116.1,1,49.0,54.03
NA,WP_029141564.1,1,47.0,48.84
rpsB,WP_029141563.1,1,47.0,50.41
tsf,WP_029141562.1,1,47.0,46.32
pyrH,WP_013859120.1,1,51.0,56.03
frr,WP_026104870.1,1,49.0,55.68
NA,WP_029141560.1,1,47.0,54.9
NA,WP_029141559.1,1,49.0,60.47
NA,WP_029141558.1,1,51.0,55.65
rseP,WP_019721104.1,1,51.0,60.0
NA,WP_029141557.1,1,52.0,59.11
NA,WP_029141556.1,1,51.0,58.76
rimP,WP_013859128.1,1,48.0,50.68
nusA,WP_013859129.1,1,51.0,48.97
NA,WP_019721108.1,1,42.0,40.91
NA,WP_013859131.1,1,48.0,44.09
infB,WP_029141555.1,1,51.0,58.32
NA,WP_013859134.1,1,47.0,46.99
