gene_name,prot_id,number_of_exons,GC,GC3
fghA,WP_036202054.1,2,57.99999999999999,67.65
NA,WP_036202051.1,1,56.00000000000001,70.0
NA,WP_052479576.1,1,62.0,72.29
NA,WP_036202046.1,1,60.0,74.94
NA,WP_041335694.1,1,56.00000000000001,72.12
NA,WP_036202041.1,1,56.99999999999999,68.53
NA,WP_036202037.1,1,56.99999999999999,70.83
NA,WP_007155139.1,1,62.0,79.14
NA,WP_036205527.1,1,62.0,77.37
NA,WP_085678022.1,1,64.0,69.91
NA,WP_041335689.1,1,56.99999999999999,60.23
NA,WP_085681920.1,1,59.0,66.49
NA,WP_085678024.1,1,57.99999999999999,66.6
NA,WP_036202027.1,1,56.99999999999999,71.23
NA,WP_085678027.1,1,60.0,65.73
NA,WP_085678030.1,1,62.0,74.18
NA,WP_036202020.1,1,60.0,67.33
NA,WP_085678032.1,1,63.0,69.14
NA,WP_227517823.1,1,59.0,67.77
NA,WP_036202014.1,1,61.0,75.1
NA,WP_085678035.1,1,59.0,69.94
NA,WP_085678036.1,1,60.0,69.65
NA,WP_085678038.1,1,60.0,73.39
NA,WP_085678042.1,1,59.0,69.29
NA,WP_085678044.1,1,59.0,57.31
NA,WP_007155157.1,1,59.0,73.62
NA,WP_085678046.1,1,61.0,67.86
NA,WP_264754893.1,1,61.0,67.21
NA,WP_036201980.1,1,61.0,72.36
NA,WP_085678050.1,1,62.0,74.5
NA,WP_085678052.1,1,60.0,74.66
NA,WP_085678054.1,1,57.99999999999999,75.16
NA,WP_227517978.1,1,57.99999999999999,68.93
NA,WP_085678058.1,1,62.0,72.0
nirB,WP_085678060.1,1,61.0,78.62
nirD,WP_036201963.1,1,59.0,72.57
NA,WP_085678062.1,1,62.0,78.92
NA,WP_041332848.1,1,55.00000000000001,80.95
NA,WP_085678064.1,1,60.0,71.77
NA,WP_085678066.1,1,62.0,73.67
NA,WP_036201946.1,1,59.0,75.11
NA,WP_085678068.1,1,59.0,74.63
NA,WP_041332842.1,1,59.0,75.17
NA,WP_036201937.1,1,54.0,71.7
NA,WP_036201934.1,1,62.0,77.99
NA,WP_041332837.1,1,56.99999999999999,78.4
NA,WP_085678070.1,1,56.99999999999999,69.38
NA,WP_041332835.1,1,59.0,67.94
NA,WP_041332833.1,1,57.99999999999999,66.43
NA,WP_036201921.1,1,59.0,75.22
yfbR,WP_041332831.1,1,59.0,70.74
NA,WP_227517824.1,1,55.00000000000001,67.41
NA,WP_227517825.1,1,60.0,67.74
pdxH,WP_085678074.1,1,60.0,75.25
NA,WP_085678077.1,1,59.0,76.88
NA,WP_075196328.1,1,59.0,75.18
NA,WP_085678079.1,1,60.0,69.35
NA,WP_075196330.1,1,59.0,78.34
ectB,WP_085678081.1,1,56.99999999999999,74.09
ectA,WP_085678083.1,1,57.99999999999999,70.99
NA,WP_085678085.1,1,61.0,69.77
NA,WP_085678087.1,1,59.0,76.2
NA,WP_085678089.1,1,59.0,71.06
NA,WP_085678090.1,1,59.0,71.53
NA,WP_007154863.1,1,56.99999999999999,67.51
NA,WP_041332818.1,1,57.99999999999999,69.23
NA,WP_007154865.1,1,54.0,60.63
NA,WP_041332814.1,1,59.0,67.22
NA,WP_085678092.1,1,61.0,67.29
NA,WP_085678094.1,1,59.0,67.82
NA,WP_041332806.1,1,56.99999999999999,71.07
NA,WP_075196337.1,1,60.0,81.4
NA,WP_036201846.1,1,59.0,74.06
NA,WP_227517827.1,1,55.00000000000001,62.36
NA,WP_085678097.1,1,60.0,73.47
NA,WP_085678099.1,1,61.0,67.23
NA,WP_085678102.1,1,63.0,73.12
NA,WP_085678105.1,1,61.0,74.11
NA,WP_085678108.1,1,63.0,75.08
NA,WP_085678111.1,1,63.0,73.45
NA,WP_085678114.1,1,59.0,72.86
NA,WP_075196346.1,1,56.99999999999999,78.12
fdhD,WP_085678117.1,1,62.0,67.94
fdhF,WP_085678119.1,1,61.0,78.59
NA,WP_085681922.1,1,62.0,71.97
NA,WP_081899280.1,1,63.0,78.44
NA,WP_036207622.1,1,61.0,73.07
NA,WP_036207624.1,1,61.0,72.0
NA,WP_085678122.1,1,62.0,76.05
NA,WP_085681923.1,1,62.0,70.97
NA,WP_085678124.1,1,61.0,76.27
NA,WP_085678127.1,1,57.99999999999999,73.81
NA,WP_075196353.1,1,52.0,66.86
NA,WP_085678130.1,1,60.0,67.19
NA,WP_085678133.1,1,61.0,73.3
NA,WP_041332786.1,1,63.0,77.05
NA,WP_226910032.1,1,56.00000000000001,67.63
NA,WP_007154661.1,1,62.0,59.52
NA,WP_041332783.1,1,55.00000000000001,67.84
NA,WP_085678136.1,1,61.0,73.39
NA,WP_036207657.1,1,57.99999999999999,66.47
NA,WP_085678139.1,1,56.99999999999999,70.56
NA,WP_036207660.1,1,62.0,74.45
NA,WP_036207661.1,1,61.0,68.94
NA,WP_075196356.1,1,61.0,76.79
NA,WP_036207665.1,1,60.0,67.81
NA,WP_085678142.1,1,62.0,69.43
NA,WP_085678144.1,1,62.0,71.13
NA,WP_036207671.1,1,61.0,72.99
queE,WP_085678146.1,1,60.0,70.33
queC,WP_036207677.1,1,61.0,73.58
NA,WP_036207679.1,1,60.0,72.78
NA,WP_036207682.1,1,56.00000000000001,67.57
NA,WP_036207831.1,1,60.0,67.5
NA,WP_036207689.1,1,56.99999999999999,72.66
NA,WP_036207692.1,1,56.99999999999999,67.23
NA,WP_085678148.1,1,59.0,70.27
NA,WP_085678150.1,1,56.00000000000001,66.06
NA,WP_036207701.1,1,60.0,76.0
NA,WP_036207704.1,1,54.0,73.33
NA,WP_085678152.1,1,61.0,73.75
NA,WP_085678154.1,1,56.00000000000001,64.08
NA,WP_085678157.1,1,57.99999999999999,75.47
NA,WP_085678160.1,1,63.0,77.52
NA,WP_041332767.1,1,61.0,72.8
NA,WP_085678163.1,1,57.99999999999999,71.24
NA,WP_036207725.1,1,60.0,71.43
NA,WP_041332765.1,1,57.99999999999999,70.09
NA,WP_085681924.1,1,61.0,68.33
NA,WP_198324883.1,1,61.0,70.75
NA,WP_081899282.1,1,61.0,67.48
NA,WP_036207734.1,1,61.0,72.73
NA,WP_085678168.1,1,63.0,73.64
