gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_244925483.1,2,60.0,72.47
NA,WP_021688940.1,1,63.0,73.12
NA,WP_283234537.1,1,59.0,78.69
NA,WP_283234538.1,1,63.0,71.07
NA,WP_021688933.1,1,63.0,62.86
guaB,WP_021688934.1,1,62.0,72.06
NA,WP_021688935.1,1,60.0,71.07
NA,WP_021688936.1,1,63.0,74.56
NA,WP_021688937.1,1,63.0,65.71
creD,WP_021688938.1,1,62.0,72.96
NA,WP_021688939.1,1,61.0,71.85
NA,WP_021688940.1,1,63.0,73.12
NA,WP_244925484.1,1,63.0,72.87
NA,WP_021688933.1,1,63.0,62.86
NA,WP_021688935.1,1,60.0,71.07
NA,WP_021688936.1,1,63.0,74.56
NA,WP_021688937.1,1,63.0,65.71
NA,WP_021688939.1,1,61.0,71.85
NA,WP_021688940.1,1,63.0,73.12
sdhA,WP_021688941.1,1,62.0,74.58
sdhD,WP_021688942.1,1,62.0,76.27
sdhC,WP_021688943.1,1,60.0,76.92
NA,WP_021688944.1,1,62.0,71.06
NA,WP_021688945.1,1,57.99999999999999,72.56
NA,WP_021688946.1,1,61.0,72.71
NA,WP_021688947.1,1,60.0,69.49
NA,WP_021688948.1,1,62.0,70.82
ligA,WP_021688949.1,1,63.0,73.26
recN,WP_021688950.1,1,64.0,66.61
NA,WP_040715052.1,1,59.0,72.97
NA,WP_021688952.1,1,62.0,74.05
NA,WP_021688953.1,1,62.0,71.83
NA,WP_021688954.1,1,60.0,67.76
tsaB,WP_040715053.1,1,64.0,59.39
NA,WP_021688956.1,1,50.0,44.67
NA,WP_021688957.1,1,54.0,57.55
NA,WP_021688958.1,1,60.0,65.65
NA,WP_021688959.1,1,62.0,71.43
miaB,WP_021688960.1,1,61.0,69.66
NA,WP_021688961.1,1,62.0,74.93
ybeY,WP_021688962.1,1,59.0,65.81
NA,WP_040715055.1,1,59.0,67.56
NA,WP_084619880.1,1,62.0,71.68
NA,WP_021688965.1,1,61.0,77.14
NA,WP_021688967.1,1,61.0,68.6
NA,WP_021688968.1,1,62.0,69.43
nudC,WP_021688969.1,1,63.0,69.47
NA,WP_021688970.1,1,62.0,74.47
mutY,WP_021688971.1,1,65.0,68.25
NA,WP_040714999.1,1,62.0,71.91
NA,WP_021688973.1,1,61.0,70.97
NA,WP_021688974.1,1,60.0,67.9
NA,WP_021688975.1,1,66.0,70.85
ettA,WP_021688976.1,1,59.0,75.27
NA,WP_040715000.1,1,56.00000000000001,54.26
NA,WP_021688978.1,1,54.0,50.34
NA,WP_021688979.1,1,66.0,69.91
NA,WP_040715001.1,1,60.0,72.0
NA,WP_021688981.1,1,60.0,72.48
NA,WP_021688982.1,1,61.0,75.15
NA,WP_021688983.1,1,60.0,71.0
NA,WP_021688984.1,1,57.99999999999999,75.89
NA,WP_021688985.1,1,64.0,78.16
NA,WP_210766605.1,1,62.0,65.45
NA,WP_021688987.1,1,66.0,70.73
NA,WP_021688988.1,1,60.0,68.79
NA,WP_021688989.1,1,59.0,61.61
NA,WP_021688990.1,1,56.00000000000001,64.44
NA,WP_021688991.1,1,60.0,66.77
plsX,WP_021688992.1,1,59.0,64.18
rpmF,WP_021688993.1,1,57.99999999999999,60.0
NA,WP_021688994.1,1,63.0,75.21
NA,WP_210766606.1,1,60.0,70.09
NA,WP_021688996.1,1,62.0,72.82
NA,WP_021688997.1,1,60.0,67.24
NA,WP_021688998.1,1,65.0,78.7
NA,WP_021688999.1,1,63.0,73.77
NA,WP_021689000.1,1,61.0,68.55
cysS,WP_021689001.1,1,60.0,71.37
NA,WP_021689002.1,1,64.0,75.43
NA,WP_021689003.1,1,61.0,71.96
cobT,WP_021689004.1,1,63.0,73.2
fsa,WP_021689005.1,1,59.0,77.03
NA,WP_040715003.1,1,64.0,75.8
NA,WP_021689007.1,1,65.0,72.47
NA,WP_021689008.1,1,66.0,69.41
NA,WP_210766607.1,1,64.0,71.84
NA,WP_210766608.1,1,64.0,70.73
NA,WP_021689010.1,1,60.0,66.29
atpA,WP_021689011.1,1,61.0,75.0
NA,WP_021689012.1,1,62.0,77.03
atpD,WP_021689013.1,1,62.0,76.89
NA,WP_021689014.1,1,64.0,78.95
NA,WP_021689015.1,1,63.0,70.24
NA,WP_021689016.1,1,61.0,71.02
NA,WP_084619886.1,1,61.0,74.3
NA,WP_021689018.1,1,61.0,76.53
NA,WP_021689019.1,1,65.0,69.7
NA,WP_021689020.1,1,62.0,65.98
NA,WP_021689021.1,1,61.0,71.63
NA,WP_021689022.1,1,62.0,71.43
NA,WP_021689023.1,1,62.0,69.23
NA,WP_021689024.1,1,57.99999999999999,70.27
NA,WP_021689025.1,1,60.0,77.99
NA,WP_021689026.1,1,62.0,83.53
NA,WP_040715006.1,1,63.0,71.2
NA,WP_210766609.1,1,56.00000000000001,84.62
NA,WP_021689028.1,1,64.0,74.41
folP,WP_021689029.1,1,66.0,75.07
NA,WP_021689030.1,1,59.0,67.74
NA,WP_021689031.1,1,65.0,71.51
NA,WP_021689032.1,1,67.0,73.85
NA,WP_021689033.1,1,63.0,69.97
NA,WP_021689034.1,1,64.0,71.98
NA,WP_021689035.1,1,66.0,75.62
NA,WP_021689036.1,1,63.0,68.6
NA,WP_040715007.1,1,62.0,72.25
NA,WP_021689038.1,1,65.0,72.66
NA,WP_052023610.1,1,65.0,64.23
parC,WP_021689040.1,1,61.0,75.07
NA,WP_021689041.1,1,64.0,73.38
NA,WP_021689042.1,1,64.0,71.29
NA,WP_021689043.1,1,67.0,76.06
NA,WP_021689044.1,1,69.0,76.57
NA,WP_021689045.1,1,61.0,76.56
NA,WP_021689046.1,1,64.0,74.88
NA,WP_021689047.1,1,64.0,75.81
NA,WP_124916666.1,1,63.0,75.7
NA,WP_021689049.1,1,59.0,65.31
NA,WP_021689050.1,1,61.0,75.21
NA,WP_283234563.1,1,64.0,77.03
rapZ,WP_040715009.1,1,62.0,72.58
NA,WP_021689054.1,1,63.0,76.8
NA,WP_021689055.1,1,63.0,67.47
NA,WP_021689056.1,1,65.0,74.81
NA,WP_021689057.1,1,63.0,71.88
NA,WP_021689058.1,1,60.0,73.8
rmuC,WP_021689059.1,1,62.0,70.28
def,WP_021689060.1,1,61.0,76.67
recR,WP_021689061.1,1,66.0,76.72
fmt,WP_021689062.1,1,68.0,81.85
truA,WP_021689063.1,1,68.0,80.25
NA,WP_021689064.1,1,64.0,75.07
cobS,WP_021689065.1,1,60.0,75.7
NA,WP_021689066.1,1,64.0,70.26
NA,WP_021689067.1,1,61.0,73.88
NA,WP_021689068.1,1,64.0,74.34
NA,WP_021689069.1,1,66.0,79.63
NA,WP_283234564.1,1,61.0,78.49
NA,WP_021689071.1,1,64.0,75.0
NA,WP_021689072.1,1,63.0,77.11
NA,WP_021689073.1,1,61.0,75.97
NA,WP_021689074.1,1,64.0,74.06
NA,WP_021689075.1,1,65.0,78.26
NA,WP_021689076.1,1,63.0,76.67
NA,WP_021689077.1,1,65.0,75.89
NA,WP_040715010.1,1,66.0,72.43
NA,WP_021689079.1,1,66.0,76.54
NA,WP_021689080.1,1,65.0,80.07
NA,WP_021689081.1,1,67.0,78.2
hisG,WP_021689082.1,1,63.0,74.52
hisD,WP_021689083.1,1,67.0,78.81
nusB,WP_021689084.1,1,63.0,73.76
thiL,WP_021689086.1,1,65.0,70.79
NA,WP_021689087.1,1,62.0,77.65
NA,WP_021689088.1,1,65.0,73.78
uvrC,WP_021689089.1,1,62.0,74.77
NA,WP_021689090.1,1,63.0,71.13
infA,WP_021689091.1,1,59.0,68.06
NA,WP_021689092.1,1,65.0,69.23
NA,WP_021689093.1,1,68.0,73.02
yacG,WP_084619890.1,1,61.0,67.35
NA,WP_084619892.1,1,56.99999999999999,50.0
NA,WP_021689095.1,1,55.00000000000001,60.51
NA,WP_021689096.1,1,53.0,53.85
NA,WP_021689098.1,1,71.0,75.26
NA,WP_040715068.1,1,63.0,72.69
NA,WP_021689100.1,1,56.00000000000001,64.67
NA,WP_021689101.1,1,56.00000000000001,69.07
NA,WP_052023611.1,1,61.0,71.03
NA,WP_210766616.1,1,60.0,74.42
NA,WP_021689104.1,1,68.0,71.25
NA,WP_040715014.1,1,67.0,77.2
NA,WP_021689106.1,1,62.0,67.9
NA,WP_161566000.1,1,61.0,70.73
NA,WP_021689108.1,1,66.0,70.0
NA,WP_021689109.1,1,61.0,65.31
NA,WP_040715073.1,1,59.0,70.05
mdh,WP_021689111.1,1,61.0,76.85
sucD,WP_021689112.1,1,63.0,77.7
NA,WP_021689113.1,1,61.0,75.29
odhB,WP_021689114.1,1,61.0,72.68
NA,WP_021689115.1,1,62.0,77.65
lpdA,WP_021689116.1,1,61.0,72.93
NA,WP_021689117.1,1,62.0,65.45
NA,WP_021689118.1,1,60.0,65.1
NA,WP_040715075.1,1,60.0,69.67
rplQ,WP_021689120.1,1,62.0,76.15
NA,WP_021689121.1,1,57.99999999999999,73.1
rpsK,WP_021689122.1,1,61.0,70.83
rpsM,WP_021689123.1,1,56.99999999999999,64.6
NA,WP_021689124.1,1,62.0,72.82
secY,WP_021689125.1,1,57.99999999999999,76.85
rplO,WP_021689126.1,1,62.0,68.18
rpmD,WP_021689127.1,1,57.99999999999999,69.39
rpsE,WP_040715015.1,1,64.0,65.67
rplR,WP_021689129.1,1,66.0,65.05
rplF,WP_021689130.1,1,57.99999999999999,71.43
rpsH,WP_021689131.1,1,62.0,76.23
rpsN,WP_021689132.1,1,59.0,69.57
rplE,WP_021689133.1,1,57.99999999999999,76.5
rplX,WP_021689134.1,1,62.0,71.13
rplN,WP_021689135.1,1,63.0,78.76
rpsQ,WP_021689136.1,1,59.0,79.55
