gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_114914787.1,1,37.0,26.61
dnaN,WP_114914788.1,1,35.0,26.83
yaaA,WP_114914789.1,1,38.0,34.38
recF,WP_114914790.1,1,36.0,30.19
NA,WP_114914791.1,1,35.0,35.71
gyrB,WP_114914792.1,1,40.0,29.27
gyrA,WP_114914793.1,1,40.0,30.63
NA,WP_114914794.1,1,35.0,28.13
NA,WP_114914795.1,1,37.0,33.77
guaB,WP_114914796.1,1,41.0,27.23
NA,WP_242985911.1,1,35.0,21.56
serS,WP_114914797.1,1,41.0,30.12
NA,WP_114914798.1,1,32.0,30.64
proC,WP_114914799.1,1,41.0,31.42
NA,WP_114918336.1,1,35.0,31.65
NA,WP_114914800.1,1,34.0,34.15
NA,WP_114914802.1,1,39.0,28.0
acsA,WP_114914803.1,1,42.0,34.52
NA,WP_114914804.1,1,37.0,30.36
NA,WP_114914805.1,1,36.0,32.2
NA,WP_114914806.1,1,41.0,28.4
NA,WP_114914807.1,1,42.0,35.32
NA,WP_114914808.1,1,32.0,28.57
tadA,WP_114914809.1,1,43.0,35.66
dnaX,WP_114914810.1,1,40.0,31.7
NA,WP_114914811.1,1,37.0,27.37
recR,WP_114914812.1,1,39.0,30.16
NA,WP_114914813.1,1,40.0,32.79
NA,WP_114914814.1,1,35.0,21.25
NA,WP_114914815.1,1,31.0,31.48
NA,WP_205317681.1,1,40.0,32.31
tmk,WP_114914817.1,1,41.0,31.0
NA,WP_114914818.1,1,40.0,31.0
NA,WP_114914819.1,1,33.0,28.15
holB,WP_114914820.1,1,38.0,35.31
NA,WP_114914821.1,1,38.0,32.09
yabA,WP_114914822.1,1,36.0,30.28
NA,WP_114914823.1,1,41.0,36.4
NA,WP_114914824.1,1,34.0,28.41
rsmI,WP_114914825.1,1,40.0,29.89
NA,WP_114914826.1,1,37.0,30.49
metG,WP_114914827.1,1,39.0,30.93
NA,WP_114914828.1,1,41.0,36.65
NA,WP_114914829.1,1,38.0,24.88
rnmV,WP_114914830.1,1,39.0,30.1
rsmA,WP_114914831.1,1,40.0,37.32
yabG,WP_114914832.1,1,40.0,31.9
NA,WP_114914833.1,1,40.0,29.11
NA,WP_114914834.1,1,41.0,38.46
ispE,WP_114914835.1,1,39.0,29.56
purR,WP_114914836.1,1,40.0,30.92
spoVG,WP_114914837.1,1,43.0,29.55
glmU,WP_114914838.1,1,39.0,26.44
NA,WP_114914839.1,1,39.0,25.32
NA,WP_114914840.1,1,38.0,23.2
pth,WP_114914841.1,1,38.0,28.81
NA,WP_114914842.1,1,36.0,32.84
mfd,WP_114914843.1,1,39.0,32.16
spoVT,WP_114914844.1,1,36.0,23.81
NA,WP_114914845.1,1,38.0,33.27
mazG,WP_114914846.1,1,42.0,35.86
NA,WP_114918338.1,1,41.0,27.63
NA,WP_162800240.1,1,39.0,36.36
yabP,WP_114914847.1,1,37.0,36.26
yabQ,WP_114914848.1,1,34.0,35.79
NA,WP_114914849.1,1,33.0,25.64
NA,WP_114914850.1,1,40.0,32.2
spoIIE,WP_114914851.1,1,39.0,34.41
NA,WP_114914852.1,1,41.0,36.29
NA,WP_114914853.1,1,41.0,38.49
tilS,WP_114914854.1,1,37.0,30.55
hpt,WP_114918339.1,1,36.0,28.82
ftsH,WP_114914855.1,1,41.0,27.62
NA,WP_114914856.1,1,38.0,30.0
hslO,WP_114914857.1,1,42.0,30.0
NA,WP_114914858.1,1,38.0,34.36
cysK,WP_114914859.1,1,41.0,24.92
folP,WP_114914860.1,1,41.0,31.46
folB,WP_114914861.1,1,44.0,40.18
folK,WP_114914862.1,1,37.0,28.39
lysS,WP_205317637.1,1,39.0,29.8
NA,WP_242985912.1,1,33.0,20.09
NA,WP_114914864.1,1,36.0,27.78
NA,WP_114914865.1,1,36.0,27.59
NA,WP_114914866.1,1,38.0,29.28
clpC,WP_114914867.1,1,42.0,30.8
NA,WP_114918341.1,1,36.0,28.17
gltX,WP_114914868.1,1,40.0,33.54
cysE,WP_205317638.1,1,42.0,33.64
cysS,WP_114914869.1,1,38.0,31.44
NA,WP_114914870.1,1,41.0,34.15
rlmB,WP_114918343.1,1,44.0,37.66
NA,WP_114914871.1,1,35.0,26.88
sigH,WP_114914872.1,1,38.0,38.46
