gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_157475794.1,1,50.0,50.68
NA,WP_197428777.1,1,56.00000000000001,57.05
NA,WP_197428778.1,1,56.00000000000001,51.72
NA,WP_197428779.1,1,47.0,52.83
NA,WP_197428780.1,1,39.0,30.26
NA,WP_157475798.1,1,51.0,55.67
NA,WP_157475800.1,1,37.0,28.86
NA,WP_157475802.1,1,37.0,37.63
NA,WP_197428781.1,1,38.0,38.87
NA,WP_197428782.1,1,43.0,32.5
NA,WP_157475805.1,1,37.0,28.99
NA,WP_157475807.1,1,43.0,38.24
NA,WP_157475809.1,1,47.0,39.66
NA,WP_197428783.1,1,42.0,42.01
NA,WP_197428784.1,1,42.0,43.15
NA,WP_197428785.1,1,39.0,36.45
NA,WP_157475811.1,1,40.0,41.18
NA,WP_197428786.1,1,42.0,44.88
NA,WP_197428787.1,1,46.0,46.31
NA,WP_246186137.1,1,46.0,50.14
NA,WP_197428789.1,1,42.0,40.96
NA,WP_157475813.1,1,38.0,30.35
NA,WP_157475815.1,1,45.0,48.2
NA,WP_157475817.1,1,46.0,51.45
NA,WP_157475819.1,1,47.0,53.23
NA,WP_157475821.1,1,47.0,52.16
NA,WP_157475823.1,1,50.0,56.25
NA,WP_157475825.1,1,39.0,37.27
NA,WP_197428790.1,1,46.0,53.09
NA,WP_197428791.1,1,52.0,59.22
NA,WP_157475831.1,1,48.0,46.15
NA,WP_157475833.1,1,43.0,40.99
NA,WP_157475835.1,1,49.0,50.0
NA,WP_157475837.1,1,46.0,55.66
NA,WP_197428792.1,1,49.0,52.35
NA,WP_157475841.1,1,47.0,41.3
NA,WP_157475844.1,1,48.0,60.61
NA,WP_157475846.1,1,46.0,48.67
NA,WP_246186138.1,1,51.0,60.49
NA,WP_157475850.1,1,49.0,51.05
arfB,WP_157475852.1,1,55.00000000000001,67.2
NA,WP_157475854.1,1,33.0,25.45
dcm,WP_157475856.1,1,34.0,20.93
NA,WP_157475858.1,1,35.0,23.59
lpxD,WP_157475860.1,1,53.0,56.38
NA,WP_246186139.1,1,54.0,67.84
NA,WP_197428793.1,1,52.0,55.24
NA,WP_157475862.1,1,48.0,53.55
NA,WP_157475864.1,1,52.0,53.61
NA,WP_157475866.1,1,53.0,57.5
NA,WP_281350843.1,1,51.0,54.52
hypE,WP_157480618.1,1,51.0,53.19
NA,WP_157475872.1,1,44.0,46.99
NA,WP_197428795.1,1,47.0,47.03
NA,WP_246186140.1,1,52.0,60.18
NA,WP_157475874.1,1,51.0,62.46
NA,WP_157475875.1,1,30.0,22.3
NA,WP_157475876.1,1,55.00000000000001,58.55
NA,WP_197428796.1,1,52.0,58.7
NA,WP_197428797.1,1,31.0,30.88
NA,WP_157475878.1,1,50.0,59.83
NA,WP_157475879.1,1,50.0,51.56
NA,WP_157475880.1,1,48.0,47.56
NA,WP_157475881.1,1,50.0,54.2
NA,WP_157475882.1,1,52.0,55.76
NA,WP_157475883.1,1,46.0,50.62
NA,WP_157475884.1,1,52.0,62.7
NA,WP_157475885.1,1,45.0,42.14
