gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_066472236.1,2,65.0,85.08
dnaN,WP_066472232.1,1,69.0,86.05
recF,WP_066472226.1,1,71.0,85.16
NA,WP_066472224.1,1,72.0,78.41
NA,WP_066472222.1,1,66.0,88.24
NA,WP_157079873.1,1,70.0,83.13
NA,WP_066472210.1,1,68.0,84.19
gyrB,WP_066472209.1,1,64.0,87.07
gyrA,WP_066472207.1,1,66.0,88.07
NA,WP_066472196.1,1,68.0,87.44
NA,WP_066472194.1,1,73.0,86.99
NA,WP_066472191.1,1,70.0,90.21
NA,WP_066472189.1,1,70.0,90.61
NA,WP_066472186.1,1,71.0,84.34
NA,WP_066472184.1,1,69.0,87.97
NA,WP_157079862.1,1,70.0,89.07
NA,WP_083530180.1,1,69.0,84.91
NA,WP_066472183.1,1,70.0,84.47
NA,WP_169797521.1,1,67.0,88.1
NA,WP_066472179.1,1,69.0,85.83
NA,WP_066472176.1,1,68.0,84.85
NA,WP_246600343.1,1,71.0,90.85
NA,WP_066472311.1,1,75.0,89.71
NA,WP_066472171.1,1,68.0,91.21
NA,WP_083530173.1,1,72.0,89.18
NA,WP_066472169.1,1,69.0,88.76
NA,WP_246600353.1,1,72.0,88.34
NA,WP_157079860.1,1,63.0,70.0
NA,WP_246600994.1,1,60.0,59.18
NA,WP_246600355.1,1,73.0,88.83
NA,WP_255246956.1,1,67.0,90.91
NA,WP_066472163.1,1,67.0,77.06
NA,WP_066472160.1,1,69.0,91.84
NA,WP_066472159.1,1,72.0,85.66
NA,WP_157079859.1,1,67.0,84.62
NA,WP_157079858.1,1,74.0,83.02
dinB,WP_066472150.1,1,72.0,86.8
NA,WP_066472148.1,1,70.0,86.44
NA,WP_066472145.1,1,62.0,88.8
NA,WP_218821009.1,1,73.0,87.12
NA,WP_157079857.1,1,75.0,80.69
NA,WP_066472298.1,1,69.0,88.55
NA,WP_066472130.1,1,70.0,86.93
NA,WP_246600364.1,1,73.0,87.4
crgA,WP_066472127.1,1,61.0,89.87
NA,WP_066472124.1,1,71.0,89.37
pknB,WP_066472121.1,1,69.0,88.38
NA,WP_083530179.1,1,71.0,89.45
NA,WP_066472113.1,1,67.0,85.42
NA,WP_066472110.1,1,67.0,88.32
NA,WP_066472108.1,1,70.0,88.42
NA,WP_066472107.1,1,68.0,82.99
NA,WP_066472105.1,1,70.0,80.82
NA,WP_066472100.1,1,74.0,83.53
gltB,WP_066472097.1,1,67.0,88.48
NA,WP_066472094.1,1,69.0,87.68
NA,WP_066472090.1,1,74.0,88.65
NA,WP_066472088.1,1,70.0,86.81
NA,WP_066472080.1,1,66.0,89.18
NA,WP_157079856.1,1,69.0,88.91
NA,WP_157079869.1,1,71.0,90.85
NA,WP_246600366.1,1,69.0,87.89
NA,WP_066472071.1,1,66.0,86.11
NA,WP_066472068.1,1,72.0,89.16
NA,WP_066472066.1,1,73.0,87.24
NA,WP_246600368.1,1,70.0,87.7
NA,WP_066472062.1,1,70.0,85.22
NA,WP_157079855.1,1,72.0,87.38
NA,WP_066472059.1,1,75.0,87.04
NA,WP_066472056.1,1,71.0,89.88
NA,WP_066472053.1,1,74.0,83.33
lysX,WP_157079854.1,1,70.0,87.82
NA,WP_066472045.1,1,66.0,79.69
NA,WP_066472043.1,1,73.0,87.83
rraA,WP_066472289.1,1,68.0,89.47
NA,WP_066472041.1,1,69.0,89.96
NA,WP_066472039.1,1,62.0,91.1
NA,WP_066472037.1,1,75.0,90.57
NA,WP_066472035.1,1,75.0,89.51
NA,WP_066472033.1,1,74.0,90.37
NA,WP_066472030.1,1,75.0,85.29
NA,WP_066472022.1,1,70.0,86.73
NA,WP_066472286.1,1,72.0,87.03
NA,WP_066472020.1,1,70.0,86.61
NA,WP_066472018.1,1,75.0,86.27
