gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_022002044.1,1,27.0,14.29
dnaN,WP_117787760.1,1,27.0,8.61
yaaA,WP_022002042.1,1,28.000000000000004,12.9
recF,WP_117844686.1,1,24.0,11.9
gyrB,WP_022002040.1,1,33.0,15.48
gyrA,WP_117574330.1,1,32.0,13.65
NA,WP_227351971.1,1,32.0,23.39
serS,WP_022002037.1,1,30.0,11.22
NA,WP_032091113.1,1,26.0,15.09
NA,WP_022002035.1,1,28.999999999999996,12.77
dnaX,WP_117574328.1,1,28.999999999999996,12.35
recR,WP_107029243.1,1,28.999999999999996,10.7
tmk,WP_200765002.1,1,28.000000000000004,7.61
NA,WP_234697810.1,1,24.0,14.75
NA,WP_195932961.1,1,26.0,7.38
NA,WP_117480548.1,1,28.000000000000004,14.41
rsmI,WP_022002028.1,1,25.0,6.23
NA,WP_200765003.1,1,26.0,9.82
metG,WP_200765004.1,1,30.0,12.27
NA,WP_200765005.1,1,28.999999999999996,9.38
NA,WP_117828298.1,1,28.999999999999996,11.2
NA,WP_022002023.1,1,28.000000000000004,16.57
NA,WP_117828297.1,1,28.000000000000004,9.8
NA,WP_117828296.1,1,27.0,14.71
NA,WP_200765006.1,1,32.0,13.14
NA,WP_117347721.1,1,24.0,15.32
NA,WP_200765007.1,1,23.0,13.86
rnmV,WP_107029256.1,1,28.999999999999996,15.98
rsmA,WP_022001672.1,1,25.0,12.55
NA,WP_032091131.1,1,31.0,16.53
ispE,WP_200765008.1,1,28.999999999999996,14.13
glmU,WP_032091132.1,1,31.0,14.22
NA,WP_107029258.1,1,33.0,13.59
NA,WP_200765009.1,1,28.000000000000004,8.27
NA,WP_200765010.1,1,31.0,12.5
isdE,WP_200765011.1,1,28.000000000000004,10.45
NA,WP_117825440.1,1,27.0,9.21
NA,WP_117347715.1,1,25.0,9.84
NA,WP_200765012.1,1,26.0,17.71
NA,WP_117782914.1,1,33.0,15.83
NA,WP_200765013.1,1,28.000000000000004,14.61
NA,WP_200765014.1,1,20.0,10.59
NA,WP_117574309.1,1,20.0,16.71
NA,WP_032091143.1,1,24.0,8.36
NA,WP_200765015.1,1,25.0,9.19
NA,WP_200765016.1,1,23.0,8.26
NA,WP_195941339.1,1,31.0,5.61
NA,WP_022000783.1,1,25.0,12.62
NA,WP_117787800.1,1,22.0,9.48
NA,WP_022000785.1,1,31.0,11.35
NA,WP_200765017.1,1,26.0,11.9
NA,WP_158560167.1,1,24.0,15.91
NA,WP_200765018.1,1,32.0,17.7
NA,WP_117782903.1,1,32.0,14.33
NA,WP_117845202.1,1,28.000000000000004,14.87
mnmG,WP_200765019.1,1,31.0,11.46
rsmG,WP_022000792.1,1,28.999999999999996,14.67
noc,WP_022000793.1,1,27.0,8.06
NA,WP_118573033.1,1,26.0,12.16
NA,WP_117787812.1,1,28.999999999999996,14.62
NA,WP_200765020.1,1,28.000000000000004,11.96
NA,WP_234697811.1,1,32.0,20.91
NA,WP_234697841.1,1,27.0,15.25
NA,WP_200765021.1,1,28.999999999999996,15.26
NA,WP_117574295.1,1,28.999999999999996,18.12
NA,WP_117347693.1,1,26.0,15.05
NA,WP_022000803.1,1,28.000000000000004,19.23
NA,WP_118346997.1,1,28.999999999999996,23.53
NA,WP_227352209.1,1,31.0,19.32
NA,WP_117481631.1,1,30.0,10.56
NA,WP_117347692.1,1,31.0,23.58
nrdD,WP_032091168.1,1,28.999999999999996,10.89
NA,WP_199676977.1,1,30.0,21.05
NA,WP_200765354.1,1,28.999999999999996,9.35
NA,WP_022000811.1,1,26.0,14.04
nrdG,WP_032091169.1,1,28.000000000000004,12.57
NA,WP_022000813.1,1,28.999999999999996,10.77
NA,WP_022000814.1,1,28.000000000000004,15.88
NA,WP_118748781.1,1,30.0,10.57
NA,WP_118346995.1,1,28.000000000000004,8.54
NA,WP_200765022.1,1,32.0,14.64
NA,WP_107029642.1,1,23.0,17.88
NA,WP_200765023.1,1,30.0,13.55
rplI,WP_118749123.1,1,28.000000000000004,12.23
dnaB,WP_022001325.1,1,32.0,15.4
NA,WP_107029643.1,1,34.0,10.77
NA,WP_117347686.1,1,26.0,16.13
NA,WP_200765024.1,1,22.0,14.41
NA,WP_200765025.1,1,22.0,13.76
NA,WP_022001261.1,1,22.0,14.4
NA,WP_107029647.1,1,24.0,12.66
NA,WP_158560220.1,1,34.0,20.97
tnpB,WP_117826274.1,1,34.0,36.36
NA,WP_147322940.1,1,28.999999999999996,27.84
NA,WP_117782891.1,1,28.999999999999996,19.2
NA,WP_227352286.1,1,30.0,23.48
NA,WP_117347682.1,1,35.0,24.22
NA,WP_117347681.1,1,31.0,16.44
NA,WP_117347680.1,1,39.0,24.5
NA,WP_199588564.1,1,34.0,29.06
NA,WP_022000662.1,1,36.0,28.31
NA,WP_022000661.1,1,33.0,21.43
NA,WP_118573756.1,1,28.999999999999996,20.19
NA,WP_106987542.1,1,28.000000000000004,20.3
NA,WP_106987543.1,1,28.999999999999996,25.0
NA,WP_117347677.1,1,27.0,10.81
NA,WP_267905640.1,1,25.0,24.24
NA,WP_117481872.1,1,34.0,28.79
NA,WP_158546555.1,1,34.0,21.51
NA,WP_117575566.1,1,31.0,29.49
NA,WP_107029653.1,1,30.0,15.81
prfA,WP_022002396.1,1,33.0,12.03
prmC,WP_032091181.1,1,28.999999999999996,13.41
NA,WP_117788583.1,1,28.000000000000004,15.38
NA,WP_117575565.1,1,24.0,15.9
tilS,WP_162297494.1,1,27.0,15.56
hpt,WP_022002391.1,1,28.000000000000004,10.12
ftsH,WP_032091185.1,1,34.0,15.78
hslO,WP_022002389.1,1,33.0,14.64
NA,WP_117788581.1,1,24.0,9.21
dusB,WP_022002387.1,1,33.0,14.29
NA,WP_022002386.1,1,24.0,8.81
NA,WP_200765026.1,1,28.000000000000004,14.29
NA,WP_200765027.1,1,28.000000000000004,8.56
NA,WP_200765028.1,1,28.999999999999996,4.55
NA,WP_200765029.1,1,31.0,13.21
lysS,WP_117832633.1,1,31.0,12.32
NA,WP_234697812.1,1,30.0,17.7
NA,WP_117347662.1,1,30.0,13.16
NA,WP_117347661.1,1,30.0,15.87
NA,WP_200765355.1,1,31.0,13.97
NA,WP_117347660.1,1,32.0,17.65
NA,WP_117347659.1,1,28.999999999999996,20.65
NA,WP_200765030.1,1,31.0,15.7
NA,WP_117788575.1,1,26.0,15.96
NA,WP_022002374.1,1,26.0,15.96
NA,WP_117788574.1,1,23.0,15.79
NA,WP_117347655.1,1,28.000000000000004,16.56
NA,WP_117347654.1,1,28.999999999999996,17.41
NA,WP_117788573.1,1,25.0,15.42
NA,WP_267905650.1,1,32.0,19.73
NA,WP_200765031.1,1,22.0,14.55
NA,WP_117575534.1,1,31.0,19.39
NA,WP_200765032.1,1,24.0,13.12
NA,WP_234697844.1,1,28.000000000000004,14.23
NA,WP_117851262.1,1,28.999999999999996,14.14
NA,WP_117832661.1,1,28.000000000000004,11.89
NA,WP_195947465.1,1,28.000000000000004,16.67
NA,WP_195947464.1,1,31.0,16.15
NA,WP_195947462.1,1,32.0,14.64
NA,WP_195947460.1,1,35.0,14.5
NA,WP_195947458.1,1,32.0,13.8
NA,WP_195947456.1,1,27.0,10.39
NA,WP_117788561.1,1,28.000000000000004,18.29
NA,WP_107029700.1,1,26.0,14.5
NA,WP_200765034.1,1,28.999999999999996,17.65
NA,WP_117788559.1,1,27.0,10.87
NA,WP_107029702.1,1,31.0,12.87
NA,WP_022002349.1,1,26.0,9.35
NA,WP_195947427.1,1,32.0,19.44
NA,WP_022002347.1,1,32.0,15.24
NA,WP_234697813.1,1,30.0,21.08
NA,WP_107029706.1,1,30.0,17.34
NA,WP_107029707.1,1,33.0,16.11
NA,WP_200765035.1,1,32.0,14.57
NA,WP_117576111.1,1,22.0,11.11
NA,WP_147338501.1,1,24.0,18.22
NA,WP_200765036.1,1,28.000000000000004,13.99
NA,WP_200765037.1,1,27.0,14.26
rfbB,WP_022001319.1,1,30.0,13.73
rfbC,WP_022001318.1,1,31.0,8.24
rfbA,WP_107030696.1,1,31.0,13.38
NA,WP_117347631.1,1,27.0,16.14
NA,WP_081918857.1,1,36.0,21.43
NA,WP_107030694.1,1,24.0,18.63
NA,WP_022001313.1,1,27.0,19.61
NA,WP_032089395.1,1,23.0,18.43
NA,WP_117576137.1,1,23.0,19.35
NA,WP_117576138.1,1,28.999999999999996,13.62
NA,WP_200765038.1,1,28.999999999999996,14.73
NA,WP_117576134.1,1,27.0,12.67
NA,WP_117788900.1,1,25.0,10.3
NA,WP_117788899.1,1,23.0,16.33
NA,WP_022002559.1,1,28.999999999999996,13.46
NA,WP_022002560.1,1,33.0,14.5
NA,WP_117788898.1,1,28.999999999999996,15.1
NA,WP_158561474.1,1,20.0,20.0
NA,WP_200765039.1,1,26.0,10.99
NA,WP_200765040.1,1,31.0,10.55
NA,WP_022002565.1,1,31.0,19.72
ilvC,WP_107030163.1,1,34.0,17.93
NA,WP_107030164.1,1,26.0,10.66
NA,WP_117788552.1,1,30.0,14.39
NA,WP_147580872.1,1,30.0,15.32
NA,WP_195946856.1,1,27.0,11.58
NA,WP_118473946.1,1,26.0,15.58
NA,WP_200765041.1,1,28.999999999999996,23.02
