gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_127746868.1,1,54.0,60.09
dnaN,WP_127746869.1,1,56.99999999999999,63.36
recF,WP_127746870.1,1,61.0,68.54
NA,WP_127746871.1,1,57.99999999999999,68.53
NA,WP_238704963.1,1,54.0,60.34
NA,WP_127746873.1,1,56.00000000000001,61.7
gyrB,WP_127746874.1,1,56.00000000000001,64.7
NA,WP_127746875.1,1,53.0,57.4
NA,WP_127750816.1,1,54.0,59.66
pncA,WP_127746876.1,1,52.0,54.69
NA,WP_127746877.1,1,52.0,57.8
pncB,WP_127746878.1,1,55.00000000000001,66.67
NA,WP_127750817.1,1,61.0,65.97
NA,WP_127746879.1,1,59.0,64.19
NA,WP_127746880.1,1,59.0,68.07
NA,WP_127746881.1,1,62.0,75.95
NA,WP_127746882.1,1,59.0,70.92
NA,WP_127746883.1,1,56.99999999999999,67.7
panB,WP_127746884.1,1,57.99999999999999,64.58
panC,WP_127746885.1,1,56.99999999999999,62.68
glpK,WP_127746886.1,1,61.0,67.42
NA,WP_127746887.1,1,57.99999999999999,65.2
NA,WP_127746888.1,1,53.0,61.4
NA,WP_127746889.1,1,56.99999999999999,62.5
NA,WP_127746890.1,1,61.0,59.46
NA,WP_127746891.1,1,55.00000000000001,68.52
NA,WP_127746892.1,1,56.99999999999999,66.53
arfB,WP_127746893.1,1,57.99999999999999,60.77
NA,WP_127746894.1,1,55.00000000000001,59.6
NA,WP_127746895.1,1,54.0,56.31
mepA,WP_238705101.1,1,55.00000000000001,54.21
NA,WP_127746897.1,1,56.00000000000001,64.49
NA,WP_127746898.1,1,56.99999999999999,65.32
NA,WP_127746899.1,1,52.0,69.77
recQ,WP_127746900.1,1,60.0,63.15
yaaA,WP_127746901.1,1,55.00000000000001,62.75
NA,WP_127746902.1,1,53.0,59.67
NA,WP_177627751.1,1,60.0,63.08
pbpC,WP_238704964.1,1,62.0,63.76
NA,WP_127746903.1,1,61.0,66.77
NA,WP_127746904.1,1,63.0,69.84
NA,WP_127746905.1,1,61.0,66.08
NA,WP_127746906.1,1,62.0,70.86
NA,WP_127746907.1,1,57.99999999999999,64.67
NA,WP_127746908.1,1,56.99999999999999,59.75
polA,WP_127746909.1,1,59.0,69.59
NA,WP_127746910.1,1,57.99999999999999,69.67
NA,WP_127746911.1,1,60.0,69.0
NA,WP_127746912.1,1,56.00000000000001,64.29
NA,WP_127746913.1,1,56.00000000000001,63.45
NA,WP_127746914.1,1,61.0,72.01
gpmI,WP_127746915.1,1,57.99999999999999,63.31
NA,WP_127746916.1,1,61.0,62.47
