gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_009543196.1,1,46.0,40.74
NA,WP_243397361.1,1,47.0,33.95
NA,WP_009543194.1,1,43.0,35.71
NA,WP_009543193.1,1,43.0,36.21
NA,WP_009543192.1,1,44.0,30.96
NA,WP_009543191.1,1,32.0,20.44
NA,WP_009543190.1,1,31.0,26.67
NA,WP_009543189.1,1,34.0,20.83
NA,WP_009543188.1,1,33.0,15.79
NA,WP_009543187.1,1,33.0,17.65
NA,WP_009543186.1,1,38.0,28.18
NA,WP_009543185.1,1,41.0,35.16
NA,WP_009543184.1,1,31.0,18.3
NA,WP_009543183.1,1,30.0,15.9
NA,WP_009543182.1,1,37.0,26.53
NA,WP_009543181.1,1,40.0,32.72
NA,WP_009543180.1,1,42.0,31.55
NA,WP_009543179.1,1,39.0,32.14
NA,WP_009543178.1,1,35.0,22.36
NA,WP_008277352.1,1,44.0,42.2
NA,WP_009543177.1,1,43.0,38.64
NA,WP_009543176.1,1,45.0,43.62
NA,WP_024750174.1,1,30.0,17.5
NA,WP_009543174.1,1,35.0,16.46
NA,WP_009543173.1,1,34.0,23.96
NA,WP_009543170.1,1,28.000000000000004,17.76
NA,WP_009543169.1,1,40.0,26.88
NA,WP_009543168.1,1,40.0,30.77
hisIE,WP_009543167.1,1,40.0,30.62
NA,WP_009543166.1,1,33.0,21.95
NA,WP_009543165.1,1,45.0,43.05
NA,WP_009543164.1,1,48.0,37.31
NA,WP_009543163.1,1,39.0,32.18
NA,WP_009543162.1,1,41.0,28.8
ald,WP_009543160.1,1,45.0,33.71
NA,WP_009543159.1,1,37.0,27.71
NA,WP_009543158.1,1,33.0,19.72
NA,WP_009543157.1,1,28.999999999999996,17.82
NA,WP_009543156.1,1,31.0,23.36
NA,WP_009543155.1,1,39.0,27.93
gmhA,WP_009543154.1,1,44.0,35.83
NA,WP_009543153.1,1,40.0,38.13
NA,WP_156922830.1,2,31.0,19.22
NA,WP_009543150.1,1,31.0,19.12
NA,WP_009543149.1,1,33.0,17.98
NA,WP_009543148.1,1,28.999999999999996,12.77
NA,WP_009543146.1,1,35.0,23.53
NA,WP_009543145.1,1,39.0,31.82
lgt,WP_009543144.1,1,44.0,41.2
NA,WP_009543143.1,1,42.0,34.82
NA,WP_009543142.1,1,35.0,22.61
NA,WP_009543141.1,1,28.999999999999996,20.37
NA,WP_009543140.1,1,43.0,32.56
NA,WP_009543139.1,1,28.999999999999996,20.34
NA,WP_009543138.1,1,34.0,24.45
glcD,WP_009543137.1,1,41.0,28.78
NA,WP_009543136.1,1,34.0,21.84
NA,WP_009543135.1,1,38.0,31.52
