gene_name,prot_id,number_of_exons,GC,GC3
fhuE,WP_061273414.1,2,61.0,79.78
NA,WP_061273416.1,1,64.0,71.48
NA,WP_061273418.1,1,64.0,72.4
NA,WP_038477676.1,1,64.0,79.52
NA,WP_061273419.1,1,57.99999999999999,70.12
NA,WP_061273421.1,1,62.0,78.24
NA,WP_061273423.1,1,62.0,70.49
NA,WP_061273425.1,1,63.0,83.51
NA,WP_082763180.1,1,39.0,42.5
NA,WP_138089232.1,1,34.0,35.53
NA,WP_061273430.1,1,47.0,43.97
NA,WP_061273432.1,1,32.0,23.19
NA,WP_061273434.1,1,40.0,34.82
NA,WP_061273436.1,1,46.0,42.26
NA,WP_072279091.1,1,39.0,36.76
NA,WP_061273440.1,1,44.0,44.74
NA,WP_169799394.1,1,43.0,45.28
NA,WP_061273444.1,1,45.0,44.44
NA,WP_061273446.1,1,53.0,63.73
NA,WP_061273490.1,1,56.99999999999999,79.31
NA,WP_061273448.1,1,60.0,77.05
NA,WP_061273450.1,1,61.0,69.8
deoC,WP_045784319.1,1,60.0,72.37
NA,WP_061273452.1,1,62.0,72.76
alsE,WP_061273454.1,1,57.99999999999999,72.15
NA,WP_061273456.1,1,60.0,66.78
fucP,WP_061273458.1,1,56.00000000000001,71.59
NA,WP_061273460.1,1,55.00000000000001,59.68
fdhE,WP_061273462.1,1,60.0,77.67
fdoI,WP_038477697.1,1,54.0,70.79
fdxH,WP_038477700.1,1,62.0,78.69
fdhD,WP_061273468.1,1,60.0,66.93
NA,WP_061273470.1,1,49.0,60.67
NA,WP_061273472.1,1,50.0,59.46
NA,WP_061278600.1,1,61.0,78.93
selB,WP_061278598.1,1,63.0,70.32
selA,WP_061278595.1,1,64.0,75.94
NA,WP_061278593.1,1,61.0,71.5
NA,WP_061278590.1,1,59.0,73.87
NA,WP_061278588.1,1,59.0,75.79
NA,WP_061278586.1,1,57.99999999999999,72.38
mtlD,WP_061278584.1,1,59.0,71.05
mtlR,WP_008458691.1,1,57.99999999999999,74.12
NA,WP_061278582.1,1,56.00000000000001,71.17
NA,WP_174522191.1,1,61.0,71.63
NA,WP_061278580.1,1,56.99999999999999,70.83
NA,WP_061278578.1,1,56.99999999999999,69.28
NA,WP_061278575.1,1,60.0,68.0
NA,WP_072279204.1,1,56.99999999999999,62.5
NA,WP_061278573.1,1,56.99999999999999,66.74
NA,WP_061278570.1,1,56.00000000000001,67.35
nudI,WP_061278568.1,1,55.00000000000001,64.39
NA,WP_061278565.1,1,45.0,52.55
NA,WP_096753939.1,1,39.0,37.76
NA,WP_096753940.1,1,39.0,39.86
NA,WP_061277708.1,1,50.0,57.14
NA,WP_061277707.1,1,52.0,61.08
NA,WP_061277706.1,1,53.0,58.88
NA,WP_061277705.1,1,52.0,55.03
NA,WP_061277704.1,1,59.0,75.0
NA,WP_061277703.1,1,44.0,44.44
gorA,WP_061277702.1,1,59.0,73.92
NA,WP_061277701.1,1,60.0,74.91
NA,WP_061277700.1,1,60.0,72.22
prlC,WP_061277699.1,1,60.0,74.81
rsmJ,WP_061277698.1,1,63.0,72.2
NA,WP_138089233.1,1,59.0,64.62
uspA,WP_008458645.1,1,52.0,62.5
uspB,WP_038477817.1,1,53.0,61.76
pitA,WP_061277696.1,1,56.00000000000001,69.12
NA,WP_061277695.1,1,60.0,72.68
NA,WP_061277694.1,1,57.99999999999999,69.39
NA,WP_061277693.1,1,56.00000000000001,69.65
NA,WP_245874349.1,1,52.0,69.33
NA,WP_061277691.1,1,64.0,69.14
NA,WP_061277690.1,1,61.0,67.19
NA,WP_061277689.1,1,57.99999999999999,70.32
NA,WP_061277688.1,1,59.0,73.13
NA,WP_061277687.1,1,61.0,66.33
NA,WP_061277686.1,1,55.00000000000001,75.0
NA,WP_061277697.1,1,62.0,70.78
NA,WP_061277685.1,1,55.00000000000001,62.25
NA,WP_061277684.1,1,56.99999999999999,75.88
NA,WP_061277683.1,1,56.00000000000001,71.02
NA,WP_045784268.1,1,54.0,71.7
tusA,WP_061277682.1,1,62.0,75.0
NA,WP_061277681.1,1,54.0,61.42
NA,WP_038477862.1,1,45.0,55.32
zntA,WP_061277680.1,1,62.0,72.25
NA,WP_061277679.1,1,52.0,61.95
NA,WP_061277678.1,1,54.0,66.28
NA,WP_245874351.1,1,55.00000000000001,70.47
NA,WP_061277676.1,1,59.0,74.87
NA,WP_061277675.1,1,56.99999999999999,68.42
NA,WP_096754169.1,1,53.0,68.75
rsmD,WP_061277674.1,1,57.99999999999999,63.98
ftsY,WP_061277673.1,1,54.0,57.22
ftsE,WP_061277672.1,1,56.00000000000001,62.91
ftsX,WP_061277671.1,1,56.00000000000001,67.54
