gene_name,prot_id,number_of_exons,GC,GC3
rpmC,WP_144088753.1,2,35.0,23.21
rpsQ,WP_144163575.1,1,38.0,32.05
rplN,WP_144163574.1,1,45.0,30.09
rplX,WP_144163573.1,1,40.0,25.53
rplE,WP_144163572.1,1,41.0,31.18
NA,WP_144088758.1,1,42.0,26.92
rpsH,WP_144163571.1,1,41.0,32.52
rplF,WP_216687415.1,1,41.0,29.59
rplR,WP_144088761.1,1,45.0,29.73
rpsE,WP_144163569.1,1,44.0,26.58
rpmD,WP_144163568.1,1,41.0,27.45
rplO,WP_144088764.1,1,45.0,32.12
secY,WP_144163567.1,1,42.0,40.14
NA,WP_144163566.1,1,40.0,27.54
map,WP_144163565.1,1,44.0,37.24
NA,WP_144163564.1,1,41.0,46.94
infA,WP_144163563.1,1,37.0,26.98
rpmJ,WP_144088770.1,1,32.0,21.43
rpsM,WP_216687416.1,1,43.0,28.57
rpsK,WP_144163561.1,1,48.0,30.33
NA,WP_144163560.1,1,39.0,31.8
rplQ,WP_144163559.1,1,44.0,25.89
NA,WP_216687417.1,1,40.0,36.84
NA,WP_144163557.1,1,42.0,34.77
NA,WP_144163556.1,1,39.0,41.02
truA,WP_274236585.1,1,43.0,41.1
purB,WP_216687419.1,1,42.0,36.97
purH,WP_216687446.1,1,44.0,36.27
rplM,WP_144088781.1,1,41.0,31.62
rpsI,WP_216687420.1,1,44.0,26.45
NA,WP_246569265.1,1,28.999999999999996,19.77
NA,WP_144163550.1,1,33.0,26.09
NA,WP_216687421.1,1,34.0,29.04
istB,WP_216687422.1,1,35.0,28.05
istA,WP_216687448.1,1,37.0,29.82
NA,WP_179946421.1,1,34.0,22.58
NA,WP_216687423.1,1,34.0,31.49
NA,WP_068441694.1,1,37.0,34.84
NA,WP_246569266.1,1,36.0,32.13
NA,WP_216687425.1,1,28.999999999999996,20.18
NA,WP_144163547.1,1,38.0,32.35
NA,WP_216687426.1,1,34.0,31.11
NA,WP_216687427.1,1,35.0,26.15
NA,WP_216687428.1,1,42.0,41.09
NA,WP_216687429.1,1,39.0,34.91
NA,WP_216687431.1,1,40.0,25.85
phnC,WP_216687432.1,1,40.0,35.6
phnE,WP_216687433.1,1,39.0,37.55
NA,WP_216687435.1,1,40.0,34.76
NA,WP_216687436.1,1,45.0,39.42
NA,WP_216687437.1,1,43.0,43.95
NA,WP_216687438.1,1,45.0,48.26
NA,WP_216687439.1,1,46.0,36.55
NA,WP_216687449.1,1,34.0,35.91
NA,WP_246569268.1,1,42.0,40.38
NA,WP_144163857.1,1,40.0,40.3
NA,WP_216687440.1,1,45.0,37.02
cwlD,WP_216687441.1,1,45.0,40.0
NA,WP_144163860.1,1,43.0,36.01
gerD,WP_216687442.1,1,40.0,35.41
NA,WP_274236603.1,1,42.0,45.21
NA,WP_216687444.1,1,41.0,40.16
NA,WP_144089247.1,1,39.0,39.27
rocF,WP_216687190.1,1,38.0,27.93
sigW,WP_216687191.1,1,40.0,37.16
NA,WP_216687192.1,1,38.0,39.49
cdaA,WP_144163457.1,1,41.0,39.02
NA,WP_144163458.1,1,41.0,30.94
glmM,WP_216687193.1,1,43.0,33.71
glmS,WP_216687194.1,1,43.0,38.58
NA,WP_212369685.1,1,42.0,43.97
NA,WP_216687195.1,1,35.0,32.34
NA,WP_212369694.1,1,45.0,40.16
NA,WP_212369699.1,1,38.0,35.29
NA,WP_216687196.1,1,40.0,38.19
NA,WP_216687197.1,1,43.0,46.54
NA,WP_274237387.1,1,45.0,47.74
NA,WP_212369713.1,1,41.0,24.85
NA,WP_212369715.1,1,34.0,27.83
NA,WP_216687199.1,1,37.0,35.05
NA,WP_216687200.1,1,41.0,35.09
NA,WP_246569235.1,1,39.0,36.88
asnB,WP_216687201.1,1,43.0,42.67
NA,WP_246569236.1,1,42.0,36.59
NA,WP_216687203.1,1,45.0,42.36
NA,WP_216687204.1,1,41.0,29.09
NA,WP_246569237.1,1,40.0,36.19
NA,WP_216687205.1,1,36.0,36.51
NA,WP_216687206.1,1,34.0,18.71
NA,WP_216687208.1,1,46.0,52.69
guaC,WP_216687209.1,1,42.0,36.91
NA,WP_216687210.1,1,41.0,30.38
NA,WP_216687211.1,1,39.0,37.8
NA,WP_216687212.1,1,43.0,45.85
NA,WP_212369750.1,1,42.0,40.33
NA,WP_216687213.1,1,40.0,37.78
NA,WP_216687214.1,1,42.0,37.35
NA,WP_212369755.1,1,38.0,35.14
NA,WP_212369758.1,1,42.0,44.07
NA,WP_212369760.1,1,39.0,30.0
fetB,WP_212369763.1,1,42.0,43.5
NA,WP_216687215.1,1,43.0,43.53
NA,WP_212369769.1,1,46.0,38.64
trpA,WP_216687216.1,1,46.0,42.06
trpB,WP_216687217.1,1,46.0,37.76
NA,WP_216687218.1,1,45.0,36.73
trpC,WP_216687219.1,1,42.0,40.0
trpD,WP_216687277.1,1,46.0,39.58
NA,WP_216687220.1,1,35.0,40.28
NA,WP_216687221.1,1,34.0,26.6
NA,WP_216687222.1,1,38.0,36.8
NA,WP_216687223.1,1,41.0,35.71
NA,WP_216687278.1,1,43.0,32.66
csaA,WP_144163486.1,1,47.0,42.0
NA,WP_216687224.1,1,39.0,32.87
NA,WP_216687225.1,1,42.0,36.28
NA,WP_144163489.1,1,45.0,38.14
NA,WP_216687226.1,1,42.0,33.33
NA,WP_144163491.1,1,44.0,40.91
NA,WP_216687227.1,1,36.0,36.59
NA,WP_186278656.1,1,35.0,36.63
NA,WP_144163494.1,1,44.0,38.97
NA,WP_216687228.1,1,43.0,40.54
NA,WP_246569238.1,1,43.0,36.88
NA,WP_216687229.1,1,42.0,41.41
NA,WP_186278657.1,1,35.0,39.66
NA,WP_216687280.1,1,36.0,36.16
NA,WP_144163865.1,1,40.0,38.16
NA,WP_216687230.1,1,44.0,38.15
NA,WP_216687231.1,1,43.0,38.57
NA,WP_186278689.1,1,38.0,35.04
NA,WP_216687232.1,1,41.0,40.14
NA,WP_216687233.1,1,41.0,44.96
NA,WP_216687234.1,1,37.0,33.19
NA,WP_144162257.1,1,42.0,26.79
NA,WP_216687235.1,1,43.0,35.48
NA,WP_216687236.1,1,28.000000000000004,28.57
NA,WP_216687237.1,1,39.0,37.14
NA,WP_216687238.1,1,39.0,35.09
NA,WP_216687239.1,1,40.0,45.0
NA,WP_216687240.1,1,31.0,38.82
NA,WP_216687241.1,1,37.0,40.43
NA,WP_216687242.1,1,36.0,38.78
NA,WP_216687243.1,1,39.0,29.63
NA,WP_216687244.1,1,34.0,34.41
NA,WP_216687245.1,1,41.0,38.27
NA,WP_186278589.1,1,39.0,35.56
NA,WP_144089631.1,1,37.0,30.0
NA,WP_216687246.1,1,38.0,39.08
NA,WP_216687247.1,1,41.0,38.61
NA,WP_216687248.1,1,43.0,41.79
NA,WP_216687249.1,1,40.0,38.27
gerQ,WP_246569242.1,1,47.0,37.88
NA,WP_216687250.1,1,41.0,40.42
NA,WP_216687251.1,1,40.0,35.85
NA,WP_216687252.1,1,43.0,40.44
NA,WP_216687253.1,1,39.0,36.76
NA,WP_216687254.1,1,40.0,37.59
NA,WP_216687255.1,1,36.0,34.39
NA,WP_216687256.1,1,31.0,28.57
NA,WP_216687257.1,1,44.0,39.76
NA,WP_216687258.1,1,44.0,40.09
htpX,WP_216687259.1,1,44.0,39.1
NA,WP_216687260.1,1,42.0,34.93
NA,WP_216687261.1,1,37.0,28.26
NA,WP_216687262.1,1,43.0,44.44
NA,WP_144162342.1,1,40.0,31.35
NA,WP_216687263.1,1,38.0,38.68
NA,WP_216687264.1,1,37.0,43.28
NA,WP_216687265.1,1,39.0,41.37
NA,WP_216687266.1,1,42.0,30.3
NA,WP_216687267.1,1,41.0,34.72
NA,WP_216687268.1,1,44.0,39.55
NA,WP_216687269.1,1,39.0,40.0
NA,WP_144162366.1,1,40.0,38.94
NA,WP_216687270.1,1,43.0,33.56
NA,WP_144162369.1,1,39.0,38.65
NA,WP_216687271.1,1,39.0,34.04
NA,WP_216687272.1,1,41.0,40.45
NA,WP_222103059.1,1,28.999999999999996,32.0
NA,WP_216687273.1,1,44.0,36.08
NA,WP_216687274.1,1,44.0,44.9
NA,WP_216687275.1,1,35.0,29.79
NA,WP_144162383.1,1,43.0,38.38
NA,WP_144162388.1,1,36.0,35.82
NA,WP_144162572.1,1,39.0,30.46
NA,WP_144162391.1,1,41.0,39.25
NA,WP_216687741.1,1,38.0,35.29
NA,WP_144162397.1,1,37.0,31.47
NA,WP_216687740.1,1,42.0,33.33
NA,WP_144162403.1,1,39.0,27.59
NA,WP_144162406.1,1,40.0,32.75
NA,WP_144162409.1,1,48.0,24.0
NA,WP_216687739.1,1,38.0,35.74
NA,WP_216687738.1,1,42.0,43.33
NA,WP_216687737.1,1,41.0,39.4
NA,WP_246569313.1,1,34.0,37.21
NA,WP_216687736.1,1,43.0,41.16
ytzI,WP_144162427.1,1,36.0,30.0
NA,WP_216687735.1,1,43.0,47.37
NA,WP_216687734.1,1,37.0,30.87
NA,WP_216687733.1,1,40.0,39.69
NA,WP_216687732.1,1,35.0,34.15
NA,WP_144162439.1,1,43.0,46.92
arsC,WP_144162442.1,1,45.0,35.66
NA,WP_216687731.1,1,40.0,39.13
NA,WP_144162448.1,1,38.0,35.48
NA,WP_144162451.1,1,37.0,28.81
NA,WP_144162454.1,1,43.0,38.59
NA,WP_216687730.1,1,42.0,43.23
menA,WP_216687729.1,1,42.0,38.13
NA,WP_216687728.1,1,41.0,40.38
NA,WP_144162469.1,1,41.0,43.84
NA,WP_144162472.1,1,35.0,26.51
NA,WP_144089218.1,1,45.0,32.14
NA,WP_144162475.1,1,47.0,54.88
NA,WP_144162478.1,1,44.0,35.76
NA,WP_144162481.1,1,39.0,29.77
NA,WP_144162484.1,1,43.0,41.77
NA,WP_144162487.1,1,42.0,36.94
NA,WP_144162490.1,1,42.0,28.64
NA,WP_144162493.1,1,35.0,28.73
NA,WP_144162496.1,1,38.0,23.94
NA,WP_144162498.1,1,43.0,43.72
NA,WP_144162501.1,1,34.0,34.88
NA,WP_216687727.1,1,42.0,35.49
NA,WP_144162507.1,1,43.0,37.61
NA,WP_216687726.1,1,43.0,43.55
NA,WP_216687725.1,1,41.0,38.31
NA,WP_144162513.1,1,41.0,41.13
NA,WP_216687724.1,1,39.0,34.94
NA,WP_216687723.1,1,43.0,38.97
NA,WP_144162522.1,1,43.0,41.47
NA,WP_144162525.1,1,43.0,32.0
NA,WP_144162528.1,1,34.0,43.1
NA,WP_144162574.1,1,46.0,40.85
NA,WP_216687722.1,1,42.0,40.72
NA,WP_216687721.1,1,39.0,32.86
NA,WP_216687720.1,1,41.0,32.95
NA,WP_216687719.1,1,41.0,37.5
NA,WP_144162542.1,1,41.0,43.84
NA,WP_144162544.1,1,39.0,39.15
NA,WP_212371692.1,1,39.0,31.9
acpS,WP_144162546.1,1,41.0,37.17
NA,WP_216687950.1,1,41.0,43.81
alr,WP_216687949.1,1,43.0,36.41
NA,WP_144089538.1,1,41.0,39.02
NA,WP_144089539.1,1,40.0,37.38
NA,WP_144162552.1,1,40.0,35.82
NA,WP_246569343.1,1,40.0,35.45
NA,WP_144162556.1,1,44.0,40.32
NA,WP_216687947.1,1,38.0,32.62
NA,WP_216687946.1,1,39.0,40.4
rsbW,WP_216687945.1,1,43.0,44.0
sigB,WP_216687944.1,1,40.0,34.78
NA,WP_246569342.1,1,41.0,37.5
NA,WP_216687943.1,1,41.0,37.13
cmpA,WP_144089549.1,1,28.999999999999996,32.14
NA,WP_144162568.1,1,35.0,24.09
thiL,WP_246569287.1,1,37.0,25.57
tsaE,WP_144163754.1,1,39.0,30.71
tsaB,WP_144163755.1,1,42.0,36.77
rimI,WP_144163766.1,1,39.0,33.57
tsaD,WP_144163756.1,1,43.0,34.25
NA,WP_144163757.1,1,41.0,37.42
NA,WP_144163758.1,1,38.0,38.0
NA,WP_144163759.1,1,42.0,41.09
NA,WP_144163760.1,1,39.0,50.0
NA,WP_144163761.1,1,38.0,39.74
groES,WP_144088986.1,1,44.0,34.12
groL,WP_216687557.1,1,44.0,31.27
NA,WP_255439962.1,1,39.0,27.13
NA,WP_216687558.1,1,39.0,25.09
NA,WP_216687559.1,1,34.0,23.76
NA,WP_216687589.1,1,53.0,46.15
NA,WP_274236738.1,1,40.0,38.27
NA,WP_274236739.1,1,38.0,31.73
NA,WP_216687562.1,1,42.0,37.7
NA,WP_144163779.1,1,38.0,34.85
NA,WP_144163778.1,1,43.0,41.75
NA,WP_186278680.1,1,41.0,39.81
NA,WP_144163776.1,1,44.0,41.93
NA,WP_144163775.1,1,44.0,40.84
NA,WP_216687563.1,1,42.0,38.55
NA,WP_255439964.1,1,42.0,46.0
NA,WP_186278679.1,1,46.0,41.79
NA,WP_216687564.1,1,40.0,38.92
NA,WP_216687565.1,1,41.0,34.69
NA,WP_144163770.1,1,42.0,36.96
NA,WP_216687566.1,1,46.0,39.34
crcB,WP_144163769.1,1,41.0,37.86
NA,WP_144163768.1,1,42.0,41.74
mgtE,WP_216687567.1,1,38.0,36.47
NA,WP_216687568.1,1,43.0,41.24
NA,WP_216687587.1,1,42.0,40.71
pcrA,WP_216687569.1,1,42.0,42.86
ligA,WP_216687570.1,1,44.0,39.08
NA,WP_216687571.1,1,39.0,33.5
pruA,WP_216687572.1,1,44.0,38.31
NA,WP_216687573.1,1,47.0,50.0
NA,WP_216687574.1,1,41.0,37.04
pepF,WP_216687575.1,1,43.0,39.32
gatC,WP_144161949.1,1,42.0,42.05
gatA,WP_216687576.1,1,44.0,38.72
gatB,WP_216687577.1,1,42.0,42.18
NA,WP_216687578.1,1,43.0,39.04
NA,WP_216687579.1,1,32.0,35.71
rlmD,WP_216687580.1,1,43.0,42.6
NA,WP_216687581.1,1,39.0,35.53
NA,WP_216687582.1,1,38.0,27.5
NA,WP_216687588.1,1,36.0,25.51
NA,WP_246569289.1,1,48.0,38.1
NA,WP_144161970.1,1,33.0,24.0
NA,WP_216687584.1,1,40.0,32.72
NA,WP_216687585.1,1,45.0,38.46
NA,WP_216687586.1,1,38.0,28.36
NA,WP_212371692.1,1,39.0,31.9
NA,WP_216687951.1,1,40.0,22.39
NA,WP_216687952.1,1,38.0,29.5
NA,WP_216687953.1,1,40.0,39.81
cyoE,WP_216687954.1,1,42.0,47.59
NA,WP_216687955.1,1,56.00000000000001,62.16
NA,WP_246569346.1,1,43.0,39.88
NA,WP_216687956.1,1,38.0,26.57
NA,WP_216687957.1,1,40.0,33.13
NA,WP_216687958.1,1,43.0,38.46
NA,WP_216687959.1,1,41.0,38.08
NA,WP_144162002.1,1,38.0,29.89
NA,WP_216687960.1,1,37.0,39.44
codA,WP_216687961.1,1,41.0,32.68
NA,WP_216687962.1,1,42.0,40.92
NA,WP_216687963.1,1,43.0,42.86
ltrA,WP_216687983.1,1,39.0,38.41
NA,WP_216687891.1,1,41.0,29.17
NA,WP_216687892.1,1,37.0,36.0
NA,WP_216687893.1,1,42.0,33.88
NA,WP_216687894.1,1,41.0,37.46
NA,WP_144162235.1,1,38.0,39.33
NA,WP_186278583.1,1,41.0,36.73
NA,WP_216687895.1,1,45.0,38.69
NA,WP_216687896.1,1,43.0,38.82
NA,WP_246569338.1,1,45.0,35.0
NA,WP_216687897.1,1,39.0,37.33
NA,WP_216687898.1,1,39.0,37.5
NA,WP_216687899.1,1,37.0,34.59
NA,WP_216687900.1,1,43.0,42.86
NA,WP_144162049.1,1,49.0,33.33
NA,WP_216687901.1,1,39.0,36.43
NA,WP_216687902.1,1,39.0,36.93
NA,WP_216687903.1,1,43.0,47.37
NA,WP_216687904.1,1,42.0,40.2
NA,WP_216687905.1,1,42.0,39.91
NA,WP_216687906.1,1,36.0,32.97
NA,WP_216687907.1,1,35.0,33.59
NA,WP_246569340.1,1,40.0,27.76
NA,WP_216687909.1,1,39.0,34.94
NA,WP_144162244.1,1,39.0,39.4
NA,WP_216687910.1,1,42.0,40.53
NA,WP_216687911.1,1,42.0,40.0
NA,WP_216687912.1,1,50.0,61.21
NA,WP_216687913.1,1,40.0,34.88
NA,WP_212371403.1,1,43.0,36.36
NA,WP_216687914.1,1,41.0,37.12
NA,WP_216687915.1,1,42.0,39.29
NA,WP_216687916.1,1,34.0,31.53
NA,WP_216687917.1,1,41.0,37.2
NA,WP_216687918.1,1,40.0,37.42
NA,WP_216687919.1,1,36.0,27.88
NA,WP_216687920.1,1,40.0,34.31
tnpB,WP_274236784.1,1,40.0,43.96
NA,WP_212371692.1,1,39.0,31.9
NA,WP_216687694.1,1,38.0,32.42
NA,WP_144162097.1,1,36.0,32.89
NA,WP_212371383.1,1,41.0,34.91
NA,WP_212371382.1,1,39.0,32.26
NA,WP_216687693.1,1,39.0,41.27
NA,WP_216687692.1,1,37.0,37.9
NA,WP_216687691.1,1,36.0,33.11
NA,WP_274237395.1,1,38.0,41.5
mreBH,WP_144162115.1,1,44.0,38.34
NA,WP_216687689.1,1,38.0,31.46
NA,WP_274236792.1,1,38.0,38.36
NA,WP_216687688.1,1,42.0,41.04
NA,WP_216687687.1,1,46.0,40.5
NA,WP_144162127.1,1,37.0,30.26
NA,WP_144162130.1,1,39.0,33.77
NA,WP_144162133.1,1,41.0,43.59
NA,WP_144162136.1,1,41.0,40.84
NA,WP_144162139.1,1,41.0,37.82
NA,WP_144162142.1,1,44.0,42.99
pdaA,WP_216687686.1,1,40.0,34.0
NA,WP_216687685.1,1,43.0,34.48
NA,WP_216687684.1,1,41.0,40.0
NA,WP_216687683.1,1,36.0,32.64
NA,WP_144162160.1,1,39.0,32.56
NA,WP_216687682.1,1,40.0,40.24
NA,WP_216687681.1,1,41.0,39.04
