gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_232769924.1,1,52.0,51.06
NA,WP_232769897.1,1,39.0,34.07
NA,WP_232769898.1,1,47.0,36.14
NA,WP_232769899.1,1,54.0,50.77
NA,WP_232769925.1,1,53.0,58.45
NA,WP_232769900.1,1,40.0,33.33
NA,WP_165385156.1,1,49.0,58.7
NA,WP_232769926.1,1,38.0,29.51
NA,WP_232769927.1,1,37.0,27.41
NA,WP_232769928.1,1,38.0,28.69
NA,WP_232769929.1,1,38.0,27.91
NA,WP_232769930.1,1,53.0,62.8
NA,WP_232769905.1,1,56.00000000000001,67.82
NA,WP_269812094.1,1,66.0,70.97
NA,WP_232769906.1,1,56.00000000000001,63.0
NA,WP_131694541.1,1,55.00000000000001,68.65
NA,WP_232769931.1,1,56.99999999999999,66.99
NA,WP_112168801.1,1,55.00000000000001,58.5
NA,WP_113876574.1,1,59.0,65.52
NA,WP_131693619.1,1,60.0,75.0
NA,WP_232769907.1,1,64.0,77.5
lysB,WP_232769908.1,1,59.0,61.36
lysC,WP_232770501.1,1,57.99999999999999,61.64
NA,WP_232769909.1,1,54.0,64.38
NA,WP_232769910.1,1,56.00000000000001,60.28
NA,WP_232769932.1,1,36.0,27.21
NA,WP_232769933.1,1,62.0,71.08
NA,WP_232769934.1,1,61.0,75.7
NA,WP_232769935.1,1,63.0,73.72
NA,WP_232769914.1,1,62.0,75.3
NA,WP_232769936.1,1,56.00000000000001,61.87
NA,WP_232769937.1,1,60.0,76.05
NA,WP_232769938.1,1,60.0,79.38
NA,WP_232769918.1,1,57.99999999999999,73.81
NA,WP_112150974.1,1,62.0,77.42
NA,WP_232769939.1,1,61.0,73.6
NA,WP_232769919.1,1,61.0,77.55
NA,WP_232769940.1,1,60.0,74.4
fos,WP_232769920.1,1,45.0,41.13
NA,WP_232770502.1,1,43.0,42.19
NA,WP_232769941.1,1,52.0,60.82
NA,WP_095921404.1,1,55.00000000000001,63.73
copD,WP_095921403.1,1,57.99999999999999,71.93
copC,WP_229921023.1,1,53.0,58.88
ftnA,WP_095921401.1,1,49.0,61.01
NA,WP_013576177.1,1,53.0,58.21
pip,WP_095921400.1,1,56.99999999999999,63.11
NA,WP_119826420.1,1,54.0,63.43
yebF,WP_119826422.1,1,56.99999999999999,65.18
dbpA,WP_131694450.1,1,57.99999999999999,65.63
purT,WP_095921396.1,1,57.99999999999999,66.84
NA,WP_095921395.1,1,53.0,52.0
pabB,WP_131694449.1,1,59.0,65.03
NA,WP_195817019.1,1,59.0,62.96
NA,WP_119826433.1,1,56.00000000000001,63.82
NA,WP_095921391.1,1,54.0,64.88
NA,WP_095921390.1,1,56.00000000000001,66.47
manX,WP_095921389.1,1,53.0,56.27
NA,WP_095921388.1,1,53.0,58.2
NA,WP_095921387.1,1,55.00000000000001,66.42
NA,WP_119826437.1,1,44.0,56.64
mntP,WP_119826439.1,1,55.00000000000001,64.64
rlmA,WP_119826441.1,1,56.00000000000001,62.5
pgeF,WP_232769942.1,1,56.99999999999999,61.16
cspE,WP_002221949.1,1,49.0,55.0
NA,WP_071823629.1,1,41.0,41.38
NA,WP_119826443.1,1,53.0,52.81
NA,WP_095925098.1,1,56.00000000000001,57.65
NA,WP_013576199.1,1,52.0,49.28
NA,WP_095921381.1,1,51.0,61.54
NA,WP_095921380.1,1,54.0,55.56
NA,WP_232769943.1,1,51.0,56.64
NA,WP_095921377.1,1,51.0,59.42
NA,WP_015697897.1,1,48.0,56.94
NA,WP_095921376.1,1,49.0,50.0
NA,WP_232769944.1,1,51.0,59.4
NA,WP_095921374.1,1,54.0,48.39
NA,WP_013576208.1,1,52.0,56.98
NA,WP_162928692.1,1,57.99999999999999,50.91
NA,WP_119826447.1,1,53.0,62.09
NA,WP_131694519.1,1,42.0,39.51
NA,WP_095921372.1,1,54.0,54.55
icd,WP_095921371.1,1,51.0,57.6
rluE,WP_095921370.1,1,55.00000000000001,58.29
NA,WP_095921369.1,1,56.99999999999999,64.75
mnmA,WP_232769945.1,1,55.00000000000001,62.5
hflD,WP_095921368.1,1,55.00000000000001,60.8
purB,WP_095921367.1,1,54.0,65.77
phoP,WP_095921366.1,1,55.00000000000001,60.93
phoQ,WP_131692557.1,1,56.00000000000001,68.7
NA,WP_131692558.1,1,56.00000000000001,64.56
NA,WP_133822633.1,1,44.0,38.69
pepT,WP_131692559.1,1,52.0,60.75
cobB,WP_119826453.1,1,56.99999999999999,63.3
lolE,WP_037037364.1,1,57.99999999999999,70.27
lolD,WP_095921360.1,1,56.00000000000001,65.78
