gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_153712525.1,1,61.0,78.92
NA,WP_153712526.1,1,55.00000000000001,76.22
NA,WP_153712527.1,1,59.0,75.11
NA,WP_153712528.1,1,55.00000000000001,70.0
NA,WP_153712529.1,1,57.99999999999999,67.02
NA,WP_153712530.1,1,63.0,73.8
NA,WP_153712531.1,1,57.99999999999999,71.19
NA,WP_153712532.1,1,62.0,74.74
NA,WP_153712533.1,1,57.99999999999999,70.77
NA,WP_153712534.1,1,66.0,75.18
NA,WP_153712535.1,1,64.0,74.52
NA,WP_153712536.1,1,60.0,71.83
NA,WP_153712537.1,1,57.99999999999999,66.32
NA,WP_153712538.1,1,63.0,73.8
NA,WP_153712539.1,1,61.0,73.02
pgl,WP_170272489.1,1,62.0,75.57
zwf,WP_153712541.1,1,61.0,74.9
NA,WP_153712542.1,1,60.0,74.42
NA,WP_153712543.1,1,62.0,65.83
hslO,WP_153712544.1,1,62.0,75.7
gshA,WP_153712545.1,1,62.0,76.33
NA,WP_246164730.1,1,60.0,71.31
NA,WP_246164731.1,1,62.0,75.95
NA,WP_153712548.1,1,64.0,73.85
NA,WP_153712549.1,1,59.0,66.97
NA,WP_153712550.1,1,66.0,75.34
NA,WP_153712551.1,1,63.0,79.04
NA,WP_153712552.1,1,61.0,76.04
NA,WP_153712553.1,1,66.0,77.16
NA,WP_153712554.1,1,66.0,77.99
NA,WP_153712555.1,1,62.0,75.65
NA,WP_153712556.1,1,61.0,77.64
hemB,WP_153712557.1,1,61.0,76.69
trxA,WP_153712558.1,1,59.0,72.73
NA,WP_153712559.1,1,55.00000000000001,60.69
NA,WP_153712560.1,1,50.0,57.14
NA,WP_153712561.1,1,62.0,74.17
NA,WP_153712562.1,1,60.0,72.15
NA,WP_211365818.1,1,66.0,80.4
NA,WP_153712564.1,1,64.0,76.0
NA,WP_153712565.1,1,60.0,78.79
rho,WP_153712566.1,1,55.00000000000001,72.02
ubiD,WP_153712567.1,1,59.0,73.01
NA,WP_153712568.1,1,60.0,74.33
NA,WP_153712569.1,1,64.0,78.54
NA,WP_153712570.1,1,63.0,72.47
NA,WP_153712571.1,1,67.0,79.74
hemC,WP_153712572.1,1,63.0,74.66
argH,WP_153712573.1,1,59.0,73.19
NA,WP_153712574.1,1,45.0,48.15
NA,WP_246164732.1,1,56.99999999999999,68.21
NA,WP_153712575.1,1,56.00000000000001,63.22
NA,WP_153712576.1,1,54.0,62.12
NA,WP_153712577.1,1,56.00000000000001,63.44
NA,WP_153712578.1,1,45.0,41.33
NA,WP_153712579.1,1,46.0,48.75
NA,WP_170272491.1,1,56.99999999999999,70.18
NA,WP_153712581.1,1,53.0,54.87
NA,WP_153712582.1,1,48.0,46.61
NA,WP_170272493.1,1,49.0,50.85
NA,WP_246164733.1,1,50.0,51.69
NA,WP_153712584.1,1,54.0,58.53
NA,WP_153712585.1,1,60.0,70.0
NA,WP_153712586.1,1,59.0,70.23
NA,WP_153712587.1,1,56.99999999999999,65.35
NA,WP_170272494.1,1,60.0,68.84
NA,WP_272482796.1,1,62.0,70.06
NA,WP_153712590.1,1,61.0,73.17
NA,WP_170272496.1,1,57.99999999999999,67.42
hldE,WP_153712591.1,1,63.0,74.78
NA,WP_246164734.1,1,56.99999999999999,66.3
NA,WP_153712593.1,1,51.0,49.5
NA,WP_153712594.1,1,51.0,49.68
NA,WP_153712595.1,1,54.0,53.78
NA,WP_153712596.1,1,53.0,65.25
NA,WP_153712597.1,1,56.99999999999999,60.83
waaC,WP_153712598.1,1,61.0,68.9
waaF,WP_153712599.1,1,62.0,72.78
NA,WP_153712600.1,1,59.0,76.0
glnE,WP_153712601.1,1,62.0,72.66
NA,WP_153712602.1,1,62.0,74.3
NA,WP_153712603.1,1,65.0,72.29
argE,WP_153712604.1,1,62.0,72.7
argA,WP_153712605.1,1,62.0,75.3
ilvD,WP_153712606.1,1,62.0,77.33
NA,WP_153712607.1,1,55.00000000000001,69.63
NA,WP_153712608.1,1,59.0,67.95
NA,WP_153712609.1,1,53.0,64.03
thyA,WP_153712610.1,1,57.99999999999999,67.82
lgt,WP_153712611.1,1,63.0,72.97
NA,WP_153712612.1,1,63.0,76.28
NA,WP_153712613.1,1,66.0,76.89
ptsP,WP_246164735.1,1,62.0,78.46
NA,WP_153712614.1,1,61.0,69.28
NA,WP_153712615.1,1,57.99999999999999,74.52
NA,WP_153712616.1,1,62.0,72.59
NA,WP_153712617.1,1,56.00000000000001,67.0
NA,WP_153712618.1,1,61.0,74.13
NA,WP_153712619.1,1,57.99999999999999,77.25
NA,WP_153712620.1,1,63.0,76.81
dctP,WP_153712621.1,1,56.00000000000001,66.86
NA,WP_170272498.1,1,57.99999999999999,74.46
NA,WP_153712623.1,1,56.99999999999999,74.95
NA,WP_153712624.1,1,61.0,72.5
uvrD,WP_153712625.1,1,57.99999999999999,70.28
NA,WP_153712626.1,1,56.99999999999999,69.72
NA,WP_211365820.1,1,62.0,75.0
NA,WP_153712628.1,1,55.00000000000001,58.59
NA,WP_170272499.1,1,61.0,70.59
glmS,WP_153712630.1,1,60.0,71.91
glmU,WP_153712631.1,1,63.0,76.14
NA,WP_153714747.1,1,63.0,73.63
NA,WP_153712632.1,1,60.0,63.36
atpD,WP_153712633.1,1,55.00000000000001,63.92
atpG,WP_153712634.1,1,54.0,64.87
atpA,WP_153712635.1,1,56.00000000000001,63.56
NA,WP_153712636.1,1,56.99999999999999,62.72
NA,WP_153712637.1,1,56.00000000000001,57.82
atpE,WP_153712638.1,1,52.0,56.0
atpB,WP_153712639.1,1,52.0,72.36
NA,WP_170272500.1,1,54.0,60.34
NA,WP_153712641.1,1,53.0,55.4
NA,WP_153712642.1,1,52.0,60.25
rsmG,WP_153712643.1,1,53.0,56.92
mnmG,WP_153712644.1,1,55.00000000000001,57.67
NA,WP_153712645.1,1,59.0,62.16
mnmE,WP_153712646.1,1,60.0,68.52
yidC,WP_153712647.1,1,56.99999999999999,72.96
yidD,WP_246164800.1,1,59.0,60.94
rnpA,WP_153712649.1,1,57.99999999999999,68.81
rpmH,WP_153712650.1,1,56.00000000000001,54.29
dnaA,WP_153712651.1,1,53.0,67.28
dnaN,WP_153712652.1,1,57.99999999999999,68.8
recF,WP_153712653.1,1,59.0,64.41
gyrB,WP_153712654.1,1,56.99999999999999,68.93
gmhB,WP_153712655.1,1,56.00000000000001,60.36
glyS,WP_153712656.1,1,61.0,71.37
glyQ,WP_153712657.1,1,60.0,78.19
NA,WP_170272501.1,1,61.0,69.18
NA,WP_153712659.1,1,59.0,75.26
trkA,WP_153712660.1,1,59.0,74.84
rsmB,WP_153712661.1,1,63.0,75.64
fmt,WP_153712662.1,1,66.0,77.03
def,WP_153712663.1,1,59.0,72.67
NA,WP_153712664.1,1,60.0,71.04
NA,WP_153712665.1,1,66.0,72.67
NA,WP_153712666.1,1,63.0,66.67
hemF,WP_153712667.1,1,62.0,72.6
aroE,WP_153712668.1,1,63.0,68.63
NA,WP_153712669.1,1,63.0,73.98
purE,WP_153712670.1,1,63.0,77.22
NA,WP_246164736.1,1,60.0,70.14
NA,WP_153712671.1,1,59.0,69.77
prlC,WP_153712672.1,1,60.0,71.94
NA,WP_153712673.1,1,59.0,64.29
NA,WP_153712674.1,1,62.0,70.0
NA,WP_170272502.1,1,65.0,77.21
ctaD,WP_153712677.1,1,56.00000000000001,79.3
NA,WP_153712678.1,1,57.99999999999999,72.41
NA,WP_153712679.1,1,56.00000000000001,75.59
NA,WP_153712680.1,1,57.99999999999999,68.75
NA,WP_153712681.1,1,56.99999999999999,64.71
NA,WP_153712682.1,1,57.99999999999999,72.53
NA,WP_153712683.1,1,60.0,75.15
cyoE,WP_153712684.1,1,60.0,79.09
NA,WP_153712685.1,1,60.0,70.95
NA,WP_153712686.1,1,61.0,73.68
polA,WP_153712687.1,1,61.0,75.22
yihA,WP_153712688.1,1,59.0,75.51
NA,WP_153712689.1,1,62.0,70.77
NA,WP_153712690.1,1,57.99999999999999,65.66
NA,WP_153712691.1,1,61.0,76.99
NA,WP_153712692.1,1,62.0,70.81
NA,WP_153712693.1,1,56.99999999999999,67.76
pstC,WP_153712694.1,1,59.0,75.11
pstA,WP_153712695.1,1,56.99999999999999,73.46
pstB,WP_246164801.1,1,56.00000000000001,71.22
