gene_name,prot_id,number_of_exons,GC,GC3
ltrA,WP_262595376.1,2,47.0,49.3
NA,WP_262598660.1,1,49.0,48.61
NA,WP_262601680.1,1,46.0,44.96
NA,WP_262598661.1,1,41.0,30.72
NA,WP_262597526.1,1,49.0,52.24
NA,WP_262601682.1,1,45.0,49.23
NA,WP_262598662.1,1,45.0,45.07
NA,WP_262598663.1,1,50.0,53.85
NA,WP_262598664.1,1,48.0,48.99
NA,WP_262598665.1,1,47.0,47.19
NA,WP_262598666.1,1,49.0,48.82
NA,WP_262598667.1,1,53.0,57.77
NA,WP_262598668.1,1,49.0,51.09
NA,WP_262598669.1,1,48.0,36.54
NA,WP_262598670.1,1,49.0,51.85
NA,WP_262598671.1,1,41.0,34.78
NA,WP_262598672.1,1,52.0,56.82
NA,WP_262598673.1,1,50.0,54.88
NA,WP_262598674.1,1,34.0,34.41
NA,WP_262598675.1,1,55.00000000000001,54.44
NA,WP_262598676.1,1,50.0,62.16
NA,WP_262598677.1,1,48.0,51.35
NA,WP_262596076.1,1,48.0,53.08
NA,WP_262598678.1,1,51.0,60.0
NA,WP_262598679.1,1,51.0,60.32
NA,WP_262598680.1,1,47.0,53.12
NA,WP_262601683.1,1,53.0,60.48
NA,WP_262598681.1,1,45.0,43.35
NA,WP_262598682.1,1,49.0,50.0
NA,WP_262598683.1,1,51.0,49.25
NA,WP_262598684.1,1,46.0,47.33
NA,WP_262598685.1,1,48.0,48.39
NA,WP_262598686.1,1,53.0,58.49
NA,WP_262598687.1,1,49.0,53.45
NA,WP_262598688.1,1,50.0,48.65
lon,WP_262598689.1,1,53.0,58.63
NA,WP_262598690.1,1,50.0,52.65
NA,WP_262598691.1,1,50.0,50.89
NA,WP_262598692.1,1,51.0,53.61
yfcD,WP_262598693.1,1,51.0,53.67
NA,WP_262598694.1,1,54.0,55.03
ppnN,WP_262598695.1,1,53.0,59.29
acnB,WP_262598696.1,1,55.00000000000001,59.13
NA,WP_262598697.1,1,50.0,52.77
NA,WP_262598698.1,1,52.0,55.04
NA,WP_262598699.1,1,53.0,57.61
NA,WP_262598700.1,1,54.0,55.52
NA,WP_262598701.1,1,47.0,50.0
NA,WP_262598702.1,1,54.0,56.42
NA,WP_262598703.1,1,44.0,32.67
NA,WP_262598704.1,1,54.0,56.5
NA,WP_262598705.1,1,51.0,55.12
NA,WP_262598706.1,1,42.0,41.03
purF,WP_262598707.1,1,50.0,51.62
NA,WP_262598708.1,1,47.0,47.83
NA,WP_262598709.1,1,49.0,51.43
NA,WP_262598710.1,1,43.0,37.54
NA,WP_262598711.1,1,45.0,40.84
NA,WP_262598712.1,1,40.0,30.84
NA,WP_262598713.1,1,40.0,33.02
NA,WP_262598714.1,1,45.0,43.63
NA,WP_262598715.1,1,34.0,28.83
NA,WP_262598716.1,1,30.0,30.06
rfbD,WP_262598717.1,1,34.0,26.92
NA,WP_262598718.1,1,28.999999999999996,20.98
rfbC,WP_262598719.1,1,36.0,28.9
rfbA,WP_262598720.1,1,39.0,32.97
rfbB,WP_262598722.1,1,39.0,29.83
NA,WP_262596267.1,1,40.0,37.6
NA,WP_262601684.1,1,40.0,41.18
NA,WP_262598723.1,1,48.0,40.23
NA,WP_262598724.1,1,42.0,43.24
NA,WP_262598725.1,1,46.0,41.67
NA,WP_262598726.1,1,42.0,40.5
folC,WP_262598727.1,1,49.0,49.53
NA,WP_262598728.1,1,49.0,53.87
NA,WP_262598729.1,1,50.0,57.47
NA,WP_262598730.1,1,50.0,53.93
NA,WP_262598731.1,1,52.0,56.71
accD,WP_262598732.1,1,53.0,54.18
trpA,WP_262598733.1,1,52.0,54.86
trpB,WP_262598734.1,1,53.0,50.98
NA,WP_262598735.1,1,53.0,51.39
NA,WP_262598736.1,1,54.0,64.44
truA,WP_262598737.1,1,53.0,49.42
NA,WP_262598738.1,1,46.0,45.75
NA,WP_262598739.1,1,43.0,38.22
NA,WP_262598740.1,1,52.0,49.41
NA,WP_262598741.1,1,48.0,49.15
NA,WP_262598742.1,1,54.0,57.19
NA,WP_262598743.1,1,48.0,47.8
NA,WP_262598744.1,1,43.0,44.51
asd,WP_262598745.1,1,53.0,58.89
leuB,WP_262598746.1,1,54.0,54.99
leuD,WP_262598747.1,1,49.0,50.74
leuC,WP_262598748.1,1,54.0,51.95
NA,WP_262598749.1,1,50.0,54.58
NA,WP_262598750.1,1,49.0,46.93
NA,WP_262598751.1,1,56.00000000000001,56.78
NA,WP_262598752.1,1,52.0,62.85
NA,WP_262598753.1,1,46.0,51.21
NA,WP_262598754.1,1,52.0,61.55
