gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_013705015.1,1,52.0,60.4
NA,WP_013705016.1,1,56.00000000000001,59.69
NA,WP_013705017.1,1,61.0,70.68
NA,WP_013705018.1,1,53.0,61.67
NA,WP_013705019.1,1,49.0,54.37
NA,WP_013705020.1,1,56.99999999999999,69.35
tmk,WP_013705021.1,1,57.99999999999999,65.87
NA,WP_013705022.1,1,51.0,58.27
NA,WP_041283699.1,1,56.99999999999999,67.99
NA,WP_013705024.1,1,60.0,68.9
NA,WP_013705025.1,1,42.0,41.37
NA,WP_013705026.1,1,54.0,66.48
ahbC,WP_013705027.1,1,59.0,66.84
NA,WP_013705028.1,1,53.0,64.33
hflX,WP_218915694.1,1,59.0,67.33
fabD,WP_013705030.1,1,56.99999999999999,63.61
NA,WP_013705031.1,1,59.0,68.18
NA,WP_013705032.1,1,60.0,66.6
NA,WP_013705033.1,1,47.0,59.86
NA,WP_052301855.1,1,56.99999999999999,65.74
NA,WP_013705035.1,1,55.00000000000001,61.45
hisC,WP_218915696.1,1,54.0,58.24
cmk,WP_013705037.1,1,53.0,54.3
NA,WP_013705038.1,1,50.0,59.24
sppA,WP_013705039.1,1,54.0,61.46
NA,WP_013705040.1,1,54.0,65.28
NA,WP_083800148.1,1,55.00000000000001,61.28
murB,WP_013705042.1,1,56.99999999999999,61.36
NA,WP_013705043.1,1,55.00000000000001,63.59
NA,WP_013705044.1,1,56.99999999999999,66.11
NA,WP_013705045.1,1,50.0,62.75
NA,WP_013705046.1,1,56.00000000000001,66.04
NA,WP_013705047.1,1,54.0,62.02
NA,WP_258164920.1,1,53.0,63.75
NA,WP_013705049.1,1,52.0,59.35
mdh,WP_013705051.1,1,56.99999999999999,67.55
NA,WP_013705052.1,1,59.0,69.14
NA,WP_013705053.1,1,57.99999999999999,60.47
NA,WP_013705054.1,1,59.0,65.8
NA,WP_013705055.1,1,55.00000000000001,61.74
NA,WP_052301858.1,1,57.99999999999999,66.13
NA,WP_013705057.1,1,52.0,62.46
NA,WP_013705058.1,1,46.0,43.22
istA,WP_013705059.1,1,55.00000000000001,65.13
istB,WP_013705060.1,1,51.0,63.03
NA,WP_148231150.1,1,46.0,44.13
NA,WP_013705063.1,1,56.99999999999999,64.63
NA,WP_013705064.1,1,56.00000000000001,72.73
NA,WP_013705065.1,1,51.0,67.31
NA,WP_013705066.1,1,52.0,51.32
NA,WP_013705067.1,1,54.0,53.23
NA,WP_218915697.1,1,54.0,56.86
NA,WP_013705069.1,1,44.0,51.69
NA,WP_013705070.1,1,47.0,55.56
NA,WP_013705071.1,1,44.0,51.11
NA,WP_013705072.1,1,46.0,45.45
NA,WP_258164921.1,1,52.0,63.73
NA,WP_013705074.1,1,57.99999999999999,67.57
NA,WP_013705075.1,1,54.0,62.12
NA,WP_013705076.1,1,53.0,58.23
NA,WP_013705077.1,1,59.0,67.27
NA,WP_013705078.1,1,50.0,60.69
NA,WP_013705079.1,1,55.00000000000001,65.49
NA,WP_013705080.1,1,56.99999999999999,65.62
NA,WP_013705081.1,1,55.00000000000001,67.99
NA,WP_013705082.1,1,56.00000000000001,69.87
NA,WP_013705083.1,1,60.0,73.93
