gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_103293861.1,2,25.0,19.44
NA,WP_103293862.1,1,26.0,20.8
NA,WP_103293863.1,1,30.0,23.4
NA,WP_123868004.1,1,26.0,20.1
NA,WP_103293865.1,1,36.0,20.81
NA,WP_103293866.1,1,38.0,27.18
NA,WP_103293867.1,1,36.0,27.58
NA,WP_103293868.1,1,36.0,28.96
NA,WP_103293869.1,1,37.0,25.41
NA,WP_103293870.1,1,35.0,24.59
lhgO,WP_103293871.1,1,35.0,23.51
NA,WP_103293872.1,1,34.0,19.91
NA,WP_103293873.1,1,32.0,23.0
NA,WP_103293874.1,1,36.0,26.52
NA,WP_103293875.1,1,34.0,26.54
NA,WP_103293897.1,1,34.0,26.61
NA,WP_185126925.1,1,32.0,36.36
NA,WP_103293876.1,1,38.0,25.0
NA,WP_103293877.1,1,37.0,25.58
NA,WP_103293878.1,1,35.0,25.0
NA,WP_103293879.1,1,36.0,28.28
NA,WP_103293880.1,1,36.0,27.74
bla,WP_103293881.1,1,37.0,31.12
NA,WP_103293882.1,1,36.0,32.53
NA,WP_185126926.1,1,39.0,35.28
NA,WP_103293884.1,1,37.0,33.57
NA,WP_103293885.1,1,39.0,33.25
NA,WP_103293886.1,1,27.0,18.69
NA,WP_103293887.1,1,38.0,29.55
NA,WP_041461620.1,1,37.0,35.56
NA,WP_103293888.1,1,34.0,15.07
NA,WP_103293889.1,1,30.0,24.14
NA,WP_103293890.1,1,39.0,33.15
NA,WP_103294394.1,1,32.0,23.17
NA,WP_103294021.1,1,38.0,34.32
NA,WP_103294020.1,1,35.0,29.58
NA,WP_103294019.1,1,34.0,26.13
NA,WP_103294018.1,1,38.0,41.79
NA,WP_246008698.1,1,34.0,33.12
NA,WP_103294016.1,1,30.0,25.19
NA,WP_103294015.1,1,37.0,33.66
NA,WP_103294031.1,1,35.0,29.41
NA,WP_103294014.1,1,40.0,33.45
NA,WP_103294013.1,1,35.0,25.25
NA,WP_103294011.1,1,37.0,32.25
NA,WP_103294010.1,1,40.0,29.66
NA,WP_103294009.1,1,35.0,27.86
NA,WP_103294008.1,1,38.0,34.21
NA,WP_123868005.1,1,40.0,33.33
NA,WP_123868006.1,1,38.0,31.9
NA,WP_103294005.1,1,39.0,34.13
NA,WP_045500386.1,1,37.0,39.61
NA,WP_103294004.1,1,33.0,35.78
NA,WP_103294003.1,1,39.0,37.22
rpoN,WP_103294002.1,1,37.0,33.05
asnS,WP_103294001.1,1,39.0,33.4
NA,WP_103294000.1,1,33.0,33.16
NA,WP_103293999.1,1,33.0,26.87
NA,WP_123868007.1,1,39.0,42.08
NA,WP_246008699.1,1,34.0,34.07
NA,WP_103293997.1,1,32.0,34.33
NA,WP_103293996.1,1,34.0,32.05
NA,WP_103293995.1,1,41.0,34.44
NA,WP_103293994.1,1,35.0,34.58
NA,WP_103293993.1,1,37.0,32.9
rimM,WP_103293992.1,1,38.0,35.67
NA,WP_103293991.1,1,42.0,18.44
NA,WP_103293990.1,1,39.0,39.13
NA,WP_103293989.1,1,40.0,42.86
NA,WP_103293988.1,1,36.0,33.94
NA,WP_103293987.1,1,41.0,33.47
NA,WP_103293986.1,1,42.0,34.74
NA,WP_103293985.1,1,36.0,31.03
NA,WP_103293984.1,1,34.0,25.42
NA,WP_103293983.1,1,40.0,35.09
NA,WP_103293982.1,1,41.0,38.03
NA,WP_103293981.1,1,44.0,35.53
NA,WP_103293980.1,1,37.0,34.28
NA,WP_103293979.1,1,37.0,35.22
NA,WP_103293978.1,1,35.0,32.58
NA,WP_103293977.1,1,33.0,27.27
NA,WP_103293976.1,1,40.0,33.03
NA,WP_103293975.1,1,38.0,34.62
NA,WP_103293974.1,1,36.0,34.4
NA,WP_103293973.1,1,33.0,34.48
NA,WP_260232381.1,1,37.0,45.71
NA,WP_103293972.1,1,32.0,34.33
NA,WP_103294029.1,1,37.0,37.24
NA,WP_103293971.1,1,38.0,35.61
NA,WP_103293970.1,1,35.0,33.16
tyrS,WP_103293969.1,1,38.0,35.38
NA,WP_103293968.1,1,40.0,37.2
