gene_name,prot_id,number_of_exons,GC,GC3
aroB,WP_126401959.1,2,74.0,95.17
NA,WP_126396442.1,1,73.0,93.37
NA,WP_126396444.1,1,68.0,90.0
NA,WP_126401960.1,1,73.0,90.97
NA,WP_126396446.1,1,70.0,92.86
NA,WP_244600052.1,1,71.0,89.57
grxC,WP_126396450.1,1,71.0,90.79
NA,WP_126401961.1,1,76.0,91.77
NA,WP_126396452.1,1,76.0,91.46
NA,WP_197723247.1,1,71.0,89.39
NA,WP_126396454.1,1,60.0,77.36
NA,WP_126396455.1,1,70.0,86.92
argJ,WP_126396457.1,1,71.0,93.07
NA,WP_126396459.1,1,66.0,91.01
secA,WP_126396461.1,1,66.0,93.2
NA,WP_126396463.1,1,72.0,93.71
NA,WP_126396465.1,1,74.0,93.84
NA,WP_126396467.1,1,69.0,87.22
ubiG,WP_126396469.1,1,71.0,95.44
NA,WP_126396471.1,1,66.0,87.93
NA,WP_126396473.1,1,67.0,90.44
ptsP,WP_126396476.1,1,71.0,93.83
prfA,WP_126396478.1,1,71.0,92.26
prmC,WP_244600256.1,1,77.0,88.46
NA,WP_160140473.1,1,74.0,89.55
NA,WP_126396482.1,1,72.0,90.98
clpB,WP_126396484.1,1,68.0,91.95
NA,WP_126396486.1,1,77.0,86.18
NA,WP_126396489.1,1,65.0,82.85
NA,WP_244600257.1,1,74.0,87.5
NA,WP_244600053.1,1,71.0,93.83
NA,WP_160140475.1,1,74.0,89.76
NA,WP_126396493.1,1,72.0,91.82
NA,WP_126396495.1,1,77.0,92.92
NA,WP_126396497.1,1,71.0,90.24
NA,WP_126396499.1,1,72.0,90.08
NA,WP_244600054.1,1,69.0,89.75
NA,WP_126396501.1,1,70.0,91.96
NA,WP_244600055.1,1,71.0,89.67
NA,WP_244600056.1,1,66.0,92.28
NA,WP_126396505.1,1,68.0,91.6
NA,WP_126396507.1,1,72.0,92.26
NA,WP_126396509.1,1,75.0,94.4
asnB,WP_126396511.1,1,72.0,89.14
NA,WP_126396513.1,1,70.0,91.44
NA,WP_126396515.1,1,70.0,94.73
NA,WP_126396517.1,1,67.0,93.48
pseI,WP_126396519.1,1,73.0,90.64
pseG,WP_126396521.1,1,74.0,88.89
NA,WP_126396523.1,1,72.0,91.19
pseC,WP_244600057.1,1,74.0,92.76
pseB,WP_244600058.1,1,68.0,93.67
NA,WP_126396529.1,1,71.0,93.3
NA,WP_126396531.1,1,56.00000000000001,81.54
NA,WP_126396533.1,1,70.0,93.43
NA,WP_126396535.1,1,74.0,89.56
NA,WP_126396537.1,1,65.0,88.75
NA,WP_126396538.1,1,69.0,91.7
NA,WP_126396540.1,1,76.0,90.16
NA,WP_126396542.1,1,74.0,90.06
NA,WP_126396544.1,1,70.0,89.78
NA,WP_126396546.1,1,67.0,87.06
fumC,WP_126396548.1,1,67.0,94.09
NA,WP_126396550.1,1,67.0,70.59
NA,WP_126396552.1,1,64.0,84.38
hflK,WP_126396554.1,1,68.0,87.4
NA,WP_126396556.1,1,68.0,92.04
NA,WP_126396558.1,1,71.0,84.62
NA,WP_126396561.1,1,68.0,91.04
NA,WP_126396563.1,1,69.0,89.66
serB,WP_126401967.1,1,73.0,90.34
miaA,WP_126396565.1,1,73.0,87.41
NA,WP_126396567.1,1,65.0,90.99
ilvN,WP_126396569.1,1,68.0,92.31
ilvC,WP_126396571.1,1,65.0,91.82
NA,WP_126396573.1,1,62.0,63.16
NA,WP_126396575.1,1,70.0,84.21
NA,WP_126396577.1,1,68.0,90.88
NA,WP_126396579.1,1,65.0,92.16
thiC,WP_126396581.1,1,68.0,90.05
pdxY,WP_126401968.1,1,72.0,91.73
NA,WP_126396583.1,1,70.0,85.71
NA,WP_126396585.1,1,70.0,89.73
NA,WP_126396587.1,1,70.0,89.52
NA,WP_174769501.1,1,72.0,89.0
infA,WP_126396589.1,1,68.0,92.68
NA,WP_126396591.1,1,68.0,93.92
NA,WP_126396593.1,1,67.0,94.43
NA,WP_126396595.1,1,66.0,92.28
NA,WP_126396597.1,1,72.0,90.89
NA,WP_244600059.1,1,67.0,84.23
NA,WP_126396600.1,1,71.0,88.18
NA,WP_126396602.1,1,73.0,90.94
NA,WP_244600060.1,1,69.0,87.33
NA,WP_126396604.1,1,70.0,91.62
NA,WP_126396606.1,1,66.0,77.68
NA,WP_126396608.1,1,65.0,87.88
NA,WP_126396610.1,1,70.0,88.24
NA,WP_126396612.1,1,73.0,90.24
groES,WP_126396613.1,1,66.0,89.77
groL,WP_126396615.1,1,67.0,93.46
NA,WP_160140476.1,1,70.0,94.94
NA,WP_126396619.1,1,70.0,90.61
NA,WP_126396621.1,1,73.0,90.94
NA,WP_126396623.1,1,67.0,87.31
NA,WP_126396625.1,1,72.0,89.85
NA,WP_126396627.1,1,70.0,91.64
NA,WP_126396629.1,1,65.0,77.69
hisG,WP_126396631.1,1,72.0,92.14
NA,WP_126396633.1,1,73.0,90.3
NA,WP_126396635.1,1,73.0,90.43
NA,WP_126396638.1,1,70.0,82.43
NA,WP_126396641.1,1,73.0,89.96
NA,WP_126396643.1,1,72.0,92.64
NA,WP_126396644.1,1,71.0,90.61
NA,WP_126396646.1,1,73.0,90.91
NA,WP_126396647.1,1,65.0,70.18
NA,WP_126396649.1,1,70.0,85.71
NA,WP_126396651.1,1,68.0,93.1
NA,WP_126396653.1,1,69.0,91.48
NA,WP_126396655.1,1,71.0,86.56
NA,WP_126396657.1,1,73.0,90.15
NA,WP_126396659.1,1,73.0,89.6
NA,WP_126396660.1,1,70.0,89.31
NA,WP_126396662.1,1,69.0,89.6
NA,WP_126396665.1,1,72.0,88.74
NA,WP_244600061.1,1,70.0,91.1
NA,WP_126396667.1,1,67.0,82.82
NA,WP_244600062.1,1,72.0,84.67
ribA,WP_244600063.1,1,74.0,89.66
NA,WP_126401973.1,1,72.0,89.47
NA,WP_126396671.1,1,75.0,88.05
rsmD,WP_126396673.1,1,74.0,90.4
NA,WP_197723250.1,1,64.0,81.73
NA,WP_126396675.1,1,71.0,92.0
mutL,WP_126396677.1,1,73.0,90.09
NA,WP_126396679.1,1,72.0,93.4
NA,WP_126396681.1,1,69.0,92.49
nadA,WP_126396683.1,1,67.0,89.04
NA,WP_126396686.1,1,74.0,92.09
nadC,WP_126396688.1,1,70.0,87.81
NA,WP_126396690.1,1,70.0,90.52
hemA,WP_126396692.1,1,66.0,88.0
NA,WP_160140477.1,1,63.0,90.07
NA,WP_126396696.1,1,69.0,86.08
NA,WP_126396698.1,1,72.0,87.95
NA,WP_126396700.1,1,76.0,97.78
NA,WP_126396702.1,1,69.0,88.13
NA,WP_126396704.1,1,71.0,90.0
NA,WP_126396706.1,1,72.0,93.28
hisS,WP_126396708.1,1,67.0,85.83
NA,WP_126396710.1,1,69.0,87.22
NA,WP_126396712.1,1,75.0,93.26
NA,WP_197723251.1,1,71.0,91.61
NA,WP_126396716.1,1,60.0,87.29
NA,WP_126401975.1,1,70.0,91.79
NA,WP_126396718.1,1,71.0,85.53
