gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_136356336.1,1,35.0,22.0
dnaN,WP_136356338.1,1,34.0,22.22
yaaA,WP_136356340.1,1,32.0,20.97
recF,WP_136356342.1,1,34.0,22.87
NA,WP_136356344.1,1,32.0,19.18
gyrB,WP_136356377.1,1,39.0,27.58
gyrA,WP_136356346.1,1,39.0,26.21
NA,WP_227551440.1,1,31.0,22.19
NA,WP_227551694.1,1,32.0,24.67
guaB,WP_136359147.1,1,37.0,18.41
NA,WP_211091279.1,1,36.0,22.3
NA,WP_168733990.1,1,42.0,41.39
pdxS,WP_136359143.1,1,43.0,22.38
pdxT,WP_136359142.1,1,40.0,26.37
serS,WP_136359140.1,1,39.0,26.44
NA,WP_136359138.1,1,34.0,25.35
NA,WP_136359155.1,1,31.0,26.44
NA,WP_136359136.1,1,38.0,28.1
NA,WP_136359134.1,1,30.0,26.16
tadA,WP_136359132.1,1,40.0,29.73
dnaX,WP_136359130.1,1,36.0,21.66
NA,WP_227551441.1,1,35.0,29.0
recR,WP_136359128.1,1,36.0,21.16
NA,WP_136359126.1,1,30.0,26.56
NA,WP_136359151.1,1,33.0,24.05
NA,WP_227551442.1,1,28.999999999999996,18.97
NA,WP_136358150.1,1,35.0,25.64
tmk,WP_211091276.1,1,34.0,23.5
NA,WP_136358152.1,1,38.0,26.0
NA,WP_136358154.1,1,34.0,29.2
holB,WP_136358156.1,1,35.0,28.66
NA,WP_136358158.1,1,37.0,27.07
yabA,WP_136358160.1,1,33.0,26.32
NA,WP_136358162.1,1,35.0,24.49
NA,WP_136358163.1,1,34.0,20.99
rsmI,WP_136358165.1,1,35.0,27.02
abrB,WP_066333556.1,1,34.0,17.86
metG,WP_136358167.1,1,36.0,23.35
NA,WP_136358250.1,1,37.0,25.91
NA,WP_136358169.1,1,37.0,24.74
rnmV,WP_136358171.1,1,38.0,28.41
rsmA,WP_136358173.1,1,34.0,20.35
yabG,WP_136358175.1,1,36.0,27.11
NA,WP_136358178.1,1,39.0,17.5
NA,WP_136358180.1,1,40.0,28.3
ispE,WP_136358252.1,1,39.0,25.36
purR,WP_136358182.1,1,38.0,25.91
NA,WP_136358185.1,1,36.0,16.52
spoVG,WP_046517517.1,1,38.0,13.79
glmU,WP_136358187.1,1,36.0,19.82
NA,WP_136358189.1,1,36.0,18.51
NA,WP_136358191.1,1,38.0,24.12
pth,WP_136358193.1,1,32.0,19.32
NA,WP_136358195.1,1,35.0,22.39
mfd,WP_136358197.1,1,35.0,23.97
spoVT,WP_136358199.1,1,38.0,22.49
NA,WP_136358201.1,1,34.0,24.95
mazG,WP_136358203.1,1,36.0,27.29
NA,WP_136358205.1,1,35.0,24.36
yabP,WP_136358207.1,1,35.0,29.79
yabQ,WP_136358209.1,1,32.0,27.72
NA,WP_136358212.1,1,32.0,27.43
NA,WP_136358214.1,1,41.0,25.0
spoIIE,WP_136358216.1,1,35.0,26.65
NA,WP_136358218.1,1,40.0,30.51
NA,WP_136358220.1,1,38.0,32.44
tilS,WP_136358222.1,1,35.0,26.99
hpt,WP_136358224.1,1,34.0,25.88
ftsH,WP_136358226.1,1,40.0,25.51
NA,WP_136358254.1,1,34.0,19.03
hslO,WP_136358228.1,1,40.0,25.8
NA,WP_136358230.1,1,35.0,23.97
cysK,WP_136358232.1,1,39.0,19.8
pabB,WP_136358234.1,1,37.0,25.76
pabA,WP_136358236.1,1,35.0,25.41
pabC,WP_136358238.1,1,36.0,25.63
folP,WP_196305217.1,1,37.0,25.91
folB,WP_136358239.1,1,33.0,16.22
folK,WP_136358240.1,1,32.0,21.08
NA,WP_136358242.1,1,36.0,18.97
dusB,WP_136358244.1,1,39.0,25.93
lysS,WP_136358246.1,1,37.0,24.29
NA,WP_227551443.1,1,34.0,23.87
NA,WP_136357982.1,1,37.0,30.56
NA,WP_136357980.1,1,33.0,22.99
NA,WP_136357978.1,1,36.0,25.84
clpC,WP_136357975.1,1,38.0,21.54
radA,WP_136357973.1,1,39.0,25.22
disA,WP_136357971.1,1,36.0,26.29
NA,WP_136357969.1,1,33.0,21.07
ispD,WP_136357967.1,1,37.0,24.3
ispF,WP_136357965.1,1,40.0,26.0
gltX,WP_136357963.1,1,36.0,24.58
cysE,WP_155443818.1,1,42.0,29.6
cysS,WP_136357959.1,1,35.0,24.89
NA,WP_136357958.1,1,36.0,25.76
rlmB,WP_136357956.1,1,39.0,25.63
NA,WP_136357954.1,1,35.0,27.5
sigH,WP_136357952.1,1,36.0,32.06
rpmG,WP_136357950.1,1,33.0,30.0
secE,WP_136357947.1,1,33.0,27.45
nusG,WP_136357945.1,1,36.0,24.4
rplK,WP_026561207.1,1,42.0,21.97
rplA,WP_136357943.1,1,38.0,20.18
rplJ,WP_136357941.1,1,39.0,18.47
rplL,WP_078433096.1,1,39.0,16.36
