gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_241095005.1,1,73.0,78.97
NA,WP_241095006.1,1,73.0,85.43
NA,WP_206340842.1,1,67.0,90.14
NA,WP_206340988.1,1,65.0,87.76
NA,WP_206340843.1,1,65.0,85.03
NA,WP_206340844.1,1,67.0,92.5
NA,WP_277419632.1,1,70.0,94.29
NA,WP_241095133.1,1,73.0,84.38
NA,WP_277419646.1,1,76.0,88.89
NA,WP_206340989.1,1,68.0,90.0
NA,WP_241095007.1,1,69.0,87.69
NA,WP_241095008.1,1,68.0,77.19
NA,WP_241095009.1,1,66.0,67.24
NA,WP_206340849.1,1,66.0,86.67
NA,WP_206340850.1,1,68.0,83.72
NA,WP_206340851.1,1,72.0,87.27
NA,WP_206340852.1,1,72.0,88.37
NA,WP_206340853.1,1,72.0,87.35
NA,WP_206340854.1,1,70.0,84.85
NA,WP_206340857.1,1,70.0,88.89
NA,WP_206340858.1,1,70.0,83.56
NA,WP_241095010.1,1,71.0,87.21
NA,WP_241095011.1,1,70.0,85.14
NA,WP_206340859.1,1,68.0,80.52
NA,WP_206340860.1,1,69.0,81.04
NA,WP_206340861.1,1,71.0,77.72
NA,WP_206340836.1,1,65.0,90.06
NA,WP_206340837.1,1,66.0,90.45
NA,WP_135994661.1,1,68.0,95.02
NA,WP_135994660.1,1,72.0,88.93
NA,WP_135994659.1,1,62.0,89.36
NA,WP_135994658.1,1,67.0,92.62
NA,WP_135994657.1,1,70.0,89.5
NA,WP_158291521.1,1,68.0,88.24
NA,WP_135994655.1,1,69.0,86.74
NA,WP_135994654.1,1,67.0,90.91
nirK,WP_135994653.1,1,67.0,89.8
NA,WP_135994652.1,1,66.0,80.0
NA,WP_135994651.1,1,70.0,92.38
NA,WP_135994650.1,1,66.0,90.82
NA,WP_135994649.1,1,72.0,88.29
NA,WP_135994648.1,1,67.0,90.37
NA,WP_135994647.1,1,65.0,88.87
NA,WP_206340863.1,1,69.0,83.33
NA,WP_135994645.1,1,71.0,89.46
NA,WP_192900953.1,1,71.0,90.59
NA,WP_135994644.1,1,66.0,80.68
NA,WP_135994643.1,1,56.00000000000001,66.27
NA,WP_135994642.1,1,67.0,77.22
NA,WP_206340864.1,1,67.0,81.69
NA,WP_135994641.1,1,64.0,75.0
NA,WP_206340865.1,1,67.0,81.43
NA,WP_206340866.1,1,70.0,82.47
NA,WP_135994639.1,1,64.0,77.96
NA,WP_135994638.1,1,65.0,73.84
NA,WP_135994637.1,1,51.0,52.04
NA,WP_135994636.1,1,63.0,75.31
NA,WP_135994635.1,1,62.0,74.22
NA,WP_206340867.1,1,62.0,77.06
NA,WP_135994634.1,1,69.0,90.8
NA,WP_135994633.1,1,71.0,89.29
NA,WP_135994632.1,1,66.0,91.79
NA,WP_135994631.1,1,67.0,93.84
NA,WP_135994630.1,1,63.0,89.06
NA,WP_135994629.1,1,73.0,89.77
NA,WP_135994628.1,1,69.0,92.33
NA,WP_135994627.1,1,65.0,92.68
NA,WP_135994626.1,1,61.0,87.38
NA,WP_158291519.1,1,73.0,91.37
NA,WP_135994624.1,1,75.0,89.9
NA,WP_135994623.1,1,72.0,91.3
NA,WP_135994622.1,1,70.0,89.58
rpmB,WP_135994621.1,1,69.0,91.95
NA,WP_135994620.1,1,72.0,90.38
NA,WP_135994619.1,1,68.0,93.24
NA,WP_135994618.1,1,74.0,86.86
NA,WP_135994617.1,1,76.0,89.15
NA,WP_241095012.1,1,70.0,94.25
NA,WP_135994616.1,1,71.0,89.22
NA,WP_135994615.1,1,70.0,89.57
NA,WP_135994614.1,1,72.0,94.59
NA,WP_158291518.1,1,66.0,74.43
NA,WP_206340868.1,1,66.0,85.17
bfr,WP_135994611.1,1,61.0,90.73
NA,WP_135994610.1,1,68.0,90.52
NA,WP_135994609.1,1,73.0,88.89
NA,WP_135994608.1,1,70.0,90.2
NA,WP_135994607.1,1,70.0,95.71
NA,WP_158291517.1,1,72.0,89.27
NA,WP_135994605.1,1,70.0,92.65
NA,WP_135994604.1,1,69.0,90.39
NA,WP_135994603.1,1,69.0,91.67
NA,WP_241095013.1,1,69.0,94.74
NA,WP_135994602.1,1,69.0,91.08
NA,WP_158291516.1,1,74.0,89.67
NA,WP_135994600.1,1,67.0,85.05
ychF,WP_135994599.1,1,67.0,90.73
pth,WP_135994598.1,1,68.0,92.23
NA,WP_135994597.1,1,66.0,92.66
NA,WP_135994596.1,1,66.0,90.43
NA,WP_135994595.1,1,66.0,92.03
NA,WP_135994594.1,1,72.0,93.35
lgt,WP_135994593.1,1,69.0,93.58
NA,WP_135994592.1,1,70.0,81.11
NA,WP_135994591.1,1,66.0,85.9
proC,WP_135994590.1,1,71.0,91.34
NA,WP_135994589.1,1,68.0,84.96
NA,WP_135994588.1,1,64.0,76.95
NA,WP_135994587.1,1,63.0,79.22
NA,WP_135994586.1,1,67.0,83.98
NA,WP_135994585.1,1,67.0,81.06
NA,WP_135994584.1,1,67.0,84.67
NA,WP_135994583.1,1,71.0,93.72
NA,WP_135994582.1,1,73.0,93.39
NA,WP_135994581.1,1,70.0,92.34
NA,WP_135994580.1,1,71.0,91.28
NA,WP_135994579.1,1,70.0,91.9
NA,WP_158291515.1,1,67.0,83.33
uvrC,WP_241095014.1,1,68.0,91.78
nadC,WP_135994576.1,1,73.0,90.44
NA,WP_135994575.1,1,76.0,90.42
nadA,WP_135994574.1,1,65.0,90.05
NA,WP_158291514.1,1,70.0,85.85
NA,WP_135994572.1,1,72.0,91.95
NA,WP_206340870.1,1,70.0,92.51
NA,WP_135994570.1,1,72.0,93.26
NA,WP_135994569.1,1,66.0,88.14
NA,WP_135994568.1,1,76.0,94.56
NA,WP_135994567.1,1,71.0,93.86
NA,WP_135994566.1,1,67.0,94.09
NA,WP_135994565.1,1,77.0,94.34
NA,WP_135994564.1,1,75.0,84.19
NA,WP_135994563.1,1,66.0,83.04
NA,WP_135994562.1,1,55.00000000000001,58.37
NA,WP_135994561.1,1,55.00000000000001,61.33
NA,WP_135994560.1,1,52.0,52.26
uvrB,WP_241095015.1,1,67.0,92.74
NA,WP_135994558.1,1,66.0,91.02
NA,WP_135994557.1,1,70.0,91.84
NA,WP_135994556.1,1,75.0,89.09
NA,WP_158291513.1,1,72.0,88.64
