gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_223020771.1,1,61.0,63.44
NA,WP_223020772.1,1,54.0,69.53
NA,WP_223020773.1,1,60.0,68.95
NA,WP_223022362.1,1,60.0,72.27
NA,WP_223020774.1,1,56.99999999999999,58.59
sufA,WP_223020775.1,1,61.0,66.67
NA,WP_246637982.1,1,59.0,73.08
NA,WP_223020777.1,1,57.99999999999999,66.83
sufD,WP_223020778.1,1,60.0,69.08
sufC,WP_223020779.1,1,60.0,76.86
sufB,WP_223020780.1,1,56.00000000000001,72.29
NA,WP_223020781.1,1,59.0,61.38
NA,WP_223020782.1,1,57.99999999999999,70.23
tyrS,WP_223020783.1,1,57.99999999999999,72.06
NA,WP_223020784.1,1,59.0,65.53
NA,WP_223020785.1,1,54.0,64.9
NA,WP_223020786.1,1,57.99999999999999,60.71
prfB,WP_223020787.1,2,56.00000000000001,62.94
NA,WP_223020788.1,1,57.99999999999999,67.12
NA,WP_223020789.1,1,59.0,63.57
NA,WP_223020790.1,1,57.99999999999999,63.05
NA,WP_223022363.1,1,61.0,66.89
NA,WP_223020791.1,1,55.00000000000001,63.82
aroQ,WP_223020792.1,1,56.00000000000001,59.42
accB,WP_223020793.1,1,62.0,68.97
accC,WP_223020794.1,1,60.0,72.15
aat,WP_223020795.1,1,60.0,68.02
NA,WP_246637983.1,1,56.99999999999999,67.52
NA,WP_223020797.1,1,63.0,67.48
NA,WP_223020798.1,1,59.0,63.82
NA,WP_246637831.1,1,59.0,64.52
gatB,WP_223020800.1,1,57.99999999999999,70.06
NA,WP_223020801.1,1,54.0,61.84
NA,WP_223020802.1,1,56.99999999999999,68.66
NA,WP_223020803.1,1,57.99999999999999,65.83
NA,WP_223020804.1,1,59.0,68.47
NA,WP_223020805.1,1,62.0,69.9
NA,WP_223020806.1,1,57.99999999999999,64.1
NA,WP_223020807.1,1,56.00000000000001,65.66
NA,WP_223020808.1,1,56.99999999999999,63.1
NA,WP_007008028.1,1,52.0,71.19
cysE,WP_223020809.1,1,59.0,63.57
NA,WP_223020810.1,1,57.99999999999999,57.59
NA,WP_223020811.1,1,62.0,63.57
NA,WP_223020812.1,1,56.99999999999999,60.82
NA,WP_223022364.1,1,56.00000000000001,57.75
NA,WP_246637832.1,1,59.0,65.61
gloA,WP_223020813.1,1,56.99999999999999,63.5
NA,WP_223020814.1,1,56.99999999999999,67.86
NA,WP_223022366.1,1,61.0,69.41
pncB,WP_223020815.1,1,56.99999999999999,70.82
NA,WP_223020816.1,1,57.99999999999999,65.92
NA,WP_223020817.1,1,61.0,67.04
dksA,WP_223020818.1,1,55.00000000000001,56.59
NA,WP_246637833.1,1,55.00000000000001,61.41
NA,WP_223020819.1,1,59.0,64.05
NA,WP_223020820.1,1,62.0,69.68
NA,WP_246637984.1,1,57.99999999999999,69.23
folK,WP_246637834.1,1,56.99999999999999,61.27
folB,WP_223022368.1,1,59.0,66.36
folP,WP_223020822.1,1,59.0,60.59
NA,WP_223020823.1,1,57.99999999999999,66.67
