gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_274955976.1,2,56.00000000000001,66.67
NA,WP_274955977.1,1,49.0,50.46
NA,WP_274955978.1,1,56.00000000000001,63.76
NA,WP_274955979.1,1,57.99999999999999,67.5
NA,WP_274955980.1,1,55.00000000000001,55.56
NA,WP_274955981.1,1,55.00000000000001,62.33
NA,WP_274955982.1,1,56.00000000000001,61.25
NA,WP_274955983.1,1,62.0,71.02
purL,WP_274955984.1,1,61.0,71.49
NA,WP_274955985.1,1,59.0,63.96
NA,WP_274955986.1,1,60.0,72.7
NA,WP_274955987.1,1,60.0,75.81
NA,WP_074009308.1,1,59.0,70.99
NA,WP_074009309.1,1,62.0,73.64
NA,WP_022373952.1,1,56.99999999999999,72.36
NA,WP_274955988.1,1,57.99999999999999,65.9
NA,WP_274955989.1,1,62.0,69.79
serB,WP_274955990.1,1,57.99999999999999,68.17
NA,WP_274955991.1,1,57.99999999999999,65.87
mfd,WP_274956746.1,1,57.99999999999999,68.21
NA,WP_274955992.1,1,55.00000000000001,62.09
NA,WP_074009317.1,1,50.0,67.39
NA,WP_274955993.1,1,56.00000000000001,73.76
NA,WP_274955994.1,1,48.0,53.54
istA,WP_274955416.1,1,52.0,56.78
NA,WP_274955417.1,1,52.0,53.85
NA,WP_274955995.1,1,49.0,52.68
NA,WP_274955996.1,1,60.0,65.96
NA,WP_274955997.1,1,61.0,69.85
cybH,WP_274955998.1,1,56.99999999999999,79.04
NA,WP_022373965.1,1,60.0,77.49
NA,WP_274955999.1,1,57.99999999999999,74.37
NA,WP_274956000.1,1,57.99999999999999,70.11
NA,WP_274956001.1,1,59.0,69.53
NA,WP_022373969.1,1,54.0,66.67
NA,WP_274956002.1,1,59.0,72.48
NA,WP_274956003.1,1,59.0,68.08
NA,WP_274956004.1,1,62.0,70.33
NA,WP_074009326.1,1,59.0,72.57
ompR,WP_022373974.1,1,61.0,73.47
NA,WP_274956005.1,1,63.0,73.91
NA,WP_274956006.1,1,56.99999999999999,67.31
NA,WP_274956007.1,1,62.0,70.62
NA,WP_274956008.1,1,56.99999999999999,70.99
NA,WP_274956009.1,1,60.0,67.77
NA,WP_274956010.1,1,59.0,71.76
NA,WP_274956011.1,1,63.0,74.71
NA,WP_274956012.1,1,59.0,67.96
NA,WP_274956013.1,1,61.0,75.61
NA,WP_274956014.1,1,60.0,69.26
NA,WP_274956015.1,1,59.0,67.14
NA,WP_274956016.1,1,59.0,69.02
NA,WP_274956017.1,1,55.00000000000001,68.03
NA,WP_022373987.1,1,59.0,75.07
NA,WP_274956018.1,1,61.0,70.41
NA,WP_274956019.1,1,56.99999999999999,69.02
NA,WP_274956020.1,1,60.0,65.73
radA,WP_274956021.1,1,61.0,70.35
alr,WP_274956022.1,1,60.0,67.23
iscB,WP_274956023.1,1,57.99999999999999,70.43
lplT,WP_022372831.1,1,56.00000000000001,69.7
dinB,WP_274956024.1,1,56.99999999999999,66.18
NA,WP_274956025.1,1,62.0,68.5
NA,WP_274956026.1,1,60.0,73.41
NA,WP_274956027.1,1,57.99999999999999,71.12
NA,WP_274956028.1,1,59.0,75.16
NA,WP_274956029.1,1,56.00000000000001,61.67
NA,WP_274956030.1,1,59.0,65.98
NA,WP_274956031.1,1,52.0,60.58
