gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_277869264.1,1,69.0,88.52
NA,WP_277869321.1,1,70.0,74.29
NA,WP_241827698.1,1,74.0,85.98
NA,WP_277869265.1,1,71.0,84.85
NA,WP_277869322.1,1,72.0,87.2
NA,WP_092649364.1,1,77.0,88.0
eno,WP_092649366.1,1,71.0,94.76
NA,WP_092649368.1,1,75.0,92.15
NA,WP_172804836.1,1,72.0,93.85
NA,WP_092649372.1,1,75.0,87.85
NA,WP_197681841.1,1,72.0,94.23
NA,WP_092649376.1,1,74.0,96.08
NA,WP_092649377.1,1,69.0,93.55
NA,WP_092649379.1,1,67.0,97.0
NA,WP_092649381.1,1,73.0,88.82
NA,WP_092649383.1,1,75.0,89.71
NA,WP_092649385.1,1,77.0,89.59
mfd,WP_092649387.1,1,72.0,96.26
NA,WP_157728113.1,1,76.0,91.25
NA,WP_241827699.1,1,72.0,91.56
NA,WP_092649393.1,1,73.0,92.86
NA,WP_092656935.1,1,69.0,92.7
NA,WP_197681617.1,1,69.0,90.19
NA,WP_092649395.1,1,75.0,90.65
NA,WP_092649397.1,1,73.0,86.91
NA,WP_092649399.1,1,72.0,91.61
NA,WP_092649401.1,1,70.0,90.45
pssD,WP_092649403.1,1,68.0,86.08
NA,WP_092649405.1,1,72.0,86.83
NA,WP_172804837.1,1,73.0,91.68
NA,WP_157728114.1,1,64.0,85.8
pth,WP_092649410.1,1,71.0,84.13
NA,WP_092649412.1,1,72.0,92.86
NA,WP_092649414.1,1,68.0,93.38
glmU,WP_241828074.1,1,73.0,90.76
NA,WP_157728115.1,1,75.0,90.88
NA,WP_092649417.1,1,72.0,92.71
NA,WP_092649419.1,1,72.0,95.28
NA,WP_092649421.1,1,68.0,94.98
NA,WP_092649423.1,1,69.0,94.04
NA,WP_092649425.1,1,73.0,94.2
NA,WP_092649426.1,1,71.0,89.09
NA,WP_092649428.1,1,71.0,91.49
NA,WP_172804838.1,1,76.0,90.29
NA,WP_172804839.1,1,71.0,94.57
NA,WP_092649432.1,1,70.0,89.78
NA,WP_241827700.1,1,69.0,89.03
NA,WP_197681618.1,1,71.0,91.82
NA,WP_241827701.1,1,73.0,90.91
NA,WP_092649436.1,1,70.0,82.35
NA,WP_092649438.1,1,67.0,83.19
NA,WP_157728116.1,1,71.0,83.29
rpmB,WP_092656945.1,1,65.0,79.03
NA,WP_092649442.1,1,71.0,91.86
NA,WP_092649444.1,1,71.0,87.42
NA,WP_157728117.1,1,72.0,85.21
NA,WP_157728118.1,1,70.0,84.43
NA,WP_092649450.1,1,70.0,81.0
sigJ,WP_092649452.1,1,70.0,87.21
NA,WP_092649454.1,1,71.0,83.33
NA,WP_092649456.1,1,69.0,83.51
NA,WP_241827702.1,1,69.0,89.19
NA,WP_092649458.1,1,74.0,84.95
NA,WP_092649460.1,1,68.0,84.93
NA,WP_092649462.1,1,70.0,85.1
NA,WP_092649464.1,1,68.0,78.78
NA,WP_092649466.1,1,71.0,81.13
NA,WP_092649468.1,1,71.0,84.17
NA,WP_092649470.1,1,70.0,82.94
NA,WP_157728119.1,1,71.0,85.88
NA,WP_157728120.1,1,67.0,86.79
NA,WP_092649476.1,1,68.0,88.33
NA,WP_092649478.1,1,65.0,79.75
ectB,WP_092649480.1,1,66.0,84.48
NA,WP_241827703.1,1,65.0,81.67
NA,WP_197681620.1,1,67.0,88.73
NA,WP_092649490.1,1,71.0,86.53
NA,WP_157728122.1,1,68.0,78.32
proS,WP_092649496.1,1,71.0,93.28
NA,WP_092649498.1,1,73.0,82.67
NA,WP_092649500.1,1,70.0,93.1
NA,WP_092649502.1,1,70.0,92.23
NA,WP_092649504.1,1,73.0,88.29
NA,WP_197681621.1,1,72.0,90.6
NA,WP_092649506.1,1,75.0,94.93
NA,WP_277869323.1,1,75.0,93.92
NA,WP_092649508.1,1,75.0,89.36
NA,WP_092649510.1,1,73.0,92.66
NA,WP_092649512.1,1,72.0,92.93
NA,WP_092649514.1,1,68.0,87.93
NA,WP_092649516.1,1,67.0,86.76
NA,WP_241827704.1,1,70.0,90.16
NA,WP_092649520.1,1,70.0,91.19
NA,WP_241827705.1,1,73.0,93.04
NA,WP_092649521.1,1,75.0,95.56
rsmA,WP_092649523.1,1,75.0,91.0
NA,WP_092649525.1,1,68.0,93.43
NA,WP_092649527.1,1,75.0,92.39
metG,WP_092649528.1,1,68.0,93.52
rsmI,WP_197681844.1,1,76.0,93.7
NA,WP_092649531.1,1,72.0,95.37
NA,WP_092649535.1,1,76.0,92.23
NA,WP_092649537.1,1,72.0,88.29
NA,WP_092649539.1,1,74.0,88.27
NA,WP_092656953.1,1,72.0,93.82
NA,WP_092649541.1,1,71.0,92.97
NA,WP_092649543.1,1,70.0,92.41
NA,WP_092649545.1,1,67.0,78.01
NA,WP_092649547.1,1,75.0,71.59
NA,WP_092649549.1,1,68.0,91.88
NA,WP_092649551.1,1,71.0,90.22
NA,WP_157728123.1,1,71.0,91.3
NA,WP_092649555.1,1,67.0,80.65
NA,WP_092649557.1,1,70.0,88.02
NA,WP_277869324.1,1,69.0,89.0
NA,WP_092649559.1,1,68.0,84.44
NA,WP_092649561.1,1,75.0,82.79
NA,WP_092649564.1,1,72.0,90.62
NA,WP_197681622.1,1,75.0,83.33
moaC,WP_092649566.1,1,73.0,90.51
NA,WP_092649568.1,1,74.0,94.32
galU,WP_092649569.1,1,73.0,95.41
NA,WP_241827707.1,1,76.0,91.09
NA,WP_092649571.1,1,73.0,94.66
NA,WP_092649573.1,1,65.0,93.52
NA,WP_092649575.1,1,64.0,90.91
NA,WP_092649577.1,1,67.0,93.39
NA,WP_092649579.1,1,69.0,92.37
NA,WP_092649581.1,1,67.0,94.93
NA,WP_092649583.1,1,67.0,98.22
NA,WP_092649585.1,1,69.0,93.33
cpaB,WP_092649587.1,1,79.0,87.41
mscL,WP_092649589.1,1,70.0,86.96
NA,WP_172804840.1,1,76.0,85.42
NA,WP_241828076.1,1,75.0,94.4
NA,WP_092649593.1,1,75.0,91.81
NA,WP_092656961.1,1,70.0,85.56
