gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_119908644.1,2,34.0,31.71
NA,WP_119907214.1,1,40.0,26.18
NA,WP_162919112.1,1,38.0,21.03
NA,WP_074403442.1,1,35.0,24.38
purR,WP_034573954.1,1,38.0,23.28
NA,WP_119907216.1,1,32.0,21.65
NA,WP_119907217.1,1,31.0,17.65
NA,WP_034573211.1,1,38.0,30.97
NA,WP_034573209.1,1,42.0,30.53
NA,WP_119907218.1,1,36.0,24.84
NA,WP_034573205.1,1,37.0,27.16
ispE,WP_034573204.1,1,40.0,31.02
NA,WP_034573202.1,1,36.0,27.63
rsmA,WP_119907219.1,1,37.0,25.43
rnmV,WP_034573198.1,1,37.0,23.46
NA,WP_119907220.1,1,38.0,27.24
metG,WP_119907221.1,1,39.0,30.83
NA,WP_119907222.1,1,40.0,25.46
NA,WP_034573190.1,1,33.0,28.65
NA,WP_119907223.1,1,36.0,29.21
menB,WP_034573186.1,1,40.0,25.86
NA,WP_119907224.1,1,42.0,34.21
NA,WP_119907225.1,1,28.999999999999996,21.24
NA,WP_119907226.1,1,38.0,27.54
NA,WP_119907227.1,1,38.0,36.94
NA,WP_119907228.1,1,40.0,31.33
NA,WP_051915724.1,1,30.0,23.24
NA,WP_119907229.1,1,35.0,24.21
NA,WP_119907230.1,1,35.0,25.3
NA,WP_119907231.1,1,37.0,35.12
NA,WP_236707195.1,1,34.0,30.22
NA,WP_119907232.1,1,28.000000000000004,25.78
NA,WP_119907233.1,1,38.0,29.8
NA,WP_034573164.1,1,39.0,32.98
NA,WP_119907234.1,1,37.0,29.43
NA,WP_119907235.1,1,33.0,22.21
NA,WP_119907236.1,1,34.0,27.84
NA,WP_119907237.1,1,31.0,27.25
NA,WP_119907238.1,1,30.0,24.39
NA,WP_119907239.1,1,34.0,24.49
NA,WP_119907240.1,1,33.0,26.34
NA,WP_119907241.1,1,33.0,23.04
NA,WP_119907242.1,1,33.0,22.94
NA,WP_119907243.1,1,39.0,33.01
NA,WP_119907244.1,1,37.0,27.56
NA,WP_119907245.1,1,36.0,19.61
NA,WP_119907246.1,1,27.0,17.95
NA,WP_162919113.1,1,27.0,23.17
NA,WP_119907248.1,1,36.0,30.57
NA,WP_119907249.1,1,38.0,31.88
NA,WP_119907250.1,1,39.0,27.46
NA,WP_119907251.1,1,40.0,31.08
NA,WP_119907252.1,1,36.0,28.39
NA,WP_119907253.1,1,36.0,28.42
NA,WP_119907254.1,1,40.0,25.84
NA,WP_034573128.1,1,37.0,29.26
NA,WP_119907255.1,1,33.0,27.46
NA,WP_034573122.1,1,36.0,33.82
