gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_013031119.1,1,48.0,47.39
dnaN,WP_013031120.1,1,44.0,38.83
recF,WP_013031121.1,1,47.0,43.91
gyrB,WP_013031122.1,1,47.0,44.35
NA,WP_013031123.1,1,47.0,43.85
NA,WP_013031124.1,1,52.0,46.2
NA,WP_013031125.1,1,50.0,48.65
NA,WP_013031126.1,1,52.0,49.77
NA,WP_013031127.1,1,51.0,57.92
NA,WP_041355226.1,1,48.0,48.35
NA,WP_013031129.1,1,51.0,54.29
NA,WP_013031130.1,1,52.0,48.68
fhcD,WP_013031131.1,1,52.0,49.13
NA,WP_013031132.1,1,53.0,56.96
NA,WP_013031133.1,1,55.00000000000001,54.09
NA,WP_013031134.1,1,51.0,56.9
NA,WP_013031135.1,1,52.0,54.12
argS,WP_013031136.1,1,51.0,51.91
NA,WP_013031137.1,1,55.00000000000001,54.81
NA,WP_013031138.1,1,53.0,46.33
NA,WP_013031139.1,1,48.0,47.66
gpmI,WP_013031140.1,1,52.0,54.53
NA,WP_013031141.1,1,51.0,47.01
grxC,WP_013031142.1,1,47.0,36.84
secB,WP_013031143.1,1,47.0,46.84
NA,WP_013031144.1,1,55.00000000000001,51.96
NA,WP_013031145.1,1,51.0,53.05
NA,WP_013031146.1,1,54.0,57.77
folK,WP_013031147.1,1,51.0,50.98
folB,WP_013031148.1,1,50.0,52.63
plsY,WP_041355228.1,1,52.0,45.11
tsaD,WP_013031150.1,1,55.00000000000001,50.61
rpsU,WP_013031151.1,1,53.0,48.39
NA,WP_203434340.1,1,52.0,58.04
dnaG,WP_013031153.1,1,52.0,51.25
rpoD,WP_013031154.1,1,52.0,54.13
NA,WP_157862444.1,1,43.0,42.65
NA,WP_013031156.1,1,55.00000000000001,58.62
NA,WP_049780559.1,1,40.0,37.61
NA,WP_013031157.1,1,40.0,37.78
NA,WP_013031158.1,1,39.0,36.97
ybaL,WP_013031159.1,1,55.00000000000001,56.12
NA,WP_013031160.1,1,55.00000000000001,59.26
NA,WP_013031161.1,1,51.0,51.24
NA,WP_013031162.1,1,45.0,44.26
NA,WP_013031163.1,1,47.0,41.51
tatC,WP_013031164.1,1,49.0,54.36
tatB,WP_013031165.1,1,51.0,46.81
tatA,WP_013031166.1,1,43.0,45.12
NA,WP_013031167.1,1,47.0,42.31
NA,WP_013031168.1,1,45.0,42.57
hisI,WP_013031169.1,1,50.0,49.59
hisF,WP_013031170.1,1,55.00000000000001,51.21
hisA,WP_013031171.1,1,51.0,47.26
hisH,WP_013031172.1,1,51.0,49.0
hisB,WP_013031173.1,1,51.0,50.0
NA,WP_013031174.1,1,44.0,40.98
NA,WP_013031175.1,1,54.0,42.27
NA,WP_013031176.1,1,53.0,50.49
NA,WP_041354502.1,1,50.0,53.02
coxB,WP_013031178.1,1,47.0,46.82
ctaD,WP_013031179.1,1,50.0,58.08
NA,WP_238985403.1,1,48.0,49.14
NA,WP_013031181.1,1,50.0,56.27
NA,WP_013031182.1,1,45.0,44.44
NA,WP_041354505.1,1,50.0,45.68
NA,WP_013031184.1,1,48.0,44.95
NA,WP_013031185.1,1,53.0,50.45
cyoE,WP_013031186.1,1,51.0,58.28
murJ,WP_013031187.1,1,52.0,53.59
rpsT,WP_013031188.1,1,53.0,53.85
