gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_206044542.1,2,67.0,86.43
NA,WP_171223437.1,1,65.0,84.72
NA,WP_171223438.1,1,63.0,83.09
NA,WP_171223439.1,1,69.0,83.91
NA,WP_171223440.1,1,64.0,90.87
NA,WP_171223441.1,1,64.0,79.17
NA,WP_171223442.1,1,65.0,81.11
NA,WP_269141209.1,1,63.0,81.82
NA,WP_171223443.1,1,66.0,83.37
NA,WP_171223444.1,1,62.0,84.52
NA,WP_171223445.1,1,70.0,82.39
NA,WP_171223446.1,1,61.0,78.0
NA,WP_171223447.1,1,69.0,82.32
NA,WP_171223448.1,1,69.0,81.71
NA,WP_171223449.1,1,62.0,80.0
NA,WP_171223450.1,1,62.0,82.48
NA,WP_171223451.1,1,68.0,79.84
NA,WP_206044543.1,1,64.0,87.26
NA,WP_171223453.1,1,67.0,86.94
NA,WP_206044544.1,1,66.0,81.77
NA,WP_171223454.1,1,66.0,81.55
NA,WP_171223455.1,1,66.0,77.74
NA,WP_171223456.1,1,69.0,80.37
NA,WP_171223457.1,1,67.0,82.07
NA,WP_171223458.1,1,69.0,81.14
NA,WP_171223459.1,1,67.0,78.28
NA,WP_171223460.1,1,66.0,73.66
NA,WP_171223461.1,1,68.0,80.62
NA,WP_171223462.1,1,67.0,78.17
NA,WP_206044545.1,1,65.0,76.81
NA,WP_171223463.1,1,66.0,85.12
NA,WP_171223464.1,1,66.0,70.97
NA,WP_206044546.1,1,65.0,82.14
NA,WP_171223466.1,1,67.0,83.24
gnd,WP_171223467.1,1,64.0,75.54
zwf,WP_171223468.1,1,60.0,72.07
NA,WP_171223469.1,1,66.0,68.18
pgl,WP_171223470.1,1,69.0,77.03
NA,WP_206044547.1,1,62.0,70.68
NA,WP_269141424.1,1,61.0,70.41
NA,WP_171223473.1,1,63.0,70.18
NA,WP_171223474.1,1,64.0,72.22
NA,WP_206044548.1,1,61.0,68.05
NA,WP_171223475.1,1,66.0,76.33
NA,WP_171223476.1,1,67.0,80.11
NA,WP_171223477.1,1,66.0,78.29
NA,WP_171223478.1,1,67.0,74.67
NA,WP_206044550.1,1,65.0,80.87
NA,WP_171223479.1,1,64.0,70.2
NA,WP_171223480.1,1,67.0,79.07
NA,WP_230981089.1,1,67.0,76.86
NA,WP_171223482.1,1,65.0,73.74
wrbA,WP_171223483.1,1,66.0,76.96
tehA,WP_171223484.1,1,65.0,71.65
NA,WP_171223485.1,1,63.0,67.86
NA,WP_171223486.1,1,64.0,71.98
NA,WP_171223487.1,1,66.0,72.7
NA,WP_171223488.1,1,65.0,75.49
NA,WP_171223489.1,1,61.0,69.53
NA,WP_206044551.1,1,65.0,76.69
NA,WP_206044552.1,1,65.0,72.5
NA,WP_171223491.1,1,65.0,78.11
NA,WP_171223492.1,1,65.0,80.61
NA,WP_171223493.1,1,66.0,76.73
NA,WP_269141425.1,1,65.0,77.36
NA,WP_171223495.1,1,63.0,74.48
NA,WP_230981090.1,1,61.0,70.72
NA,WP_171223497.1,1,65.0,74.26
NA,WP_171223498.1,1,64.0,74.87
NA,WP_171223499.1,1,59.0,66.67
NA,WP_171223500.1,1,64.0,68.61
NA,WP_206044553.1,1,64.0,74.82
NA,WP_171223501.1,1,66.0,76.11
NA,WP_171223502.1,1,66.0,74.29
NA,WP_171223503.1,1,61.0,75.51
NA,WP_206044554.1,1,69.0,75.74
NA,WP_206044555.1,1,62.0,68.67
NA,WP_171223506.1,1,61.0,72.48
NA,WP_171223507.1,1,57.99999999999999,69.16
NA,WP_171223508.1,1,65.0,78.57
dps,WP_206044556.1,1,61.0,71.12
NA,WP_171223509.1,1,66.0,79.05
NA,WP_171223510.1,1,59.0,83.85
NA,WP_206044557.1,1,68.0,85.67
NA,WP_171223511.1,1,65.0,81.9
NA,WP_171223512.1,1,64.0,86.02
NA,WP_171223513.1,1,65.0,84.36
NA,WP_171223514.1,1,69.0,77.55
NA,WP_171223515.1,1,72.0,81.04
NA,WP_171223516.1,1,69.0,83.48
NA,WP_171223517.1,1,66.0,87.06
NA,WP_171223518.1,1,64.0,83.22
NA,WP_171223519.1,1,67.0,81.99
NA,WP_171223520.1,1,69.0,82.05
NA,WP_206044558.1,1,70.0,83.5
NA,WP_171223521.1,1,68.0,82.61
NA,WP_171223522.1,1,69.0,77.35
NA,WP_171223523.1,1,69.0,79.23
NA,WP_171223524.1,1,68.0,84.19
NA,WP_171223525.1,1,69.0,85.86
NA,WP_171223526.1,1,67.0,76.87
NA,WP_171223527.1,1,68.0,83.49
NA,WP_171223528.1,1,66.0,76.81
NA,WP_171223529.1,1,68.0,81.4
NA,WP_171223530.1,1,68.0,80.46
NA,WP_171223531.1,1,67.0,77.63
NA,WP_171223532.1,1,63.0,81.32
NA,WP_171223533.1,1,65.0,78.72
