gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_163830647.1,1,41.0,31.82
dnaN,WP_163836337.1,1,42.0,31.84
recF,WP_163830648.1,1,38.0,31.82
gyrB,WP_163830649.1,1,40.0,31.78
NA,WP_163830650.1,1,34.0,29.23
NA,WP_163830651.1,1,36.0,26.44
NA,WP_163830652.1,1,36.0,28.01
NA,WP_163830653.1,1,34.0,25.53
NA,WP_163830654.1,1,40.0,23.83
NA,WP_163830655.1,1,38.0,29.05
NA,WP_163830656.1,1,41.0,27.85
NA,WP_163830657.1,1,40.0,35.37
gmhB,WP_163830658.1,1,43.0,33.33
glyS,WP_163830659.1,1,46.0,40.17
glyQ,WP_163830660.1,1,46.0,42.86
NA,WP_163830661.1,1,42.0,32.12
NA,WP_163830662.1,1,37.0,28.29
NA,WP_163830663.1,1,37.0,30.82
NA,WP_163830664.1,1,39.0,31.3
NA,WP_163830665.1,1,31.0,24.18
NA,WP_163830666.1,1,35.0,25.0
NA,WP_163830667.1,1,42.0,32.14
NA,WP_163830668.1,1,31.0,20.0
NA,WP_163830669.1,1,39.0,30.52
NA,WP_163830670.1,1,38.0,32.53
NA,WP_268935118.1,1,44.0,32.14
NA,WP_222937609.1,1,36.0,32.52
NA,WP_163830673.1,1,37.0,30.97
NA,WP_163830674.1,1,42.0,30.43
NA,WP_163830675.1,1,34.0,27.27
NA,WP_163830676.1,1,35.0,21.72
NA,WP_163830677.1,1,35.0,29.85
NA,WP_163830678.1,1,39.0,29.78
NA,WP_230425669.1,1,43.0,30.11
NA,WP_163830679.1,1,36.0,30.26
NA,WP_163830680.1,1,36.0,39.13
dbpA,WP_163830681.1,1,43.0,33.33
NA,WP_163830682.1,1,39.0,29.28
NA,WP_163830683.1,1,43.0,40.52
NA,WP_163830684.1,1,37.0,29.17
NA,WP_163830685.1,1,37.0,27.12
NA,WP_163830686.1,1,38.0,28.75
NA,WP_163830687.1,1,39.0,27.75
NA,WP_163830688.1,1,41.0,30.25
NA,WP_222937610.1,1,34.0,35.09
NA,WP_163830689.1,1,32.0,26.12
NA,WP_163830690.1,1,35.0,21.33
NA,WP_163830691.1,1,37.0,32.38
NA,WP_163830692.1,1,40.0,29.53
NA,WP_163830693.1,1,47.0,43.24
NA,WP_163830694.1,1,41.0,34.46
trkA,WP_163830695.1,1,44.0,37.95
rsmB,WP_163830696.1,1,46.0,39.2
fmt,WP_163830697.1,1,45.0,31.43
def,WP_163830698.1,1,42.0,41.88
NA,WP_163830699.1,1,43.0,39.94
dprA,WP_222937611.1,1,47.0,39.22
purE,WP_163830700.1,1,44.0,22.01
NA,WP_163830701.1,1,45.0,36.57
hemF,WP_163830702.1,1,44.0,35.49
aroE,WP_163830703.1,1,38.0,23.57
NA,WP_222937612.1,1,39.0,24.19
NA,WP_163830704.1,1,40.0,30.45
NA,WP_163830705.1,1,40.0,29.47
NA,WP_163830706.1,1,39.0,28.67
NA,WP_163830707.1,1,42.0,33.96
NA,WP_163830708.1,1,39.0,27.19
NA,WP_163830709.1,1,34.0,25.81
NA,WP_163830710.1,1,31.0,23.02
NA,WP_163830711.1,1,39.0,30.27
NA,WP_163830712.1,1,38.0,34.91
NA,WP_163830713.1,1,41.0,33.89
NA,WP_163830714.1,1,35.0,24.66
NA,WP_163830715.1,1,40.0,34.48
NA,WP_163830716.1,1,47.0,46.03
NA,WP_163830717.1,1,45.0,41.25
NA,WP_163830718.1,1,44.0,45.68
NA,WP_163830719.1,1,46.0,49.37
NA,WP_163830720.1,1,47.0,45.89
NA,WP_163830721.1,1,42.0,36.84
NA,WP_163830722.1,1,42.0,41.32
NA,WP_163830723.1,1,44.0,40.72
NA,WP_163830724.1,1,47.0,42.21
