gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_039782909.1,1,63.0,88.18
NA,WP_134220962.1,1,54.0,56.41
dnaN,WP_039782907.1,1,60.0,86.07
gyrB,WP_121037393.1,1,61.0,83.48
NA,WP_134220963.1,1,56.99999999999999,63.25
NA,WP_134220964.1,1,57.99999999999999,65.29
NA,WP_134220965.1,1,56.00000000000001,62.02
NA,WP_240733817.1,1,61.0,83.39
NA,WP_134220967.1,1,63.0,82.29
NA,WP_134220968.1,1,66.0,85.06
NA,WP_034331353.1,1,64.0,82.71
NA,WP_134220969.1,1,66.0,84.63
NA,WP_034331351.1,1,60.0,75.32
NA,WP_134220970.1,1,67.0,84.13
NA,WP_134220971.1,1,65.0,81.22
NA,WP_134220972.1,1,67.0,79.49
NA,WP_134220973.1,1,59.0,71.48
NA,WP_240733935.1,1,56.99999999999999,70.48
NA,WP_134220975.1,1,60.0,71.6
NA,WP_205703735.1,1,57.99999999999999,68.27
NA,WP_134220976.1,1,66.0,83.54
NA,WP_134220977.1,1,66.0,84.95
rtcA,WP_134220978.1,1,69.0,82.34
NA,WP_134220979.1,1,63.0,83.82
NA,WP_134220980.1,1,67.0,82.68
rtcR,WP_134220981.1,1,65.0,80.53
NA,WP_134220982.1,1,62.0,78.65
NA,WP_134220983.1,1,63.0,78.33
NA,WP_034333872.1,1,65.0,82.43
NA,WP_039788464.1,1,70.0,84.33
NA,WP_134220984.1,1,67.0,84.76
NA,WP_240733818.1,1,55.00000000000001,62.5
NA,WP_240733819.1,1,65.0,81.58
NA,WP_134220985.1,2,54.0,68.64
NA,WP_134220986.1,1,64.0,81.47
NA,WP_134220987.1,1,68.0,87.24
NA,WP_240733820.1,1,72.0,85.29
NA,WP_134220988.1,1,65.0,87.43
NA,WP_034336797.1,1,64.0,73.56
NA,WP_034332278.1,1,66.0,82.76
NA,WP_134220989.1,1,64.0,77.6
NA,WP_134220990.1,1,45.0,51.35
NA,WP_134137633.1,1,69.0,84.03
NA,WP_134137632.1,1,69.0,84.62
NA,WP_134220991.1,1,69.0,83.64
NA,WP_034332285.1,1,64.0,79.82
NA,WP_134223985.1,1,67.0,84.75
NA,WP_134220992.1,1,65.0,80.0
NA,WP_134220993.1,1,65.0,83.22
NA,WP_134220994.1,1,57.99999999999999,48.08
