gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_211257137.1,2,39.0,43.75
NA,WP_082330607.1,1,39.0,37.97
NA,WP_281176207.1,1,36.0,31.11
NA,WP_048699237.1,1,38.0,40.34
NA,WP_041499068.1,1,41.0,39.34
NA,WP_041499069.1,1,39.0,36.93
NA,WP_041499071.1,1,37.0,41.9
NA,WP_053856746.1,1,39.0,31.08
sufC,WP_041499074.1,1,40.0,34.51
sufD,WP_048699234.1,1,38.0,31.61
NA,WP_041499075.1,1,40.0,31.5
NA,WP_041499077.1,1,44.0,41.01
sufB,WP_041499078.1,1,41.0,38.33
NA,WP_041499079.1,1,36.0,33.6
NA,WP_041499080.1,1,43.0,41.24
NA,WP_041499082.1,1,40.0,25.0
NA,WP_041499083.1,1,37.0,24.87
NA,WP_041499084.1,1,37.0,37.5
NA,WP_041499085.1,1,40.0,43.9
trpX,WP_041499086.1,1,40.0,34.36
NA,WP_041499088.1,1,36.0,37.82
NA,WP_041499089.1,1,36.0,39.42
NA,WP_041499090.1,1,37.0,21.46
NA,WP_041499091.1,1,37.0,24.11
NA,WP_041499093.1,1,31.0,25.71
NA,WP_041499095.1,1,28.999999999999996,27.92
NA,WP_041499096.1,1,38.0,21.48
NA,WP_041499097.1,1,36.0,28.65
NA,WP_041499099.1,1,36.0,27.27
NA,WP_041499100.1,1,36.0,25.54
NA,WP_041499102.1,1,37.0,25.46
NA,WP_041499103.1,1,34.0,32.11
NA,WP_041499104.1,1,39.0,32.37
NA,WP_041499105.1,1,38.0,41.67
NA,WP_041499106.1,1,42.0,37.04
NA,WP_041499107.1,1,40.0,31.62
NA,WP_211257138.1,1,40.0,25.87
NA,WP_041499109.1,1,41.0,29.05
NA,WP_041499110.1,1,43.0,29.44
NA,WP_041499111.1,1,40.0,28.93
NA,WP_041499112.1,1,39.0,27.78
NA,WP_041499114.1,1,39.0,39.66
NA,WP_041499115.1,1,38.0,33.6
NA,WP_041499117.1,1,40.0,24.5
glpK,WP_041499118.1,1,39.0,27.76
NA,WP_041499119.1,1,40.0,31.44
NA,WP_041499120.1,1,37.0,28.34
NA,WP_041499122.1,1,38.0,38.62
NA,WP_041499123.1,1,40.0,29.81
NA,WP_041499124.1,1,38.0,33.33
murQ,WP_041499125.1,1,43.0,32.41
NA,WP_041499126.1,1,37.0,33.81
NA,WP_041499127.1,1,37.0,31.72
NA,WP_041499129.1,1,38.0,41.28
NA,WP_041499130.1,1,35.0,34.04
NA,WP_041499131.1,1,35.0,36.51
NA,WP_041499132.1,1,40.0,33.58
NA,WP_041499133.1,1,38.0,40.14
NA,WP_048699228.1,1,33.0,32.43
NA,WP_041499134.1,1,41.0,40.62
NA,WP_041499137.1,1,39.0,35.13
NA,WP_041499138.1,1,40.0,36.84
NA,WP_041499139.1,1,42.0,31.18
NA,WP_041499140.1,1,41.0,30.21
NA,WP_041499142.1,1,39.0,35.51
NA,WP_041499143.1,1,43.0,37.96
NA,WP_048699225.1,1,40.0,39.53
NA,WP_041499144.1,1,38.0,42.2
NA,WP_211257139.1,1,36.0,31.18
NA,WP_041499146.1,1,42.0,51.88
NA,WP_041499148.1,1,37.0,28.65
NA,WP_041499149.1,1,35.0,33.99
NA,WP_041499150.1,1,35.0,32.79
NA,WP_041499152.1,1,33.0,25.26
NA,WP_041501445.1,1,33.0,36.14
NA,WP_041501444.1,1,41.0,38.6
NA,WP_041501443.1,1,40.0,32.12
NA,WP_041501442.1,1,38.0,35.22
NA,WP_041501441.1,1,42.0,42.58
mmuM,WP_041501440.1,1,39.0,29.41
NA,WP_041501439.1,1,39.0,35.71
NA,WP_041501438.1,1,43.0,29.1
NA,WP_041501437.1,1,32.0,28.8
NA,WP_041501436.1,1,41.0,29.55
NA,WP_048699219.1,1,38.0,31.21
NA,WP_245626339.1,1,40.0,31.25
NA,WP_169751858.1,1,32.0,45.0
yycF,WP_041501435.1,1,38.0,25.89
NA,WP_041501566.1,1,36.0,31.82
walK,WP_041499174.1,1,39.0,35.05
yycH,WP_041499176.1,1,36.0,35.98
NA,WP_041499178.1,1,36.0,36.02
NA,WP_041499179.1,1,42.0,42.86
NA,WP_041499181.1,1,42.0,31.92
rlmH,WP_041499182.1,1,37.0,32.0
NA,WP_041499183.1,1,41.0,33.45
