gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_173768931.1,1,65.0,90.15
dnaN,WP_102245530.1,1,65.0,91.36
gyrB,WP_102245531.1,1,65.0,91.93
NA,WP_228151613.1,1,67.0,88.42
NA,WP_102245533.1,1,68.0,90.31
NA,WP_102245534.1,1,69.0,89.57
NA,WP_102245535.1,1,67.0,86.6
NA,WP_164084835.1,1,67.0,78.57
NA,WP_102245536.1,1,67.0,83.75
NA,WP_123785200.1,1,65.0,70.83
alkB,WP_102245538.1,1,69.0,79.31
NA,WP_102245539.1,1,69.0,85.57
NA,WP_102245540.1,1,67.0,77.99
NA,WP_102245541.1,1,71.0,86.45
NA,WP_102245542.1,1,71.0,88.86
NA,WP_102245543.1,1,69.0,89.78
NA,WP_102245544.1,1,71.0,88.18
NA,WP_102245545.1,1,69.0,89.26
NA,WP_102245546.1,1,67.0,88.05
NA,WP_102245547.1,1,69.0,83.65
NA,WP_102248314.1,1,59.0,71.43
NA,WP_173768932.1,1,66.0,78.11
earP,WP_102245548.1,1,65.0,77.84
efp,WP_102245549.1,1,59.0,89.77
NA,WP_164084837.1,1,74.0,77.98
NA,WP_164084839.1,1,70.0,75.52
NA,WP_102245551.1,1,69.0,86.5
NA,WP_102245552.1,1,66.0,80.28
NA,WP_102245553.1,1,66.0,87.33
ahpC,WP_102245554.1,1,64.0,91.62
ahpF,WP_102245555.1,1,67.0,89.66
NA,WP_102245556.1,1,64.0,84.72
NA,WP_102245557.1,1,73.0,91.41
NA,WP_102245558.1,1,66.0,87.55
NA,WP_269807775.1,1,67.0,89.73
NA,WP_102245559.1,1,67.0,89.58
NA,WP_102245560.1,1,68.0,92.52
NA,WP_102245561.1,1,70.0,88.78
NA,WP_102245562.1,1,71.0,88.6
NA,WP_102245563.1,1,67.0,93.67
gdhA,WP_102245564.1,1,66.0,87.93
NA,WP_102245565.1,1,70.0,88.57
NA,WP_102245566.1,1,67.0,92.91
NA,WP_102245567.1,1,70.0,87.8
NA,WP_228151614.1,1,68.0,84.62
NA,WP_102245568.1,1,65.0,88.99
NA,WP_102245569.1,1,65.0,90.64
NA,WP_102245570.1,1,70.0,88.45
NA,WP_102245571.1,1,71.0,92.04
NA,WP_102245572.1,1,71.0,88.57
NA,WP_164084841.1,1,68.0,85.11
NA,WP_102245574.1,1,68.0,89.98
modA,WP_102245575.1,1,74.0,87.45
modB,WP_102245576.1,1,68.0,89.95
modC,WP_228151615.1,1,71.0,89.37
NA,WP_102245578.1,1,70.0,88.8
NA,WP_102245579.1,1,66.0,92.42
NA,WP_173768933.1,1,69.0,85.45
NA,WP_102245581.1,1,65.0,91.53
NA,WP_102245582.1,1,68.0,81.13
NA,WP_102245583.1,1,68.0,85.49
NA,WP_199797636.1,1,70.0,83.91
NA,WP_102245584.1,1,68.0,83.18
NA,WP_102245585.1,1,69.0,80.98
NA,WP_102245586.1,1,68.0,82.58
NA,WP_102245587.1,1,67.0,83.04
NA,WP_102245588.1,1,71.0,85.16
NA,WP_102245589.1,1,66.0,89.01
NA,WP_102245590.1,1,67.0,86.96
ureC,WP_102245591.1,1,67.0,93.2
ureE,WP_102245592.1,1,71.0,89.93
NA,WP_102245593.1,1,69.0,86.64
ureG,WP_102245594.1,1,66.0,89.5
NA,WP_102245595.1,1,72.0,86.11
NA,WP_228151616.1,1,65.0,84.42
NA,WP_102245597.1,1,66.0,81.19
NA,WP_102245598.1,1,70.0,84.62
arsB,WP_102245599.1,1,64.0,89.43
NA,WP_102245600.1,1,66.0,82.18
NA,WP_164084842.1,1,66.0,85.28
NA,WP_102245602.1,1,67.0,82.05
NA,WP_102245603.1,1,66.0,80.95
NA,WP_102248318.1,1,66.0,89.14
NA,WP_102245604.1,1,65.0,87.38
NA,WP_164084845.1,1,62.0,55.81
NA,WP_228151617.1,1,70.0,85.03
NA,WP_102245606.1,1,66.0,89.05
NA,WP_164084846.1,1,65.0,86.64
NA,WP_102245608.1,1,61.0,88.0
NA,WP_102245609.1,1,66.0,84.31
NA,WP_102245610.1,1,65.0,89.66
NA,WP_102245611.1,1,61.0,89.62
NA,WP_102245612.1,1,63.0,91.8
ccmA,WP_102245613.1,1,72.0,88.44
ccmB,WP_102248319.1,1,69.0,85.65
ccmC,WP_102245614.1,1,66.0,89.52
ccmD,WP_102245615.1,1,70.0,78.69
ccmE,WP_102245616.1,1,69.0,91.49
NA,WP_102245617.1,1,69.0,89.69
NA,WP_102245618.1,1,66.0,87.5
NA,WP_102248320.1,1,67.0,82.89
ccmI,WP_102245619.1,1,72.0,87.0
NA,WP_102245620.1,1,70.0,82.91
alr,WP_102245621.1,1,71.0,88.95
NA,WP_102245622.1,1,71.0,90.26
NA,WP_265734825.1,1,71.0,87.1
NA,WP_102245623.1,1,71.0,89.27
NA,WP_102245624.1,1,67.0,86.75
nusB,WP_102245625.1,1,67.0,90.78
ribH,WP_102245626.1,1,69.0,85.71
ribBA,WP_102245627.1,1,69.0,89.24
NA,WP_102245628.1,1,66.0,85.94
dsbD,WP_102245629.1,1,70.0,89.67
NA,WP_102245630.1,1,72.0,84.0
NA,WP_164084847.1,1,67.0,80.31
NA,WP_102245631.1,1,74.0,81.03
fliW,WP_102245632.1,1,65.0,84.06
NA,WP_102245633.1,1,73.0,85.86
NA,WP_102245634.1,1,66.0,87.18
recG,WP_102245635.1,1,71.0,87.72
NA,WP_102245636.1,1,74.0,87.17
NA,WP_102245637.1,1,69.0,91.53
NA,WP_102245638.1,1,73.0,81.82
ubiA,WP_102245639.1,1,68.0,92.61
NA,WP_102245640.1,1,64.0,87.84
pyrF,WP_102245641.1,1,70.0,88.89
ubiD,WP_102245642.1,1,66.0,89.67
NA,WP_173768935.1,1,67.0,96.24
NA,WP_102245643.1,1,65.0,81.9
NA,WP_123785201.1,1,48.0,47.89
dacB,WP_102245644.1,1,71.0,89.78
rfbB,WP_102245645.1,1,67.0,88.18
rfbA,WP_102245646.1,1,68.0,89.12
rfbC,WP_102245647.1,1,67.0,87.28
rfbD,WP_102245648.1,1,71.0,86.46
lysA,WP_102245649.1,1,69.0,88.59
NA,WP_102245650.1,1,67.0,70.69
cyaY,WP_102245651.1,1,69.0,88.78
NA,WP_102245652.1,1,68.0,89.2
NA,WP_102245653.1,1,67.0,87.93
NA,WP_102245654.1,1,66.0,85.19
NA,WP_102245655.1,1,66.0,87.08
NA,WP_228151618.1,1,66.0,84.38
NA,WP_173768936.1,1,67.0,89.87
NA,WP_269807776.1,1,66.0,79.78
aroB,WP_102245656.1,1,68.0,88.89
NA,WP_102245657.1,1,66.0,85.75
NA,WP_102245658.1,1,67.0,91.47
NA,WP_102245659.1,1,65.0,85.56
NA,WP_228151619.1,1,68.0,78.66
NA,WP_102245660.1,1,68.0,82.01
NA,WP_102245661.1,1,64.0,84.29
NA,WP_102245662.1,1,65.0,91.84
NA,WP_102245663.1,1,66.0,87.17
NA,WP_102245664.1,1,65.0,78.11
NA,WP_102245665.1,1,68.0,84.02
NA,WP_102245666.1,1,66.0,81.62
NA,WP_102245667.1,1,66.0,78.86
NA,WP_102245668.1,1,69.0,76.27
NA,WP_164084848.1,1,69.0,86.71
NA,WP_102245670.1,1,68.0,88.24
NA,WP_173768937.1,1,67.0,77.4
NA,WP_102245671.1,1,69.0,86.81
NA,WP_102245672.1,1,67.0,85.71
NA,WP_102245673.1,1,64.0,84.68
NA,WP_102245674.1,1,70.0,81.0
NA,WP_102245675.1,1,67.0,82.99
NA,WP_102245676.1,1,65.0,88.74
NA,WP_102245677.1,1,69.0,87.5
NA,WP_102245678.1,1,69.0,91.35
NA,WP_102245679.1,1,63.0,86.97
NA,WP_269807777.1,1,69.0,86.03
NA,WP_102245681.1,1,68.0,85.86
NA,WP_102245682.1,1,66.0,75.41
NA,WP_102245683.1,1,68.0,91.38
upp,WP_102248328.1,1,65.0,89.55
NA,WP_102245684.1,1,65.0,81.08
NA,WP_102245685.1,1,62.0,82.67
NA,WP_102245686.1,1,61.0,78.41
NA,WP_102245687.1,1,57.99999999999999,68.67
NA,WP_102245688.1,1,62.0,75.41
NA,WP_102245689.1,1,66.0,79.17
NA,WP_102245690.1,1,67.0,80.15
NA,WP_102245691.1,1,68.0,80.0
NA,WP_102245692.1,1,67.0,83.08
recC,WP_102245693.1,1,72.0,87.11
recB,WP_102245694.1,1,71.0,86.68
recD,WP_102245695.1,1,73.0,88.84
NA,WP_102245696.1,1,69.0,84.0
NA,WP_102245697.1,1,69.0,88.71
mutY,WP_102245698.1,1,71.0,85.84
NA,WP_102245699.1,1,66.0,89.17
NA,WP_228151620.1,1,71.0,92.68
NA,WP_102245700.1,1,69.0,87.12
