gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_246054212.1,2,38.0,30.81
NA,WP_168191283.1,1,39.0,33.77
NA,WP_168191284.1,1,43.0,40.89
NA,WP_246054389.1,1,40.0,37.21
NA,WP_168191285.1,1,40.0,47.06
NA,WP_139064526.1,1,33.0,36.02
NA,WP_168191291.1,1,34.0,38.24
NA,WP_218937534.1,1,48.0,48.65
NA,WP_218937535.1,1,39.0,32.86
NA,WP_218937536.1,1,40.0,38.38
NA,WP_168191286.1,1,37.0,36.99
NA,WP_218937537.1,1,46.0,52.7
NA,WP_218937538.1,1,42.0,43.64
treY,WP_139064528.1,1,40.0,40.02
malQ,WP_139064529.1,1,42.0,39.76
NA,WP_139064530.1,1,39.0,36.69
NA,WP_139064531.1,1,42.0,42.54
NA,WP_246054214.1,1,43.0,37.72
NA,WP_246054216.1,1,39.0,43.7
NA,WP_139064532.1,1,41.0,34.88
NA,WP_139064533.1,1,42.0,39.64
pta,WP_139064534.1,1,43.0,42.59
NA,WP_139064535.1,1,39.0,38.64
ychF,WP_139064536.1,1,43.0,37.46
NA,WP_139064537.1,1,42.0,43.75
NA,WP_139064538.1,1,34.0,36.36
NA,WP_139064539.1,1,41.0,39.15
mscL,WP_139064540.1,1,42.0,43.66
NA,WP_139064541.1,1,42.0,45.22
NA,WP_139064542.1,1,43.0,30.77
NA,WP_139064543.1,1,38.0,35.08
NA,WP_139064544.1,1,34.0,30.0
NA,WP_246054218.1,1,43.0,39.47
NA,WP_139064545.1,1,39.0,37.35
NA,WP_139064546.1,1,39.0,30.64
NA,WP_139064547.1,1,36.0,29.47
aroB,WP_139064548.1,1,42.0,41.14
NA,WP_139064549.1,1,41.0,40.95
NA,WP_139064550.1,1,42.0,37.65
NA,WP_139064551.1,1,42.0,35.65
NA,WP_139064552.1,1,40.0,34.88
NA,WP_139064553.1,1,43.0,50.76
gcvT,WP_139064554.1,1,42.0,38.46
NA,WP_139064555.1,1,44.0,39.88
hutH,WP_139064556.1,1,42.0,41.5
NA,WP_139064557.1,1,38.0,38.79
NA,WP_139064558.1,1,42.0,37.5
gyrA,WP_139064559.1,1,42.0,38.85
NA,WP_139064560.1,1,41.0,33.99
NA,WP_139067849.1,1,41.0,42.51
NA,WP_139064561.1,1,43.0,42.08
NA,WP_139064562.1,1,44.0,32.98
NA,WP_139064563.1,1,39.0,42.11
NA,WP_139064564.1,1,38.0,31.21
NA,WP_139064565.1,1,42.0,41.12
NA,WP_139064566.1,1,38.0,35.62
