gene_name,prot_id,number_of_exons,GC,GC3
zwf,WP_014854682.1,1,43.0,44.96
pgl,WP_014854683.1,1,43.0,45.06
NA,WP_014854684.1,1,39.0,40.5
NA,WP_014854685.1,1,36.0,39.49
NA,WP_014854686.1,1,39.0,42.11
tadA,WP_014854687.1,1,45.0,49.66
NA,WP_014854688.1,1,41.0,40.78
ftsE,WP_014854689.1,1,40.0,42.79
NA,WP_014854690.1,1,38.0,41.7
pdxA,WP_014854691.1,1,45.0,47.47
NA,WP_014854692.1,1,38.0,40.5
rho,WP_014854693.1,1,44.0,44.09
NA,WP_014854694.1,1,39.0,39.13
NA,WP_014854695.1,1,44.0,42.52
NA,WP_014854696.1,1,45.0,46.69
rpiB,WP_014854697.1,1,43.0,43.94
NA,WP_014854698.1,1,42.0,47.4
NA,WP_014854699.1,1,39.0,43.16
NA,WP_014854700.1,1,48.0,47.96
NA,WP_014854701.1,1,41.0,44.61
NA,WP_014854702.1,1,43.0,49.67
murB,WP_014854703.1,1,40.0,43.12
NA,WP_041355639.1,1,39.0,41.94
NA,WP_014854705.1,1,41.0,44.33
dtd,WP_014854706.1,1,41.0,41.38
prmC,WP_014854707.1,1,42.0,41.82
NA,WP_014854708.1,1,43.0,50.27
araA,WP_014854709.1,1,45.0,46.01
NA,WP_014854710.1,1,44.0,46.02
NA,WP_014854711.1,1,45.0,44.34
NA,WP_014854712.1,1,45.0,44.7
NA,WP_014854713.1,1,42.0,45.21
NA,WP_014854714.1,1,39.0,44.16
NA,WP_014854715.1,1,40.0,42.81
coxB,WP_014854716.1,1,41.0,48.48
NA,WP_014854717.1,1,34.0,35.71
NA,WP_014854718.1,1,41.0,46.08
ctaD,WP_014854719.1,1,44.0,49.16
NA,WP_014854720.1,1,43.0,47.37
NA,WP_014854721.1,1,40.0,41.0
NA,WP_014854722.1,1,41.0,45.85
NA,WP_014854723.1,1,45.0,48.65
nrfD,WP_014854724.1,1,44.0,50.67
NA,WP_014854725.1,1,43.0,42.63
NA,WP_157867271.1,1,35.0,38.64
NA,WP_157867272.1,1,43.0,44.19
NA,WP_014854727.1,1,41.0,43.61
tatC,WP_014854728.1,1,39.0,42.98
NA,WP_014854729.1,1,44.0,45.05
NA,WP_014854730.1,1,42.0,45.27
NA,WP_014854731.1,1,45.0,51.11
NA,WP_014854732.1,1,42.0,46.51
NA,WP_014854733.1,1,38.0,37.36
glgA,WP_014854734.1,1,41.0,45.47
hutI,WP_014854735.1,1,41.0,47.42
ftcD,WP_014854736.1,1,44.0,45.59
NA,WP_014854737.1,1,44.0,49.5
NA,WP_014854738.1,1,43.0,47.87
NA,WP_014854739.1,1,41.0,44.95
mltG,WP_014854740.1,1,42.0,44.54
tsaD,WP_014854741.1,1,45.0,47.46
NA,WP_014854742.1,1,39.0,44.56
coaE,WP_014854743.1,1,40.0,46.07
rny,WP_014854744.1,1,45.0,45.17
zapA,WP_014854745.1,1,36.0,34.44
NA,WP_014854746.1,1,31.0,31.18
pheT,WP_014854747.1,1,43.0,44.04
pheS,WP_014854748.1,1,44.0,51.25
rplT,WP_014854749.1,1,41.0,35.85
rpmI,WP_014854750.1,1,34.0,30.91
infC,WP_014854751.1,1,41.0,38.12
thrS,WP_014854752.1,1,43.0,46.07
NA,WP_014854753.1,1,42.0,45.9
NA,WP_014854754.1,1,41.0,41.52
NA,WP_014854755.1,1,45.0,48.07
NA,WP_014854756.1,1,44.0,46.59
rhaM,WP_014854757.1,1,44.0,47.37
NA,WP_014854758.1,1,43.0,45.57
NA,WP_014854759.1,1,46.0,44.72
NA,WP_014854760.1,1,44.0,44.24
NA,WP_014854761.1,1,43.0,43.12
NA,WP_014854762.1,1,46.0,44.94
NA,WP_014854763.1,1,42.0,42.69
NA,WP_162098587.1,1,43.0,42.98
NA,WP_041355652.1,1,42.0,43.8
NA,WP_014854766.1,1,43.0,45.07
NA,WP_014854767.1,1,43.0,45.11
NA,WP_014854768.1,1,46.0,45.54
NA,WP_014854769.1,1,42.0,44.25
NA,WP_014854770.1,1,43.0,44.32
NA,WP_014854771.1,1,43.0,43.8
NA,WP_014854772.1,1,43.0,45.26
NA,WP_014854773.1,1,42.0,44.05
NA,WP_051015841.1,1,44.0,42.26
NA,WP_014854775.1,1,43.0,46.21
NA,WP_014854776.1,1,45.0,45.85
NA,WP_014854777.1,1,49.0,50.0
NA,WP_041355653.1,1,50.0,48.72
NA,WP_014854779.1,1,43.0,40.7
NA,WP_041355655.1,1,51.0,43.53
NA,WP_014854781.1,1,47.0,44.81
NA,WP_275450103.1,1,48.0,41.38
NA,WP_014854783.1,1,50.0,47.62
NA,WP_014854784.1,1,33.0,32.58
NA,WP_014854785.1,1,41.0,41.11
pduL,WP_014854786.1,1,44.0,44.05
NA,WP_157867274.1,1,42.0,44.37
NA,WP_014854788.1,1,45.0,48.77
NA,WP_014854789.1,1,43.0,46.72
NA,WP_014854790.1,1,40.0,42.68
NA,WP_014854791.1,1,41.0,40.04
NA,WP_014854792.1,1,44.0,46.53
NA,WP_081489424.1,1,43.0,46.46
NA,WP_014854794.1,1,39.0,43.41
NA,WP_014854795.1,1,44.0,45.92
NA,WP_014854796.1,1,43.0,46.09
NA,WP_014854797.1,1,35.0,35.21
NA,WP_014854798.1,1,44.0,45.6
NA,WP_014854799.1,1,41.0,48.06
NA,WP_014854800.1,1,48.0,47.47
NA,WP_014854801.1,1,30.0,19.37
NA,WP_226990960.1,1,27.0,14.6
NA,WP_014854803.1,1,43.0,42.67
NA,WP_014854804.1,1,36.0,29.6
NA,WP_014854805.1,1,41.0,43.48
NA,WP_041355659.1,1,38.0,35.71
NA,WP_014854806.1,1,40.0,44.13
nusB,WP_014854807.1,1,40.0,46.54
NA,WP_014854808.1,1,39.0,42.64
NA,WP_014854809.1,1,41.0,44.14
NA,WP_014854810.1,1,46.0,40.95
NA,WP_041355661.1,1,37.0,42.15
NA,WP_014854812.1,1,42.0,39.96
NA,WP_041355663.1,1,43.0,45.61
NA,WP_014854814.1,1,35.0,41.07
NA,WP_014854815.1,1,41.0,45.84
NA,WP_041355665.1,1,42.0,45.38
nuoL,WP_014854817.1,1,44.0,47.57
nuoK,WP_014854818.1,1,41.0,41.94
NA,WP_014854819.1,1,43.0,51.88
asnS,WP_014854820.1,1,46.0,47.75
NA,WP_014854821.1,1,41.0,43.61
NA,WP_014854822.1,1,41.0,46.61
NA,WP_041355668.1,1,31.0,32.79
NA,WP_014854823.1,1,41.0,50.72
folK,WP_014854824.1,1,42.0,46.84
folB,WP_014854825.1,1,38.0,37.17
NA,WP_014854826.1,1,41.0,45.08
pgeF,WP_014854827.1,1,42.0,44.49
NA,WP_014854828.1,1,46.0,46.64
NA,WP_014854829.1,1,42.0,46.95
NA,WP_014854830.1,1,40.0,42.45
argF,WP_014854831.1,1,44.0,48.84
arcC,WP_014854832.1,1,44.0,44.77
NA,WP_014854833.1,1,44.0,41.86
glmS,WP_041355672.1,1,43.0,43.93
NA,WP_014854835.1,1,50.0,50.86
nuoF,WP_014854836.1,1,46.0,48.5
nuoE,WP_014854837.1,1,43.0,45.95
nuoD,WP_014854838.1,1,46.0,47.17
NA,WP_014854839.1,1,41.0,38.96
NA,WP_014854840.1,1,47.0,46.88
ndhC,WP_014854841.1,1,37.0,38.94
NA,WP_014854842.1,1,45.0,46.13
NA,WP_014854843.1,1,41.0,41.34
NA,WP_014854844.1,1,40.0,43.9
argC,WP_014854845.1,1,44.0,45.43
lysX,WP_014854846.1,1,43.0,43.01
NA,WP_014854847.1,1,47.0,47.21
lysW,WP_014854848.1,1,49.0,41.3
NA,WP_014854849.1,1,41.0,41.33
NA,WP_014854850.1,1,42.0,42.86
NA,WP_014854851.1,1,42.0,44.9
NA,WP_041355675.1,1,37.0,37.1
NA,WP_014854853.1,1,39.0,41.8
NA,WP_014854854.1,1,38.0,42.17
metG,WP_157867275.1,1,42.0,46.04
NA,WP_014854856.1,1,40.0,42.47
NA,WP_014854857.1,1,43.0,41.03
NA,WP_014854858.1,1,41.0,45.0
fumC,WP_014854859.1,1,46.0,48.35
NA,WP_014854860.1,1,43.0,43.72
NA,WP_014854861.1,1,45.0,47.27
NA,WP_014854862.1,1,51.0,55.0
NA,WP_041355679.1,1,44.0,45.24
NA,WP_014854864.1,1,41.0,45.53
NA,WP_014854865.1,1,36.0,37.08
NA,WP_014854866.1,1,42.0,41.27
NA,WP_014854867.1,1,42.0,48.05
yihA,WP_014854868.1,1,41.0,47.57
NA,WP_014854870.1,1,41.0,37.58
rpsK,WP_014854872.1,1,47.0,42.86
rpsM,WP_014854873.1,1,42.0,38.98
rpmJ,WP_014854874.1,1,35.0,25.0
infA,WP_014854875.1,1,39.0,41.27
map,WP_014854876.1,1,45.0,45.9
secY,WP_014854877.1,1,43.0,43.81
rplO,WP_014854878.1,1,42.0,36.55
rpmD,WP_014854879.1,1,39.0,30.19
rpsE,WP_014854880.1,1,47.0,43.83
rplR,WP_014854881.1,1,43.0,35.71
rplF,WP_014854882.1,1,42.0,43.2
rpsH,WP_014854883.1,1,37.0,34.43
rpsN,WP_014854884.1,1,42.0,37.5
rplE,WP_041356169.1,1,42.0,46.86
rplX,WP_014854886.1,1,39.0,34.34
rplN,WP_014854887.1,1,47.0,39.82
rpsQ,WP_014854888.1,1,39.0,45.33
rpmC,WP_014854889.1,1,36.0,36.92
rplP,WP_014854890.1,1,44.0,38.46
rpsC,WP_014854891.1,1,44.0,42.16
rplV,WP_014854892.1,1,40.0,38.1
rpsS,WP_014854893.1,1,39.0,37.21
rplB,WP_014854894.1,1,48.0,45.66
rplW,WP_014854895.1,1,37.0,32.58
rplD,WP_014854896.1,1,43.0,43.22
rplC,WP_014854897.1,1,44.0,42.64
rpsJ,WP_014854898.1,1,39.0,39.78
tuf,WP_014854899.1,1,47.0,43.88
fusA,WP_014854900.1,1,45.0,44.64
rpsG,WP_014854901.1,1,45.0,44.52
rpsL,WP_041355685.1,1,44.0,35.34
rpoC,WP_014854903.1,1,45.0,46.47
rpoB,WP_014854904.1,1,45.0,44.8
rplL,WP_014854905.1,1,47.0,37.61
rplJ,WP_226990961.1,1,42.0,46.67
rplA,WP_226991019.1,1,45.0,44.84
rplK,WP_014854908.1,1,43.0,39.39
