gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_015191303.1,1,36.0,18.12
NA,WP_015191304.1,1,32.0,19.48
NA,WP_041619040.1,1,39.0,25.44
NA,WP_015191306.1,1,40.0,28.77
NA,WP_015191308.1,1,35.0,21.83
NA,WP_015191309.1,1,36.0,22.98
NA,WP_015191310.1,1,40.0,22.52
NA,WP_015191312.1,1,36.0,16.81
cax,WP_015191313.1,1,39.0,26.46
NA,WP_015191314.1,1,30.0,15.89
NA,WP_041619044.1,1,39.0,33.59
NA,WP_015191315.1,1,39.0,30.3
NA,WP_015191316.1,1,39.0,30.39
NA,WP_041619045.1,1,39.0,23.46
NA,WP_015191319.1,1,40.0,25.0
NA,WP_015191320.1,1,37.0,23.74
NA,WP_015191321.1,1,40.0,27.17
NA,WP_015191322.1,1,36.0,25.65
thrC,WP_015191323.1,1,41.0,24.71
NA,WP_015191324.1,1,39.0,19.51
pgsA,WP_015191325.1,1,41.0,33.53
NA,WP_015191326.1,1,43.0,21.43
NA,WP_015191327.1,1,34.0,21.07
NA,WP_015191328.1,1,40.0,32.11
NA,WP_015191329.1,1,32.0,26.56
NA,WP_071882358.1,1,33.0,26.91
NA,WP_083856878.1,1,41.0,22.34
NA,WP_015191331.1,1,40.0,27.0
NA,WP_015191332.1,1,37.0,17.14
NA,WP_015191333.1,1,38.0,29.32
NA,WP_015191334.1,1,35.0,20.25
NA,WP_281169277.1,1,39.0,21.57
NA,WP_051036011.1,1,39.0,26.83
NA,WP_015191335.1,1,38.0,22.14
NA,WP_015191336.1,1,40.0,20.59
NA,WP_015191337.1,1,34.0,22.67
NA,WP_015191338.1,1,38.0,20.43
mgtE,WP_015191339.1,1,38.0,22.54
NA,WP_015191340.1,1,37.0,23.31
NA,WP_015191341.1,1,28.999999999999996,19.2
NA,WP_015191342.1,1,32.0,20.55
NA,WP_015191343.1,1,38.0,22.33
NA,WP_015191344.1,1,35.0,27.54
ltrA,WP_015191345.1,1,38.0,34.89
NA,WP_083856838.1,1,36.0,19.78
NA,WP_015191346.1,1,38.0,33.66
NA,WP_245562062.1,1,38.0,15.0
NA,WP_015191347.1,1,36.0,27.12
NA,WP_015191348.1,1,35.0,20.0
NA,WP_171815433.1,1,32.0,21.31
NA,WP_015191350.1,1,36.0,21.51
metG,WP_015191351.1,1,37.0,25.68
NA,WP_015191352.1,1,38.0,25.39
lptC,WP_015191353.1,1,38.0,23.88
NA,WP_015191354.1,1,32.0,15.31
NA,WP_015191355.1,1,39.0,22.92
thrS,WP_015191356.1,1,40.0,29.43
NA,WP_015191357.1,1,44.0,36.23
NA,WP_015191358.1,1,42.0,31.62
NA,WP_015191359.1,1,38.0,23.97
NA,WP_015191360.1,1,34.0,23.84
NA,WP_015191361.1,1,37.0,22.5
NA,WP_015191362.1,1,38.0,23.84
NA,WP_015191363.1,1,36.0,19.63
NA,WP_216087073.1,1,30.0,17.62
NA,WP_041619633.1,1,32.0,22.9
ileS,WP_015191366.1,1,40.0,29.93
NA,WP_015191367.1,1,28.000000000000004,12.59
NA,WP_015191368.1,1,33.0,16.95
cbiD,WP_015191369.1,1,37.0,18.64
NA,WP_015191370.1,1,38.0,25.53
NA,WP_041619051.1,1,32.0,26.87
NA,WP_015191371.1,1,40.0,27.44
NA,WP_015191372.1,1,39.0,23.81
pap,WP_015191373.1,1,39.0,25.41
NA,WP_015191374.1,1,39.0,25.0
NA,WP_015191376.1,1,40.0,30.5
NA,WP_015191377.1,1,37.0,24.26
NA,WP_015191378.1,1,40.0,31.34
NA,WP_015191379.1,1,35.0,26.58
NA,WP_015191380.1,1,39.0,28.57
NA,WP_015191381.1,1,37.0,28.04
coaBC,WP_015191382.1,1,38.0,20.34
NA,WP_015191383.1,1,39.0,28.66
NA,WP_015191384.1,1,34.0,21.69
plsY,WP_015191386.1,1,37.0,20.77
NA,WP_015191387.1,1,37.0,22.06
NA,WP_015191388.1,1,39.0,28.27
NA,WP_041619053.1,1,43.0,32.29
NA,WP_041619055.1,1,44.0,30.0
NA,WP_015191389.1,1,42.0,25.97
NA,WP_015191390.1,1,37.0,26.96
NA,WP_015191391.1,1,39.0,23.13
hisS,WP_015191392.1,1,40.0,25.3
NA,WP_015191393.1,1,36.0,23.08
NA,WP_015191394.1,1,36.0,21.95
NA,WP_041619636.1,1,38.0,16.77
NA,WP_015191396.1,1,36.0,20.77
NA,WP_015191397.1,1,33.0,22.02
NA,WP_041619638.1,1,37.0,19.19
NA,WP_015191399.1,1,33.0,16.71
NA,WP_015191400.1,1,37.0,26.14
NA,WP_015191401.1,1,34.0,21.09
NA,WP_015191402.1,1,36.0,19.83
NA,WP_015191403.1,1,38.0,27.28
NA,WP_015191404.1,1,38.0,23.77
NA,WP_015191405.1,1,38.0,25.62
NA,WP_015191406.1,1,40.0,27.95
NA,WP_015191407.1,1,34.0,25.96
pstB,WP_015191408.1,1,37.0,24.71
psb27,WP_015191409.1,1,38.0,17.6
NA,WP_015191410.1,1,42.0,25.0
NA,WP_015191411.1,1,45.0,45.45
NA,WP_015191412.1,1,36.0,16.15
NA,WP_015191413.1,1,32.0,14.24
pstS,WP_015191414.1,1,38.0,17.16
NA,WP_015191415.1,1,37.0,24.04
NA,WP_015191416.1,1,38.0,27.54
NA,WP_015191417.1,1,35.0,19.89
NA,WP_015191418.1,1,30.0,18.31
NA,WP_015191419.1,1,30.0,20.33
NA,WP_015191420.1,1,32.0,18.92
NA,WP_015191421.1,1,34.0,25.88
NA,WP_216087074.1,1,38.0,27.15
NA,WP_216087075.1,1,33.0,16.04
NA,WP_015191422.1,1,40.0,26.01
NA,WP_015191423.1,1,36.0,25.93
NA,WP_015191424.1,1,31.0,18.89
NA,WP_015191425.1,1,42.0,26.69
NA,WP_015191426.1,1,40.0,21.61
NA,WP_015191427.1,1,41.0,27.57
NA,WP_015191428.1,1,38.0,27.08
NA,WP_015191429.1,1,37.0,26.72
NA,WP_015191430.1,1,39.0,29.52
NA,WP_015191431.1,1,37.0,23.65
NA,WP_015191432.1,1,37.0,20.17
NA,WP_015191433.1,1,39.0,24.03
NA,WP_015191434.1,1,34.0,21.4
NA,WP_015191435.1,1,38.0,23.43
NA,WP_015191436.1,1,41.0,25.71
NA,WP_015191437.1,1,39.0,27.18
NA,WP_015191438.1,1,37.0,23.65
ftsH3,WP_015191439.1,1,42.0,25.37
NA,WP_015191440.1,1,40.0,20.81
NA,WP_015191441.1,1,36.0,26.29
NA,WP_015191442.1,1,36.0,20.86
rsgA,WP_015191443.1,1,37.0,22.84
NA,WP_015191444.1,1,40.0,27.06
dnaJ,WP_015191445.1,1,42.0,20.71
dnaK,WP_015191446.1,1,37.0,21.48
grpE,WP_015191447.1,1,38.0,26.0
NA,WP_015191448.1,1,39.0,25.08
NA,WP_015191449.1,1,41.0,28.17
NA,WP_015191450.1,1,36.0,24.56
NA,WP_015191451.1,1,37.0,18.89
NA,WP_015191452.1,1,39.0,22.09
NA,WP_015191453.1,1,33.0,14.06
NA,WP_015191454.1,1,39.0,21.77
NA,WP_015191455.1,1,35.0,19.09
NA,WP_015191456.1,1,37.0,27.55
NA,WP_015191457.1,1,38.0,28.57
NA,WP_015191458.1,1,39.0,23.81
NA,WP_015191459.1,1,37.0,19.62
NA,WP_015191460.1,1,37.0,24.18
NA,WP_015191461.1,1,34.0,15.53
speD,WP_015191462.1,1,45.0,26.72
NA,WP_015191463.1,1,40.0,35.77
NA,WP_015191464.1,1,37.0,15.28
trmFO,WP_015191465.1,1,41.0,23.49
NA,WP_015191466.1,1,37.0,23.5
NA,WP_015191467.1,1,36.0,18.01
NA,WP_015191468.1,1,37.0,19.44
NA,WP_015191469.1,1,37.0,18.6
NA,WP_015191470.1,1,40.0,24.7
NA,WP_015191471.1,1,38.0,26.68
NA,WP_015191472.1,1,43.0,25.85
NA,WP_015191473.1,1,41.0,24.57
NA,WP_015191474.1,1,39.0,25.69
NA,WP_015191475.1,1,37.0,21.43
NA,WP_015191476.1,1,37.0,22.05
NA,WP_015191477.1,1,41.0,25.33
NA,WP_015191478.1,1,37.0,25.4
NA,WP_015191479.1,1,40.0,30.77
NA,WP_015191480.1,1,31.0,19.44
NA,WP_150109024.1,1,31.0,21.68
NA,WP_015191482.1,1,38.0,26.42
NA,WP_015191483.1,1,32.0,19.18
NA,WP_281169244.1,1,25.0,12.5
NA,WP_015191484.1,1,38.0,25.72
NA,WP_015191486.1,1,36.0,25.19
NA,WP_015191487.1,1,38.0,23.7
cimA,WP_015191488.1,1,40.0,24.29
NA,WP_015191489.1,1,37.0,23.97
NA,WP_015191491.1,1,40.0,21.0
NA,WP_015191493.1,1,41.0,20.59
NA,WP_015191494.1,1,30.0,24.47
NA,WP_015191495.1,1,28.000000000000004,15.56
NA,WP_015191496.1,1,34.0,21.56
NA,WP_015191497.1,1,36.0,23.05
NA,WP_015191498.1,1,37.0,23.51
NA,WP_015191499.1,1,41.0,17.61
NA,WP_015191500.1,1,41.0,18.71
NA,WP_015191501.1,1,39.0,24.73
NA,WP_015191502.1,1,40.0,22.09
NA,WP_015191503.1,1,38.0,25.13
NA,WP_015191504.1,1,41.0,34.07
ybeY,WP_015191505.1,1,38.0,23.23
NA,WP_015191506.1,1,36.0,28.57
NA,WP_015191507.1,1,36.0,25.23
yidD,WP_041619647.1,1,41.0,20.55
aroF,WP_015191509.1,1,39.0,22.97
NA,WP_015191510.1,1,41.0,29.84
NA,WP_015191511.1,1,40.0,33.27
NA,WP_015191512.1,1,44.0,29.16
NA,WP_015191513.1,1,32.0,21.82
NA,WP_015191514.1,1,41.0,29.28
NA,WP_041619072.1,1,37.0,25.0
NA,WP_281169245.1,1,52.0,51.43
aroH,WP_015191515.1,1,42.0,27.82
NA,WP_015191516.1,1,41.0,28.68
NA,WP_015191517.1,1,31.0,25.58
NA,WP_015191518.1,1,40.0,23.24
NA,WP_015191519.1,1,36.0,20.41
NA,WP_015191520.1,1,40.0,24.89
NA,WP_015191521.1,1,33.0,31.94
NA,WP_015191522.1,1,31.0,17.5
NA,WP_015191523.1,1,35.0,27.6
NA,WP_015191524.1,1,28.000000000000004,16.67
NA,WP_015191525.1,1,33.0,19.22
NA,WP_015191526.1,1,38.0,26.16
NA,WP_015191527.1,1,40.0,18.54
NA,WP_015191528.1,1,39.0,23.03
murC,WP_015191529.1,1,35.0,14.0
murB,WP_051036086.1,1,42.0,27.18
NA,WP_015191531.1,1,42.0,29.13
NA,WP_015191532.1,1,37.0,25.37
NA,WP_051036015.1,1,42.0,19.65
NA,WP_015191534.1,1,41.0,29.35
NA,WP_015191536.1,1,34.0,18.13
NA,WP_041619077.1,1,37.0,22.28
NA,WP_015191538.1,1,38.0,27.66
NA,WP_015191539.1,1,38.0,19.67
NA,WP_171815434.1,1,40.0,37.78
NA,WP_015191540.1,1,46.0,28.22
cpcA,WP_015191541.1,1,44.0,33.99
NA,WP_015191542.1,1,40.0,23.77
NA,WP_015191543.1,1,40.0,25.69
NA,WP_015191544.1,1,40.0,22.68
NA,WP_015191545.1,1,43.0,26.03
NA,WP_015191546.1,1,34.0,20.09
NA,WP_015191547.1,1,40.0,30.37
NA,WP_015191548.1,1,39.0,28.5
NA,WP_171815435.1,1,34.0,22.8
NA,WP_015191550.1,1,31.0,16.83
NA,WP_015191551.1,1,41.0,26.34
NA,WP_216087078.1,1,42.0,17.5
NA,WP_216087079.1,1,36.0,19.75
NA,WP_015191552.1,1,32.0,21.21
htpG,WP_015191553.1,1,37.0,26.5
NA,WP_015191554.1,1,35.0,20.0
NA,WP_015191555.1,1,37.0,22.99
NA,WP_015191556.1,1,38.0,20.58
NA,WP_015191557.1,1,41.0,25.67
NA,WP_015191558.1,1,36.0,22.04
NA,WP_015191559.1,1,31.0,20.18
NA,WP_015191561.1,1,33.0,17.1
NA,WP_015191562.1,1,35.0,22.37
NA,WP_015191563.1,1,31.0,17.73
tpiA,WP_015191564.1,1,36.0,18.97
NA,WP_015191565.1,1,40.0,23.61
NA,WP_015191566.1,1,41.0,25.95
NA,WP_015191567.1,1,36.0,22.05
NA,WP_015191568.1,1,34.0,26.32
NA,WP_015191569.1,1,40.0,23.16
NA,WP_015191570.1,1,31.0,19.52
NA,WP_015191571.1,1,41.0,23.7
NA,WP_015191572.1,1,41.0,31.33
NA,WP_015191573.1,1,41.0,32.18
NA,WP_015191574.1,1,37.0,17.06
NA,WP_015191575.1,1,40.0,21.65
arsC,WP_051036017.1,1,42.0,22.22
NA,WP_015191576.1,1,35.0,29.41
trxA,WP_015191577.1,1,37.0,22.92
purB,WP_245562064.1,1,39.0,24.13
NA,WP_015191579.1,1,41.0,27.03
NA,WP_041619662.1,1,40.0,20.49
NA,WP_015191581.1,1,44.0,29.31
NA,WP_041619663.1,1,37.0,22.36
NA,WP_015191583.1,1,36.0,23.17
NA,WP_150109025.1,1,32.0,19.67
surE,WP_015191585.1,1,39.0,20.89
NA,WP_015191586.1,1,37.0,22.91
NA,WP_015191587.1,1,36.0,28.05
NA,WP_015191588.1,1,32.0,7.14
NA,WP_015191589.1,1,39.0,25.0
polA,WP_015191590.1,1,33.0,15.38
NA,WP_171815436.1,1,39.0,29.73
NA,WP_015191592.1,1,39.0,24.17
murQ,WP_015191593.1,1,40.0,19.8
NA,WP_015191594.1,1,39.0,21.28
NA,WP_015191595.1,1,44.0,27.51
NA,WP_015191596.1,1,40.0,23.83
NA,WP_015191597.1,1,38.0,21.73
trmD,WP_015191598.1,1,38.0,22.52
NA,WP_015191599.1,1,41.0,29.03
ccsB,WP_015191600.1,1,41.0,29.63
NA,WP_015191601.1,1,39.0,24.07
tilS,WP_015191602.1,1,38.0,21.38
NA,WP_015191603.1,1,35.0,22.2
NA,WP_015191606.1,1,31.0,21.93
NA,WP_015191607.1,1,37.0,21.67
cutA,WP_015191608.1,1,31.0,21.21
NA,WP_015191609.1,1,33.0,19.35
NA,WP_015191610.1,1,36.0,22.59
carA,WP_245562065.1,1,39.0,20.9
NA,WP_015191612.1,1,35.0,19.73
NA,WP_015191613.1,1,34.0,14.63
psbH,WP_015191614.1,1,32.0,20.69
psbN,WP_015191615.1,1,34.0,17.65
NA,WP_015191616.1,1,38.0,29.41
NA,WP_015191617.1,1,39.0,27.52
NA,WP_015191618.1,1,43.0,28.94
NA,WP_015191619.1,1,35.0,20.09
NA,WP_015191620.1,1,41.0,26.83
NA,WP_015191621.1,1,43.0,25.81
NA,WP_015191622.1,1,45.0,28.16
NA,WP_015191623.1,1,45.0,31.91
NA,WP_015191624.1,1,43.0,23.4
NA,WP_015191625.1,1,40.0,30.02
NA,WP_015191626.1,1,37.0,24.79
NA,WP_015191627.1,1,36.0,22.49
priA,WP_015191628.1,1,40.0,24.97
NA,WP_015191629.1,1,35.0,19.5
argB,WP_015191630.1,1,39.0,21.45
NA,WP_015191631.1,1,34.0,19.08
NA,WP_015191632.1,1,34.0,21.88
NA,WP_015191633.1,1,36.0,28.92
NA,WP_015191634.1,1,40.0,27.91
NA,WP_015191635.1,1,45.0,31.09
NA,WP_015191636.1,1,42.0,21.81
NA,WP_015191637.1,1,36.0,27.78
NA,WP_015191638.1,1,32.0,12.24
NA,WP_015191639.1,1,32.0,17.28
NA,WP_245562066.1,1,35.0,20.41
clpB,WP_015191640.1,1,39.0,24.66
NA,WP_015191641.1,1,36.0,20.92
mnmA,WP_015191642.1,1,39.0,26.39
NA,WP_015191643.1,1,31.0,18.27
NA,WP_015191644.1,1,40.0,28.62
NA,WP_015191645.1,1,33.0,22.63
NA,WP_015191646.1,1,31.0,19.49
kaiB,WP_015191647.1,1,37.0,28.83
kaiC,WP_015191648.1,1,40.0,28.38
NA,WP_015191649.1,1,38.0,18.84
NA,WP_281169246.1,1,35.0,30.3
pntA,WP_015191650.1,1,41.0,27.69
pntB,WP_015191651.1,1,41.0,28.42
pflA,WP_015191652.1,1,38.0,22.5
pflB,WP_281169247.1,1,41.0,36.65
alaS,WP_015191654.1,1,39.0,25.12
NA,WP_015191655.1,1,36.0,19.63
NA,WP_015191656.1,1,38.0,19.06
NA,WP_015191657.1,1,39.0,25.0
NA,WP_015191658.1,1,36.0,21.68
NA,WP_015191659.1,1,39.0,18.55
NA,WP_041619086.1,1,35.0,33.33
NA,WP_015191660.1,1,38.0,21.97
NA,WP_015191661.1,1,39.0,25.24
NA,WP_015191662.1,1,36.0,21.6
NA,WP_015191663.1,1,36.0,19.38
pyk,WP_015191664.1,1,38.0,22.03
NA,WP_015191665.1,1,47.0,34.0
mltG,WP_281169278.1,1,39.0,21.6
NA,WP_015191667.1,1,36.0,23.5
NA,WP_015191669.1,1,44.0,33.09
rimI,WP_015191670.1,1,35.0,21.21
lysA,WP_015191671.1,1,38.0,21.38
cdaA,WP_015191672.1,1,40.0,28.04
NA,WP_015191673.1,1,39.0,27.16
NA,WP_015191674.1,1,40.0,30.2
NA,WP_015191675.1,1,36.0,23.56
NA,WP_171815430.1,1,36.0,35.14
NA,WP_015191676.1,1,37.0,20.26
NA,WP_015191677.1,1,37.0,21.98
NA,WP_015191678.1,1,33.0,20.12
glyQ,WP_015191679.1,1,35.0,21.28
NA,WP_015191680.1,1,36.0,19.01
NA,WP_015191681.1,1,35.0,16.22
phoU,WP_015191682.1,1,36.0,23.0
NA,WP_015191683.1,1,42.0,26.97
NA,WP_015191685.1,1,30.0,11.98
NA,WP_015191686.1,1,40.0,24.52
uvrB,WP_015191687.1,1,36.0,20.78
NA,WP_015191688.1,1,31.0,15.19
NA,WP_015191689.1,1,28.999999999999996,17.67
NA,WP_015191690.1,1,30.0,22.22
NA,WP_015191691.1,1,34.0,17.48
NA,WP_015191692.1,1,37.0,21.97
NA,WP_041619091.1,1,36.0,21.0
NA,WP_171815437.1,1,40.0,28.95
NA,WP_015191694.1,1,38.0,23.0
NA,WP_015191695.1,1,27.0,16.92
NA,WP_015191696.1,1,33.0,24.0
NA,WP_015191697.1,1,36.0,21.63
larC,WP_015191698.1,1,37.0,20.35
NA,WP_015191699.1,1,37.0,24.18
NA,WP_015191700.1,1,39.0,29.74
NA,WP_281169265.1,1,37.0,28.85
NA,WP_015191701.1,1,37.0,23.7
NA,WP_015191702.1,1,39.0,30.0
NA,WP_015191703.1,1,41.0,32.25
NA,WP_015191704.1,1,36.0,23.87
NA,WP_015191706.1,1,31.0,21.4
NA,WP_015191707.1,1,39.0,26.62
NA,WP_015191708.1,1,41.0,32.99
NA,WP_015191709.1,1,39.0,33.85
ctaD,WP_015191710.1,1,42.0,36.41
NA,WP_015191711.1,1,40.0,26.37
NA,WP_015191712.1,1,40.0,24.1
NA,WP_015191713.1,1,38.0,31.02
NA,WP_015191714.1,1,41.0,30.23
NA,WP_015191715.1,1,36.0,23.92
NA,WP_015191716.1,1,30.0,16.84
NA,WP_015191717.1,1,34.0,14.56
asnS,WP_015191718.1,1,37.0,21.81
NA,WP_015191719.1,1,43.0,33.15
NA,WP_015191720.1,1,37.0,25.49
NA,WP_015191721.1,1,38.0,22.3
NA,WP_015191722.1,1,39.0,28.96
NA,WP_245562067.1,1,39.0,28.03
NA,WP_015191724.1,1,33.0,20.39
NA,WP_015191725.1,1,35.0,21.33
NA,WP_015191726.1,1,38.0,32.01
NA,WP_015191727.1,1,33.0,20.21
NA,WP_015191728.1,1,32.0,17.41
NA,WP_015191729.1,1,42.0,27.96
NA,WP_015191730.1,1,42.0,34.48
NA,WP_015191731.1,1,28.999999999999996,16.29
NA,WP_015191732.1,1,42.0,30.83
NA,WP_015191733.1,1,41.0,24.17
NA,WP_015191734.1,1,38.0,25.84
NA,WP_015191735.1,1,37.0,25.34
NA,WP_015191736.1,1,45.0,38.19
NA,WP_015191737.1,1,36.0,24.02
csx18,WP_015191738.1,1,33.0,23.81
cas1,WP_015191739.1,1,39.0,29.28
NA,WP_015191740.1,1,37.0,27.98
NA,WP_015191741.1,1,38.0,25.89
NA,WP_015191742.1,1,37.0,29.1
cmr4,WP_015191743.1,1,40.0,30.08
NA,WP_015191744.1,1,38.0,24.67
cas10,WP_245562068.1,1,36.0,24.64
NA,WP_216087081.1,1,36.0,23.53
cas2,WP_015191745.1,1,34.0,18.27
NA,WP_015191746.1,1,39.0,25.79
NA,WP_015191747.1,1,39.0,25.64
NA,WP_015191748.1,1,32.0,17.42
NA,WP_216087082.1,1,32.0,19.78
NA,WP_015191749.1,1,34.0,16.93
NA,WP_015191750.1,1,31.0,17.72
NA,WP_015191751.1,1,37.0,21.7
NA,WP_015191752.1,1,37.0,30.22
petN,WP_015191753.1,1,43.0,35.0
NA,WP_171815438.1,1,38.0,21.05
NA,WP_015191754.1,1,38.0,22.39
NA,WP_015191755.1,1,41.0,33.33
NA,WP_015191756.1,1,43.0,34.21
NA,WP_015191757.1,1,41.0,21.66
NA,WP_015191758.1,1,40.0,27.12
NA,WP_015191760.1,1,34.0,23.29
NA,WP_015191761.1,1,44.0,36.96
NA,WP_015191762.1,1,40.0,25.66
NA,WP_015191763.1,1,42.0,22.96
NA,WP_015191764.1,1,37.0,23.66
NA,WP_015191765.1,1,37.0,28.03
NA,WP_015191766.1,1,38.0,23.03
NA,WP_015191767.1,1,41.0,26.57
NA,WP_015191768.1,1,37.0,22.55
NA,WP_015191769.1,1,28.000000000000004,21.05
NA,WP_015191770.1,1,40.0,24.04
NA,WP_015191771.1,1,41.0,29.73
NA,WP_015191772.1,1,36.0,25.23
NA,WP_015191773.1,1,35.0,24.0
NA,WP_015191774.1,1,36.0,18.84
NA,WP_015191775.1,1,38.0,26.21
NA,WP_015191776.1,1,38.0,23.08
NA,WP_150109028.1,1,31.0,24.02
NA,WP_015191778.1,1,36.0,25.44
NA,WP_015191779.1,1,31.0,21.02
NA,WP_015191780.1,1,38.0,18.27
NA,WP_015191781.1,1,36.0,22.73
NA,WP_015191782.1,1,39.0,23.87
NA,WP_015191783.1,1,41.0,27.23
NA,WP_216087124.1,1,41.0,24.16
mreC,WP_015191785.1,1,37.0,22.73
mreD,WP_015191786.1,1,37.0,31.4
NA,WP_015191787.1,1,34.0,25.81
NA,WP_015191788.1,1,42.0,26.57
NA,WP_015191789.1,1,33.0,20.0
NA,WP_015191790.1,1,35.0,17.34
NA,WP_015191791.1,1,32.0,16.61
NA,WP_015191792.1,1,39.0,29.15
NA,WP_015191793.1,1,35.0,26.05
NA,WP_015191794.1,1,39.0,24.86
NA,WP_015191795.1,1,38.0,22.44
NA,WP_015191796.1,1,37.0,23.87
NA,WP_015191797.1,1,39.0,28.64
NA,WP_015191798.1,1,31.0,21.05
NA,WP_015191799.1,1,33.0,25.49
NA,WP_015191800.1,1,39.0,18.03
NA,WP_015191801.1,1,34.0,29.87
NA,WP_015191802.1,1,36.0,22.45
NA,WP_216087083.1,1,38.0,22.92
NA,WP_015191803.1,1,34.0,15.29
NA,WP_015191804.1,1,33.0,22.86
NA,WP_015191805.1,1,28.999999999999996,15.19
NA,WP_015191806.1,1,33.0,18.33
NA,WP_015191808.1,1,30.0,18.81
glcD,WP_015191809.1,1,40.0,23.35
NA,WP_015191810.1,1,43.0,38.96
tnpA,WP_015191811.1,1,43.0,42.74
NA,WP_015191812.1,1,32.0,17.37
NA,WP_015191813.1,1,35.0,16.88
