gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_239031824.1,2,66.0,84.62
dnaA,WP_138576046.1,1,69.0,94.93
dnaN,WP_138575848.1,1,68.0,92.84
recF,WP_138575847.1,1,75.0,94.38
NA,WP_138575846.1,1,73.0,90.91
gyrB,WP_138575845.1,1,68.0,92.83
NA,WP_138575844.1,1,75.0,93.0
NA,WP_138575843.1,1,74.0,93.41
NA,WP_138575842.1,1,73.0,93.33
dctP,WP_138575841.1,1,66.0,95.05
NA,WP_170317526.1,1,67.0,91.19
NA,WP_138576045.1,1,68.0,95.08
NA,WP_138575839.1,1,69.0,93.18
NA,WP_138575838.1,1,75.0,93.51
NA,WP_138575837.1,1,71.0,95.58
NA,WP_138575836.1,1,76.0,94.24
NA,WP_138575835.1,1,64.0,91.36
NA,WP_138575834.1,1,74.0,93.65
NA,WP_138575833.1,1,70.0,91.5
NA,WP_138575832.1,1,74.0,92.35
NA,WP_138575831.1,1,71.0,92.09
NA,WP_138575830.1,1,72.0,96.51
NA,WP_138575829.1,1,74.0,94.63
NA,WP_138575828.1,1,69.0,90.44
NA,WP_138575827.1,1,76.0,92.79
NA,WP_138575826.1,1,75.0,93.83
NA,WP_138575825.1,1,71.0,93.04
NA,WP_138575824.1,1,69.0,94.65
hrpB,WP_138575823.1,1,78.0,94.51
NA,WP_170317527.1,1,72.0,92.73
NA,WP_138575821.1,1,72.0,91.38
NA,WP_138575820.1,1,76.0,94.69
NA,WP_138575819.1,1,69.0,90.08
argF,WP_138575818.1,1,70.0,96.0
NA,WP_138575817.1,1,71.0,93.65
NA,WP_239031825.1,1,73.0,92.56
NA,WP_138575815.1,1,73.0,93.06
NA,WP_138575814.1,1,74.0,93.45
NA,WP_138575813.1,1,76.0,94.83
NA,WP_170317528.1,1,74.0,92.1
NA,WP_138575811.1,1,70.0,96.14
NA,WP_138575810.1,1,72.0,90.98
NA,WP_138575809.1,1,73.0,88.1
NA,WP_239031962.1,1,75.0,93.96
NA,WP_277884141.1,1,66.0,88.24
NA,WP_239031826.1,1,75.0,92.8
NA,WP_138575807.1,1,73.0,94.4
NA,WP_138575806.1,1,74.0,94.4
NA,WP_239031827.1,1,73.0,94.52
NA,WP_170317529.1,1,61.0,65.93
NA,WP_138575803.1,1,59.0,60.63
istB,WP_143972228.1,1,60.0,77.95
istA,WP_143972275.1,1,62.0,77.6
NA,WP_138579498.1,1,68.0,81.05
NA,WP_138579500.1,1,71.0,80.0
NA,WP_138579462.1,1,64.0,80.74
NA,WP_138579464.1,1,48.0,55.37
NA,WP_138579466.1,1,69.0,88.31
NA,WP_239031963.1,1,70.0,87.42
NA,WP_138579470.1,1,64.0,93.75
NA,WP_143972229.1,1,60.0,71.22
NA,WP_138579474.1,1,72.0,89.94
NA,WP_138579476.1,1,69.0,91.36
NA,WP_138579478.1,1,71.0,87.83
NA,WP_138579480.1,1,70.0,88.01
NA,WP_170317530.1,1,70.0,82.54
NA,WP_138579484.1,1,69.0,86.44
NA,WP_239031828.1,1,68.0,87.28
NA,WP_138579486.1,1,65.0,77.47
NA,WP_138579488.1,1,70.0,90.2
NA,WP_138579490.1,1,73.0,89.36
NA,WP_138579492.1,1,71.0,86.0
NA,WP_138579494.1,1,53.0,58.7
NA,WP_138579496.1,1,60.0,70.55
NA,WP_239031829.1,1,61.0,63.3
NA,WP_138577350.1,1,62.0,77.98
NA,WP_138577348.1,1,71.0,88.46
NA,WP_138577346.1,1,73.0,94.23
NA,WP_170317531.1,1,72.0,93.74
NA,WP_138577344.1,1,71.0,92.18
NA,WP_138577342.1,1,70.0,93.58
NA,WP_138577340.1,1,71.0,96.14
NA,WP_138577338.1,1,76.0,94.82
NA,WP_138577336.1,1,67.0,93.49
NA,WP_138577334.1,1,68.0,96.09
NA,WP_138577332.1,1,69.0,98.45
NA,WP_138577331.1,1,77.0,95.21
NA,WP_138577329.1,1,80.0,96.3
NA,WP_138577327.1,1,68.0,91.46
NA,WP_138577325.1,1,69.0,94.08
NA,WP_138577323.1,1,73.0,86.0
NA,WP_138577321.1,1,66.0,93.27
NA,WP_138577319.1,1,68.0,90.16
NA,WP_138577369.1,1,71.0,95.48
NA,WP_138577317.1,1,74.0,93.38
NA,WP_138577315.1,1,79.0,93.92
NA,WP_138577313.1,1,75.0,95.28
NA,WP_138577311.1,1,76.0,91.83
NA,WP_138577309.1,1,76.0,92.53
NA,WP_138577307.1,1,67.0,86.14
NA,WP_205910818.1,1,67.0,84.66
NA,WP_143972231.1,1,59.0,65.49
NA,WP_138577303.1,1,70.0,84.97
NA,WP_138577301.1,1,70.0,81.91
NA,WP_138577299.1,1,67.0,84.72
NA,WP_138577297.1,1,65.0,80.24
NA,WP_138577295.1,1,68.0,85.63
NA,WP_138577293.1,1,69.0,88.49
NA,WP_138577291.1,1,66.0,81.6
NA,WP_138577289.1,1,68.0,86.99
NA,WP_138577287.1,1,70.0,86.07
NA,WP_205910819.1,1,76.0,95.76
NA,WP_205910820.1,1,76.0,95.17
NA,WP_138577283.1,1,75.0,94.39
NA,WP_138577281.1,1,72.0,93.27
