gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_260793836.1,1,63.0,66.72
NA,WP_260793837.1,1,63.0,75.56
NA,WP_260793838.1,1,60.0,72.58
NA,WP_260793839.1,1,62.0,78.95
NA,WP_260793840.1,1,59.0,74.23
NA,WP_260793841.1,1,64.0,76.14
NA,WP_260793842.1,1,59.0,76.66
NA,WP_260793843.1,1,63.0,79.13
NA,WP_260793844.1,1,63.0,72.49
NA,WP_260793845.1,1,55.00000000000001,60.98
NA,WP_260793846.1,1,63.0,83.07
NA,WP_260793847.1,1,57.99999999999999,71.86
NA,WP_260793848.1,1,59.0,77.27
NA,WP_260793849.1,1,61.0,73.0
NA,WP_260793850.1,1,59.0,77.75
NA,WP_260793851.1,1,57.99999999999999,70.6
NA,WP_260793852.1,1,57.99999999999999,69.7
NA,WP_260793853.1,1,60.0,66.91
NA,WP_260793854.1,1,52.0,69.14
eutC,WP_260793855.1,1,63.0,67.76
NA,WP_260793856.1,1,63.0,73.33
NA,WP_260793857.1,1,60.0,73.98
glk,WP_260793858.1,1,61.0,74.32
pgl,WP_260793859.1,1,63.0,70.31
NA,WP_260793860.1,1,60.0,72.17
NA,WP_260793861.1,1,62.0,77.78
NA,WP_260793862.1,1,60.0,60.34
NA,WP_260793863.1,1,62.0,68.27
NA,WP_260793864.1,1,61.0,72.27
NA,WP_260793865.1,1,61.0,77.53
fusA,WP_260793866.1,1,62.0,78.08
NA,WP_260793867.1,1,60.0,75.11
NA,WP_260793868.1,1,64.0,80.84
purF,WP_260793869.1,1,64.0,78.9
purL,WP_260793870.1,1,63.0,75.93
NA,WP_260796715.1,1,65.0,84.0
NA,WP_260793871.1,1,59.0,67.67
NA,WP_260793872.1,1,59.0,70.39
NA,WP_260793873.1,1,56.99999999999999,58.57
NA,WP_260793874.1,1,56.99999999999999,60.56
NA,WP_260793875.1,1,54.0,61.73
NA,WP_260793876.1,1,56.00000000000001,68.76
NA,WP_260793877.1,1,56.99999999999999,60.1
NA,WP_260793878.1,1,56.00000000000001,60.1
NA,WP_260793879.1,1,55.00000000000001,69.81
NA,WP_260793880.1,1,56.99999999999999,68.01
NA,WP_260793881.1,1,57.99999999999999,68.33
NA,WP_260793882.1,1,59.0,67.07
NA,WP_260793883.1,1,54.0,68.11
NA,WP_260793884.1,1,55.00000000000001,57.89
NA,WP_260793885.1,1,52.0,57.14
NA,WP_260793886.1,1,53.0,50.79
NA,WP_260793887.1,1,56.00000000000001,53.16
NA,WP_260793888.1,1,56.00000000000001,62.75
NA,WP_260793889.1,1,56.00000000000001,62.34
NA,WP_260793890.1,1,56.99999999999999,58.4
NA,WP_260793891.1,1,53.0,56.99
NA,WP_260793892.1,1,56.00000000000001,60.11
NA,WP_260793893.1,1,53.0,54.31
NA,WP_260793894.1,1,54.0,63.32
NA,WP_260793895.1,1,55.00000000000001,57.37
NA,WP_260793896.1,1,56.00000000000001,60.1
NA,WP_260793897.1,1,56.99999999999999,60.66
NA,WP_260793898.1,1,54.0,62.69
NA,WP_260793899.1,1,57.99999999999999,65.39
NA,WP_260793900.1,1,60.0,66.71
NA,WP_260793901.1,1,59.0,73.2
NA,WP_260793902.1,1,64.0,80.9
NA,WP_260793903.1,1,66.0,81.56
NA,WP_260793904.1,1,64.0,80.92
NA,WP_260793905.1,1,63.0,77.68
NA,WP_260793906.1,1,65.0,78.72
NA,WP_260793907.1,1,66.0,75.0
NA,WP_260793908.1,1,57.99999999999999,69.0
NA,WP_260793909.1,1,60.0,73.5
NA,WP_260793910.1,1,56.00000000000001,66.44
NA,WP_260793911.1,1,54.0,57.3
NA,WP_260793912.1,1,56.00000000000001,70.19
NA,WP_260793913.1,1,54.0,58.36
NA,WP_260793914.1,1,54.0,64.44
NA,WP_260793915.1,1,67.0,78.41
NA,WP_260793916.1,1,56.00000000000001,63.86
NA,WP_260793917.1,1,53.0,67.19
NA,WP_260793918.1,1,56.99999999999999,66.0
NA,WP_260793919.1,1,57.99999999999999,75.71
NA,WP_260793920.1,1,64.0,80.7
NA,WP_260793921.1,1,63.0,76.19
NA,WP_260793922.1,1,56.99999999999999,59.38
NA,WP_260793923.1,1,60.0,64.16
NA,WP_260793924.1,1,59.0,73.42
NA,WP_260793925.1,1,56.99999999999999,78.3
NA,WP_260793926.1,1,57.99999999999999,69.13
hyfB,WP_260793927.1,1,62.0,75.97
NA,WP_260793928.1,1,56.99999999999999,68.57
NA,WP_260793929.1,1,61.0,65.62
NA,WP_260793930.1,1,55.00000000000001,74.29
NA,WP_260793931.1,1,61.0,60.2
NA,WP_260796716.1,1,60.0,66.19
NA,WP_260793932.1,1,57.99999999999999,56.98
NA,WP_260793933.1,1,59.0,73.17
NA,WP_260793934.1,1,61.0,72.32
NA,WP_260793935.1,1,55.00000000000001,62.16
NA,WP_260793936.1,1,56.99999999999999,71.13
NA,WP_260793937.1,1,62.0,69.83
NA,WP_260793938.1,1,61.0,67.37
NA,WP_260793939.1,1,57.99999999999999,65.6
NA,WP_260793940.1,1,60.0,67.74
NA,WP_260793941.1,1,57.99999999999999,64.34
NA,WP_260793942.1,1,59.0,65.71
NA,WP_260793943.1,1,60.0,70.37
NA,WP_260793944.1,1,61.0,64.52
NA,WP_260793945.1,1,54.0,53.01
NA,WP_260793946.1,1,55.00000000000001,60.55
NA,WP_260793947.1,1,57.99999999999999,65.19
NA,WP_260793948.1,1,59.0,67.14
NA,WP_260793949.1,1,57.99999999999999,63.64
NA,WP_260793950.1,1,54.0,55.16
NA,WP_260793951.1,1,56.00000000000001,62.5
NA,WP_260793952.1,1,55.00000000000001,59.68
NA,WP_260793953.1,1,62.0,70.33
NA,WP_260793954.1,1,59.0,67.5
NA,WP_260793955.1,1,56.99999999999999,66.67
NA,WP_260793956.1,1,61.0,83.57
NA,WP_260793957.1,1,53.0,64.22
NA,WP_260793958.1,1,61.0,77.19
NA,WP_260793959.1,1,61.0,63.03
NA,WP_260793960.1,1,64.0,78.35
NA,WP_260793961.1,1,64.0,82.34
NA,WP_260793962.1,1,67.0,83.9
NA,WP_260793963.1,1,60.0,66.43
NA,WP_260793964.1,1,69.0,79.33
NA,WP_260793965.1,1,62.0,75.25
NA,WP_260793966.1,1,67.0,80.69
NA,WP_260793967.1,1,63.0,82.1
NA,WP_260793968.1,1,56.00000000000001,73.81
fahA,WP_260793969.1,1,63.0,75.6
NA,WP_260793970.1,1,63.0,72.26
hmgA,WP_260793971.1,1,62.0,77.53
NA,WP_260793972.1,1,61.0,77.18
hppD,WP_260793973.1,1,59.0,77.54
NA,WP_260793974.1,1,64.0,85.35
NA,WP_260793975.1,1,61.0,80.95
NA,WP_260793976.1,1,65.0,93.92
NA,WP_260793977.1,1,56.00000000000001,61.64
NA,WP_260793978.1,1,65.0,71.84
NA,WP_260793979.1,1,65.0,75.0
NA,WP_260793980.1,1,62.0,81.99
NA,WP_260793981.1,1,61.0,74.13
NA,WP_260793982.1,1,61.0,63.67
NA,WP_260793983.1,1,63.0,71.78
NA,WP_260793984.1,1,59.0,73.32
NA,WP_260793985.1,1,63.0,76.33
NA,WP_260793986.1,1,62.0,67.92
NA,WP_260793987.1,1,63.0,75.49
NA,WP_260793988.1,1,59.0,74.16
NA,WP_260793989.1,1,59.0,70.5
NA,WP_260793990.1,1,62.0,80.0
NA,WP_260793991.1,1,63.0,76.16
NA,WP_260793992.1,1,62.0,77.79
NA,WP_260793993.1,1,61.0,79.95
NA,WP_260793994.1,1,61.0,84.2
NA,WP_260793995.1,1,61.0,79.84
NA,WP_260793996.1,1,63.0,79.34
NA,WP_260793997.1,1,60.0,79.04
NA,WP_260793998.1,1,62.0,73.18
NA,WP_260793999.1,1,62.0,85.08
NA,WP_260794000.1,1,62.0,78.57
NA,WP_260794001.1,1,65.0,77.54
NA,WP_260794002.1,1,65.0,81.27
NA,WP_260794003.1,1,67.0,84.97
NA,WP_260794004.1,1,62.0,72.28
NA,WP_260794005.1,1,56.00000000000001,67.55
NA,WP_260794006.1,1,66.0,77.78
rbsK,WP_260794007.1,1,65.0,75.0
NA,WP_260794008.1,1,63.0,86.29
NA,WP_260794009.1,1,62.0,81.05
NA,WP_260794010.1,1,59.0,77.1
NA,WP_260794011.1,1,61.0,72.01
NA,WP_260794012.1,1,66.0,79.49
NA,WP_260794013.1,1,64.0,78.18
NA,WP_260794014.1,1,63.0,82.76
NA,WP_260794015.1,1,64.0,74.19
NA,WP_260794016.1,1,62.0,78.93
NA,WP_260794017.1,1,65.0,83.1
NA,WP_260794018.1,1,65.0,82.17
NA,WP_260794019.1,1,68.0,82.65
NA,WP_260794020.1,1,57.99999999999999,80.0
clpB,WP_260794021.1,1,62.0,80.85
NA,WP_260794022.1,1,66.0,81.61
NA,WP_260794023.1,1,57.99999999999999,85.39
NA,WP_260794024.1,1,59.0,73.25
NA,WP_260794025.1,1,59.0,70.07
NA,WP_260794026.1,1,62.0,71.77
NA,WP_260794027.1,1,64.0,76.8
NA,WP_260794028.1,1,62.0,78.23
NA,WP_260794029.1,1,63.0,69.09
NA,WP_260794030.1,1,56.99999999999999,69.35
NA,WP_260794031.1,1,60.0,80.27
NA,WP_260794032.1,1,60.0,69.68
NA,WP_260794033.1,1,66.0,77.19
NA,WP_260794034.1,1,55.00000000000001,61.78
NA,WP_260794035.1,1,60.0,69.77
NA,WP_260794036.1,1,63.0,83.98
NA,WP_260794037.1,1,59.0,62.18
NA,WP_260794038.1,1,63.0,79.03
NA,WP_260794039.1,1,60.0,75.47
NA,WP_260794040.1,1,62.0,77.96
NA,WP_260794041.1,1,64.0,76.27
buk,WP_260794042.1,1,65.0,76.68
NA,WP_260794043.1,1,63.0,70.2
NA,WP_260794044.1,1,59.0,73.95
NA,WP_260794045.1,1,61.0,76.14
NA,WP_260794046.1,1,60.0,75.0
NA,WP_260794047.1,1,63.0,74.56
NA,WP_260794048.1,1,62.0,74.11
katG,WP_260794049.1,1,64.0,84.35
NA,WP_260796717.1,1,64.0,85.77
NA,WP_260794050.1,1,61.0,84.06
NA,WP_260794051.1,1,66.0,70.66
NA,WP_260794052.1,1,57.99999999999999,62.07
NA,WP_260794053.1,1,57.99999999999999,66.38
NA,WP_260794054.1,1,62.0,70.09
NA,WP_260794055.1,1,57.99999999999999,78.18
NA,WP_260794056.1,1,62.0,66.74
NA,WP_260794057.1,1,61.0,71.76
NA,WP_260794058.1,1,66.0,74.52
NA,WP_260794059.1,1,65.0,80.18
NA,WP_260794060.1,1,62.0,72.95
NA,WP_260794061.1,1,64.0,81.82
NA,WP_260794062.1,1,56.00000000000001,66.56
NA,WP_260794063.1,1,64.0,84.46
NA,WP_260794064.1,1,65.0,87.24
NA,WP_260794065.1,1,65.0,83.87
NA,WP_260794066.1,1,60.0,71.43
NA,WP_260794067.1,1,59.0,65.22
NA,WP_260794068.1,1,57.99999999999999,77.08
NA,WP_260794069.1,1,64.0,87.59
NA,WP_260794070.1,1,61.0,77.24
NA,WP_260794071.1,1,63.0,76.5
NA,WP_260794072.1,1,63.0,79.49
NA,WP_260794073.1,1,62.0,73.91
NA,WP_260794074.1,1,60.0,81.71
NA,WP_260794075.1,1,57.99999999999999,72.35
NA,WP_260794076.1,1,62.0,80.12
NA,WP_260794077.1,1,62.0,77.46
NA,WP_260796718.1,1,55.00000000000001,65.92
NA,WP_260796719.1,1,60.0,64.49
fdhD,WP_260794078.1,1,57.99999999999999,66.18
nrfD,WP_260794079.1,1,62.0,67.86
NA,WP_260794080.1,1,59.0,73.33
fdnG,WP_260794081.1,1,60.0,75.37
NA,WP_260794082.1,1,57.99999999999999,76.61
NA,WP_260794083.1,1,59.0,69.46
NA,WP_260794084.1,1,61.0,66.24
NA,WP_260794085.1,1,59.0,68.48
NA,WP_260794086.1,1,61.0,66.58
NA,WP_260794087.1,1,61.0,69.9
NA,WP_260794088.1,1,59.0,68.88
NA,WP_260794089.1,1,56.00000000000001,67.01
NA,WP_260794090.1,1,59.0,68.24
NA,WP_260794091.1,1,55.00000000000001,67.62
NA,WP_260794092.1,1,59.0,67.4
NA,WP_260794093.1,1,60.0,74.46
NA,WP_260794094.1,1,56.00000000000001,64.71
NA,WP_260794095.1,1,60.0,64.68
NA,WP_260794096.1,1,59.0,64.86
NA,WP_260794097.1,1,57.99999999999999,56.69
NA,WP_260794098.1,1,59.0,69.85
NA,WP_260794099.1,1,55.00000000000001,58.33
NA,WP_260796720.1,1,55.00000000000001,61.76
moaC,WP_260794100.1,1,64.0,74.68
NA,WP_260794101.1,1,67.0,78.71
NA,WP_260794102.1,1,55.00000000000001,65.1
NA,WP_260794103.1,1,59.0,65.73
NA,WP_260794104.1,1,61.0,68.14
NA,WP_260794105.1,1,59.0,70.91
NA,WP_260794106.1,1,63.0,75.4
fabI,WP_260794107.1,1,61.0,78.09
NA,WP_260794108.1,1,59.0,77.06
NA,WP_260794109.1,1,63.0,83.98
NA,WP_260794110.1,1,62.0,82.8
NA,WP_260794111.1,1,63.0,74.53
trmFO,WP_260794112.1,1,63.0,80.14
NA,WP_260794113.1,1,57.99999999999999,73.3
NA,WP_260794114.1,1,59.0,76.19
NA,WP_260794115.1,1,59.0,68.89
NA,WP_260794116.1,1,64.0,72.76
NA,WP_260794117.1,1,62.0,72.55
