gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_010863983.1,1,47.0,45.61
pyrD,WP_010863984.1,1,46.0,44.04
pepN,WP_230432575.1,1,53.0,59.44
NA,WP_230432576.1,1,53.0,56.9
pncB,WP_230432577.1,1,54.0,62.24
NA,WP_178088378.1,1,54.0,59.82
pntB,WP_010863990.1,1,55.00000000000001,63.47
pntA,WP_010863991.1,1,53.0,56.57
NA,WP_230432578.1,1,46.0,51.4
prc,WP_152107390.1,1,51.0,55.42
proQ,WP_230432579.1,1,54.0,45.33
NA,WP_010863995.1,1,50.0,51.7
yebS,WP_230432580.1,1,52.0,59.31
NA,WP_230432581.1,1,53.0,57.96
NA,WP_230432582.1,1,49.0,41.29
NA,WP_230432583.1,1,52.0,52.54
NA,WP_152128654.1,1,52.0,56.18
NA,WP_230432584.1,1,52.0,54.27
NA,WP_230403093.1,1,55.00000000000001,56.89
NA,WP_230432585.1,1,54.0,55.88
NA,WP_230432586.1,1,54.0,56.53
NA,WP_230432587.1,1,56.00000000000001,64.17
NA,WP_230432588.1,1,56.99999999999999,58.82
NA,WP_039046538.1,1,55.00000000000001,60.19
NA,WP_152105551.1,1,53.0,55.78
NA,WP_230432589.1,1,49.0,51.75
NA,WP_152105550.1,1,56.99999999999999,59.54
NA,WP_230432590.1,1,55.00000000000001,58.06
NA,WP_152136966.1,1,57.99999999999999,55.93
NA,WP_230432591.1,1,53.0,59.85
NA,WP_230432592.1,1,56.99999999999999,58.33
NA,WP_230432593.1,1,52.0,62.14
NA,WP_230432594.1,1,53.0,59.72
NA,WP_230433155.1,1,53.0,54.79
NA,WP_230432595.1,1,56.99999999999999,65.71
NA,WP_230432596.1,1,56.99999999999999,50.59
NA,WP_152113591.1,1,39.0,36.76
NA,WP_230433156.1,1,49.0,51.97
NA,WP_084976991.1,1,55.00000000000001,63.28
NA,WP_039046575.1,1,53.0,60.82
NA,WP_230432597.1,1,41.0,29.88
NA,WP_230432598.1,1,62.0,67.21
NA,WP_230432599.1,1,37.0,34.12
NA,WP_230432600.1,1,40.0,42.11
NA,WP_230432601.1,1,39.0,33.19
msrP,WP_230432602.1,1,44.0,42.02
NA,WP_230432603.1,1,37.0,40.0
NA,WP_230432604.1,1,49.0,47.26
NA,WP_230432605.1,1,49.0,51.72
NA,WP_230432606.1,1,50.0,60.71
yciH,WP_010864026.1,1,54.0,58.16
pyrF,WP_116546388.1,1,55.00000000000001,55.31
lapB,WP_230432607.1,1,51.0,53.16
NA,WP_010864029.1,1,47.0,48.42
ihfB,WP_010864030.1,1,49.0,46.51
rpsA,WP_010864031.1,1,50.0,49.54
cmk,WP_039045667.1,1,56.00000000000001,55.76
aroA,WP_230432608.1,1,54.0,54.95
hisC,WP_230432609.1,1,54.0,58.38
gndA,WP_010864035.1,1,53.0,59.14
serC,WP_230432610.1,1,53.0,58.07
hdeA,WP_010864037.1,1,53.0,50.0
gyrA,WP_152109513.1,1,54.0,61.09
ubiG,WP_047707845.1,1,53.0,60.09
gph,WP_230432611.1,1,57.99999999999999,61.14
nrdA,WP_010864041.1,1,53.0,61.17
nrdB,WP_230432612.1,1,52.0,67.57
NA,WP_082935540.1,1,55.00000000000001,59.37
tyrP,WP_039045657.1,1,54.0,61.17
NA,WP_230432613.1,1,52.0,64.69
NA,WP_052181318.1,1,54.0,58.44
NA,WP_230432614.1,1,50.0,50.0
menE,WP_230433157.1,1,61.0,65.59
menC,WP_230432615.1,1,56.99999999999999,62.42
menB,WP_230432616.1,1,56.00000000000001,62.68
menH,WP_230432617.1,1,59.0,57.59
menD,WP_230432618.1,1,56.99999999999999,60.0
menF,WP_081632915.1,1,56.00000000000001,58.78
NA,WP_010864057.1,1,52.0,63.54
yfbR,WP_010864058.1,1,48.0,59.9
NA,WP_039045654.1,1,50.0,63.24
ansB,WP_197665196.1,1,54.0,61.6
NA,WP_010864061.1,1,55.00000000000001,57.07
ycaO,WP_230432619.1,1,54.0,62.78
focA,WP_010864063.1,1,52.0,60.41
pflB,WP_010864064.1,1,52.0,58.19
pflA,WP_010864065.1,1,53.0,64.56
NA,WP_010864066.1,1,52.0,60.65
NA,WP_230432620.1,1,56.99999999999999,68.31
ackA,WP_010864068.1,1,54.0,57.54
pta,WP_201765072.1,1,53.0,56.02
yfcD,WP_010864070.1,1,54.0,60.25
yfcE,WP_010864071.1,1,54.0,59.2
NA,WP_064977989.1,1,57.99999999999999,59.11
NA,WP_039045650.1,1,51.0,62.76
NA,WP_039045649.1,1,54.0,59.42
