gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_188726101.1,1,56.99999999999999,71.74
dnaN,WP_033568156.1,1,61.0,77.31
recF,WP_013320098.1,1,61.0,77.27
gyrB,WP_038920700.1,1,59.0,74.69
NA,WP_100848616.1,1,41.0,26.03
NA,WP_100848617.1,1,35.0,30.53
NA,WP_100848618.1,1,37.0,32.91
NA,WP_100848619.1,1,38.0,32.31
NA,WP_100848620.1,1,63.0,78.96
rsmJ,WP_038920697.1,1,67.0,77.59
prlC,WP_049855472.1,1,61.0,78.84
NA,WP_038920695.1,1,61.0,74.12
NA,WP_038920694.1,1,60.0,75.28
rnz,WP_049855473.1,1,63.0,75.93
gorA,WP_038920686.1,1,60.0,76.64
NA,WP_236883923.1,1,55.00000000000001,66.95
NA,WP_038663885.1,1,61.0,76.42
NA,WP_038920683.1,1,56.99999999999999,70.21
NA,WP_225622622.1,1,59.0,84.0
NA,WP_038920680.1,1,56.99999999999999,76.87
NA,WP_049855478.1,1,63.0,80.22
NA,WP_100848622.1,1,53.0,64.72
NA,WP_100848623.1,1,64.0,77.12
NA,WP_038663863.1,1,59.0,74.22
NA,WP_100848624.1,1,62.0,77.13
frc,WP_100848625.1,1,60.0,72.41
NA,WP_100848626.1,1,63.0,74.63
oxc,WP_100848628.1,1,57.99999999999999,68.88
NA,WP_038920669.1,1,47.0,52.35
NA,WP_038920666.1,1,51.0,53.63
NA,WP_084682755.1,1,60.0,73.05
NA,WP_100848630.1,1,63.0,78.26
NA,WP_038663832.1,1,53.0,63.22
glk,WP_038920664.1,1,63.0,75.08
NA,WP_038920663.1,1,66.0,80.17
NA,WP_100848631.1,1,69.0,82.79
NA,WP_100848632.1,1,64.0,77.64
NA,WP_038920660.1,1,69.0,87.0
NA,WP_038663815.1,1,66.0,86.18
NA,WP_100848633.1,1,61.0,78.25
NA,WP_038920657.1,1,60.0,67.57
NA,WP_038663807.1,1,61.0,78.0
NA,WP_100848634.1,1,56.99999999999999,75.32
ghrB,WP_100848635.1,1,61.0,74.6
NA,WP_049855496.1,1,57.99999999999999,75.35
NA,WP_049855497.1,1,59.0,75.14
NA,WP_049855498.1,1,65.0,82.24
glyQ,WP_100848636.1,1,60.0,77.29
glyS,WP_100848637.1,1,62.0,77.81
NA,WP_100848638.1,1,60.0,75.5
NA,WP_012768188.1,1,61.0,84.66
tssI,WP_100848639.1,1,64.0,84.54
NA,WP_100848640.1,1,62.0,75.4
NA,WP_225622623.1,1,64.0,75.95
NA,WP_049855275.1,1,28.999999999999996,28.7
NA,WP_100848641.1,1,56.99999999999999,70.83
uca,WP_100848642.1,1,65.0,78.79
NA,WP_049855278.1,1,61.0,80.2
NA,WP_038920643.1,1,63.0,76.96
NA,WP_038663755.1,1,64.0,78.8
NA,WP_038920640.1,1,65.0,86.21
NA,WP_049855280.1,1,62.0,81.29
NA,WP_038920638.1,1,57.99999999999999,74.89
NA,WP_100848643.1,1,60.0,76.2
NA,WP_038921167.1,1,61.0,74.8
NA,WP_038663737.1,1,57.99999999999999,73.65
tnpA,WP_038918153.1,1,46.0,55.24
NA,WP_100848645.1,1,54.0,67.53
sodA,WP_038920635.1,1,56.99999999999999,68.34
fdhD,WP_225622704.1,1,64.0,77.08
NA,WP_039691870.1,1,60.0,77.53
xylB,WP_100848647.1,1,67.0,80.71
xylA,WP_038920630.1,1,61.0,80.7
xylF,WP_038920629.1,1,53.0,68.01
NA,WP_100848648.1,1,61.0,79.56
gguB,WP_042861608.1,1,65.0,83.64
NA,WP_042861607.1,1,57.99999999999999,72.19
NA,WP_038663704.1,1,59.0,73.63
NA,WP_038920625.1,1,59.0,66.27
NA,WP_100848649.1,1,62.0,74.01
NA,WP_145958386.1,1,52.0,57.81
