gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_039423738.1,1,61.0,79.49
pgi,WP_039423740.1,1,65.0,80.81
NA,WP_005994240.1,1,65.0,76.19
NA,WP_005994238.1,1,65.0,77.89
NA,WP_042828829.1,1,66.0,86.76
NA,WP_042828828.1,1,66.0,88.28
NA,WP_005998506.1,1,70.0,85.48
NA,WP_039423757.1,1,63.0,89.82
NA,WP_005998502.1,1,66.0,81.51
NA,WP_005998500.1,1,67.0,84.11
NA,WP_005998497.1,1,67.0,84.7
NA,WP_005998496.1,1,69.0,88.72
ispG,WP_005998494.1,1,66.0,86.65
NA,WP_005998492.1,1,64.0,81.61
NA,WP_005998490.1,1,67.0,83.81
NA,WP_058562745.1,1,64.0,74.66
NA,WP_058563987.1,1,64.0,84.01
murB,WP_005988506.1,1,63.0,78.01
NA,WP_005988504.1,1,67.0,85.09
NA,WP_005988502.1,1,66.0,80.49
NA,WP_039421702.1,1,66.0,85.88
NA,WP_005988496.1,1,65.0,88.22
NA,WP_005988494.1,1,61.0,62.94
NA,WP_005988491.1,1,49.0,54.15
NA,WP_201765695.1,1,55.00000000000001,52.58
NA,WP_005988487.1,1,54.0,53.99
NA,WP_126936664.1,2,64.0,79.33
NA,WP_005988483.1,1,53.0,51.79
NA,WP_005988481.1,1,57.99999999999999,63.31
NA,WP_005988479.1,1,53.0,58.2
NA,WP_058563988.1,1,64.0,73.85
NA,WP_005994116.1,1,49.0,43.57
NA,WP_005994115.1,1,56.00000000000001,67.42
radC,WP_229003555.1,1,62.0,74.72
NA,WP_005997056.1,1,56.99999999999999,60.78
NA,WP_074059279.1,1,63.0,68.92
NA,WP_005988912.1,1,60.0,73.56
NA,WP_005988914.1,1,55.00000000000001,67.15
NA,WP_005988916.1,1,52.0,57.35
NA,WP_005988918.1,1,55.00000000000001,58.38
NA,WP_005988920.1,1,54.0,53.85
NA,WP_005988922.1,1,56.99999999999999,63.9
NA,WP_005988924.1,1,56.99999999999999,67.38
NA,WP_005988926.1,1,57.99999999999999,60.93
NA,WP_005988930.1,1,49.0,54.43
NA,WP_126936628.1,1,53.0,52.25
NA,WP_039421683.1,1,65.0,77.27
NA,WP_005992929.1,1,65.0,76.17
NA,WP_005996439.1,1,51.0,43.28
NA,WP_058564116.1,1,59.0,71.81
NA,WP_005996437.1,1,55.00000000000001,66.91
NA,WP_005996434.1,1,61.0,62.74
NA,WP_005996432.1,1,59.0,60.51
NA,WP_005996430.1,1,62.0,63.41
NA,WP_005996428.1,1,56.00000000000001,69.42
NA,WP_005996425.1,1,59.0,75.53
NA,WP_005996422.1,1,64.0,76.92
NA,WP_005996420.1,1,56.99999999999999,68.79
NA,WP_005996417.1,1,56.00000000000001,73.11
NA,WP_005996415.1,1,51.0,46.44
NA,WP_074059282.1,1,47.0,40.64
NA,WP_005996413.1,1,47.0,47.49
NA,WP_005996412.1,1,56.99999999999999,65.14
NA,WP_005996410.1,1,56.00000000000001,62.69
NA,WP_005996407.1,1,57.99999999999999,63.19
NA,WP_005993690.1,1,57.99999999999999,63.46
NA,WP_005993688.1,1,53.0,54.61
NA,WP_005993686.1,1,51.0,57.28
NA,WP_126936680.1,1,50.0,45.7
NA,WP_005993682.1,1,61.0,73.91
NA,WP_228861075.1,1,61.0,68.67
NA,WP_005993674.1,1,60.0,71.57
NA,WP_201765705.1,1,59.0,57.78
NA,WP_005993668.1,1,56.00000000000001,58.11
NA,WP_005993666.1,1,61.0,66.89
NA,WP_155616358.1,1,53.0,45.24
NA,WP_005997306.1,1,59.0,70.6
NA,WP_005997305.1,1,57.99999999999999,66.67
NA,WP_005997304.1,1,60.0,65.96
pgaD,WP_005997303.1,1,67.0,82.73
pgaC,WP_005997301.1,1,63.0,83.82
pgaB,WP_005997300.1,1,65.0,78.97
NA,WP_005997299.1,1,65.0,73.87
NA,WP_005997296.1,1,66.0,77.02
NA,WP_229003633.1,1,63.0,71.9
NA,WP_005996799.1,1,39.0,33.33
NA,WP_005996801.1,1,34.0,26.89
NA,WP_074059284.1,1,59.0,57.94
NA,WP_126936679.1,1,45.0,37.02
NA,WP_039427208.1,1,56.00000000000001,72.97
NA,WP_126936678.1,1,44.0,40.83
NA,WP_087943130.1,2,62.0,77.45
NA,WP_005997449.1,1,64.0,76.43
thrA,WP_042828685.1,1,68.0,83.54
NA,WP_087943138.1,1,68.0,78.45
NA,WP_039421485.1,1,65.0,88.42
thrC,WP_005997440.1,1,70.0,83.76
NA,WP_039421469.1,1,70.0,86.13
NA,WP_005997437.1,1,68.0,82.83
hisS,WP_042828684.1,1,66.0,87.42
NA,WP_005997433.1,1,71.0,84.85
