gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_012813852.1,1,54.0,58.62
NA,WP_041282070.1,1,56.99999999999999,64.59
NA,WP_012813854.1,1,56.99999999999999,71.76
NA,WP_012813855.1,1,57.99999999999999,64.92
rfaE1,WP_012813856.1,1,60.0,67.17
NA,WP_012813857.1,1,59.0,68.89
ftsE,WP_012813858.1,1,63.0,74.77
NA,WP_012813859.1,1,62.0,73.05
ilvD,WP_012813860.1,1,62.0,72.21
NA,WP_012813861.1,1,62.0,74.06
NA,WP_012813862.1,1,63.0,73.76
NA,WP_012813863.1,1,63.0,75.22
hisS,WP_012813864.1,1,61.0,73.41
aspS,WP_012813865.1,1,59.0,71.5
def,WP_012813866.1,1,59.0,72.15
fmt,WP_012813867.1,1,62.0,73.16
NA,WP_012813868.1,1,60.0,73.01
NA,WP_012813869.1,1,63.0,67.14
NA,WP_012813870.1,1,63.0,77.97
NA,WP_012813871.1,1,60.0,72.0
NA,WP_012813872.1,1,57.99999999999999,67.37
NA,WP_167317774.1,1,57.99999999999999,67.93
NA,WP_015750485.1,1,61.0,72.95
NA,WP_015750486.1,1,57.99999999999999,74.88
NA,WP_015750487.1,1,62.0,70.77
NA,WP_015750488.1,1,57.99999999999999,70.83
NA,WP_015750489.1,1,60.0,72.93
NA,WP_015750490.1,1,57.99999999999999,67.09
NA,WP_015750491.1,1,65.0,74.82
NA,WP_015750493.1,1,64.0,73.77
NA,WP_015750494.1,1,65.0,77.25
NA,WP_015750495.1,1,62.0,76.5
NA,WP_015750496.1,1,61.0,73.55
treS,WP_015750497.1,1,59.0,74.82
glgB,WP_015750498.1,1,57.99999999999999,74.28
treZ,WP_015750499.1,1,61.0,69.26
NA,WP_015750500.1,1,59.0,73.31
treY,WP_015750501.1,1,62.0,71.78
NA,WP_015750502.1,1,60.0,65.0
malQ,WP_015750503.1,1,64.0,73.63
NA,WP_015750504.1,1,57.99999999999999,75.85
thrS,WP_015750505.1,1,59.0,76.41
infC,WP_052293242.1,1,56.99999999999999,66.67
rpmI,WP_015750507.1,1,59.0,73.21
rplT,WP_015750508.1,1,52.0,59.26
pheS,WP_015750509.1,1,60.0,75.07
pheT,WP_015750510.1,1,61.0,75.29
NA,WP_015750511.1,1,66.0,78.41
NA,WP_015750512.1,1,60.0,75.92
NA,WP_015750513.1,1,56.00000000000001,64.42
NA,WP_015750514.1,1,62.0,81.2
NA,WP_015750515.1,1,59.0,72.88
NA,WP_015750516.1,1,61.0,73.86
NA,WP_015750517.1,1,62.0,77.18
NA,WP_015750518.1,1,56.00000000000001,64.35
NA,WP_015750519.1,1,59.0,78.74
NA,WP_015750520.1,1,56.00000000000001,71.76
NA,WP_167317775.1,1,57.99999999999999,70.4
NA,WP_041281790.1,1,61.0,64.91
NA,WP_015750523.1,1,60.0,74.25
NA,WP_015750518.1,1,56.00000000000001,64.35
NA,WP_015750526.1,1,57.99999999999999,68.33
NA,WP_015750527.1,1,56.99999999999999,74.12
NA,WP_015750529.1,1,59.0,79.51
NA,WP_015750530.1,1,62.0,75.88
NA,WP_015750531.1,1,53.0,61.63
NA,WP_015750532.1,1,48.0,58.82
NA,WP_015750533.1,1,56.99999999999999,76.36
dctP,WP_015750534.1,1,56.00000000000001,70.09
NA,WP_015750535.1,1,61.0,75.72
NA,WP_015750536.1,1,57.99999999999999,70.99
NA,WP_015750537.1,1,65.0,81.74
NA,WP_015750538.1,1,60.0,77.01
NA,WP_015750539.1,1,59.0,78.33
NA,WP_015750540.1,1,63.0,76.5
NA,WP_015750541.1,1,65.0,80.0
NA,WP_015750542.1,1,63.0,77.37
NA,WP_015750543.1,1,63.0,76.31
topA,WP_015750544.1,1,60.0,77.36
era,WP_015750545.1,1,59.0,73.93
NA,WP_015750546.1,1,61.0,73.45
rlmB,WP_015750547.1,1,62.0,77.02
NA,WP_015750548.1,1,62.0,75.61
aroE,WP_015750549.1,1,67.0,82.44
NA,WP_015750550.1,1,60.0,76.14
NA,WP_015750551.1,1,62.0,78.14
NA,WP_015750552.1,1,64.0,79.71
NA,WP_015750553.1,1,56.00000000000001,74.65
queA,WP_015750554.1,1,62.0,71.75
NA,WP_041281793.1,1,63.0,71.38
NA,WP_052293244.1,1,57.99999999999999,73.08
NA,WP_015750557.1,1,56.00000000000001,72.29
NA,WP_015750558.1,1,59.0,77.45
NA,WP_015750559.1,1,61.0,73.94
NA,WP_015750560.1,1,59.0,72.3
nifS,WP_015750561.1,1,62.0,78.01
nifU,WP_015750562.1,1,57.99999999999999,74.45
NA,WP_015750563.1,1,64.0,78.93
NA,WP_015750564.1,1,63.0,79.05
NA,WP_015750565.1,1,54.0,63.26
NA,WP_015750566.1,1,57.99999999999999,71.43
NA,WP_015750567.1,1,57.99999999999999,65.32
NA,WP_015750568.1,1,65.0,73.4
NA,WP_015750569.1,1,56.99999999999999,70.41
NA,WP_015750570.1,1,54.0,66.48
NA,WP_015750571.1,1,61.0,69.78
NA,WP_015750572.1,1,63.0,76.77
NA,WP_015750573.1,1,56.99999999999999,69.23
NA,WP_015750574.1,1,61.0,77.06
NA,WP_015750575.1,1,60.0,70.54
NA,WP_015750576.1,1,62.0,74.2
pheA,WP_015750577.1,1,59.0,68.21
aroA,WP_015750578.1,1,62.0,69.2
NA,WP_083777249.1,1,62.0,69.2
NA,WP_015750580.1,1,61.0,69.61
NA,WP_015750581.1,1,61.0,68.51
trpD,WP_015750582.1,1,65.0,73.93
NA,WP_015750583.1,1,61.0,68.82
NA,WP_015750584.1,1,62.0,70.67
trpB,WP_015750585.1,1,63.0,75.77
trpA,WP_015750586.1,1,59.0,65.04
NA,WP_015750587.1,1,60.0,72.73
NA,WP_015750588.1,1,64.0,70.28
NA,WP_015750589.1,1,56.00000000000001,77.92
betB,WP_041282101.1,1,61.0,72.52
betA,WP_015750591.1,1,60.0,78.25
NA,WP_015750592.1,1,57.99999999999999,73.47
NA,WP_015750593.1,1,56.00000000000001,62.35
NA,WP_015750594.1,1,60.0,76.14
NA,WP_041282104.1,1,61.0,70.31
cydB,WP_015750596.1,1,59.0,75.0
NA,WP_015750597.1,1,56.00000000000001,74.12
NA,WP_015750598.1,1,63.0,73.68
NA,WP_015750599.1,1,56.99999999999999,76.02
NA,WP_015750600.1,1,54.0,54.55
NA,WP_015750601.1,1,55.00000000000001,66.67
NA,WP_015750602.1,1,56.99999999999999,70.97
NA,WP_244147915.1,1,57.99999999999999,74.43
glmS,WP_015750604.1,1,59.0,70.9
NA,WP_015750605.1,1,62.0,67.0
NA,WP_015750606.1,1,57.99999999999999,73.79
rimO,WP_015750607.1,1,61.0,70.16
NA,WP_015750608.1,1,56.00000000000001,71.55
sppA,WP_015750609.1,1,60.0,70.03
mqnE,WP_015750610.1,1,61.0,69.34
NA,WP_015750611.1,1,56.00000000000001,75.61
ltrA,WP_244147912.1,1,60.0,73.35
rfbA,WP_041281796.1,1,60.0,73.26
NA,WP_015750615.1,1,56.00000000000001,70.37
NA,WP_015750616.1,1,64.0,68.83
NA,WP_015750617.1,1,62.0,72.85
NA,WP_015750618.1,1,63.0,73.09
NA,WP_015750619.1,1,61.0,76.56
NA,WP_015750620.1,1,59.0,74.38
NA,WP_015750621.1,1,64.0,73.31
NA,WP_041282112.1,1,62.0,76.99
cbiQ,WP_015750623.1,1,61.0,72.43
NA,WP_015750624.1,1,61.0,71.62
NA,WP_015750625.1,1,61.0,73.72
NA,WP_015750626.1,1,56.99999999999999,69.44
NA,WP_015750627.1,1,55.00000000000001,73.53
NA,WP_015750629.1,1,61.0,68.87
NA,WP_015750630.1,1,61.0,70.77
NA,WP_015750631.1,1,59.0,75.28
NA,WP_015750632.1,1,59.0,73.15
NA,WP_015750633.1,1,57.99999999999999,67.76
NA,WP_015750634.1,1,56.00000000000001,54.55
NA,WP_015750635.1,1,60.0,70.05
NA,WP_015750636.1,1,60.0,75.22
NA,WP_015750637.1,1,60.0,68.85
NA,WP_015750638.1,1,57.99999999999999,60.53
NA,WP_015750639.1,1,59.0,73.96
NA,WP_015750640.1,1,55.00000000000001,70.7
NA,WP_015750641.1,1,60.0,72.07
NA,WP_015750642.1,1,60.0,72.55
NA,WP_015750643.1,1,55.00000000000001,72.11
NA,WP_015750644.1,1,62.0,71.03
NA,WP_015750645.1,1,59.0,65.02
NA,WP_083777051.1,1,56.00000000000001,65.77
NA,WP_015750647.1,1,57.99999999999999,66.79
NA,WP_015750648.1,1,61.0,69.1
NA,WP_015750649.1,1,54.0,68.18
NA,WP_015750650.1,1,60.0,70.79
NA,WP_015750651.1,1,55.00000000000001,63.61
NA,WP_015750652.1,1,55.00000000000001,69.33
NA,WP_015750653.1,1,57.99999999999999,75.74
NA,WP_015750654.1,1,61.0,72.65
NA,WP_015750655.1,1,61.0,77.35
NA,WP_015750656.1,1,62.0,74.1
NA,WP_015750657.1,1,61.0,78.8
NA,WP_015750658.1,1,61.0,76.29
NA,WP_015750659.1,1,57.99999999999999,71.08
NA,WP_015750660.1,1,57.99999999999999,72.4
NA,WP_015750661.1,1,57.99999999999999,71.36
NA,WP_015750662.1,1,56.00000000000001,70.93
NA,WP_015750663.1,1,61.0,78.44
NA,WP_015750664.1,1,65.0,74.19
NA,WP_015750665.1,1,59.0,72.68
NA,WP_015750666.1,1,60.0,74.44
NA,WP_015750667.1,1,66.0,74.27
NA,WP_167317777.1,1,64.0,71.27
amrB,WP_015750669.1,1,59.0,66.8
folE2,WP_015750670.1,1,59.0,75.29
nikR,WP_015750671.1,1,57.99999999999999,78.63
NA,WP_015750672.1,1,65.0,73.17
NA,WP_015750673.1,1,62.0,77.62
gpt,WP_015750674.1,1,62.0,75.97
NA,WP_015750675.1,1,65.0,77.78
NA,WP_015750676.1,1,61.0,77.46
NA,WP_015750677.1,1,59.0,72.46
tsaA,WP_015750678.1,1,65.0,74.84
folD,WP_015750679.1,1,62.0,73.26
NA,WP_015750680.1,1,60.0,72.75
purE,WP_015750681.1,1,64.0,75.95
purD,WP_015750682.1,1,62.0,73.21
NA,WP_015750683.1,1,63.0,72.63
NA,WP_015750684.1,1,61.0,78.26
NA,WP_041281799.1,1,62.0,71.26
NA,WP_015750686.1,1,60.0,69.84
NA,WP_015750688.1,1,59.0,74.25
NA,WP_244147916.1,1,61.0,75.59
NA,WP_015750690.1,1,56.99999999999999,68.93
NA,WP_015750692.1,1,57.99999999999999,75.68
NA,WP_015750693.1,1,62.0,71.55
htpX,WP_015750694.1,1,60.0,74.26
NA,WP_015750695.1,1,56.99999999999999,73.33
dsrM,WP_015750696.1,1,56.00000000000001,75.23
NA,WP_015750697.1,1,57.99999999999999,77.9
dsrJ,WP_015750698.1,1,53.0,69.23
NA,WP_015750699.1,1,59.0,75.5
nrfD,WP_015750700.1,1,56.00000000000001,77.19
NA,WP_015750701.1,1,55.00000000000001,69.81
NA,WP_015750702.1,1,57.99999999999999,68.26
NA,WP_015750703.1,1,57.99999999999999,68.87
NA,WP_015750704.1,1,56.00000000000001,66.33
dsrA,WP_015750705.1,1,57.99999999999999,75.23
dsrB,WP_015750706.1,1,59.0,79.74
NA,WP_015750707.1,1,51.0,70.0
cobB,WP_244147929.1,1,59.0,67.48
NA,WP_015750709.1,1,54.0,58.1
NA,WP_015750710.1,1,56.99999999999999,59.42
NA,WP_015750711.1,1,62.0,68.99
NA,WP_015750712.1,1,60.0,74.46
cobA,WP_015750713.1,1,61.0,74.5
purN,WP_015750714.1,1,62.0,69.09
mutM,WP_244147917.1,1,63.0,71.91
NA,WP_015750716.1,1,63.0,65.49
NA,WP_015750717.1,1,62.0,72.83
NA,WP_015750718.1,1,56.00000000000001,74.07
NA,WP_015750719.1,1,60.0,76.3
NA,WP_015750720.1,1,54.0,72.05
NA,WP_015750721.1,1,63.0,74.09
NA,WP_015750722.1,1,59.0,78.86
NA,WP_015750723.1,1,56.00000000000001,73.17
NA,WP_015750724.1,1,63.0,73.33
serB,WP_015750725.1,1,62.0,76.2
NA,WP_015750726.1,1,57.99999999999999,72.4
NA,WP_015750727.1,1,60.0,79.89
NA,WP_015750728.1,1,59.0,71.79
NA,WP_015750729.1,1,56.99999999999999,72.46
NA,WP_015750730.1,1,61.0,74.57
NA,WP_015750731.1,1,54.0,70.41
NA,WP_015750732.1,1,61.0,71.87
NA,WP_015750733.1,1,59.0,73.9
NA,WP_015750735.1,1,65.0,72.73
NA,WP_015750736.1,1,63.0,72.88
NA,WP_015750737.1,1,59.0,72.04
NA,WP_148213989.1,1,62.0,74.43
