gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_164875460.1,1,28.000000000000004,24.74
NA,WP_128166095.1,1,38.0,34.1
NA,WP_128166096.1,1,41.0,31.96
NA,WP_223362434.1,1,39.0,38.16
NA,WP_128166098.1,1,41.0,35.4
xylB,WP_128166099.1,1,38.0,32.99
NA,WP_128166100.1,1,49.0,60.0
tkt,WP_128166101.1,1,60.0,68.68
NA,WP_223362435.1,1,42.0,36.87
NA,WP_223362436.1,1,41.0,36.4
NA,WP_128166103.1,1,43.0,39.86
NA,WP_128166104.1,1,37.0,41.01
NA,WP_128166105.1,1,36.0,34.22
NA,WP_128166106.1,1,38.0,44.96
NA,WP_128166107.1,1,41.0,39.18
NA,WP_206612220.1,1,44.0,41.61
NA,WP_223362437.1,1,40.0,36.67
NA,WP_128166108.1,1,40.0,33.77
agaV,WP_128166110.1,1,39.0,32.0
agaW,WP_128166112.1,1,42.0,34.8
NA,WP_128166114.1,1,43.0,42.26
NA,WP_128166116.1,1,38.0,26.12
nagA,WP_128166118.1,1,46.0,41.76
NA,WP_128166120.1,1,40.0,35.09
NA,WP_128166122.1,1,40.0,37.1
NA,WP_128166124.1,1,43.0,38.81
NA,WP_223362438.1,1,42.0,39.08
NA,WP_128166126.1,1,39.0,34.72
NA,WP_128166128.1,1,41.0,35.29
NA,WP_128166130.1,1,41.0,35.11
NA,WP_128166132.1,1,39.0,34.62
NA,WP_128166134.1,1,43.0,33.11
NA,WP_128166136.1,1,38.0,35.65
NA,WP_128166138.1,1,43.0,36.93
NA,WP_164875463.1,1,49.0,58.73
NA,WP_128166142.1,1,50.0,57.8
NA,WP_028984285.1,1,46.0,49.22
NA,WP_128166144.1,1,47.0,47.87
NA,WP_051575350.1,1,49.0,53.9
NA,WP_128166146.1,1,44.0,45.9
NA,WP_128166148.1,1,44.0,47.31
NA,WP_128166150.1,1,44.0,46.54
NA,WP_028984281.1,1,47.0,54.29
NA,WP_028984280.1,1,46.0,49.57
NA,WP_128166152.1,1,45.0,45.69
NA,WP_028984278.1,1,43.0,49.57
NA,WP_028984277.1,1,47.0,47.81
NA,WP_028984270.1,1,45.0,50.65
NA,WP_223362439.1,1,50.0,51.47
NA,WP_128166154.1,1,48.0,49.72
NA,WP_223362440.1,1,45.0,43.95
NA,WP_028977584.1,1,47.0,45.17
eutC,WP_128166158.1,1,45.0,46.9
NA,WP_128166160.1,1,53.0,54.17
NA,WP_028984264.1,1,42.0,37.7
NA,WP_028984263.1,1,38.0,29.46
NA,WP_028984262.1,1,41.0,37.48
NA,WP_128166162.1,1,49.0,50.77
NA,WP_128166164.1,1,41.0,44.6
NA,WP_128166166.1,1,43.0,38.14
NA,WP_128166168.1,1,41.0,37.36
NA,WP_128166170.1,1,41.0,37.94
NA,WP_128166172.1,1,44.0,40.4
NA,WP_128167288.1,1,44.0,37.63
NA,WP_128166174.1,1,45.0,40.68
NA,WP_128166176.1,1,43.0,37.14
NA,WP_128166178.1,1,43.0,43.65
NA,WP_128166180.1,1,52.0,50.13
nadB,WP_128166182.1,1,54.0,55.64
nadC,WP_128166184.1,1,51.0,55.35
nadA,WP_128166186.1,1,51.0,50.98
NA,WP_164875464.1,1,50.0,46.51
NA,WP_164875465.1,1,43.0,42.86
NA,WP_081791697.1,1,44.0,44.88
NA,WP_028975766.1,1,47.0,47.14
NA,WP_128166190.1,1,42.0,42.64
NA,WP_028975768.1,1,44.0,45.02
NA,WP_128166192.1,1,45.0,42.41
NA,WP_128166194.1,1,46.0,40.07
NA,WP_197737493.1,1,46.0,41.1
NA,WP_164875466.1,1,47.0,39.43
NA,WP_028975773.1,1,48.0,50.81
NA,WP_128166198.1,1,48.0,49.66
NA,WP_051577751.1,1,49.0,49.48
NA,WP_164875467.1,1,45.0,46.42
eutB,WP_128166202.1,1,51.0,55.05
NA,WP_028975779.1,1,46.0,45.79
NA,WP_128166204.1,1,52.0,50.48
NA,WP_223362441.1,1,50.0,50.51
NA,WP_081791700.1,1,52.0,50.75
ehuB,WP_223362442.1,1,43.0,39.08
ehuC,WP_051577756.1,1,47.0,53.4
ehuD,WP_028975784.1,1,47.0,53.3
ehuA,WP_201770035.1,1,50.0,53.7
NA,WP_028975786.1,1,47.0,52.2
NA,WP_028975787.1,1,39.0,39.81
NA,WP_236628049.1,1,43.0,43.18
NA,WP_028975789.1,1,41.0,46.07
NA,WP_037562681.1,1,47.0,49.77
NA,WP_201770036.1,1,45.0,43.67
NA,WP_028984238.1,1,41.0,38.54
NA,WP_028975793.1,1,42.0,42.97
NA,WP_028975794.1,1,51.0,54.2
NA,WP_028975795.1,1,48.0,49.53
NA,WP_028975796.1,1,51.0,50.66
NA,WP_223362443.1,1,38.0,42.05
NA,WP_051577759.1,1,44.0,55.41
NA,WP_028975798.1,1,52.0,54.02
NA,WP_164875468.1,1,47.0,49.6
NA,WP_028975799.1,1,49.0,54.26
NA,WP_028975800.1,1,51.0,53.75
NA,WP_028975801.1,1,50.0,52.88
NA,WP_028975802.1,1,50.0,49.09
preA,WP_028975803.1,1,50.0,49.64
NA,WP_028975804.1,1,41.0,41.18
NA,WP_028975805.1,1,51.0,52.48
NA,WP_028975806.1,1,51.0,53.45
NA,WP_051577763.1,1,48.0,51.07
NA,WP_028975807.1,1,49.0,54.62
NA,WP_028975808.1,1,49.0,51.78
NA,WP_128166220.1,1,48.0,46.79
NA,WP_037562682.1,1,47.0,58.68
NA,WP_028975810.1,1,48.0,50.5
NA,WP_028975811.1,1,54.0,56.01
NA,WP_139691630.1,1,48.0,57.53
NA,WP_028975813.1,1,47.0,46.09
NA,WP_028975814.1,1,44.0,41.4
NA,WP_028977092.1,1,49.0,51.12
rpe,WP_028977091.1,1,49.0,47.37
NA,WP_028977090.1,1,53.0,51.66
NA,WP_223362444.1,1,50.0,55.44
NA,WP_051577928.1,1,46.0,51.92
NA,WP_223362445.1,1,52.0,51.9
NA,WP_128166230.1,1,54.0,59.14
NA,WP_128166232.1,1,52.0,53.85
NA,WP_128167293.1,1,52.0,52.92
NA,WP_128166234.1,1,53.0,57.36
NA,WP_128166236.1,1,50.0,55.75
NA,WP_028983733.1,1,53.0,59.76
NA,WP_128166238.1,1,52.0,57.21
NA,WP_128166240.1,1,49.0,51.35
NA,WP_051575246.1,1,49.0,54.29
NA,WP_051575259.1,1,52.0,55.61
NA,WP_028983730.1,1,48.0,48.01
NA,WP_128166242.1,1,49.0,54.55
NA,WP_028983728.1,1,50.0,51.36
NA,WP_028983727.1,1,49.0,56.18
NA,WP_223362446.1,1,53.0,55.32
speD,WP_197021210.1,1,44.0,51.97
NA,WP_028977073.1,1,51.0,56.78
speE,WP_128166244.1,1,47.0,51.82
NA,WP_028977071.1,1,46.0,47.95
nspC,WP_128166246.1,1,51.0,57.99
NA,WP_223362447.1,1,48.0,46.67
rarD,WP_028977067.1,1,46.0,45.64
NA,WP_223362448.1,1,43.0,48.55
NA,WP_028977065.1,1,52.0,51.06
NA,WP_128166248.1,1,53.0,52.23
NA,WP_128166250.1,1,51.0,50.88
NA,WP_028983720.1,1,48.0,51.79
NA,WP_037563414.1,1,48.0,49.22
NA,WP_028977061.1,1,47.0,49.84
NA,WP_028977060.1,1,51.0,53.0
NA,WP_028983718.1,1,43.0,47.01
NA,WP_028977058.1,1,51.0,52.56
NA,WP_028977057.1,1,51.0,51.62
NA,WP_051575242.1,1,46.0,49.23
NA,WP_081788014.1,1,45.0,46.15
