gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_013104157.1,1,62.0,78.95
dnaN,WP_013104158.1,1,62.0,83.43
gyrB,WP_013104159.1,1,63.0,82.64
NA,WP_013104160.1,1,67.0,82.31
fdhF,WP_013104161.1,1,67.0,86.91
NA,WP_041608829.1,1,69.0,86.73
NA,WP_013104163.1,1,69.0,80.76
edd,WP_013104164.1,1,69.0,87.14
eda,WP_013104165.1,1,72.0,85.86
NA,WP_013104166.1,1,60.0,72.41
NA,WP_013121842.1,1,64.0,81.67
cydB,WP_013104168.1,1,64.0,86.96
NA,WP_013104169.1,1,61.0,83.02
NA,WP_013104170.1,1,65.0,79.59
NA,WP_064971627.1,1,69.0,82.43
NA,WP_013104172.1,1,64.0,83.14
NA,WP_013104173.1,1,64.0,87.13
NA,WP_013104174.1,1,71.0,78.74
NA,WP_013104175.1,1,71.0,77.05
NA,WP_013104176.1,1,67.0,85.02
glyQ,WP_013104177.1,1,65.0,81.06
glyS,WP_041609066.1,1,67.0,82.04
gmhB,WP_013104179.1,1,65.0,81.18
NA,WP_013104180.1,1,65.0,81.78
NA,WP_041608830.1,1,71.0,83.16
cls,WP_013104182.1,1,69.0,87.9
gloA,WP_013104183.1,1,66.0,87.5
NA,WP_013104184.1,1,62.0,82.18
NA,WP_013104185.1,1,63.0,79.77
NA,WP_013104186.1,1,62.0,80.84
raiA,WP_013104188.1,1,54.0,70.3
ptsN,WP_013104189.1,1,63.0,74.83
hprK,WP_013104190.1,1,63.0,79.55
fur,WP_013104191.1,1,59.0,77.48
bamE,WP_231836276.1,1,62.0,77.89
dapB,WP_041608831.1,1,69.0,88.26
NA,WP_013104194.1,1,69.0,80.29
NA,WP_013104195.1,1,66.0,82.73
NA,WP_013104196.1,1,62.0,83.64
NA,WP_231836278.1,1,66.0,83.64
NA,WP_013104198.1,1,68.0,82.27
NA,WP_013104199.1,1,72.0,87.35
NA,WP_013104200.1,1,57.99999999999999,81.4
NA,WP_013104201.1,1,64.0,85.12
NA,WP_041608832.1,1,70.0,81.19
NA,WP_013104203.1,1,68.0,85.91
NA,WP_013104204.1,1,72.0,84.78
NA,WP_041608833.1,1,72.0,85.71
NA,WP_013104206.1,1,69.0,87.02
NA,WP_013104207.1,1,68.0,82.28
NA,WP_013104208.1,1,66.0,84.73
pyrE,WP_013104209.1,1,68.0,85.65
rlmJ,WP_013104210.1,1,67.0,85.29
NA,WP_013104211.1,1,63.0,83.17
NA,WP_013104212.1,1,70.0,86.24
ubiM,WP_013104213.1,1,69.0,84.25
cydC,WP_013104214.1,1,71.0,90.61
cydD,WP_013104215.1,1,66.0,82.12
NA,WP_013104216.1,1,68.0,86.98
NA,WP_013104217.1,1,64.0,84.29
NA,WP_013104218.1,1,70.0,84.54
NA,WP_041608834.1,1,66.0,84.44
NA,WP_041608835.1,1,62.0,88.52
kdpF,WP_064135008.1,1,68.0,90.0
kdpA,WP_013104220.1,1,67.0,89.29
kdpB,WP_013104221.1,1,68.0,88.63
kdpC,WP_013104222.1,1,72.0,87.1
NA,WP_013104223.1,1,71.0,86.3
NA,WP_013104224.1,1,71.0,87.39
NA,WP_064135009.1,1,63.0,76.25
istB,WP_013104225.1,1,64.0,80.61
istA,WP_013104226.1,1,66.0,81.49
NA,WP_013104227.1,1,52.0,63.45
NA,WP_198409851.1,1,54.0,65.5
NA,WP_013104229.1,1,60.0,73.33
NA,WP_013104230.1,1,60.0,73.94
NA,WP_013104231.1,1,60.0,69.0
NA,WP_050985884.1,1,60.0,70.66
ssb,WP_013104233.1,1,66.0,81.41
NA,WP_041609067.1,1,63.0,84.77
uvrA,WP_013104235.1,1,68.0,86.83
NA,WP_013104236.1,1,67.0,90.0
tyrS,WP_013104237.1,1,65.0,85.07
NA,WP_013104238.1,1,66.0,80.3
NA,WP_013104239.1,1,68.0,78.56
NA,WP_013104240.1,1,69.0,78.39
erpA,WP_013104241.1,1,62.0,85.34
argC,WP_013104242.1,1,67.0,82.51
yajC,WP_013104244.1,1,60.0,82.35
secD,WP_013104245.1,1,65.0,85.32
secF,WP_013104246.1,1,64.0,90.58
NA,WP_013104247.1,1,64.0,81.32
NA,WP_013104248.1,1,63.0,80.42
dprA,WP_013104249.1,1,71.0,82.7
NA,WP_013104250.1,1,66.0,84.22
def,WP_013104251.1,1,62.0,77.99
fmt,WP_041609070.1,1,68.0,80.26
htpX,WP_013104253.1,1,66.0,83.93
NA,WP_013104254.1,1,63.0,82.88
purB,WP_013104255.1,1,66.0,86.9
NA,WP_013104256.1,1,64.0,80.2
NA,WP_013104257.1,1,71.0,80.12
NA,WP_013104258.1,1,65.0,78.66
thiL,WP_013104259.1,1,70.0,81.21
NA,WP_013104260.1,1,65.0,83.27
NA,WP_013104262.1,1,59.0,62.59
NA,WP_050985886.1,1,61.0,76.26
rsmA,WP_013104264.1,1,64.0,81.08
NA,WP_013104265.1,1,66.0,79.91
lptD,WP_013104266.1,1,65.0,87.9
NA,WP_013104267.1,1,67.0,87.39
NA,WP_041609073.1,1,72.0,89.5
