gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_062733171.1,1,72.0,91.5
NA,WP_062736784.1,1,67.0,95.51
NA,WP_062733173.1,1,74.0,92.41
NA,WP_062733175.1,1,77.0,96.0
NA,WP_062733177.1,1,77.0,92.31
NA,WP_062733179.1,1,76.0,97.52
NA,WP_062733180.1,1,74.0,98.84
recN,WP_062733182.1,1,76.0,97.68
NA,WP_062733184.1,1,70.0,96.99
NA,WP_062733186.1,1,75.0,99.04
NA,WP_062736785.1,1,77.0,98.06
NA,WP_062733189.1,1,77.0,97.34
NA,WP_062733191.1,1,71.0,98.68
prpB,WP_062733193.1,1,71.0,97.61
NA,WP_062733195.1,1,72.0,96.98
NA,WP_062733197.1,1,76.0,96.77
NA,WP_062733200.1,1,74.0,97.5
NA,WP_062733202.1,1,74.0,98.82
NA,WP_062733205.1,1,77.0,97.74
NA,WP_062733207.1,1,77.0,98.5
NA,WP_062733209.1,1,69.0,98.72
NA,WP_062733211.1,1,71.0,97.22
NA,WP_062733213.1,1,76.0,97.97
scpB,WP_062733216.1,1,71.0,91.79
NA,WP_062733218.1,1,75.0,97.86
NA,WP_062733221.1,1,76.0,96.97
cmk,WP_062736786.1,1,76.0,98.58
der,WP_232319348.1,1,74.0,99.61
NA,WP_062733223.1,1,82.0,98.65
NA,WP_198161406.1,1,76.0,95.05
NA,WP_269148882.1,1,76.0,96.15
NA,WP_261775417.1,1,78.0,93.02
NA,WP_269148892.1,1,70.0,95.38
NA,WP_232319349.1,1,78.0,85.6
NA,WP_062733229.1,1,74.0,98.45
gcvH,WP_062733231.1,1,73.0,97.48
NA,WP_062733233.1,1,71.0,96.48
NA,WP_062733236.1,1,75.0,97.49
NA,WP_062733238.1,1,72.0,96.36
NA,WP_062733240.1,1,75.0,96.86
NA,WP_062733243.1,1,76.0,97.23
NA,WP_062733245.1,1,73.0,98.86
NA,WP_147017615.1,1,79.0,98.44
NA,WP_062733247.1,1,73.0,98.95
NA,WP_062733249.1,1,73.0,99.36
NA,WP_062733251.1,1,76.0,96.21
NA,WP_062733254.1,1,79.0,97.79
NA,WP_062733257.1,1,72.0,96.72
NA,WP_062736788.1,1,71.0,98.9
pknB,WP_062733259.1,1,80.0,98.35
NA,WP_084271368.1,1,77.0,97.95
NA,WP_082157200.1,1,73.0,94.96
NA,WP_084271369.1,1,78.0,97.85
dinB,WP_062733262.1,1,75.0,93.98
NA,WP_062733264.1,1,72.0,96.52
mraZ,WP_062736790.1,1,68.0,91.79
rsmH,WP_062733266.1,1,75.0,98.15
NA,WP_232319350.1,1,78.0,96.92
NA,WP_062733268.1,1,73.0,99.09
NA,WP_062733270.1,1,77.0,97.77
NA,WP_062733273.1,1,76.0,98.67
mraY,WP_062733276.1,1,69.0,98.34
murD,WP_062733279.1,1,76.0,99.4
ftsW,WP_062733282.1,1,72.0,98.26
murG,WP_062733284.1,1,79.0,98.09
murC,WP_062733287.1,1,77.0,98.47
NA,WP_062733290.1,1,80.0,90.44
ftsZ,WP_062733291.1,1,73.0,99.01
NA,WP_062733293.1,1,79.0,96.2
NA,WP_062733295.1,1,78.0,97.53
sepF,WP_047802085.1,1,72.0,96.41
NA,WP_062733297.1,1,72.0,98.85
NA,WP_062733300.1,1,77.0,97.26
lspA,WP_062733302.1,1,73.0,97.21
NA,WP_062733310.1,1,75.0,98.37
dnaE,WP_062736792.1,1,69.0,99.66
hisD,WP_062733312.1,1,77.0,98.41
nrdR,WP_062733315.1,1,73.0,97.24
NA,WP_062733318.1,1,71.0,97.32
map,WP_062733321.1,1,72.0,98.26
NA,WP_139318569.1,1,71.0,95.92
panB,WP_062733324.1,1,76.0,99.26
glnA,WP_047801484.1,1,69.0,98.86
NA,WP_062733326.1,1,76.0,99.41
NA,WP_062733336.1,1,78.0,99.28
NA,WP_062733339.1,1,71.0,98.05
lipA,WP_062733342.1,1,70.0,98.77
lipB,WP_062733345.1,1,72.0,97.32
NA,WP_062733347.1,1,81.0,92.92
NA,WP_062733349.1,1,70.0,96.23
sucB,WP_062733351.1,1,73.0,97.87
lpdA,WP_062733354.1,1,68.0,98.88
NA,WP_084271371.1,1,77.0,98.22
NA,WP_062733356.1,1,72.0,96.96
NA,WP_062733358.1,1,73.0,97.16
NA,WP_084271372.1,1,80.0,96.31
NA,WP_084271373.1,1,71.0,98.16
NA,WP_017834164.1,1,69.0,89.47
NA,WP_062733369.1,1,71.0,99.42
NA,WP_062733372.1,1,77.0,99.41
NA,WP_062733374.1,1,73.0,99.39
NA,WP_062733376.1,1,74.0,98.65
NA,WP_062733379.1,1,79.0,97.19
NA,WP_062733381.1,1,73.0,97.36
NA,WP_062733384.1,1,77.0,97.91
NA,WP_062733386.1,1,82.0,92.47
sepH,WP_062733388.1,1,79.0,95.78
NA,WP_062733391.1,1,69.0,97.78
NA,WP_062733394.1,1,75.0,98.16
dut,WP_062733397.1,1,77.0,98.68
NA,WP_062736794.1,1,78.0,95.96
NA,WP_232319352.1,1,75.0,96.69
NA,WP_062733400.1,1,74.0,98.05
NA,WP_062733403.1,1,72.0,99.54
NA,WP_062733406.1,1,73.0,98.74
NA,WP_062733408.1,1,74.0,98.94
NA,WP_062733410.1,1,80.0,98.9
NA,WP_062733413.1,1,68.0,98.93
dxs,WP_062733416.1,1,73.0,98.64
NA,WP_062733418.1,1,78.0,94.78
NA,WP_062733421.1,1,73.0,99.22
NA,WP_084271374.1,1,77.0,90.66
NA,WP_062733423.1,1,79.0,97.2
msrB,WP_062733431.1,1,72.0,96.6
NA,WP_062733433.1,1,75.0,98.61
ybaK,WP_062733435.1,1,78.0,98.7
NA,WP_062733438.1,1,74.0,98.59
NA,WP_062733440.1,1,72.0,98.98
zapE,WP_062733442.1,1,72.0,97.38
NA,WP_062733444.1,1,76.0,98.91
def,WP_062733446.1,1,76.0,95.16
fmt,WP_062733448.1,1,78.0,99.66
NA,WP_062733451.1,1,81.0,98.87
rpe,WP_062733453.1,1,75.0,99.06
ribD,WP_062733456.1,1,79.0,98.25
NA,WP_062733459.1,1,76.0,95.35
ribB,WP_186815655.1,1,76.0,96.74
NA,WP_062733462.1,1,74.0,96.88
ribH,WP_062733465.1,1,76.0,95.33
NA,WP_047801456.1,1,67.0,94.87
hisG,WP_062733467.1,1,72.0,97.43
hisF,WP_062733469.1,1,74.0,98.78
NA,WP_062733472.1,1,83.0,90.0
NA,WP_062733475.1,1,80.0,95.48
NA,WP_062733477.1,1,76.0,95.29
hisI,WP_047802392.1,1,75.0,98.29
