gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_075085769.1,1,53.0,58.21
dnaN,WP_075085768.1,1,54.0,62.36
NA,WP_075085767.1,1,50.0,60.87
NA,WP_075085765.1,1,52.0,66.32
NA,WP_075085764.1,1,51.0,59.03
NA,WP_075085763.1,1,52.0,60.14
NA,WP_075085762.1,1,51.0,58.64
NA,WP_075085761.1,1,53.0,61.26
NA,WP_075085760.1,1,51.0,72.34
NA,WP_075085759.1,1,53.0,59.42
NA,WP_162273983.1,1,52.0,58.77
NA,WP_075085757.1,1,52.0,58.94
NA,WP_075085756.1,1,54.0,63.12
NA,WP_075085755.1,1,54.0,62.08
NA,WP_075085754.1,1,52.0,56.19
NA,WP_075085753.1,1,54.0,59.04
NA,WP_075085752.1,1,54.0,57.58
NA,WP_075085751.1,1,54.0,64.44
glgA,WP_075085750.1,1,54.0,65.91
NA,WP_210421381.1,1,52.0,60.0
NA,WP_075085748.1,1,53.0,60.66
NA,WP_075085747.1,1,56.00000000000001,62.18
NA,WP_202907568.1,1,54.0,64.5
NA,WP_148618564.1,1,55.00000000000001,63.16
NA,WP_075085892.1,1,56.99999999999999,66.83
NA,WP_075085745.1,1,55.00000000000001,66.85
NA,WP_075085744.1,1,53.0,62.14
NA,WP_075085743.1,1,54.0,61.31
NA,WP_075085742.1,1,53.0,63.73
NA,WP_157665210.1,1,56.00000000000001,63.93
fmt,WP_075085740.1,1,53.0,54.14
def,WP_075085739.1,1,51.0,59.24
folK,WP_157665209.1,1,53.0,56.52
NA,WP_238381318.1,1,52.0,57.98
NA,WP_075085737.1,1,51.0,68.99
NA,WP_075085736.1,1,54.0,60.93
NA,WP_075085735.1,1,56.00000000000001,69.29
NA,WP_075085734.1,1,56.99999999999999,67.08
NA,WP_084417310.1,1,53.0,62.46
NA,WP_075085733.1,1,44.0,45.69
NA,WP_075085732.1,1,56.00000000000001,63.91
NA,WP_075085731.1,1,55.00000000000001,61.61
yjjX,WP_075085730.1,1,59.0,68.42
NA,WP_075085729.1,1,55.00000000000001,63.59
NA,WP_075085728.1,1,56.00000000000001,67.98
NA,WP_075085727.1,1,55.00000000000001,63.16
NA,WP_075085726.1,1,53.0,55.3
NA,WP_075085725.1,1,53.0,59.46
NA,WP_075085724.1,1,57.99999999999999,64.58
NA,WP_075085723.1,1,56.99999999999999,68.91
NA,WP_261340537.1,1,53.0,56.25
NA,WP_075085722.1,1,55.00000000000001,67.13
NA,WP_238381316.1,1,54.0,61.34
NA,WP_238381315.1,1,54.0,63.38
NA,WP_075085887.1,1,56.00000000000001,66.37
NA,WP_075085721.1,1,55.00000000000001,65.27
NA,WP_075085720.1,1,57.99999999999999,72.86
NA,WP_075085719.1,1,56.00000000000001,69.12
NA,WP_075085718.1,1,54.0,65.5
NA,WP_075085717.1,1,56.00000000000001,65.42
NA,WP_075085716.1,1,56.00000000000001,67.86
NA,WP_075085715.1,1,55.00000000000001,63.67
NA,WP_075085714.1,1,51.0,53.54
NA,WP_075085713.1,1,52.0,57.31
NA,WP_075085712.1,1,55.00000000000001,59.77
NA,WP_075085711.1,1,56.00000000000001,66.21
NA,WP_075085710.1,1,57.99999999999999,61.86
NA,WP_075085709.1,1,55.00000000000001,62.0
NA,WP_075085708.1,1,55.00000000000001,65.51
NA,WP_084417308.1,1,53.0,65.56
NA,WP_075085885.1,1,50.0,50.41
NA,WP_075085707.1,1,51.0,54.87
NA,WP_087149681.1,1,56.00000000000001,66.67
NA,WP_084417306.1,1,55.00000000000001,64.94
NA,WP_148618566.1,1,54.0,61.7
NA,WP_075085704.1,1,54.0,66.3
NA,WP_075085703.1,1,54.0,57.23
NA,WP_075085702.1,1,56.99999999999999,63.36
NA,WP_157665208.1,1,54.0,62.3
NA,WP_084417305.1,1,60.0,70.11
pheA,WP_075085700.1,1,56.99999999999999,70.52
NA,WP_244949104.1,1,53.0,65.92
NA,WP_084417304.1,1,54.0,56.84
NA,WP_148618567.1,1,50.0,54.9
NA,WP_238381312.1,1,56.00000000000001,67.47
NA,WP_075085697.1,1,55.00000000000001,71.21
miaB,WP_075085696.1,1,55.00000000000001,70.65
NA,WP_075085695.1,1,54.0,59.46
NA,WP_075085694.1,1,55.00000000000001,60.05
rplU,WP_075085880.1,1,51.0,53.19
NA,WP_075085693.1,1,52.0,54.26
NA,WP_202907567.1,1,53.0,60.98
NA,WP_075085692.1,1,55.00000000000001,62.92
NA,WP_075085691.1,1,54.0,62.18
hemA,WP_075085690.1,1,55.00000000000001,66.11
NA,WP_075085689.1,1,55.00000000000001,59.52
NA,WP_075085688.1,1,55.00000000000001,61.03
NA,WP_157665207.1,1,54.0,65.22
NA,WP_075085878.1,1,55.00000000000001,68.03
NA,WP_148618569.1,1,55.00000000000001,64.76
cysN,WP_075085685.1,1,55.00000000000001,70.64
cysD,WP_075085684.1,1,53.0,68.71
NA,WP_075085683.1,1,54.0,65.49
NA,WP_148618570.1,1,55.00000000000001,67.72
NA,WP_075085681.1,1,54.0,61.72
NA,WP_075085680.1,1,54.0,56.25
NA,WP_148618571.1,1,53.0,69.12
NA,WP_075085678.1,1,56.00000000000001,60.54
NA,WP_075085677.1,1,56.00000000000001,58.08
NA,WP_075085676.1,1,53.0,69.31
NA,WP_084417302.1,1,50.0,62.39
NA,WP_075085674.1,1,52.0,64.91
NA,WP_075085673.1,1,53.0,67.38
NA,WP_075085672.1,1,52.0,62.77
NA,WP_148618572.1,1,51.0,59.28
NA,WP_075085670.1,1,51.0,60.0
NA,WP_075085669.1,1,52.0,66.36
NA,WP_075085668.1,1,55.00000000000001,62.47
nrfD,WP_075085667.1,1,54.0,67.76
NA,WP_238381311.1,1,56.00000000000001,62.17
NA,WP_075085665.1,1,56.00000000000001,65.2
NA,WP_075082882.1,1,52.0,63.25
surE,WP_075082884.1,1,57.99999999999999,65.65
NA,WP_075082912.1,1,55.00000000000001,63.91
xrtU,WP_075082885.1,1,55.00000000000001,66.89
NA,WP_075082886.1,1,55.00000000000001,64.4
NA,WP_075082887.1,1,53.0,61.49
gmd,WP_075082888.1,1,50.0,56.27
NA,WP_075082889.1,1,49.0,55.76
rfbB,WP_075082913.1,1,49.0,52.56
rfbA,WP_075082890.1,1,46.0,46.21
NA,WP_075082891.1,1,45.0,41.9
NA,WP_075082892.1,1,45.0,41.59
NA,WP_148618573.1,1,46.0,44.75
NA,WP_075082894.1,1,45.0,46.46
NA,WP_261340516.1,1,49.0,44.39
NA,WP_075082896.1,1,44.0,44.96
NA,WP_075082897.1,1,50.0,51.24
NA,WP_075082899.1,1,46.0,48.05
NA,WP_075082900.1,1,47.0,48.14
NA,WP_075082901.1,1,46.0,44.4
NA,WP_075082902.1,1,47.0,46.04
NA,WP_244949105.1,1,50.0,52.17
NA,WP_075082904.1,1,47.0,46.11
wecB,WP_075082905.1,1,52.0,57.72
NA,WP_075082665.1,1,53.0,59.78
NA,WP_084416835.1,1,52.0,60.0
NA,WP_168211065.1,1,47.0,43.01
NA,WP_075082663.1,1,52.0,64.41
NA,WP_075082662.1,1,54.0,61.21
NA,WP_075082661.1,1,53.0,64.66
NA,WP_075082660.1,1,59.0,67.07
pseI,WP_075082659.1,1,59.0,72.27
NA,WP_148618576.1,1,56.99999999999999,64.0
NA,WP_075082657.1,1,55.00000000000001,65.72
NA,WP_075082656.1,1,54.0,60.56
folD,WP_075082655.1,1,56.99999999999999,67.02
NA,WP_075082653.1,1,56.00000000000001,58.99
