gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_011627756.1,1,64.0,83.94
dnaN,WP_011627757.1,1,65.0,80.67
recF,WP_011627758.1,1,68.0,81.74
gyrB,WP_011627759.1,1,63.0,85.3
otsB,WP_011627760.1,1,71.0,82.66
NA,WP_011627761.1,1,65.0,82.76
NA,WP_011627762.1,1,67.0,83.22
NA,WP_011627763.1,1,71.0,80.92
NA,WP_011627764.1,1,69.0,86.89
gmhB,WP_011627765.1,1,71.0,85.79
glyS,WP_011627766.1,1,70.0,88.01
glyQ,WP_011627767.1,1,66.0,89.94
glnA,WP_011627768.1,1,63.0,90.26
NA,WP_011627769.1,1,67.0,85.54
glnL,WP_011627770.1,1,67.0,86.22
ntrC,WP_011627771.1,1,68.0,85.19
queE,WP_011627772.1,1,71.0,89.5
NA,WP_049753484.1,1,71.0,89.36
groL,WP_011627774.1,1,66.0,93.38
groES,WP_011627775.1,1,65.0,91.86
NA,WP_011627776.1,1,66.0,81.74
dsbD,WP_011627777.1,1,69.0,84.13
NA,WP_011627778.1,1,66.0,86.08
aroQ,WP_011627779.1,1,67.0,83.22
accB,WP_011627780.1,1,71.0,94.48
accC,WP_011627781.1,1,67.0,90.18
NA,WP_011627782.1,1,69.0,85.71
NA,WP_011627783.1,1,72.0,88.85
NA,WP_011627784.1,1,69.0,92.28
NA,WP_011627785.1,1,72.0,89.36
NA,WP_011627786.1,1,74.0,85.32
NA,WP_011627787.1,1,68.0,90.8
trmB,WP_011627788.1,1,69.0,85.09
NA,WP_011627789.1,1,67.0,88.54
thiS,WP_041718106.1,1,71.0,92.98
NA,WP_049753486.1,1,61.0,67.26
NA,WP_049753487.1,1,57.99999999999999,79.1
NA,WP_269490048.1,1,68.0,74.19
NA,WP_011627791.1,1,64.0,67.5
NA,WP_011627792.1,1,66.0,86.32
NA,WP_011627793.1,1,71.0,87.65
NA,WP_011627794.1,1,64.0,79.49
NA,WP_011627795.1,1,67.0,80.09
NA,WP_011627796.1,1,67.0,79.66
tssI,WP_011627797.1,1,71.0,86.82
tssB,WP_011627798.1,1,66.0,86.25
tssC,WP_011627799.1,1,65.0,88.82
tssE,WP_011627800.1,1,68.0,87.97
tssF,WP_232209267.1,1,66.0,82.41
tssG,WP_041718109.1,1,67.0,83.94
NA,WP_011627803.1,1,73.0,84.58
tssJ,WP_011627804.1,1,67.0,85.64
tssK,WP_011627805.1,1,68.0,81.65
icmH,WP_011627806.1,1,68.0,87.4
NA,WP_041717844.1,1,71.0,84.09
vasI,WP_011627808.1,1,74.0,84.95
tssA,WP_232209268.1,1,73.0,82.94
tssM,WP_011627810.1,1,71.0,86.12
NA,WP_011627811.1,1,66.0,90.18
NA,WP_011627812.1,1,72.0,85.56
NA,WP_011627813.1,1,60.0,62.11
dapF,WP_011627814.1,1,70.0,88.52
NA,WP_011627815.1,1,72.0,89.69
xerC,WP_011627816.1,1,72.0,86.1
NA,WP_011627817.1,1,69.0,85.07
NA,WP_011627818.1,1,69.0,91.17
hslV,WP_011627819.1,1,68.0,87.93
hslU,WP_011627820.1,1,67.0,93.04
NA,WP_011627821.1,1,69.0,92.98
ubiE,WP_011627822.1,1,67.0,89.96
NA,WP_011627823.1,1,76.0,95.0
ubiB,WP_011627824.1,1,68.0,91.54
speA,WP_011627825.1,1,71.0,94.02
speE,WP_011627826.1,1,69.0,93.86
NA,WP_049753490.1,1,69.0,88.66
NA,WP_011627828.1,1,69.0,92.05
fetB,WP_011627829.1,1,68.0,92.69
NA,WP_011627830.1,1,75.0,88.89
NA,WP_049753491.1,1,73.0,86.43
NA,WP_011627832.1,1,66.0,93.61
glnK,WP_011627833.1,1,65.0,90.29
NA,WP_011627834.1,1,71.0,88.42
NA,WP_011627835.1,1,75.0,89.92
NA,WP_011627836.1,1,72.0,93.71
argB,WP_011627837.1,1,67.0,92.2
NA,WP_011627838.1,1,66.0,93.33
rpiA,WP_041717846.1,1,67.0,92.89
ilvA,WP_269490060.1,1,65.0,86.47
NA,WP_011627841.1,1,72.0,86.92
NA,WP_011627842.1,1,70.0,88.46
NA,WP_011627843.1,1,70.0,91.34
NA,WP_011627844.1,1,71.0,91.56
NA,WP_011627845.1,1,68.0,83.85
rfaH,WP_011627846.1,1,71.0,89.88
NA,WP_011627847.1,1,65.0,95.08
moeB,WP_011627848.1,1,71.0,90.65
NA,WP_011627849.1,1,71.0,90.18
NA,WP_011627850.1,1,72.0,88.73
NA,WP_011627851.1,1,60.0,73.09
NA,WP_011627852.1,1,61.0,73.52
NA,WP_011627853.1,1,70.0,92.77
NA,WP_041718129.1,1,70.0,87.36
NA,WP_041718130.1,1,70.0,89.68
NA,WP_011627856.1,1,65.0,78.72
NA,WP_011627857.1,1,66.0,84.08
NA,WP_011627858.1,1,71.0,82.77
NA,WP_011627859.1,1,69.0,86.25
NA,WP_011627860.1,1,71.0,89.67
NA,WP_011627861.1,1,64.0,78.71
wecB,WP_011627862.1,1,71.0,93.6
NA,WP_011627863.1,1,73.0,92.18
NA,WP_011627864.1,1,71.0,87.97
NA,WP_011627865.1,1,66.0,82.77
NA,WP_232209269.1,1,57.99999999999999,64.16
NA,WP_232209333.1,1,49.0,47.2
NA,WP_232209270.1,1,48.0,50.15
NA,WP_011627869.1,1,68.0,84.22
NA,WP_011627870.1,1,56.00000000000001,68.27
NA,WP_011627871.1,1,67.0,76.52
NA,WP_011627872.1,1,64.0,77.12
NA,WP_011627873.1,1,64.0,81.26
NA,WP_011627874.1,1,56.99999999999999,64.92
NA,WP_011627876.1,1,67.0,83.4
NA,WP_041717848.1,1,68.0,84.18
NA,WP_156774613.1,1,46.0,40.21
NA,WP_083761804.1,1,66.0,73.72
NA,WP_011627880.1,1,64.0,76.67
NA,WP_011627881.1,1,66.0,85.71
NA,WP_011627882.1,1,68.0,84.37
NA,WP_083761888.1,1,66.0,84.44
NA,WP_041717850.1,1,64.0,88.0
NA,WP_232209271.1,1,70.0,89.06
NA,WP_011627886.1,1,74.0,95.24
NA,WP_011627887.1,1,71.0,91.18
NA,WP_041718140.1,1,73.0,92.25
NA,WP_011627889.1,1,71.0,94.86
NA,WP_011627890.1,1,73.0,92.11
xrtA,WP_011627891.1,1,71.0,93.2
NA,WP_011627892.1,1,74.0,92.65
NA,WP_011627893.1,1,69.0,94.43
NA,WP_011627894.1,1,71.0,91.03
NA,WP_011627895.1,1,68.0,92.35
NA,WP_232209272.1,1,67.0,89.98
NA,WP_011627897.1,1,67.0,86.73
NA,WP_011627898.1,1,67.0,89.07
NA,WP_011627899.1,1,68.0,79.01
NA,WP_198003236.1,1,69.0,76.75
NA,WP_011627901.1,1,65.0,79.75
NA,WP_011627902.1,1,70.0,87.29
NA,WP_011627903.1,1,68.0,85.77
NA,WP_083761806.1,1,73.0,89.32
NA,WP_011627905.1,1,71.0,93.26
NA,WP_011627906.1,1,64.0,78.16
prsT,WP_011627907.1,1,72.0,88.37
prsR,WP_011627908.1,1,67.0,87.24
prsK,WP_011627909.1,1,70.0,91.41
NA,WP_011627910.1,1,67.0,89.25
NA,WP_011627911.1,1,67.0,87.44
NA,WP_011627912.1,1,71.0,86.7
NA,WP_011627913.1,1,70.0,86.13
galE,WP_011627914.1,1,69.0,87.58
