gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_027401087.1,2,36.0,23.16
NA,WP_027401086.1,1,31.0,16.47
NA,WP_193964347.1,1,28.999999999999996,17.54
NA,WP_027401084.1,1,30.0,14.29
NA,WP_027401083.1,1,41.0,36.51
NA,WP_193964093.1,1,43.0,38.42
NA,WP_027401081.1,1,46.0,29.03
NA,WP_015080435.1,1,47.0,29.52
NA,WP_027401080.1,1,45.0,36.96
NA,WP_257121224.1,1,45.0,30.44
NA,WP_027401077.1,1,44.0,27.0
NA,WP_027401076.1,1,45.0,33.73
NA,WP_257122183.1,1,41.0,34.29
NA,WP_027401074.1,1,40.0,33.55
NA,WP_257121225.1,1,38.0,23.13
NA,WP_027401073.1,1,40.0,27.31
NA,WP_027401072.1,1,37.0,31.75
NA,WP_027401071.1,1,33.0,21.62
NA,WP_027401069.1,1,34.0,27.88
NA,WP_160289918.1,1,32.0,25.64
NA,WP_027401067.1,1,31.0,21.59
NA,WP_168497217.1,1,39.0,20.25
NA,WP_257121228.1,1,37.0,34.78
NA,WP_257121229.1,1,35.0,32.61
NA,WP_257121230.1,1,33.0,28.26
NA,WP_257121231.1,1,37.0,32.61
NA,WP_257121232.1,1,34.0,32.61
NA,WP_257121233.1,1,36.0,32.61
NA,WP_306459819.1,1,42.0,40.12
rpmI,WP_071992743.1,1,42.0,42.86
rplT,WP_015079973.1,1,44.0,41.28
NA,WP_257121235.1,1,41.0,31.08
NA,WP_027401063.1,1,35.0,25.45
NA,WP_257121236.1,1,30.0,16.77
NA,WP_257121237.1,1,41.0,36.11
NA,WP_257121238.1,1,39.0,30.28
tnpA,WP_035081600.1,1,37.0,26.5
NA,WP_027401061.1,1,39.0,24.58
NA,WP_257121239.1,1,38.0,23.52
NA,WP_027401059.1,1,36.0,27.09
ispG,WP_027401058.1,1,43.0,32.08
NA,WP_027401057.1,1,46.0,36.59
NA,WP_027401056.1,1,43.0,31.78
NA,WP_027401055.1,1,36.0,39.29
NA,WP_027401054.1,1,44.0,34.62
NA,WP_035081276.1,1,34.0,32.0
NA,WP_027401051.1,1,49.0,43.48
NA,WP_257121240.1,1,38.0,30.65
NA,WP_027401049.1,1,40.0,28.41
