gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_178967701.1,1,44.0,58.33
NA,WP_178967702.1,1,32.0,25.36
NA,WP_178967703.1,1,48.0,48.09
NA,WP_075174311.1,1,48.0,48.59
NA,WP_178967704.1,1,50.0,51.0
NA,WP_178967705.1,1,50.0,53.49
NA,WP_178967706.1,1,39.0,46.0
NA,WP_178967707.1,1,46.0,43.36
NA,WP_246283371.1,1,50.0,47.54
NA,WP_178967709.1,1,49.0,44.63
NA,WP_178967710.1,1,52.0,51.79
NA,WP_178967711.1,1,47.0,40.44
NA,WP_178967712.1,1,47.0,46.44
NA,WP_178967713.1,1,48.0,40.71
NA,WP_178967714.1,1,47.0,39.67
NA,WP_178967715.1,1,44.0,39.79
NA,WP_178967716.1,1,48.0,44.27
NA,WP_178967717.1,1,45.0,41.47
NA,WP_178967718.1,1,48.0,44.68
NA,WP_218648431.1,1,46.0,42.57
NA,WP_075174303.1,1,49.0,48.67
gntR,WP_075174302.1,1,51.0,54.01
NA,WP_277252818.1,1,43.0,50.0
NA,WP_178967719.1,1,50.0,52.52
NA,WP_075174300.1,1,50.0,48.28
NA,WP_178967720.1,1,48.0,41.92
NA,WP_178967721.1,1,51.0,48.7
NA,WP_178967722.1,1,49.0,45.29
NA,WP_178967723.1,1,51.0,50.91
NA,WP_178967724.1,1,42.0,38.49
NA,WP_178967725.1,1,38.0,37.5
NA,WP_178967726.1,1,43.0,38.06
NA,WP_075174293.1,1,46.0,51.89
NA,WP_075174292.1,1,47.0,54.12
NA,WP_178967727.1,1,46.0,47.83
NA,WP_178967728.1,1,46.0,48.12
nudE,WP_178967729.1,1,47.0,42.69
yrfG,WP_178969704.1,1,47.0,50.93
hslR,WP_083610192.1,1,52.0,47.54
hslO,WP_075174287.1,1,46.0,43.62
NA,WP_178967730.1,1,47.0,43.48
ppx,WP_075174285.1,1,48.0,45.58
trxA,WP_075174284.1,1,43.0,37.37
rho,WP_075174283.1,1,46.0,44.15
ubiD,WP_178967731.1,1,49.0,47.1
NA,WP_075174281.1,1,48.0,45.64
NA,WP_178967732.1,1,47.0,47.37
NA,WP_075174316.1,1,48.0,48.41
ptsP,WP_075179668.1,1,50.0,46.6
NA,WP_075179669.1,1,50.0,48.64
lgt,WP_178967733.1,1,50.0,49.61
NA,WP_178967734.1,1,44.0,40.88
NA,WP_075174275.1,1,47.0,42.52
NA,WP_075174274.1,1,44.0,40.66
NA,WP_075174273.1,1,46.0,53.49
NA,WP_218648432.1,1,46.0,43.98
NA,WP_075174272.1,1,45.0,45.0
NA,WP_178967735.1,1,50.0,44.26
NA,WP_178967736.1,1,46.0,44.65
birA,WP_178967737.1,1,50.0,46.86
NA,WP_178967738.1,1,47.0,40.17
NA,WP_178967739.1,1,41.0,39.72
tuf,WP_178967740.1,1,48.0,41.96
secE,WP_178967741.1,1,45.0,43.36
nusG,WP_075174345.1,1,45.0,41.07
rplK,WP_075174344.1,1,49.0,37.04
rplA,WP_075174343.1,1,45.0,31.08
rplJ,WP_075174342.1,1,49.0,38.71
rplL,WP_075174341.1,1,46.0,27.19
rpoB,WP_075174340.1,1,46.0,42.33
rpoC,WP_075174339.1,1,47.0,43.02
rpsL,WP_075174338.1,1,49.0,35.65
rpsG,WP_075174337.1,1,48.0,35.37
fusA,WP_075179675.1,1,46.0,41.13
rpsJ,WP_075174125.1,1,50.0,48.94
rplC,WP_075174126.1,1,50.0,41.75
rplD,WP_075174127.1,1,49.0,38.86
rplW,WP_075174128.1,1,45.0,37.08
rplB,WP_075174129.1,1,49.0,32.45
rpsS,WP_075174130.1,1,47.0,45.78
rplV,WP_075174131.1,1,50.0,51.96
rpsC,WP_075174132.1,1,46.0,36.53
rplP,WP_075174133.1,1,52.0,47.66
rpmC,WP_075174134.1,1,46.0,47.27
rpsQ,WP_075174135.1,1,44.0,42.31
rplN,WP_075174136.1,1,48.0,42.48
rplX,WP_075174137.1,1,44.0,41.67
rplE,WP_075174138.1,1,44.0,37.65
rpsN,WP_075174139.1,1,50.0,38.04
rpsH,WP_075174140.1,1,44.0,29.75
rplF,WP_075174141.1,1,45.0,30.36
rplR,WP_178967742.1,1,52.0,32.71
rpsE,WP_075174143.1,1,49.0,34.39
rpmD,WP_075174144.1,1,47.0,43.14
rplO,WP_075174145.1,1,47.0,35.56
secY,WP_075174146.1,1,46.0,42.03
rpmJ,WP_075174147.1,1,52.0,51.72
rpsM,WP_075174148.1,1,48.0,41.28
rpsK,WP_075174149.1,1,48.0,35.0
rpsD,WP_075174150.1,1,46.0,37.56
rpoA,WP_075174151.1,1,47.0,38.15
rplQ,WP_075174152.1,1,46.0,32.48
uvrA,WP_075179676.1,1,46.0,41.63
ssb,WP_075174154.1,1,51.0,40.96
rfbD,WP_075174155.1,1,48.0,45.27
NA,WP_215151669.1,1,44.0,42.37
NA,WP_178967743.1,1,51.0,44.27
NA,WP_075174157.1,1,45.0,44.69
moaC,WP_075174158.1,1,46.0,42.0
NA,WP_075174159.1,1,47.0,36.49
NA,WP_075179679.1,1,46.0,43.04
fabB,WP_075179680.1,1,49.0,46.21
fabA,WP_075174162.1,1,48.0,46.91
NA,WP_075179681.1,1,46.0,41.53
rplU,WP_075174164.1,1,47.0,39.36
rpmA,WP_075174165.1,1,45.0,39.19
obgE,WP_178967744.1,1,51.0,44.99
proB,WP_075174167.1,1,55.00000000000001,52.33
rpsT,WP_075174168.1,1,48.0,44.87
murJ,WP_281363040.1,1,48.0,51.36
ribF,WP_178969707.1,1,49.0,45.28
ileS,WP_178967745.1,1,47.0,44.22
lspA,WP_075174171.1,1,45.0,46.06
NA,WP_075174172.1,1,42.0,32.84
NA,WP_178967746.1,1,46.0,38.22
pilV,WP_178967747.1,1,46.0,36.13
NA,WP_178967748.1,1,45.0,38.67
NA,WP_075179686.1,1,46.0,42.86
NA,WP_178967749.1,1,44.0,38.24
NA,WP_178967750.1,1,38.0,31.11
NA,WP_178967751.1,1,44.0,36.59
NA,WP_178967752.1,1,44.0,35.71
thiO,WP_178967753.1,1,49.0,42.02
nadE,WP_178967754.1,1,46.0,37.64
NA,WP_075179693.1,1,46.0,43.64
rluD,WP_178967755.1,1,48.0,43.13
pgeF,WP_178967756.1,1,52.0,46.12
clpB,WP_178967757.1,1,48.0,44.77
NA,WP_075174187.1,1,43.0,42.23
NA,WP_178967758.1,1,50.0,51.53
rlmJ,WP_178967759.1,1,48.0,47.04
NA,WP_277252948.1,1,48.0,47.42
NA,WP_075174191.1,1,43.0,44.3
NA,WP_075174192.1,1,48.0,49.2
ilvN,WP_075179698.1,1,48.0,49.35
NA,WP_178967760.1,1,47.0,41.03
NA,WP_178967761.1,1,48.0,45.96
NA,WP_178967762.1,1,49.0,46.46
NA,WP_075174196.1,1,48.0,44.27
NA,WP_178967763.1,1,48.0,43.55
NA,WP_178967764.1,1,46.0,44.57
NA,WP_178967765.1,1,50.0,43.49
NA,WP_178967766.1,1,48.0,41.72
NA,WP_178967767.1,1,48.0,41.29
NA,WP_075174202.1,1,45.0,45.09
NA,WP_075174203.1,1,45.0,35.65
NA,WP_178967768.1,1,46.0,36.19
NA,WP_246283298.1,1,41.0,37.88
NA,WP_178967769.1,1,46.0,43.1
NA,WP_178967770.1,1,47.0,44.55
pssA,WP_178967771.1,1,46.0,36.89
NA,WP_178967772.1,1,42.0,39.49
fdh3B,WP_075174258.1,1,50.0,46.35
NA,WP_075174257.1,1,48.0,45.76
NA,WP_178967773.1,1,46.0,35.0
NA,WP_178969709.1,1,47.0,44.66
NA,WP_178967774.1,1,48.0,44.7
NA,WP_178967775.1,1,47.0,41.42
NA,WP_178967776.1,1,48.0,46.15
NA,WP_178967777.1,1,48.0,46.89
NA,WP_212667482.1,1,51.0,50.17
NA,WP_178967778.1,1,47.0,46.84
NA,WP_178967779.1,1,48.0,41.91
NA,WP_178967780.1,1,47.0,39.06
NA,WP_075174248.1,1,48.0,45.33
NA,WP_178967781.1,1,45.0,45.83
mobB,WP_215152593.1,1,45.0,46.3
NA,WP_246283299.1,1,50.0,45.69
moaA,WP_178967782.1,1,47.0,46.13
NA,WP_075174244.1,1,47.0,42.14
NA,WP_075174243.1,1,47.0,41.78
dtd,WP_178967783.1,1,46.0,47.45
pip,WP_178967784.1,1,48.0,48.53
typA,WP_075174240.1,1,48.0,45.97
glnA,WP_075174239.1,1,45.0,38.78
glnL,WP_178967785.1,1,45.0,44.16
glnG,WP_075180310.1,1,50.0,44.73
trmL,WP_178967786.1,1,46.0,39.04
NA,WP_075174236.1,1,47.0,42.11
NA,WP_075174235.1,1,47.0,46.24
NA,WP_083637931.1,1,45.0,39.38
secB,WP_075174234.1,1,45.0,38.41
grxC,WP_139303241.1,1,47.0,46.75
NA,WP_075174232.1,1,48.0,49.62
gpmI,WP_178967787.1,1,47.0,39.25
