gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_011339646.1,1,46.0,48.07
dnaN,WP_011339647.1,1,45.0,47.11
recF,WP_011339648.1,1,50.0,51.41
gyrB,WP_011339649.1,1,52.0,61.32
gyrA,WP_011339650.1,1,54.0,62.71
NA,WP_041531188.1,1,54.0,58.1
NA,WP_011339652.1,1,56.99999999999999,64.81
NA,WP_011339653.1,1,59.0,63.4
nth,WP_011339654.1,1,56.99999999999999,61.84
NA,WP_011339655.1,1,56.00000000000001,62.56
NA,WP_011339658.1,1,55.00000000000001,68.47
NA,WP_011339659.1,1,53.0,58.2
NA,WP_011339660.1,1,54.0,64.38
NA,WP_011339661.1,1,59.0,65.49
atpB,WP_011339662.1,1,53.0,63.56
atpE,WP_011339663.1,1,57.99999999999999,73.42
NA,WP_011339664.1,1,55.00000000000001,60.74
NA,WP_158447386.1,1,59.0,68.29
NA,WP_011339666.1,1,62.0,71.97
NA,WP_011339667.1,1,60.0,68.75
NA,WP_011339668.1,1,61.0,71.64
NA,WP_011339669.1,1,57.99999999999999,64.96
NA,WP_011339670.1,1,62.0,70.9
rfaD,WP_011339671.1,1,57.99999999999999,71.24
NA,WP_041531189.1,1,63.0,66.48
NA,WP_011339673.1,1,61.0,66.12
lon,WP_011339674.1,1,59.0,69.78
thiL,WP_011339675.1,1,62.0,67.19
NA,WP_011339676.1,1,59.0,69.95
NA,WP_011339677.1,1,60.0,64.96
NA,WP_011339678.1,1,60.0,67.35
NA,WP_148204263.1,1,62.0,69.87
NA,WP_011339680.1,1,51.0,69.74
rimO,WP_281047804.1,1,57.99999999999999,69.32
NA,WP_011339682.1,1,64.0,69.88
NA,WP_011339683.1,1,62.0,67.52
NA,WP_011339684.1,1,62.0,71.66
NA,WP_158447387.1,1,46.0,51.35
NA,WP_011339685.1,1,61.0,70.55
NA,WP_148204265.1,1,62.0,71.36
NA,WP_011339687.1,1,59.0,72.17
NA,WP_011339688.1,1,61.0,77.12
NA,WP_011339689.1,1,61.0,72.69
NA,WP_011339690.1,1,64.0,73.11
NA,WP_041531190.1,1,62.0,73.35
NA,WP_011339693.1,1,63.0,75.5
NA,WP_011339694.1,1,60.0,72.82
NA,WP_011339695.1,1,55.00000000000001,65.8
NA,WP_011339696.1,1,57.99999999999999,75.58
nifS,WP_011339697.1,1,61.0,78.39
nifU,WP_011339698.1,1,56.99999999999999,71.69
NA,WP_011339699.1,1,61.0,70.22
NA,WP_011339700.1,1,56.99999999999999,72.73
otsB,WP_200858978.1,1,54.0,62.2
NA,WP_041531192.1,1,56.00000000000001,66.1
NA,WP_011339703.1,1,50.0,63.72
cooS,WP_011339705.1,1,63.0,76.89
NA,WP_011339706.1,1,63.0,75.8
NA,WP_011339707.1,1,62.0,70.37
NA,WP_011339708.1,1,61.0,67.91
NA,WP_011339709.1,1,65.0,72.95
NA,WP_011339710.1,1,61.0,72.57
NA,WP_011339711.1,1,57.99999999999999,56.25
NA,WP_011339712.1,1,59.0,63.33
NA,WP_041531193.1,1,65.0,73.87
NA,WP_011339714.1,1,61.0,72.22
radC,WP_011339715.1,1,62.0,71.1
NA,WP_011339716.1,1,60.0,67.11
NA,WP_011339717.1,1,60.0,73.57
NA,WP_011339718.1,1,59.0,65.22
NA,WP_011339719.1,1,65.0,76.9
NA,WP_011339720.1,1,53.0,60.22
NA,WP_041531194.1,1,61.0,66.07
NA,WP_011339722.1,1,50.0,51.39
NA,WP_011339723.1,1,54.0,63.61
NA,WP_011339725.1,1,50.0,53.21
NA,WP_011339726.1,1,57.99999999999999,70.59
NA,WP_011339727.1,1,55.00000000000001,63.88
NA,WP_011339728.1,1,62.0,70.68
NA,WP_011339729.1,1,61.0,75.0
NA,WP_081424970.1,1,56.99999999999999,73.02
cmoB,WP_011339731.1,1,60.0,71.43
cmoA,WP_011339732.1,1,54.0,66.95
NA,WP_011339733.1,1,61.0,66.07
NA,WP_011339734.1,1,56.99999999999999,72.28
NA,WP_011339735.1,1,56.99999999999999,65.0
NA,WP_011339736.1,1,52.0,67.94
NA,WP_011339737.1,1,59.0,77.01
uvrA,WP_011339738.1,1,60.0,76.29
pdxA,WP_011339739.1,1,64.0,73.54
NA,WP_011339740.1,1,57.99999999999999,73.29
NA,WP_011339741.1,1,59.0,67.45
mfd,WP_011339742.1,1,63.0,75.35
nadA,WP_011339743.1,1,57.99999999999999,72.54
NA,WP_011339744.1,1,63.0,62.5
tatC,WP_245523300.1,1,57.99999999999999,68.53
NA,WP_011339746.1,1,59.0,66.22
NA,WP_011339747.1,1,60.0,72.28
NA,WP_011339748.1,1,55.00000000000001,70.98
NA,WP_158447388.1,1,42.0,38.7
NA,WP_011339750.1,1,51.0,55.93
uvrB,WP_011339751.1,1,57.99999999999999,74.01
cysS,WP_011339752.1,1,56.99999999999999,71.4
NA,WP_011339753.1,1,59.0,76.2
ispF,WP_011339754.1,1,59.0,72.9
ispD,WP_011339755.1,1,62.0,70.54
NA,WP_011339756.1,1,50.0,58.55
NA,WP_041531197.1,1,61.0,69.08
dnaJ,WP_011339758.1,1,60.0,69.78
dnaK,WP_011339759.1,1,59.0,76.64
grpE,WP_011339760.1,1,57.99999999999999,68.25
hrcA,WP_011339761.1,1,56.99999999999999,72.7
hemW,WP_011339762.1,1,62.0,72.4
nhaD,WP_245523301.1,1,59.0,78.79
NA,WP_011339764.1,1,63.0,76.25
NA,WP_011339765.1,1,60.0,68.06
trxB,WP_011339766.1,1,61.0,77.59
NA,WP_052643288.1,1,63.0,76.64
NA,WP_011339767.1,1,44.0,42.78
NA,WP_011339770.1,1,48.0,61.7
NA,WP_041531199.1,1,47.0,46.91
NA,WP_011339771.1,1,48.0,48.36
NA,WP_011339772.1,1,34.0,30.84
NA,WP_011339774.1,1,44.0,39.19
NA,WP_011339775.1,1,44.0,39.93
NA,WP_041531202.1,1,42.0,40.2
NA,WP_011339777.1,1,50.0,60.55
NA,WP_011339778.1,1,56.99999999999999,72.56
NA,WP_011339779.1,1,55.00000000000001,73.46
NA,WP_041531466.1,1,62.0,77.42
NA,WP_011339780.1,1,55.00000000000001,65.84
NA,WP_011339781.1,1,34.0,31.61
NA,WP_011339782.1,1,51.0,61.85
NA,WP_011339783.1,1,54.0,61.99
NA,WP_281047805.1,1,56.00000000000001,67.2
NA,WP_148204271.1,1,55.00000000000001,56.88
NA,WP_011339786.1,1,50.0,54.49
pilO,WP_011339787.1,1,51.0,60.0
NA,WP_011339788.1,1,53.0,57.89
NA,WP_158447389.1,1,49.0,55.57
NA,WP_011339790.1,1,49.0,50.0
NA,WP_041531468.1,1,56.99999999999999,68.03
NA,WP_245523303.1,1,62.0,77.27
NA,WP_011339792.1,1,57.99999999999999,67.67
NA,WP_011339793.1,1,62.0,71.43
NA,WP_011339794.1,1,63.0,68.65
NA,WP_011339795.1,1,52.0,58.79
NA,WP_011339796.1,1,55.00000000000001,65.29
NA,WP_011339797.1,1,56.99999999999999,77.09
NA,WP_148204272.1,1,56.99999999999999,72.64
NA,WP_041531205.1,1,62.0,76.11
NA,WP_041531471.1,1,59.0,68.98
NA,WP_245523304.1,1,64.0,73.25
NA,WP_011339803.1,1,60.0,68.85
NA,WP_245523305.1,1,56.99999999999999,73.01
NA,WP_011339805.1,1,62.0,70.18
