gene_name,prot_id,number_of_exons,GC,GC3
mnmG,WP_014353802.1,1,28.999999999999996,12.94
atpB,WP_014353803.1,1,25.0,16.54
atpE,WP_014353804.1,1,37.0,18.57
atpF,WP_014353805.1,1,23.0,10.81
NA,WP_014353806.1,1,18.0,12.05
atpA,WP_014353807.1,1,30.0,14.97
atpG,WP_014353808.1,1,21.0,11.87
atpD,WP_014353809.1,1,32.0,14.79
atpC,WP_014353810.1,1,25.0,10.08
glmU,WP_014353811.1,1,28.000000000000004,16.93
glmS,WP_014353812.1,1,28.000000000000004,13.93
mnmE,WP_014353813.1,1,28.000000000000004,15.67
yidC,WP_014353814.1,1,25.0,16.73
yidD,WP_014353815.1,1,23.0,17.46
rnpA,WP_014353816.1,1,19.0,11.32
rpmH,WP_014353817.1,1,30.0,11.11
dnaN,WP_014353818.1,1,22.0,11.94
gyrB,WP_014353819.1,1,28.999999999999996,14.36
lptD,WP_014353820.1,1,19.0,14.4
NA,WP_041944090.1,1,17.0,8.47
NA,WP_041944091.1,1,21.0,14.0
pdxA,WP_014353821.1,1,28.999999999999996,14.11
rsmA,WP_014353822.1,1,23.0,16.27
NA,WP_014353823.1,1,25.0,14.07
NA,WP_014353824.1,1,23.0,15.29
carB,WP_014353825.1,1,28.000000000000004,13.42
carA,WP_014353826.1,1,27.0,15.45
dapB,WP_014353827.1,1,24.0,11.46
ydiK,WP_014353828.1,1,23.0,15.47
NA,WP_014353829.1,1,26.0,13.98
rpsL,WP_014353830.1,1,38.0,14.78
rpsG,WP_014353831.1,1,28.999999999999996,13.61
fusA,WP_014353832.1,1,31.0,14.18
flhD,WP_014353833.1,1,31.0,20.95
flhC,WP_014353834.1,1,34.0,18.29
motA,WP_014353835.1,1,34.0,19.31
motB,WP_014353836.1,1,33.0,18.53
flhB,WP_014353837.1,1,25.0,14.71
flhA,WP_014353838.1,1,28.999999999999996,15.17
NA,WP_014353839.1,1,23.0,17.01
flgA,WP_014353840.1,1,23.0,14.29
flgB,WP_014353841.1,1,26.0,13.95
flgC,WP_014353842.1,1,26.0,10.57
NA,WP_014353843.1,1,25.0,18.73
flgE,WP_014353844.1,1,31.0,16.54
flgF,WP_014353845.1,1,30.0,13.81
flgG,WP_014353846.1,1,34.0,13.55
NA,WP_014353847.1,1,33.0,17.35
NA,WP_014353848.1,1,31.0,13.57
NA,WP_014353849.1,1,22.0,21.35
flgK,WP_014353850.1,1,24.0,14.44
flgL,WP_014353851.1,1,24.0,11.84
fliR,WP_014353852.1,1,22.0,14.06
fliQ,WP_014353853.1,1,26.0,20.0
fliP,WP_071818473.1,1,27.0,14.62
NA,WP_014353855.1,1,19.0,8.65
fliN,WP_014353856.1,1,28.999999999999996,17.69
NA,WP_014353857.1,1,20.0,10.9
NA,WP_041944141.1,1,28.999999999999996,17.88
NA,WP_014353859.1,1,18.0,13.87
NA,WP_041944093.1,1,20.0,11.11
fliI,WP_014353860.1,1,32.0,14.64
NA,WP_236607848.1,1,28.000000000000004,13.08
fliG,WP_014353862.1,1,26.0,11.29
fliF,WP_014353863.1,1,28.000000000000004,15.5
fliE,WP_014353864.1,1,27.0,24.74
fliS,WP_014353865.1,1,26.0,23.14
fliD,WP_014353866.1,1,24.0,15.65
NA,WP_014353867.1,1,34.0,19.17
NA,WP_014353868.1,1,23.0,15.54
mdoH,WP_014353869.1,1,26.0,16.0
gloB,WP_014353870.1,1,27.0,16.67
rnhA,WP_014353871.1,1,28.999999999999996,15.86
