gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_021196880.1,1,63.0,86.07
dnaN,WP_021196879.1,1,62.0,85.87
gyrB,WP_021196878.1,1,64.0,89.0
NA,WP_064801019.1,1,55.00000000000001,65.81
NA,WP_151180501.1,1,53.0,60.8
NA,WP_064801023.1,1,55.00000000000001,63.21
NA,WP_064801025.1,1,55.00000000000001,66.48
NA,WP_064801027.1,1,52.0,56.18
NA,WP_064801029.1,1,56.00000000000001,67.26
NA,WP_064801031.1,1,56.99999999999999,68.35
NA,WP_064801033.1,1,60.0,68.55
NA,WP_064801035.1,1,60.0,61.64
NA,WP_064801037.1,1,56.99999999999999,63.01
NA,WP_064801039.1,1,60.0,74.71
NA,WP_064801041.1,1,62.0,70.85
NA,WP_064801043.1,1,57.99999999999999,68.56
NA,WP_231973131.1,1,59.0,65.2
NA,WP_064801045.1,1,62.0,71.12
NA,WP_064801047.1,1,56.99999999999999,67.87
NA,WP_064801049.1,1,56.99999999999999,61.39
NA,WP_064801051.1,1,66.0,69.12
NA,WP_064801053.1,1,56.00000000000001,62.9
NA,WP_064806096.1,1,59.0,60.87
NA,WP_064801058.1,1,56.00000000000001,63.23
NA,WP_064496161.1,1,57.99999999999999,64.9
NA,WP_104577692.1,1,54.0,58.57
NA,WP_064801060.1,1,56.00000000000001,65.28
NA,WP_021196865.1,1,54.0,61.04
NA,WP_031329982.1,1,60.0,70.0
NA,WP_064801062.1,1,59.0,71.04
NA,WP_064801064.1,1,61.0,72.22
NA,WP_021196861.1,1,56.99999999999999,69.07
NA,WP_064801067.1,1,61.0,74.48
NA,WP_064801069.1,1,59.0,70.9
NA,WP_021196858.1,1,65.0,74.64
NA,WP_064801073.1,1,69.0,79.52
NA,WP_064801075.1,1,66.0,93.61
NA,WP_064801078.1,1,67.0,89.22
NA,WP_064801081.1,1,64.0,86.54
NA,WP_064801083.1,1,65.0,89.41
NA,WP_064801085.1,1,65.0,82.43
NA,WP_064801087.1,1,72.0,85.51
NA,WP_064801089.1,1,69.0,91.03
NA,WP_064801091.1,1,67.0,87.1
