gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_268005860.1,1,56.00000000000001,70.58
dnaN,WP_268005861.1,1,55.00000000000001,66.76
NA,WP_268005862.1,1,56.00000000000001,67.69
recF,WP_268005863.1,1,54.0,62.85
gyrB,WP_268005864.1,1,56.99999999999999,71.7
gyrA,WP_268005865.1,1,56.99999999999999,73.68
NA,WP_268005866.1,1,55.00000000000001,64.0
NA,WP_268005867.1,1,57.99999999999999,68.67
NA,WP_268005868.1,1,57.99999999999999,72.22
guaB,WP_268008341.1,1,60.0,73.11
pdxS,WP_268005869.1,1,60.0,74.74
pdxT,WP_268005870.1,1,57.99999999999999,64.64
serS,WP_268005871.1,1,61.0,81.04
NA,WP_268005872.1,1,57.99999999999999,75.17
NA,WP_268008342.1,1,39.0,33.47
NA,WP_268005873.1,1,54.0,62.48
NA,WP_268005874.1,1,41.0,35.99
NA,WP_268005875.1,1,44.0,39.26
NA,WP_268005876.1,1,43.0,50.0
NA,WP_268008343.1,1,41.0,47.22
istB,WP_268005877.1,1,49.0,48.15
NA,WP_268005878.1,1,38.0,35.51
NA,WP_268005879.1,1,47.0,43.93
NA,WP_268005880.1,1,52.0,50.0
NA,WP_268005881.1,1,43.0,43.91
NA,WP_268005882.1,1,48.0,49.15
NA,WP_268005883.1,1,48.0,50.0
NA,WP_268005884.1,1,48.0,47.24
NA,WP_268005885.1,1,43.0,38.27
NA,WP_268005886.1,1,44.0,44.83
NA,WP_268008344.1,1,45.0,41.67
NA,WP_268005887.1,1,45.0,40.06
NA,WP_268005888.1,1,50.0,54.6
NA,WP_268005889.1,1,50.0,52.48
NA,WP_268005890.1,1,51.0,53.01
NA,WP_268005891.1,1,48.0,52.32
NA,WP_268008345.1,1,45.0,41.18
NA,WP_268005892.1,1,48.0,44.4
NA,WP_268005893.1,1,45.0,44.51
NA,WP_268003751.1,1,52.0,56.85
NA,WP_268005894.1,1,52.0,67.21
NA,WP_268005895.1,1,48.0,48.4
NA,WP_268005896.1,1,41.0,47.23
istA,WP_268004194.1,1,49.0,49.9
NA,WP_268005897.1,1,41.0,48.12
NA,WP_268005898.1,1,41.0,43.87
NA,WP_268003901.1,1,50.0,57.04
NA,WP_268005899.1,1,40.0,42.97
NA,WP_268005900.1,1,61.0,60.27
NA,WP_268005901.1,1,51.0,61.11
NA,WP_268008346.1,1,48.0,49.12
NA,WP_268005902.1,1,48.0,44.19
NA,WP_268005903.1,1,44.0,42.65
NA,WP_268005904.1,1,43.0,39.68
NA,WP_268005905.1,1,47.0,56.83
NA,WP_268008347.1,1,52.0,56.23
NA,WP_268005906.1,1,55.00000000000001,62.55
NA,WP_268005907.1,1,55.00000000000001,65.53
NA,WP_268005908.1,1,56.00000000000001,64.19
NA,WP_268005909.1,1,56.00000000000001,61.36
NA,WP_268005910.1,1,57.99999999999999,64.34
NA,WP_268005911.1,1,55.00000000000001,59.95
NA,WP_268005912.1,1,55.00000000000001,59.84
NA,WP_268005913.1,1,57.99999999999999,64.94
NA,WP_268005914.1,1,56.00000000000001,60.14
NA,WP_268005915.1,1,50.0,56.26
NA,WP_268005916.1,1,52.0,56.25
NA,WP_268005917.1,1,49.0,47.46
NA,WP_268005918.1,1,45.0,45.48
NA,WP_268005919.1,1,39.0,37.5
NA,WP_268005920.1,1,40.0,42.22
NA,WP_268005921.1,1,42.0,37.98
NA,WP_268005922.1,1,40.0,39.68
NA,WP_268005923.1,1,44.0,47.09
NA,WP_268005924.1,1,51.0,52.0
NA,WP_268005925.1,1,45.0,40.74
NA,WP_268008348.1,1,47.0,43.9
NA,WP_268005926.1,1,42.0,40.07
NA,WP_268008349.1,1,46.0,41.18
NA,WP_268005927.1,1,42.0,39.32
NA,WP_268005928.1,1,46.0,47.17
NA,WP_268005929.1,1,45.0,45.07
NA,WP_268005930.1,1,43.0,44.9
NA,WP_268008350.1,1,45.0,47.14
NA,WP_268005931.1,1,65.0,93.35
NA,WP_268005932.1,1,39.0,39.36
NA,WP_268008351.1,1,42.0,29.55
NA,WP_268003913.1,1,49.0,52.53
NA,WP_268005933.1,1,44.0,43.62
NA,WP_268005934.1,1,45.0,47.09
NA,WP_268005935.1,1,47.0,45.61
NA,WP_268005936.1,1,46.0,45.01
dgoD,WP_268005937.1,1,52.0,52.62
NA,WP_268005938.1,1,54.0,57.04
NA,WP_268005939.1,1,52.0,57.73
kynA,WP_268005940.1,1,43.0,42.18
kynU,WP_268005941.1,1,50.0,51.08
kynB,WP_268005942.1,1,52.0,51.23
NA,WP_268005943.1,1,41.0,36.07
htpG,WP_268005944.1,1,46.0,61.43
