gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_012765599.1,1,46.0,44.08
NA,WP_012765600.1,1,48.0,56.82
NA,WP_012765601.1,1,49.0,44.48
rfaE1,WP_012765602.1,1,50.0,48.62
NA,WP_012765603.1,1,48.0,46.1
NA,WP_012765604.1,1,47.0,54.84
NA,WP_012765605.1,1,49.0,52.5
NA,WP_012765606.1,1,52.0,58.14
NA,WP_012765607.1,1,48.0,48.23
NA,WP_012765608.1,1,50.0,48.74
NA,WP_012765609.1,1,43.0,45.53
NA,WP_012765610.1,1,49.0,44.42
NA,WP_012765611.1,1,49.0,51.38
NA,WP_012765612.1,1,36.0,27.63
NA,WP_012765613.1,1,50.0,59.03
NA,WP_012765614.1,1,52.0,51.93
NA,WP_012765615.1,1,53.0,58.39
NA,WP_012765616.1,1,50.0,52.29
NA,WP_012765617.1,1,47.0,50.91
sppA,WP_012765618.1,1,50.0,53.67
NA,WP_012765619.1,1,52.0,55.94
NA,WP_012765620.1,1,59.0,62.16
NA,WP_245543765.1,1,47.0,51.67
NA,WP_012765622.1,1,52.0,52.65
NA,WP_012765623.1,1,47.0,60.95
NA,WP_012765624.1,1,50.0,59.84
NA,WP_012765625.1,1,50.0,48.28
NA,WP_012765626.1,1,52.0,61.78
NA,WP_245543766.1,1,52.0,55.0
NA,WP_012765628.1,1,53.0,50.79
NA,WP_012765629.1,1,46.0,44.22
NA,WP_012765630.1,1,51.0,56.09
NA,WP_012765631.1,1,48.0,47.76
NA,WP_245543767.1,1,51.0,53.46
NA,WP_012765633.1,1,52.0,49.25
NA,WP_012765634.1,1,45.0,42.11
NA,WP_012765635.1,1,51.0,54.69
NA,WP_157046898.1,1,49.0,51.34
NA,WP_012765637.1,1,46.0,42.41
NA,WP_012765638.1,1,48.0,57.71
NA,WP_012765639.1,1,50.0,52.67
NA,WP_012765640.1,1,51.0,53.0
mutM,WP_012765641.1,1,49.0,49.06
murJ,WP_012765642.1,1,51.0,52.52
NA,WP_012765643.1,1,51.0,50.0
NA,WP_012765644.1,1,49.0,45.08
NA,WP_012765645.1,1,49.0,48.38
NA,WP_012765646.1,1,45.0,44.79
NA,WP_041722025.1,1,49.0,46.8
